,P_2016,P_2030,P_2050,C_2016,C_2030,C_2050
AT,6,712,2020,26,3558,12117
BE,7,889,2528,32,4447,15166
BG,3,385,1106,14,1925,6633
CH,5,671,1905,24,3354,11431
CZ,6,716,2045,26,3582,12270
CY,0,1,1,0,0,0
DE,53,6589,18709,237,32944,112251
DK,3,387,1106,14,1936,6636
EE,1,87,249,3,436,1496
EL,7,934,2643,34,4669,15858
ES,31,3851,10921,138,19256,65528
FI,4,470,1330,17,2348,7982
FR,43,5412,15360,194,27058,92163
HR,2,217,623,8,1084,3738
HU,4,468,1349,17,2342,8095
IE,3,346,987,12,1731,5921
IT,46,5698,16074,205,28492,96446
LT,2,217,618,8,1087,3707
LU,0,62,174,2,309,1043
LV,1,85,246,3,426,1474
NL,10,1268,3611,46,6341,21666
NO,3,432,1226,16,2160,7356
MT,0,1,1,0,0,0
PL,23,2868,8162,103,14341,48971
PT,6,784,2229,28,3919,13372
RO,5,638,1849,23,3188,11094
SE,6,738,2103,26,3691,12617
SI,1,163,463,6,816,2780
SK,2,275,792,10,1377,4754
UK,38,4763,13569,171,23816,81416
