Region1,Power,Heat,CHP total efficiency,CHP Share in total gen,Load factor,Solid,Oil,Gas,Renewable,Other
AT,3991.296049,8902.089,0.85,0.13,0.248966,0.063648531,0.075120964,0.374288824,0.388546216,0.098395465
BE,2403.619699,5521.217727,0.85,0.168,0.238899,0.011182825,0.006647703,0.561890499,0.169770552,0.250508422
BG,920,3400,0.85,0.062,0.171769,0.598790981,0.129161674,0.270558763,0.000326762,0.00116182
CH,0,0,0.85,0,0.255229,0,0,0,0,0
CY,13.295,12.946,0.85,0.015,0.14047,0,0.279311326,0,0.720688674,0
CZ,4629,21011,0.85,0.137,0.219634,0.70771979,0.001149554,0.086580409,0.12681065,0.077739597
DE,37185.4,92234.9,0.85,0.119,0.238346,0.104156361,0.128975282,0.459862405,0.172187892,0.13481806
DK,5795.6515,9429.222,0.85,0.443,0.263112,0.495437892,0.011780662,0.097796276,0.311010353,0.083974816
EL,553,761,0.85,0.037,0.242443,0.135548775,0.033565367,0.653189663,0.009726328,0.167969867
EE,466.65,1432.175,0.85,0.1,0.254791,0.275939909,0.001826419,0.139241987,0.51392052,0.06907107
ES,3908.414817,5503.055036,0.85,0.084,0.220957,0.023012758,0.065291272,0.787680704,0,0.124015266
FI,6011,15381,0.85,0.338,0.262977,0.224307649,0.012576306,0.135410428,0.583129935,0.044575682
FR,6171.25,13739.48,0.85,0.021,0.249588,0.071195238,0.053264793,0.554203776,0.196560213,0.124775981
HR,681,1709,0.85,0.063,0.216577,0.024365821,0.06890669,0.895749889,0.0109776,0
HU,2314.681919,4816.6372,0.85,0.13,0.201488,0.03765075,0.002804624,0.711724778,0.124457544,0.123362303
IE,309,590,0.85,0.074,0.240442,0.03380119,0.000888336,0.92000533,0.030336679,0.014968464
IT,8573,19762,0.85,0.131,0.209942,0.003250674,0.111963911,0.657731074,0.150115442,0.076938898
LT,1124,2236,0.85,0.333,0.214381,0,0.14737036,0.482407663,0.313208069,0.057013908
LU,121,205,0.85,0.128,0.240475,0,0.001055298,0.763824398,0.235120304,0
LV,1090,1256,0.85,0.475,0.220185,0.000552588,0,0.660895192,0.33855222,0
MT,0,0,0.85,0,0.14047,0,0,0,1,0
NL,9183.799625,18263.64083,0.85,0.29,0.236561,0.015683592,0.009504891,0.753968829,0.028789412,0.192053275
NO,92,535,0.85,0.003,0.2676935,0.052945563,0,0,0.473527218,0.473527218
PL,8553,25237,0.85,0.151,0.19877,0.71202896,0.077863338,0.069656425,0.113182737,0.027268541
PT,1383.812622,4583.216,0.85,0.129,0.260383,0,0.03373246,0.532041753,0.399937926,0.034287861
RO,1816,9962,0.85,0.093,0.196611333,0.360346063,0.00532405,0.54353435,0.053783147,0.037012389
SE,5013,10683,0.85,0.079,0.27241,0.044485312,0.018947225,0.030073561,0.800631441,0.105862461
SI,367.0957,740.2994167,0.85,0.071,0.270087,0.519153792,0.000845833,0.258834672,0.202121943,0.01904376
SK,4382,15545,0.85,0.77,0.215265,0.181006668,0.030499092,0.071769009,0.087589942,0.629135289
UK,6322.736284,8193.973211,0.85,0.06,0.276099,0.041532113,0.014136477,0.688826998,0.050616801,0.204887611
