time,dis
1979-01-02,11.564399
1979-01-03,16.544455
1979-01-04,32.563946
1979-01-05,65.22011
1979-01-06,101.75512
1979-01-07,150.72093
1979-01-08,233.62885
1979-01-09,278.24954
1979-01-10,279.4888
1979-01-11,298.30377
1979-01-12,331.45987
1979-01-13,371.02438
1979-01-14,369.3902
1979-01-15,362.9224
1979-01-16,381.15656
1979-01-17,425.0991
1979-01-18,472.65604
1979-01-19,501.98587
1979-01-20,546.3574
1979-01-21,582.1348
1979-01-22,632.99115
1979-01-23,688.76935
1979-01-24,716.09656
1979-01-25,797.309
1979-01-26,932.63727
1979-01-27,999.3013
1979-01-28,955.66833
1979-01-29,879.5461
1979-01-30,808.987
1979-01-31,790.30817
1979-02-01,785.5057
1979-02-02,757.3092
1979-02-03,755.78516
1979-02-04,784.2753
1979-02-05,814.4025
1979-02-06,862.3389
1979-02-07,905.75464
1979-02-08,930.1417
1979-02-09,964.1419
1979-02-10,963.1491
1979-02-11,920.56116
1979-02-12,907.4004
1979-02-13,912.46094
1979-02-14,940.01605
1979-02-15,990.187
1979-02-16,1027.5785
1979-02-17,1014.9072
1979-02-18,957.58636
1979-02-19,875.2487
1979-02-20,786.41486
1979-02-21,703.9913
1979-02-22,651.8362
1979-02-23,672.42505
1979-02-24,759.2521
1979-02-25,869.27765
1979-02-26,922.5991
1979-02-27,917.2911
1979-02-28,905.11597
1979-03-01,921.8341
1979-03-02,946.8976
1979-03-03,934.9617
1979-03-04,889.5484
1979-03-05,818.4091
1979-03-06,740.02985
1979-03-07,665.3058
1979-03-08,595.39905
1979-03-09,539.2555
1979-03-10,526.5323
1979-03-11,517.36224
1979-03-12,567.95166
1979-03-13,598.9104
1979-03-14,625.5301
1979-03-15,655.9576
1979-03-16,665.6751
1979-03-17,708.6993
1979-03-18,763.7977
1979-03-19,756.3619
1979-03-20,755.49347
1979-03-21,752.25055
1979-03-22,712.89844
1979-03-23,703.95
1979-03-24,702.65314
1979-03-25,705.4125
1979-03-26,710.5691
1979-03-27,705.6506
1979-03-28,704.3972
1979-03-29,738.2285
1979-03-30,749.8136
1979-03-31,756.5661
1979-04-01,790.2673
1979-04-02,795.1974
1979-04-03,791.7083
1979-04-04,764.9302
1979-04-05,731.54364
1979-04-06,692.2522
1979-04-07,659.2898
1979-04-08,609.859
1979-04-09,551.9514
1979-04-10,500.0873
1979-04-11,452.5425
1979-04-12,409.45023
1979-04-13,371.44452
1979-04-14,338.75095
1979-04-15,311.05423
1979-04-16,283.49347
1979-04-17,256.71524
1979-04-18,233.54524
1979-04-19,213.48042
1979-04-20,194.26471
1979-04-21,176.77028
1979-04-22,161.20598
1979-04-23,148.06622
1979-04-24,137.54562
1979-04-25,129.71533
1979-04-26,123.74486
1979-04-27,119.16218
1979-04-28,115.29141
1979-04-29,112.168594
1979-04-30,109.52879
1979-05-01,107.46582
1979-05-02,106.13577
1979-05-03,105.815765
1979-05-04,105.36207
1979-05-05,103.918915
1979-05-06,103.41094
1979-05-07,104.24983
1979-05-08,104.09353
1979-05-09,106.311134
1979-05-10,113.05372
1979-05-11,120.72102
1979-05-12,122.462845
1979-05-13,117.711945
1979-05-14,111.26117
1979-05-15,105.786835
1979-05-16,101.73787
1979-05-17,98.903076
1979-05-18,97.01209
1979-05-19,95.67643
1979-05-20,94.616165
1979-05-21,93.64823
1979-05-22,92.70517
1979-05-23,91.74956
1979-05-24,90.81309
1979-05-25,89.88844
1979-05-26,88.97761
1979-05-27,88.09288
1979-05-28,87.21556
1979-05-29,86.33547
1979-05-30,85.493996
1979-05-31,84.66454
1979-06-01,83.82535
1979-06-02,82.99405
1979-06-03,82.148674
1979-06-04,81.34215
1979-06-05,80.53465
1979-06-06,79.71602
1979-06-07,78.90771
1979-06-08,78.08308
1979-06-09,77.28697
1979-06-10,76.54039
1979-06-11,75.77722
1979-06-12,74.99565
1979-06-13,74.24989
1979-06-14,73.52172
1979-06-15,72.78463
1979-06-16,72.01867
1979-06-17,71.242256
1979-06-18,70.53327
1979-06-19,69.84062
1979-06-20,69.127846
1979-06-21,68.401405
1979-06-22,67.71056
1979-06-23,67.061874
1979-06-24,66.38832
1979-06-25,65.70116
1979-06-26,65.02977
1979-06-27,64.39685
1979-06-28,63.753212
1979-06-29,63.08211
1979-06-30,62.419117
1979-07-01,61.773113
1979-07-02,61.119045
1979-07-03,60.496765
1979-07-04,59.919376
1979-07-05,59.32103
1979-07-06,58.694763
