time,dis
1979-01-02,0.7925428
1979-01-03,1.3164502
1979-01-04,2.9121203
1979-01-05,4.83003
1979-01-06,6.890859
1979-01-07,10.3991
1979-01-08,14.438503
1979-01-09,16.371296
1979-01-10,17.3569
1979-01-11,18.70403
1979-01-12,20.061367
1979-01-13,20.721048
1979-01-14,19.980648
1979-01-15,18.915594
1979-01-16,19.412148
1979-01-17,21.918077
1979-01-18,25.295282
1979-01-19,29.484613
1979-01-20,32.334026
1979-01-21,33.08549
1979-01-22,32.937347
1979-01-23,33.102882
1979-01-24,34.6602
1979-01-25,36.798847
1979-01-26,38.84588
1979-01-27,40.88797
1979-01-28,40.858864
1979-01-29,38.942303
1979-01-30,39.388866
1979-01-31,45.28046
1979-02-01,52.967766
1979-02-02,57.90036
1979-02-03,61.26429
1979-02-04,62.459045
1979-02-05,65.74272
1979-02-06,72.0469
1979-02-07,76.15529
1979-02-08,78.33734
1979-02-09,80.27946
1979-02-10,78.70379
1979-02-11,77.08722
1979-02-12,76.12346
1979-02-13,75.976585
1979-02-14,76.62233
1979-02-15,78.261604
1979-02-16,81.79103
1979-02-17,83.45937
1979-02-18,81.22666
1979-02-19,76.78767
1979-02-20,71.786804
1979-02-21,66.88235
1979-02-22,65.58307
1979-02-23,70.42858
1979-02-24,77.32875
1979-02-25,84.08815
1979-02-26,88.626045
1979-02-27,90.30328
1979-02-28,91.158485
1979-03-01,91.86381
1979-03-02,91.62847
1979-03-03,89.5022
1979-03-04,85.273346
1979-03-05,79.97802
1979-03-06,74.59722
1979-03-07,69.43909
1979-03-08,64.26915
1979-03-09,60.98759
1979-03-10,57.723133
1979-03-11,55.39839
1979-03-12,53.42553
1979-03-13,52.947056
1979-03-14,51.177273
1979-03-15,48.584976
1979-03-16,51.71922
1979-03-17,56.480717
1979-03-18,58.130634
1979-03-19,57.223827
1979-03-20,57.236828
1979-03-21,55.760323
1979-03-22,53.63164
1979-03-23,50.569996
1979-03-24,49.358875
1979-03-25,51.6282
1979-03-26,52.567513
1979-03-27,50.634876
1979-03-28,49.765244
1979-03-29,51.06492
1979-03-30,48.77596
1979-03-31,49.473103
1979-04-01,48.957912
1979-04-02,48.975018
1979-04-03,46.906475
1979-04-04,46.280174
1979-04-05,44.111923
1979-04-06,42.433105
1979-04-07,41.863174
1979-04-08,40.266632
1979-04-09,37.127243
1979-04-10,34.559113
1979-04-11,32.17613
1979-04-12,29.87372
1979-04-13,27.798811
1979-04-14,25.715477
1979-04-15,23.682869
1979-04-16,21.721144
1979-04-17,19.939266
1979-04-18,18.443027
1979-04-19,17.20963
1979-04-20,16.19058
1979-04-21,15.265695
1979-04-22,14.393511
1979-04-23,13.574539
1979-04-24,12.808232
1979-04-25,12.079994
1979-04-26,11.42008
1979-04-27,10.887139
1979-04-28,10.475345
1979-04-29,10.193511
1979-04-30,10.017222
1979-05-01,9.904464
1979-05-02,9.824058
1979-05-03,9.759092
1979-05-04,9.701803
1979-05-05,9.648545
1979-05-06,9.597295
1979-05-07,9.548741
1979-05-08,9.506713
1979-05-09,9.473067
1979-05-10,9.441277
1979-05-11,9.405845
1979-05-12,9.365336
1979-05-13,9.320967
1979-05-14,9.27454
1979-05-15,9.227318
1979-05-16,9.179626
1979-05-17,9.1318035
1979-05-18,9.084125
1979-05-19,9.036697
1979-05-20,8.989543
1979-05-21,8.942684
1979-05-22,8.895935
1979-05-23,8.849295
1979-05-24,8.802896
1979-05-25,8.756689
1979-05-26,8.710595
1979-05-27,8.664812
1979-05-28,8.61927
1979-05-29,8.574171
1979-05-30,8.529388
1979-05-31,8.484531
1979-06-01,8.439831
1979-06-02,8.395364
1979-06-03,8.3509
1979-06-04,8.306412
1979-06-05,8.261966
1979-06-06,8.217719
1979-06-07,8.17355
1979-06-08,8.129475
1979-06-09,8.085722
1979-06-10,8.042197
1979-06-11,7.998742
1979-06-12,7.9555664
1979-06-13,7.9125366
1979-06-14,7.8695555
1979-06-15,7.8265405
1979-06-16,7.7835727
1979-06-17,7.7408304
1979-06-18,7.6983495
1979-06-19,7.6559954
1979-06-20,7.613754
1979-06-21,7.5717235
1979-06-22,7.5298786
1979-06-23,7.488099
1979-06-24,7.446351
1979-06-25,7.4047475
1979-06-26,7.363335
1979-06-27,7.3220706
1979-06-28,7.2808814
1979-06-29,7.239787
1979-06-30,7.1988335
1979-07-01,7.158067
1979-07-02,7.117429
1979-07-03,7.07692
1979-07-04,7.0365524
1979-07-05,6.996273
1979-07-06,6.9560666
1979-07-07,6.9160237
1979-07-08,6.8761687
1979-07-09,6.8364477
1979-07-10,6.7968144
1979-07-11,6.757263
1979-07-12,6.7178016
1979-07-13,6.6784096
1979-07-14,6.6391554
1979-07-15,6.6000752
1979-07-16,6.5611506
1979-07-17,6.5223393
1979-07-18,6.483595
1979-07-19,6.4449487
1979-07-20,6.4064612
1979-07-21,6.368138
1979-07-22,6.329937
1979-07-23,6.291816
1979-07-24,6.253762
1979-07-25,6.215784
1979-07-26,6.177906
1979-07-27,6.14021
1979-07-28,6.102646
1979-07-29,6.0651503
1979-07-30,6.0277576
1979-07-31,5.990465
1979-08-01,5.9533396
1979-08-02,5.9163313
1979-08-03,5.8794394
1979-08-04,5.84269
1979-08-05,5.8060436
1979-08-06,5.7694755
1979-08-07,5.733026
1979-08-08,5.696676
1979-08-09,5.660381
1979-08-10,5.6241603
1979-08-11,5.5881186
1979-08-12,5.5522194
1979-08-13,5.5164094
1979-08-14,5.4806914
1979-08-15,5.4450884
1979-08-16,5.409569
1979-08-17,5.3741493
1979-08-18,5.338826
1979-08-19,5.3036246
1979-08-20,5.268542
1979-08-21,5.233569
1979-08-22,5.1986837
1979-08-23,5.163892
1979-08-24,5.1291904
1979-08-25,5.0945935
1979-08-26,5.060104
1979-08-27,5.025787
1979-08-28,4.991822
1979-08-29,4.9582586
1979-08-30,4.924852
1979-08-31,4.8914366
1979-09-01,4.857987
1979-09-02,4.824484
1979-09-03,4.79095
1979-09-04,4.757467
1979-09-05,4.7240224
1979-09-06,4.690624
1979-09-07,4.657335
1979-09-08,4.624271
1979-09-09,4.5913076
1979-09-10,4.558358
1979-09-11,4.5254984
1979-09-12,4.4931107
1979-09-13,4.461656
1979-09-14,4.4308586
1979-09-15,4.400139
1979-09-16,4.369085
1979-09-17,4.337613
1979-09-18,4.3058696
1979-09-19,4.2740145
1979-09-20,4.242101
1979-09-21,4.207602
1979-09-22,4.172578
1979-09-23,4.138953
1979-09-24,4.1062794
1979-09-25,4.074163
1979-09-26,4.042305
1979-09-27,4.0106454
1979-09-28,3.9791892
1979-09-29,3.947893
1979-09-30,3.9170485
1979-10-01,3.8881896
1979-10-02,3.860166
1979-10-03,3.831545
1979-10-04,3.802383
1979-10-05,3.7727637
1979-10-06,3.7428331
1979-10-07,3.7127514
1979-10-08,3.6825976
1979-10-09,3.6524448
1979-10-10,3.6225727
1979-10-11,3.59593
1979-10-12,3.5726423
1979-10-13,3.5527327
1979-10-14,3.5360029
1979-10-15,3.5208168
1979-10-16,3.5098894
1979-10-17,3.5038252
1979-10-18,3.508907
1979-10-19,3.5637975
1979-10-20,3.686677
1979-10-21,3.7956772
1979-10-22,3.8165047
1979-10-23,3.7263634
1979-10-24,3.6364133
1979-10-25,3.5709953
1979-10-26,3.5229585
1979-10-27,3.5174692
1979-10-28,3.5495417
1979-10-29,3.53684
1979-10-30,3.5642414
1979-10-31,3.7410827
1979-11-01,4.217621
1979-11-02,5.578096
1979-11-03,7.7697506
