time,dis
1979-01-02,3.6187363
1979-01-03,4.54791
1979-01-04,8.175106
1979-01-05,12.37217
1979-01-06,16.533628
1979-01-07,20.38004
1979-01-08,23.995638
1979-01-09,26.379395
1979-01-10,26.765614
1979-01-11,30.83146
1979-01-12,40.530483
1979-01-13,49.08458
1979-01-14,54.581676
1979-01-15,61.658062
1979-01-16,63.1115
1979-01-17,62.4152
1979-01-18,64.99446
1979-01-19,67.53499
1979-01-20,67.314804
1979-01-21,70.044136
1979-01-22,68.39322
1979-01-23,63.890198
1979-01-24,67.47171
1979-01-25,70.110466
1979-01-26,77.37569
1979-01-27,78.13713
1979-01-28,76.866264
1979-01-29,78.141624
1979-01-30,75.687775
1979-01-31,70.29688
1979-02-01,66.03824
1979-02-02,62.662117
1979-02-03,56.994946
1979-02-04,52.24408
1979-02-05,47.73238
1979-02-06,43.342197
1979-02-07,39.495018
1979-02-08,36.019577
1979-02-09,36.71047
1979-02-10,42.426083
1979-02-11,50.336624
1979-02-12,49.016396
1979-02-13,47.334953
1979-02-14,46.984375
1979-02-15,50.124855
1979-02-16,59.1462
1979-02-17,61.585087
1979-02-18,63.196785
1979-02-19,66.84435
1979-02-20,64.7566
1979-02-21,66.05725
1979-02-22,62.043854
1979-02-23,57.308018
1979-02-24,53.94724
1979-02-25,56.73282
1979-02-26,55.31923
1979-02-27,52.465168
1979-02-28,51.93906
1979-03-01,50.150692
1979-03-02,46.72434
1979-03-03,49.3193
1979-03-04,55.219044
1979-03-05,56.912468
1979-03-06,52.309
1979-03-07,47.044052
1979-03-08,42.604195
1979-03-09,44.12705
1979-03-10,46.687122
1979-03-11,48.35298
1979-03-12,48.55868
1979-03-13,50.85442
1979-03-14,54.7096
1979-03-15,58.91375
1979-03-16,63.695843
1979-03-17,66.30446
1979-03-18,66.589226
1979-03-19,66.21402
1979-03-20,65.643425
1979-03-21,66.80484
1979-03-22,67.7458
1979-03-23,67.37622
1979-03-24,69.39221
1979-03-25,71.27457
1979-03-26,69.24319
1979-03-27,69.000435
1979-03-28,68.860176
1979-03-29,69.78013
1979-03-30,78.71766
1979-03-31,80.73945
1979-04-01,80.63047
1979-04-02,83.31844
1979-04-03,78.63682
1979-04-04,77.391426
1979-04-05,72.99458
1979-04-06,80.82973
1979-04-07,91.60199
1979-04-08,104.26856
1979-04-09,107.70054
1979-04-10,104.079796
1979-04-11,96.10329
1979-04-12,87.58555
1979-04-13,79.74204
1979-04-14,72.56164
1979-04-15,69.69384
1979-04-16,74.821014
1979-04-17,57.208904
1979-04-18,57.01782
1979-04-19,63.079533
1979-04-20,65.52152
1979-04-21,67.51501
1979-04-22,100.868904
1979-04-23,150.22958
1979-04-24,144.29192
1979-04-25,136.83374
1979-04-26,131.17291
1979-04-27,126.84352
1979-04-28,119.76637
1979-04-29,113.33255
1979-04-30,112.42679
1979-05-01,112.889084
1979-05-02,113.57811
1979-05-03,113.242004
1979-05-04,114.934814
1979-05-05,119.23683
1979-05-06,124.7318
1979-05-07,125.5308
1979-05-08,126.55784
1979-05-09,137.28229
1979-05-10,138.09496
1979-05-11,139.79146
1979-05-12,146.70691
1979-05-13,229.39163
1979-05-14,151.6968
1979-05-15,138.89456
1979-05-16,133.54037
1979-05-17,127.27797
1979-05-18,120.73177
1979-05-19,109.03094
1979-05-20,98.11127
1979-05-21,88.30772
1979-05-22,79.59852
1979-05-23,72.06513
1979-05-24,65.53427
1979-05-25,65.76628
1979-05-26,66.91449
1979-05-27,69.91896
1979-05-28,65.899574
1979-05-29,67.48151
1979-05-30,79.975975
1979-05-31,95.48063
1979-06-01,98.61332
1979-06-02,89.08155
1979-06-03,80.588394
1979-06-04,75.87707
1979-06-05,80.40074
1979-06-06,73.73948
1979-06-07,67.64302
1979-06-08,61.063248
1979-06-09,54.952038
1979-06-10,49.66045
1979-06-11,48.01793
1979-06-12,44.44242
1979-06-13,40.88407
1979-06-14,43.919914
1979-06-15,48.777172
1979-06-16,62.507534
1979-06-17,74.57352
1979-06-18,69.68522
1979-06-19,62.269608
1979-06-20,55.618786
1979-06-21,49.78644
1979-06-22,44.771576
1979-06-23,40.205486
1979-06-24,36.195915
1979-06-25,32.698185
1979-06-26,29.455448
1979-06-27,26.616304
1979-06-28,24.538858
1979-06-29,23.570585
1979-06-30,21.754251
1979-07-01,19.855791
1979-07-02,17.947336
1979-07-03,16.168474
1979-07-04,14.563106
1979-07-05,13.121171
1979-07-06,11.834667
1979-07-07,10.686777
1979-07-08,9.67226
1979-07-09,10.894588
1979-07-10,11.935961
1979-07-11,11.616611
1979-07-12,10.773285
1979-07-13,9.77935
1979-07-14,8.818087
1979-07-15,7.974707
1979-07-16,7.2852535
1979-07-17,7.0488005
1979-07-18,6.6136227
1979-07-19,6.0905895
1979-07-20,5.6019416
1979-07-21,5.1656895
1979-07-22,4.7901144
1979-07-23,4.534044
1979-07-24,4.322199
1979-07-25,4.1114454
1979-07-26,4.2328396
1979-07-27,4.2617655
1979-07-28,4.0405035
1979-07-29,4.0270243
1979-07-30,4.0118885
1979-07-31,3.9977648
1979-08-01,3.986299
1979-08-02,3.9708652
1979-08-03,3.9550915
1979-08-04,3.9394515
1979-08-05,3.9243681
1979-08-06,3.9108114
1979-08-07,3.8987455
1979-08-08,5.7636724
1979-08-09,5.4502015
1979-08-10,4.980596
1979-08-11,5.5856414
1979-08-12,5.4755964
1979-08-13,5.7865562
1979-08-14,6.268765
1979-08-15,6.015677
1979-08-16,5.5944695
