time,dis
1979-01-02,4.8270664
1979-01-03,9.038643
1979-01-04,10.345601
1979-01-05,11.17736
1979-01-06,11.92346
1979-01-07,12.204563
1979-01-08,14.077106
1979-01-09,14.483044
1979-01-10,13.777796
1979-01-11,15.29565
1979-01-12,17.268436
1979-01-13,18.492395
1979-01-14,19.430437
1979-01-15,21.127533
1979-01-16,21.113548
1979-01-17,20.048504
1979-01-18,21.492893
1979-01-19,22.918077
1979-01-20,24.882383
1979-01-21,25.698013
1979-01-22,24.461931
1979-01-23,23.044804
1979-01-24,21.470263
1979-01-25,24.15301
1979-01-26,28.520596
1979-01-27,33.960705
1979-01-28,42.224857
1979-01-29,49.331757
1979-01-30,57.00941
1979-01-31,61.452774
1979-02-01,61.721523
1979-02-02,59.603783
1979-02-03,57.051212
1979-02-04,54.789734
1979-02-05,56.969933
1979-02-06,56.907
1979-02-07,59.191147
1979-02-08,61.97806
1979-02-09,71.70421
1979-02-10,72.960396
1979-02-11,74.85743
1979-02-12,77.485374
1979-02-13,85.347374
1979-02-14,89.198555
1979-02-15,95.856705
1979-02-16,105.73826
1979-02-17,118.09722
1979-02-18,127.80616
1979-02-19,138.52603
1979-02-20,146.70593
1979-02-21,150.80638
1979-02-22,157.58147
1979-02-23,158.89743
1979-02-24,153.15233
1979-02-25,153.13348
1979-02-26,155.1664
1979-02-27,146.80515
1979-02-28,153.96469
1979-03-01,144.487
1979-03-02,132.34543
1979-03-03,126.07533
1979-03-04,117.11287
1979-03-05,108.64325
1979-03-06,98.458084
1979-03-07,87.84402
1979-03-08,79.18177
1979-03-09,72.31702
1979-03-10,67.504
1979-03-11,63.1057
1979-03-12,57.784443
1979-03-13,53.120804
1979-03-14,58.174545
1979-03-15,66.381
1979-03-16,63.705235
1979-03-17,64.13197
1979-03-18,69.44712
1979-03-19,67.77531
1979-03-20,69.68531
1979-03-21,78.25488
1979-03-22,83.02207
1979-03-23,90.81312
1979-03-24,96.96749
1979-03-25,100.11719
1979-03-26,105.64149
1979-03-27,97.74479
1979-03-28,98.06969
1979-03-29,104.132454
1979-03-30,101.16616
1979-03-31,94.34225
1979-04-01,89.9298
1979-04-02,83.774445
1979-04-03,78.8188
1979-04-04,76.46103
1979-04-05,70.408875
1979-04-06,70.92335
1979-04-07,72.54692
1979-04-08,72.56229
1979-04-09,82.9885
1979-04-10,89.867485
1979-04-11,94.83075
1979-04-12,106.47734
1979-04-13,117.44787
1979-04-14,129.78044
1979-04-15,140.89088
1979-04-16,158.1001
1979-04-17,160.49208
1979-04-18,156.14284
1979-04-19,153.4795
1979-04-20,145.78236
1979-04-21,137.90549
1979-04-22,132.0537
1979-04-23,127.72308
1979-04-24,121.61275
1979-04-25,121.76791
1979-04-26,130.06194
1979-04-27,126.899376
1979-04-28,118.82039
1979-04-29,109.50769
1979-04-30,107.08058
1979-05-01,111.25234
1979-05-02,121.67641
1979-05-03,128.92094
1979-05-04,124.50806
1979-05-05,117.84997
1979-05-06,115.46101
1979-05-07,112.25967
1979-05-08,107.37293
1979-05-09,120.03898
1979-05-10,132.04042
1979-05-11,134.50526
1979-05-12,135.70245
1979-05-13,145.87613
1979-05-14,178.65848
1979-05-15,178.31557
1979-05-16,171.1277
1979-05-17,161.59285
1979-05-18,148.80745
1979-05-19,135.17485
1979-05-20,122.96053
1979-05-21,110.42235
1979-05-22,100.07318
1979-05-23,91.011925
1979-05-24,82.16835
1979-05-25,78.19387
1979-05-26,74.330444
1979-05-27,71.04042
1979-05-28,67.49245
1979-05-29,65.317345
1979-05-30,66.36871
1979-05-31,69.84238
1979-06-01,68.58085
1979-06-02,63.455734
1979-06-03,58.80791
1979-06-04,55.30099
1979-06-05,52.56836
1979-06-06,49.58289
1979-06-07,45.906254
1979-06-08,41.926605
1979-06-09,38.274273
1979-06-10,34.833412
1979-06-11,31.782648
1979-06-12,29.244953
1979-06-13,26.880444
1979-06-14,25.24203
1979-06-15,29.956696
1979-06-16,39.16623
1979-06-17,41.94349
1979-06-18,40.48698
1979-06-19,37.11385
1979-06-20,33.594254
1979-06-21,30.386621
1979-06-22,27.490967
1979-06-23,24.874815
1979-06-24,22.58727
1979-06-25,20.517527
1979-06-26,18.675537
1979-06-27,17.267822
1979-06-28,16.327143
1979-06-29,15.845065
1979-06-30,15.363927
1979-07-01,14.847875
1979-07-02,14.2808695
1979-07-03,13.728225
1979-07-04,13.219933
1979-07-05,12.870083
1979-07-06,12.678137
1979-07-07,12.544158
1979-07-08,12.4169235
1979-07-09,12.299965
1979-07-10,12.526036
1979-07-11,12.663221
1979-07-12,12.475539
1979-07-13,12.14033
1979-07-14,11.938753
1979-07-15,11.808871
1979-07-16,11.689041
1979-07-17,11.574493
1979-07-18,11.460342
1979-07-19,11.345809
1979-07-20,11.231641
1979-07-21,11.118692
1979-07-22,11.006795
1979-07-23,10.903038
1979-07-24,10.802543
1979-07-25,10.698365
1979-07-26,10.59394
1979-07-27,10.553508
1979-07-28,10.476417
1979-07-29,10.3750305
1979-07-30,10.275715
1979-07-31,10.17663
1979-08-01,10.07645
1979-08-02,9.975682
1979-08-03,9.875991
1979-08-04,9.777919
1979-08-05,9.680307
1979-08-06,9.585154
1979-08-07,9.492337
1979-08-08,9.398347
1979-08-09,9.305032
1979-08-10,9.213181
1979-08-11,9.122023
1979-08-12,9.031436
1979-08-13,8.942976
1979-08-14,8.855589
1979-08-15,8.767632
1979-08-16,8.681653
1979-08-17,8.5993
1979-08-18,8.521048
1979-08-19,8.447421
1979-08-20,8.371596
1979-08-21,8.2937
1979-08-22,8.22144
