time,dis
1979-01-02,563.73114
1979-01-03,563.4549
1979-01-04,564.7874
1979-01-05,567.3138
1979-01-06,576.1457
1979-01-07,607.29987
1979-01-08,655.6906
1979-01-09,705.71735
1979-01-10,746.0485
1979-01-11,779.67334
1979-01-12,814.6911
1979-01-13,861.4708
1979-01-14,925.015
1979-01-15,994.13885
1979-01-16,1062.2056
1979-01-17,1122.4973
1979-01-18,1173.811
1979-01-19,1211.6486
1979-01-20,1232.4479
1979-01-21,1247.6962
1979-01-22,1252.8219
1979-01-23,1248.5369
1979-01-24,1239.8616
1979-01-25,1228.7441
1979-01-26,1215.8624
1979-01-27,1202.1901
1979-01-28,1188.9194
1979-01-29,1172.0249
1979-01-30,1153.1147
1979-01-31,1135.5203
1979-02-01,1121.4154
1979-02-02,1107.287
1979-02-03,1095.5059
1979-02-04,1088.2172
1979-02-05,1085.7007
1979-02-06,1081.6349
1979-02-07,1072.742
1979-02-08,1061.5061
1979-02-09,1049.0938
1979-02-10,1033.0762
1979-02-11,1015.32275
1979-02-12,998.45105
1979-02-13,982.9516
1979-02-14,968.92755
1979-02-15,958.0422
1979-02-16,951.94824
1979-02-17,948.5438
1979-02-18,945.052
1979-02-19,939.7341
1979-02-20,941.4922
1979-02-21,946.9524
1979-02-22,949.14905
1979-02-23,948.7271
1979-02-24,953.9902
1979-02-25,965.30994
1979-02-26,972.25024
1979-02-27,970.8808
1979-02-28,970.3666
1979-03-01,974.6425
1979-03-02,978.636
1979-03-03,982.1772
1979-03-04,983.6854
1979-03-05,986.8292
1979-03-06,1003.2932
1979-03-07,1040.3136
1979-03-08,1088.8871
1979-03-09,1134.2972
1979-03-10,1174.2137
1979-03-11,1215.936
1979-03-12,1247.702
1979-03-13,1269.2273
1979-03-14,1285.0616
1979-03-15,1297.6473
1979-03-16,1301.3285
1979-03-17,1288.8397
1979-03-18,1271.1666
1979-03-19,1254.8177
1979-03-20,1246.285
1979-03-21,1241.5614
1979-03-22,1231.2493
1979-03-23,1219.3942
1979-03-24,1212.2283
1979-03-25,1213.6442
1979-03-26,1213.1298
1979-03-27,1206.9851
1979-03-28,1204.4767
1979-03-29,1213.357
1979-03-30,1236.8611
1979-03-31,1270.9669
1979-04-01,1311.9436
1979-04-02,1361.2644
1979-04-03,1415.1726
1979-04-04,1469.3322
1979-04-05,1520.9148
1979-04-06,1575.3461
1979-04-07,1629.3833
1979-04-08,1688.0925
1979-04-09,1765.7808
1979-04-10,1853.0017
1979-04-11,1953.4036
1979-04-12,2101.1875
1979-04-13,2293.0625
1979-04-14,2460.2214
1979-04-15,2556.5256
1979-04-16,2585.3257
1979-04-17,2574.5874
1979-04-18,2539.1082
1979-04-19,2488.3909
1979-04-20,2448.283
1979-04-21,2436.4636
1979-04-22,2446.4644
1979-04-23,2462.6262
1979-04-24,2484.6355
1979-04-25,2520.3286
1979-04-26,2557.98
1979-04-27,2606.45
1979-04-28,2672.9744
1979-04-29,2742.379
1979-04-30,2814.3416
1979-05-01,2890.543
1979-05-02,2971.0037
1979-05-03,3065.7178
1979-05-04,3155.5913
1979-05-05,3220.2031
1979-05-06,3290.3933
1979-05-07,3386.6653
1979-05-08,3498.4902
1979-05-09,3606.3323
1979-05-10,3704.539
1979-05-11,3789.3782
1979-05-12,3862.6096
1979-05-13,3939.7979
1979-05-14,4020.4802
1979-05-15,4099.8926
1979-05-16,4166.6855
1979-05-17,4221.802
1979-05-18,4312.2446
1979-05-19,4486.8286
1979-05-20,4726.5566
1979-05-21,4912.804
1979-05-22,4978.236
1979-05-23,4962.084
1979-05-24,4919.0566
1979-05-25,4870.603
1979-05-26,4832.288
1979-05-27,4824.532
1979-05-28,4851.1123
1979-05-29,4925.491
1979-05-30,5030.716
1979-05-31,5161.567
1979-06-01,5265.403
1979-06-02,5307.6885
1979-06-03,5292.931
1979-06-04,5232.4917
1979-06-05,5168.493
1979-06-06,5133.5767
1979-06-07,5099.3774
1979-06-08,5049.327
1979-06-09,5004.212
1979-06-10,4993.6533
1979-06-11,5036.092
1979-06-12,5104.5195
1979-06-13,5168.572
1979-06-14,5225.5713
1979-06-15,5302.5015
1979-06-16,5459.825
1979-06-17,5622.244
1979-06-18,5701.298
1979-06-19,5733.306
1979-06-20,5764.9907
1979-06-21,5804.014
1979-06-22,5874.4067
1979-06-23,5974.1274
1979-06-24,6049.4834
1979-06-25,6100.4
1979-06-26,6197.631
1979-06-27,6334.909
1979-06-28,6475.8877
1979-06-29,6592.781
1979-06-30,6657.9346
1979-07-01,6671.052
1979-07-02,6647.4033
1979-07-03,6609.564
1979-07-04,6539.518
1979-07-05,6424.7266
1979-07-06,6279.5645
1979-07-07,6111.879
1979-07-08,5926.07
1979-07-09,5753.7393
1979-07-10,5605.8447
1979-07-11,5474.9263
1979-07-12,5353.6304
1979-07-13,5241.717
1979-07-14,5197.64
1979-07-15,5204.287
1979-07-16,5203.68
1979-07-17,5207.187
1979-07-18,5244.1816
1979-07-19,5285.2695
1979-07-20,5300.823
1979-07-21,5313.906
1979-07-22,5325.4536
1979-07-23,5331.7007
1979-07-24,5330.5566
1979-07-25,5322.852
1979-07-26,5321.1406
1979-07-27,5350.6763
1979-07-28,5431.699
1979-07-29,5537.961
1979-07-30,5625.546
1979-07-31,5713.039
1979-08-01,5833.6353
1979-08-02,5952.845
1979-08-03,6078.293
1979-08-04,6240.94
1979-08-05,6397.2896
1979-08-06,6446.1494
1979-08-07,6404.3643
1979-08-08,6351.619
1979-08-09,6314.92
1979-08-10,6262.6855
1979-08-11,6182.2544
1979-08-12,6085.7725
1979-08-13,5994.408
1979-08-14,5924.0957
1979-08-15,5878.6133
1979-08-16,5852.216
1979-08-17,5843.1035
1979-08-18,5899.494
1979-08-19,6038.6055
1979-08-20,6300.7617
1979-08-21,6730.21
1979-08-22,7224.9014
1979-08-23,7607.566
1979-08-24,7825.6123
1979-08-25,7939.1807
1979-08-26,7986.3477
1979-08-27,8025.046
1979-08-28,8121.3076
1979-08-29,8296.537
1979-08-30,8433.08
1979-08-31,8524.862
1979-09-01,8570.277
1979-09-02,8511.943
1979-09-03,8342.96
1979-09-04,8130.3784
1979-09-05,8077.4507
1979-09-06,8302.72
1979-09-07,8604.466
1979-09-08,8703.472
1979-09-09,8589.862
1979-09-10,8452.935
1979-09-11,8451.12
1979-09-12,8704.928
1979-09-13,8999.759
1979-09-14,9085.879
1979-09-15,8982.41
1979-09-16,8829.323
1979-09-17,8600.307
1979-09-18,8370.857
1979-09-19,8328.469
1979-09-20,8321.15
1979-09-21,8212.8125
1979-09-22,8014.634
1979-09-23,7799.3423
1979-09-24,7645.053
1979-09-25,7552.415
1979-09-26,7507.3643
1979-09-27,7491.976
1979-09-28,7558.0396
1979-09-29,7672.5337
1979-09-30,7668.697
1979-10-01,7563.397
1979-10-02,7410.4165
1979-10-03,7249.7627
1979-10-04,7280.45
1979-10-05,7483.0464
1979-10-06,7706.946
1979-10-07,7988.268
1979-10-08,8224.459
1979-10-09,8215.374
1979-10-10,8090.734
1979-10-11,8010.0327
1979-10-12,7970.0015
1979-10-13,7925.3623
1979-10-14,7915.7715
1979-10-15,7967.267
1979-10-16,8030.9976
1979-10-17,7941.398
1979-10-18,7651.9966
1979-10-19,7318.725
1979-10-20,7080.429
1979-10-21,6932.7866
1979-10-22,6831.6694
1979-10-23,6784.412
1979-10-24,6751.4385
1979-10-25,6714.4814
1979-10-26,6664.297
1979-10-27,6614.598
1979-10-28,6592.57
1979-10-29,6673.3096
1979-10-30,6824.991
1979-10-31,6944.4062
1979-11-01,6994.1367
1979-11-02,7000.3945
1979-11-03,7001.3545
1979-11-04,7070.629
1979-11-05,7273.583
1979-11-06,7492.3193
1979-11-07,7572.617
1979-11-08,7479.7886
1979-11-09,7331.417
1979-11-10,7351.365
1979-11-11,7457.625
1979-11-12,7518.2363
1979-11-13,7524.968
1979-11-14,7446.6934
1979-11-15,7330.5327
1979-11-16,7248.4756
1979-11-17,7225.039
1979-11-18,7237.3467
1979-11-19,7201.8403
1979-11-20,7045.9785
1979-11-21,6769.047
1979-11-22,6417.475
1979-11-23,6088.8296
1979-11-24,5800.7324
1979-11-25,5610.3267
1979-11-26,5476.109
1979-11-27,5311.158
1979-11-28,5191.4927
1979-11-29,5149.725
1979-11-30,5120.155
1979-12-01,5011.405
1979-12-02,4804.951
1979-12-03,4577.8384
1979-12-04,4361.3066
1979-12-05,4135.6953
1979-12-06,3895.4883
1979-12-07,3657.5688
1979-12-08,3423.692
1979-12-09,3202.8464
1979-12-10,2995.603
1979-12-11,2802.289
1979-12-12,2623.1567
1979-12-13,2457.467
1979-12-14,2306.062
1979-12-15,2171.8538
1979-12-16,2053.4539
1979-12-17,1949.4016
1979-12-18,1859.2086
1979-12-19,1779.3558
1979-12-20,1709.0033
1979-12-21,1647.3748
1979-12-22,1594.694
1979-12-23,1552.6749
1979-12-24,1522.2249
1979-12-25,1499.3702
1979-12-26,1478.1499
1979-12-27,1458.8992
1979-12-28,1447.2565
1979-12-29,1447.5455
1979-12-30,1447.7394
1979-12-31,1444.422
1980-01-01,1442.4423
1980-01-02,1437.3502
1980-01-03,1429.6888
1980-01-04,1421.7328
1980-01-05,1414.9844
1980-01-06,1408.803
1980-01-07,1400.1486
1980-01-08,1389.5269
1980-01-09,1377.2324
1980-01-10,1361.686
1980-01-11,1346.0934
1980-01-12,1333.6295
1980-01-13,1326.4319
1980-01-14,1321.5477
1980-01-15,1313.4749
1980-01-16,1304.3042
1980-01-17,1294.3856
1980-01-18,1284.301
1980-01-19,1277.3011
1980-01-20,1270.7642
1980-01-21,1260.2745
1980-01-22,1248.9048
1980-01-23,1244.69
1980-01-24,1246.2484
1980-01-25,1243.3594
1980-01-26,1233.9335
1980-01-27,1222.8168
1980-01-28,1213.4988
1980-01-29,1204.8197
1980-01-30,1196.2557
1980-01-31,1185.6254
1980-02-01,1174.2454
1980-02-02,1161.9147
1980-02-03,1147.769
1980-02-04,1139.2506
1980-02-05,1134.8698
1980-02-06,1127.7373
1980-02-07,1117.9556
1980-02-08,1106.9656
1980-02-09,1095.3993
1980-02-10,1082.3684
1980-02-11,1069.0347
1980-02-12,1056.4027
1980-02-13,1045.6987
1980-02-14,1038.7428
1980-02-15,1038.6863
1980-02-16,1040.0432
1980-02-17,1037.9183
1980-02-18,1032.8209
1980-02-19,1025.5457
1980-02-20,1018.42334
1980-02-21,1012.4799
1980-02-22,1007.8266
1980-02-23,1002.8772
1980-02-24,996.6339
1980-02-25,988.1543
1980-02-26,983.65686
1980-02-27,982.8698
1980-02-28,984.5991
1980-02-29,982.78076
1980-03-01,983.9426
1980-03-02,985.7482
1980-03-03,983.0527
1980-03-04,975.8354
1980-03-05,967.97296
1980-03-06,963.0999
1980-03-07,958.53143
1980-03-08,952.7657
1980-03-09,947.642
1980-03-10,942.7405
1980-03-11,940.82776
1980-03-12,943.59326
1980-03-13,956.2584
1980-03-14,968.56934
1980-03-15,976.0357
1980-03-16,977.8896
1980-03-17,974.5583
1980-03-18,969.4143
1980-03-19,973.5276
1980-03-20,988.31226
1980-03-21,1002.02
1980-03-22,1007.56866
1980-03-23,1010.8083
1980-03-24,1016.9935
1980-03-25,1026.665
1980-03-26,1041.7689
1980-03-27,1062.2806
1980-03-28,1079.6323
1980-03-29,1109.8251
1980-03-30,1173.7179
1980-03-31,1260.5098
1980-04-01,1351.4208
1980-04-02,1441.5591
1980-04-03,1517.1759
1980-04-04,1561.6002
1980-04-05,1581.53
1980-04-06,1584.6589
1980-04-07,1592.369
1980-04-08,1603.6892
1980-04-09,1607.0674
1980-04-10,1597.8685
1980-04-11,1594.4348
1980-04-12,1602.2572
1980-04-13,1613.458
1980-04-14,1634.7904
1980-04-15,1663.4844
1980-04-16,1693.3755
1980-04-17,1724.8638
1980-04-18,1768.6887
1980-04-19,1825.0892
1980-04-20,1884.6439
1980-04-21,1929.3566
1980-04-22,1949.5919
1980-04-23,1939.4205
1980-04-24,1923.1018
1980-04-25,1927.3517
1980-04-26,1955.4974
1980-04-27,2008.1897
1980-04-28,2083.6602
1980-04-29,2168.2822
1980-04-30,2271.8145
1980-05-01,2410.3442
1980-05-02,2574.381
1980-05-03,2749.219
1980-05-04,2902.462
1980-05-05,2995.438
1980-05-06,3032.169
1980-05-07,3047.0647
1980-05-08,3048.1846
1980-05-09,3042.1292
1980-05-10,3024.9336
1980-05-11,3006.0793
1980-05-12,3006.0208
