time,dis
1979-01-02,9997.708
1979-01-03,10030.635
1979-01-04,9999.271
1979-01-05,9965.855
1979-01-06,10164.41
1979-01-07,10658.58
1979-01-08,11437.003
1979-01-09,12046.75
1979-01-10,12496.78
1979-01-11,13203.098
1979-01-12,14570.349
1979-01-13,16482.754
1979-01-14,18438.025
1979-01-15,20138.527
1979-01-16,21427.898
1979-01-17,22411.021
1979-01-18,23340.53
1979-01-19,24319.121
1979-01-20,25247.518
1979-01-21,26073.926
1979-01-22,26829.348
1979-01-23,27497.008
1979-01-24,28134.13
1979-01-25,29061.982
1979-01-26,30805.191
1979-01-27,33901.543
1979-01-28,38294.6
1979-01-29,42846.004
1979-01-30,46496.633
1979-01-31,49180.523
1979-02-01,51257.93
1979-02-02,52937.117
1979-02-03,54225.535
1979-02-04,55087.38
1979-02-05,55516.19
1979-02-06,55569.53
1979-02-07,55334.395
1979-02-08,54943.72
1979-02-09,54642.844
1979-02-10,54527.164
1979-02-11,54548.062
1979-02-12,54609.688
1979-02-13,54639.56
1979-02-14,54585.496
1979-02-15,54483.195
1979-02-16,54442.188
1979-02-17,54637.023
1979-02-18,55137.742
1979-02-19,55815.645
1979-02-20,56440.08
1979-02-21,56847.395
1979-02-22,56952.004
1979-02-23,56755.914
1979-02-24,56357.844
1979-02-25,55890.258
1979-02-26,55555.98
1979-02-27,55417.6
1979-02-28,55422.402
1979-03-01,55678.383
1979-03-02,56301.02
1979-03-03,57224.562
1979-03-04,58265.12
1979-03-05,59329.883
1979-03-06,60373.438
1979-03-07,61417.633
1979-03-08,62437.53
1979-03-09,63398.35
1979-03-10,64363.055
1979-03-11,65501.387
1979-03-12,66878.945
1979-03-13,68357.07
1979-03-14,69890.8
1979-03-15,71424.71
1979-03-16,72906.875
1979-03-17,74194.01
1979-03-18,75132.27
1979-03-19,75663.016
1979-03-20,75814.305
1979-03-21,75666.914
1979-03-22,75310.93
1979-03-23,74743.234
1979-03-24,74007.5
1979-03-25,73203.49
1979-03-26,72424.48
1979-03-27,71727.81
1979-03-28,71120.85
1979-03-29,70635.41
1979-03-30,70372.94
1979-03-31,70336.39
1979-04-01,70490.58
1979-04-02,70799.914
1979-04-03,71175.16
1979-04-04,71554.86
1979-04-05,71940.836
1979-04-06,72352.13
1979-04-07,72950.9
1979-04-08,73780.74
1979-04-09,74778.305
1979-04-10,75770.46
1979-04-11,76644.34
1979-04-12,77405.07
1979-04-13,78065.945
1979-04-14,78541.48
1979-04-15,78757.46
1979-04-16,78744.36
1979-04-17,78656.09
1979-04-18,78700.4
1979-04-19,78985.336
1979-04-20,79432.875
1979-04-21,79974.0
1979-04-22,80567.7
1979-04-23,81102.22
1979-04-24,81545.6
1979-04-25,81880.055
1979-04-26,82130.05
1979-04-27,82287.414
1979-04-28,82308.23
1979-04-29,82187.96
1979-04-30,81955.79
1979-05-01,81672.33
1979-05-02,81381.24
1979-05-03,81154.56
1979-05-04,81109.234
1979-05-05,81277.805
1979-05-06,81638.25
1979-05-07,82184.16
1979-05-08,82722.22
1979-05-09,83130.3
1979-05-10,83379.24
1979-05-11,83469.6
1979-05-12,83432.47
1979-05-13,83417.8
1979-05-14,83594.41
1979-05-15,84080.77
1979-05-16,84971.08
1979-05-17,86327.6
1979-05-18,87982.61
1979-05-19,89507.65
1979-05-20,90565.625
1979-05-21,91050.8
1979-05-22,91029.72
1979-05-23,90491.63
1979-05-24,89347.305
1979-05-25,87669.7
1979-05-26,85647.0
1979-05-27,83467.55
1979-05-28,81273.08
1979-05-29,79140.97
1979-05-30,77099.98
1979-05-31,75126.03
1979-06-01,73206.92
1979-06-02,71383.47
1979-06-03,69710.31
1979-06-04,68188.125
1979-06-05,66801.516
1979-06-06,65530.168
1979-06-07,64354.844
1979-06-08,63252.758
1979-06-09,62217.895
1979-06-10,61250.47
1979-06-11,60324.34
1979-06-12,59444.94
1979-06-13,58708.723
1979-06-14,58180.18
1979-06-15,57787.473
1979-06-16,57375.17
1979-06-17,56853.04
1979-06-18,56244.973
1979-06-19,55650.562
1979-06-20,55170.992
1979-06-21,54844.645
1979-06-22,54649.863
1979-06-23,54563.066
1979-06-24,54560.348
1979-06-25,54611.19
1979-06-26,54708.28
1979-06-27,54832.895
1979-06-28,54922.574
1979-06-29,54921.39
1979-06-30,54792.773
1979-07-01,54506.613
1979-07-02,54049.766
1979-07-03,53415.977
1979-07-04,52605.87
1979-07-05,51655.387
1979-07-06,50654.996
1979-07-07,49724.246
1979-07-08,48956.96
1979-07-09,48368.613
1979-07-10,47899.97
1979-07-11,47490.96
1979-07-12,47106.062
1979-07-13,46734.727
1979-07-14,46387.574
1979-07-15,46053.383
1979-07-16,45704.91
1979-07-17,45351.25
1979-07-18,45015.844
1979-07-19,44725.227
1979-07-20,44505.312
1979-07-21,44344.598
1979-07-22,44213.12
1979-07-23,44090.914
1979-07-24,43987.824
1979-07-25,43891.23
1979-07-26,43763.203
1979-07-27,43591.434
1979-07-28,43362.863
1979-07-29,43079.305
1979-07-30,42758.02
1979-07-31,42421.406
1979-08-01,42080.82
1979-08-02,41752.473
1979-08-03,41454.258
1979-08-04,41208.383
1979-08-05,41003.312
1979-08-06,40802.723
1979-08-07,40596.812
