time,dis
1979-01-02,60.41277
1979-01-03,85.48901
1979-01-04,89.68497
1979-01-05,95.470535
1979-01-06,102.29722
1979-01-07,109.45733
1979-01-08,112.7599
1979-01-09,113.363716
1979-01-10,119.704414
1979-01-11,133.10349
1979-01-12,143.56342
1979-01-13,149.10907
1979-01-14,155.23639
1979-01-15,166.33836
1979-01-16,177.69188
1979-01-17,180.92625
1979-01-18,180.21707
1979-01-19,177.63681
1979-01-20,174.5133
1979-01-21,171.92172
1979-01-22,170.1271
1979-01-23,169.05486
1979-01-24,171.06522
1979-01-25,176.083
1979-01-26,185.44882
1979-01-27,194.83609
1979-01-28,202.03117
1979-01-29,206.27611
1979-01-30,211.51959
1979-01-31,226.17938
1979-02-01,244.45374
1979-02-02,265.4607
1979-02-03,292.59958
1979-02-04,319.18484
1979-02-05,345.69165
1979-02-06,374.69196
1979-02-07,401.82413
1979-02-08,420.2507
1979-02-09,433.77753
1979-02-10,451.57516
1979-02-11,471.72217
1979-02-12,490.04218
1979-02-13,524.51404
1979-02-14,540.9351
1979-02-15,547.32166
1979-02-16,557.05304
1979-02-17,577.8704
1979-02-18,602.0015
1979-02-19,616.6641
1979-02-20,627.7284
1979-02-21,636.82385
1979-02-22,639.1549
1979-02-23,639.71124
1979-02-24,635.1392
1979-02-25,632.9747
1979-02-26,646.96893
1979-02-27,664.9087
1979-02-28,678.75964
1979-03-01,689.08746
1979-03-02,694.72815
1979-03-03,696.5614
1979-03-04,701.103
1979-03-05,702.0002
1979-03-06,694.105
1979-03-07,682.91016
1979-03-08,673.87067
1979-03-09,670.95386
1979-03-10,672.7426
1979-03-11,670.7558
1979-03-12,656.9247
1979-03-13,642.1677
1979-03-14,634.9817
1979-03-15,634.8884
1979-03-16,641.58813
1979-03-17,648.9944
1979-03-18,659.6587
1979-03-19,671.6748
1979-03-20,683.42926
1979-03-21,693.7798
1979-03-22,702.07825
1979-03-23,705.6301
1979-03-24,704.112
1979-03-25,698.59644
1979-03-26,698.50006
1979-03-27,704.9651
1979-03-28,709.7633
1979-03-29,711.4868
1979-03-30,715.58386
1979-03-31,739.74854
1979-04-01,773.9755
1979-04-02,796.06976
1979-04-03,805.1509
1979-04-04,806.62366
1979-04-05,798.9946
1979-04-06,779.50024
1979-04-07,749.8778
1979-04-08,713.7927
1979-04-09,673.924
1979-04-10,631.09314
1979-04-11,592.6918
1979-04-12,568.7035
1979-04-13,558.3414
1979-04-14,545.44324
1979-04-15,526.5581
1979-04-16,510.47598
1979-04-17,494.62128
1979-04-18,475.54813
1979-04-19,454.71158
1979-04-20,448.95944
1979-04-21,435.25906
1979-04-22,416.33212
1979-04-23,396.1621
1979-04-24,375.0362
1979-04-25,361.3544
1979-04-26,343.60498
1979-04-27,326.5783
1979-04-28,310.85864
