time,dis
1979-01-02,3606.459
1979-01-03,3476.7214
1979-01-04,3240.5913
1979-01-05,2941.9827
1979-01-06,2612.0544
1979-01-07,2297.4697
1979-01-08,2029.1516
1979-01-09,1812.9054
1979-01-10,1642.1454
1979-01-11,1511.2312
1979-01-12,1415.8018
1979-01-13,1348.9401
1979-01-14,1305.5165
1979-01-15,1284.5201
1979-01-16,1278.454
1979-01-17,1281.603
1979-01-18,1289.5902
1979-01-19,1304.4352
1979-01-20,1330.9008
1979-01-21,1375.0819
1979-01-22,1442.5533
1979-01-23,1533.7817
1979-01-24,1621.6324
1979-01-25,1700.3589
1979-01-26,1775.2021
1979-01-27,1847.251
1979-01-28,1911.9263
1979-01-29,1962.4534
1979-01-30,1992.131
1979-01-31,2000.5885
1979-02-01,1993.0842
1979-02-02,1976.0563
1979-02-03,1955.227
1979-02-04,1931.3594
1979-02-05,1905.394
1979-02-06,1876.2821
1979-02-07,1842.4712
1979-02-08,1804.769
1979-02-09,1764.6444
1979-02-10,1726.4161
1979-02-11,1689.7621
1979-02-12,1650.4425
1979-02-13,1618.2008
1979-02-14,1584.2465
1979-02-15,1543.1416
1979-02-16,1499.4075
1979-02-17,1463.5925
1979-02-18,1444.6511
1979-02-19,1440.952
1979-02-20,1448.4902
1979-02-21,1462.7483
1979-02-22,1494.026
1979-02-23,1543.5247
1979-02-24,1603.0142
1979-02-25,1674.0996
1979-02-26,1748.5394
1979-02-27,1815.7819
1979-02-28,1884.416
1979-03-01,1972.2717
1979-03-02,2225.9487
1979-03-03,2824.9692
1979-03-04,3509.1743
1979-03-05,3943.01
1979-03-06,4164.881
1979-03-07,4244.7476
1979-03-08,4303.428
1979-03-09,4390.9272
1979-03-10,4472.675
1979-03-11,4540.5977
1979-03-12,4606.224
1979-03-13,4651.519
1979-03-14,4659.323
1979-03-15,4635.672
1979-03-16,4587.8843
1979-03-17,4517.432
1979-03-18,4424.6177
1979-03-19,4315.024
1979-03-20,4190.9253
1979-03-21,4052.4954
1979-03-22,3901.431
1979-03-23,3748.457
1979-03-24,3602.6296
1979-03-25,3484.344
1979-03-26,3381.4526
1979-03-27,3294.5588
1979-03-28,3267.0278
1979-03-29,3313.5898
1979-03-30,3421.7834
1979-03-31,3577.7183
1979-04-01,3738.8752
1979-04-02,3868.2095
1979-04-03,3967.8694
1979-04-04,4043.257
1979-04-05,4093.7778
1979-04-06,4148.9077
1979-04-07,4217.424
1979-04-08,4312.947
1979-04-09,4426.623
1979-04-10,4535.3286
1979-04-11,4641.24
1979-04-12,4730.9194
1979-04-13,4810.509
1979-04-14,4891.851
1979-04-15,4967.5146
1979-04-16,5029.3916
1979-04-17,5087.176
1979-04-18,5133.8994
1979-04-19,5173.4326
1979-04-20,5191.4297
1979-04-21,5201.6353
1979-04-22,5200.392
1979-04-23,5190.8374
1979-04-24,5193.853
1979-04-25,5206.8857
1979-04-26,5236.9175
1979-04-27,5269.599
1979-04-28,5295.2437
1979-04-29,5300.99
1979-04-30,5317.9614
1979-05-01,5374.7407
1979-05-02,5465.263
1979-05-03,5566.9414
1979-05-04,5653.2964
1979-05-05,5722.001
1979-05-06,5773.025
1979-05-07,5802.7627
1979-05-08,5830.96
1979-05-09,5889.1445
1979-05-10,5959.892
1979-05-11,6040.985
1979-05-12,6159.409
1979-05-13,6286.666
1979-05-14,6418.721
1979-05-15,6536.3857
1979-05-16,6637.2397
1979-05-17,6732.461
1979-05-18,6822.838
1979-05-19,6883.646
1979-05-20,6909.7305
1979-05-21,6916.8477
1979-05-22,6920.1445
1979-05-23,6930.33
1979-05-24,6955.839
1979-05-25,6990.977
1979-05-26,7029.2734
1979-05-27,7096.2617
1979-05-28,7201.618
1979-05-29,7328.8687
1979-05-30,7450.9204
1979-05-31,7539.489
1979-06-01,7581.1606
1979-06-02,7591.677
1979-06-03,7595.0186
1979-06-04,7594.711
1979-06-05,7589.942
1979-06-06,7578.406
1979-06-07,7568.0894
1979-06-08,7555.1167
1979-06-09,7545.5386
1979-06-10,7548.721
1979-06-11,7561.905
1979-06-12,7576.153
1979-06-13,7592.5874
1979-06-14,7624.687
1979-06-15,7679.9062
1979-06-16,7755.616
1979-06-17,7841.4727
1979-06-18,7916.6353
1979-06-19,7976.6187
1979-06-20,8025.986
1979-06-21,8065.957
1979-06-22,8107.1274
1979-06-23,8159.1685
1979-06-24,8211.055
1979-06-25,8248.62
1979-06-26,8265.758
1979-06-27,8264.687
1979-06-28,8253.822
1979-06-29,8238.555
1979-06-30,8218.471
1979-07-01,8186.8794
1979-07-02,8142.3
1979-07-03,8090.8325
1979-07-04,8051.2236
1979-07-05,8030.4634
1979-07-06,8012.1074
1979-07-07,7986.4473
1979-07-08,7961.045
1979-07-09,7945.9194
1979-07-10,7949.6606
1979-07-11,7960.6567
1979-07-12,7973.0967
1979-07-13,7987.328
1979-07-14,8003.9375
1979-07-15,8025.8413
1979-07-16,8048.4897
1979-07-17,8067.3364
1979-07-18,8085.7983
1979-07-19,8094.713
1979-07-20,8097.032
1979-07-21,8103.711
1979-07-22,8131.351
1979-07-23,8189.857
1979-07-24,8269.649
1979-07-25,8339.769
1979-07-26,8385.7295
1979-07-27,8408.085
1979-07-28,8408.64
1979-07-29,8397.576
1979-07-30,8391.769
1979-07-31,8391.359
1979-08-01,8391.068
1979-08-02,8385.955
1979-08-03,8364.09
1979-08-04,8357.857
1979-08-05,8350.838
1979-08-06,8353.678
1979-08-07,8390.925
1979-08-08,8469.719
1979-08-09,8578.319
1979-08-10,8684.0625
1979-08-11,8748.401
1979-08-12,8763.534
1979-08-13,8756.367
1979-08-14,8768.564
1979-08-15,8830.665
1979-08-16,8922.947
1979-08-17,9015.064
1979-08-18,9084.061
1979-08-19,9122.92
1979-08-20,9145.652
1979-08-21,9152.785
1979-08-22,9150.276
1979-08-23,9151.566
1979-08-24,9162.895
1979-08-25,9176.102
1979-08-26,9184.966
1979-08-27,9205.068
1979-08-28,9247.323
1979-08-29,9316.911
1979-08-30,9420.005
1979-08-31,9559.621
1979-09-01,9715.242
1979-09-02,9873.804
1979-09-03,10033.309
1979-09-04,10175.157
1979-09-05,10294.712
1979-09-06,10398.504
1979-09-07,10490.915
1979-09-08,10574.431
1979-09-09,10653.026
1979-09-10,10727.53
1979-09-11,10786.118
1979-09-12,10811.051
1979-09-13,10823.817
1979-09-14,10862.616
1979-09-15,10937.001
1979-09-16,11034.432
1979-09-17,11136.408
1979-09-18,11227.525
1979-09-19,11309.779
1979-09-20,11388.389
1979-09-21,11459.323
1979-09-22,11521.892
1979-09-23,11557.181
1979-09-24,11578.388
1979-09-25,11601.22
1979-09-26,11650.172
1979-09-27,11742.713
1979-09-28,11860.337
1979-09-29,11971.733
1979-09-30,12061.954
1979-10-01,12132.313
1979-10-02,12178.533
1979-10-03,12199.706
1979-10-04,12213.238
1979-10-05,12239.093
1979-10-06,12302.918
1979-10-07,12392.189
1979-10-08,12464.356
1979-10-09,12512.026
1979-10-10,12547.814
1979-10-11,12583.121
1979-10-12,12637.556
1979-10-13,12733.69
1979-10-14,12870.119
1979-10-15,13011.685
1979-10-16,13147.132
1979-10-17,13283.205
1979-10-18,13415.097
1979-10-19,13539.811
1979-10-20,13660.878
1979-10-21,13767.678
1979-10-22,13845.443
1979-10-23,13877.365
1979-10-24,13901.589
1979-10-25,13941.65
1979-10-26,13978.074
1979-10-27,14005.026
1979-10-28,14035.985
1979-10-29,14088.055
1979-10-30,14166.393
1979-10-31,14275.139
1979-11-01,14411.891
1979-11-02,14571.635
1979-11-03,14755.225
1979-11-04,14920.529
1979-11-05,15032.969
1979-11-06,15104.178
1979-11-07,15172.349
1979-11-08,15261.361
1979-11-09,15369.108
1979-11-10,15468.134
1979-11-11,15532.908
1979-11-12,15560.412
1979-11-13,15543.942
1979-11-14,15477.328
1979-11-15,15361.713
1979-11-16,15222.726
1979-11-17,15105.843
1979-11-18,15020.358
1979-11-19,14967.606
1979-11-20,14954.305
1979-11-21,14977.115
1979-11-22,15016.103
1979-11-23,15037.4375
1979-11-24,15017.982
1979-11-25,14942.926
1979-11-26,14808.508
1979-11-27,14629.101
1979-11-28,14436.317
1979-11-29,14246.363
1979-11-30,14054.075
1979-12-01,13841.251
1979-12-02,13608.425
1979-12-03,13365.372
1979-12-04,13112.946
1979-12-05,12846.974
1979-12-06,12568.589
1979-12-07,12277.796
1979-12-08,11972.284
1979-12-09,11650.379
1979-12-10,11314.87
1979-12-11,10971.609
1979-12-12,10629.327
1979-12-13,10293.827
1979-12-14,9969.57
1979-12-15,9660.4375
1979-12-16,9366.58
1979-12-17,9076.651
1979-12-18,8781.128
1979-12-19,8489.653
1979-12-20,8220.15
1979-12-21,7974.697
1979-12-22,7740.0234
1979-12-23,7516.972
1979-12-24,7319.0933
1979-12-25,7142.682
1979-12-26,6954.2314
1979-12-27,6731.941
1979-12-28,6487.018
1979-12-29,6246.2427
1979-12-30,6018.998
1979-12-31,5811.0415
1980-01-01,5618.789
1980-01-02,5428.8857
1980-01-03,5247.2896
1980-01-04,5075.641
1980-01-05,4909.1133
1980-01-06,4741.116
1980-01-07,4572.524
1980-01-08,4416.2866
1980-01-09,4268.152
1980-01-10,4120.5713
1980-01-11,3972.5571
1980-01-12,3834.969
1980-01-13,3700.1387
1980-01-14,3571.386
1980-01-15,3451.6553
1980-01-16,3342.7341
1980-01-17,3242.849
1980-01-18,3150.57
1980-01-19,3066.042
1980-01-20,2990.317
1980-01-21,2922.2163
1980-01-22,2861.701
1980-01-23,2812.221
1980-01-24,2775.9749
1980-01-25,2747.162
1980-01-26,2726.9414
1980-01-27,2704.835
1980-01-28,2686.06
1980-01-29,2665.6763
1980-01-30,2637.9136
1980-01-31,2606.1912
1980-02-01,2573.0647
1980-02-02,2540.5833
1980-02-03,2508.884
1980-02-04,2479.9512
1980-02-05,2453.3594
1980-02-06,2425.8213
1980-02-07,2397.9468
1980-02-08,2369.581
1980-02-09,2342.5098
1980-02-10,2316.7551
1980-02-11,2290.4663
1980-02-12,2265.5166
1980-02-13,2246.4795
1980-02-14,2232.2576
1980-02-15,2218.6575
1980-02-16,2205.2222
1980-02-17,2190.8652
1980-02-18,2174.8762
1980-02-19,2158.0713
1980-02-20,2146.5781
1980-02-21,2149.7544
1980-02-22,2147.9521
1980-02-23,2137.4722
1980-02-24,2122.0266
1980-02-25,2104.3562
1980-02-26,2087.2292
1980-02-27,2074.1082
1980-02-28,2065.4968
1980-02-29,2056.0232
1980-03-01,2042.2268
1980-03-02,2030.786
1980-03-03,2026.1349
1980-03-04,2022.7137
1980-03-05,2018.1187
1980-03-06,2011.5452
1980-03-07,2003.3093
1980-03-08,1995.9504
1980-03-09,1993.8859
1980-03-10,1997.6085
1980-03-11,2006.4203
1980-03-12,2017.6915
1980-03-13,2055.2344
1980-03-14,2091.8176
1980-03-15,2094.3381
1980-03-16,2070.3857
