time,dis
1979-01-02,99.25278
1979-01-03,129.66893
1979-01-04,125.723564
1979-01-05,120.91281
1979-01-06,123.97163
1979-01-07,133.75421
1979-01-08,148.10443
1979-01-09,164.90721
1979-01-10,184.37735
1979-01-11,202.98541
1979-01-12,222.85071
1979-01-13,247.8723
1979-01-14,274.9876
1979-01-15,298.44116
1979-01-16,313.6416
1979-01-17,324.8631
1979-01-18,335.26474
1979-01-19,341.35532
1979-01-20,341.34448
1979-01-21,339.958
1979-01-22,334.53107
1979-01-23,326.04855
1979-01-24,317.78726
1979-01-25,309.53204
1979-01-26,305.95508
1979-01-27,306.95038
1979-01-28,312.7667
1979-01-29,321.38632
1979-01-30,335.94302
1979-01-31,352.7027
1979-02-01,370.02423
1979-02-02,389.17603
1979-02-03,415.1055
1979-02-04,447.49536
1979-02-05,482.32526
1979-02-06,522.8177
1979-02-07,573.097
1979-02-08,618.98987
1979-02-09,681.42053
1979-02-10,703.00684
1979-02-11,729.2114
1979-02-12,751.1618
1979-02-13,767.38605
1979-02-14,781.8808
1979-02-15,793.2734
1979-02-16,796.81805
1979-02-17,808.22314
1979-02-18,823.2941
1979-02-19,838.16516
1979-02-20,855.1355
1979-02-21,871.61206
1979-02-22,883.4139
1979-02-23,887.10504
1979-02-24,887.73944
1979-02-25,896.85077
1979-02-26,904.4339
1979-02-27,910.0606
1979-02-28,929.3655
1979-03-01,951.93835
1979-03-02,966.402
1979-03-03,972.12085
1979-03-04,976.535
1979-03-05,967.5212
1979-03-06,948.788
1979-03-07,919.6181
1979-03-08,889.9255
1979-03-09,862.28656
1979-03-10,825.7191
1979-03-11,797.90283
1979-03-12,780.9816
1979-03-13,770.7729
1979-03-14,759.13525
1979-03-15,750.0217
1979-03-16,750.741
1979-03-17,754.82074
1979-03-18,772.6908
1979-03-19,797.1122
1979-03-20,821.16016
1979-03-21,844.18774
1979-03-22,867.2542
1979-03-23,884.07697
1979-03-24,895.78784
1979-03-25,903.21027
1979-03-26,910.3913
1979-03-27,921.69586
1979-03-28,933.5201
1979-03-29,946.6365
1979-03-30,965.02795
1979-03-31,993.4383
1979-04-01,1028.7438
1979-04-02,1063.3951
1979-04-03,1093.9795
1979-04-04,1109.527
1979-04-05,1103.2874
1979-04-06,1077.6298
1979-04-07,1035.7119
1979-04-08,982.217
1979-04-09,920.38257
1979-04-10,854.08875
1979-04-11,787.6851
1979-04-12,726.3752
1979-04-13,678.3777
1979-04-14,641.6702
1979-04-15,598.70654
1979-04-16,595.5108
1979-04-17,584.96185
1979-04-18,566.77325
1979-04-19,548.65607
1979-04-20,527.11694
1979-04-21,511.75708
1979-04-22,495.32593
1979-04-23,476.6809
1979-04-24,457.901
1979-04-25,437.5957
1979-04-26,418.6267
1979-04-27,400.8368
1979-04-28,381.65002
1979-04-29,361.41037
1979-04-30,341.06107
1979-05-01,321.08
1979-05-02,302.368
1979-05-03,285.2896
1979-05-04,269.7806
1979-05-05,255.84074
1979-05-06,243.6937
1979-05-07,233.31616
1979-05-08,224.23747
1979-05-09,216.29468
1979-05-10,208.99097
1979-05-11,202.35031
1979-05-12,196.45123
1979-05-13,191.24261
1979-05-14,186.69095
1979-05-15,182.7162
1979-05-16,179.18077
1979-05-17,176.00725
1979-05-18,173.1293
1979-05-19,170.58035
1979-05-20,168.3074
1979-05-21,166.27654
1979-05-22,164.43832
1979-05-23,162.76445
1979-05-24,161.2421
1979-05-25,159.88477
1979-05-26,158.51735
1979-05-27,157.23775
1979-05-28,156.04025
1979-05-29,154.85014
1979-05-30,153.75299
1979-05-31,152.73917
1979-06-01,151.80916
1979-06-02,150.95497
1979-06-03,150.07103
1979-06-04,149.13626
1979-06-05,148.27621
1979-06-06,147.48793
1979-06-07,146.77547
1979-06-08,146.12383
1979-06-09,145.55038
1979-06-10,145.01173
1979-06-11,144.47409
1979-06-12,143.92711
1979-06-13,143.36694
1979-06-14,142.7985
1979-06-15,142.1788
1979-06-16,141.52281
1979-06-17,140.86397
1979-06-18,140.21616
1979-06-19,139.6113
1979-06-20,139.06201
1979-06-21,138.54573
1979-06-22,138.0428
1979-06-23,137.55095
1979-06-24,137.01749
1979-06-25,136.49934
1979-06-26,136.0593
1979-06-27,135.61559
1979-06-28,135.10901
1979-06-29,134.58969
1979-06-30,134.06784
1979-07-01,133.51692
1979-07-02,132.96822
1979-07-03,132.42915
1979-07-04,131.88678
1979-07-05,131.31358
1979-07-06,130.71867
1979-07-07,130.15207
1979-07-08,129.6586
1979-07-09,129.21727
1979-07-10,128.77972
1979-07-11,128.2411
1979-07-12,127.710365
1979-07-13,127.258446
1979-07-14,126.817726
1979-07-15,126.32809
1979-07-16,125.80905
1979-07-17,125.27461
1979-07-18,124.66644
1979-07-19,124.073074
1979-07-20,123.50663
1979-07-21,122.927574
1979-07-22,122.41196
1979-07-23,121.85714
1979-07-24,121.20124
1979-07-25,120.572075
1979-07-26,120.00533
1979-07-27,119.46905
1979-07-28,118.843124
1979-07-29,118.246376
1979-07-30,117.67062
1979-07-31,117.07925
1979-08-01,116.466446
1979-08-02,115.88539
1979-08-03,115.33073
1979-08-04,114.78466
1979-08-05,114.212776
1979-08-06,113.64064
1979-08-07,113.08786
1979-08-08,112.55289
1979-08-09,112.00101
1979-08-10,111.45488
1979-08-11,110.910355
1979-08-12,110.3231
1979-08-13,109.775795
1979-08-14,109.287094
1979-08-15,108.76741
1979-08-16,108.18892
1979-08-17,107.63841
1979-08-18,107.12378
1979-08-19,106.597885
1979-08-20,106.06704
1979-08-21,105.53527
1979-08-22,105.0905
1979-08-23,104.70056
1979-08-24,104.34491
1979-08-25,103.88785
1979-08-26,103.29459
1979-08-27,102.667725
1979-08-28,102.01795
1979-08-29,101.45806
1979-08-30,100.84025
1979-08-31,100.18771
1979-09-01,99.69351
1979-09-02,99.39827
1979-09-03,99.04081
1979-09-04,98.58516
1979-09-05,98.02163
1979-09-06,97.24867
1979-09-07,96.4971
1979-09-08,95.95469
1979-09-09,95.47602
1979-09-10,94.85416
1979-09-11,94.14817
1979-09-12,93.52816
1979-09-13,92.9865
1979-09-14,92.49258
1979-09-15,92.093155
1979-09-16,91.67554
1979-09-17,91.10465
1979-09-18,90.77423
1979-09-19,90.48753
1979-09-20,90.212074
1979-09-21,89.77758
1979-09-22,89.127
1979-09-23,88.45876
1979-09-24,87.92157
1979-09-25,87.51267
1979-09-26,87.03084
1979-09-27,86.64225
1979-09-28,86.3894
1979-09-29,86.04892
1979-09-30,85.67098
1979-10-01,85.18757
1979-10-02,84.7318
1979-10-03,84.1753
1979-10-04,83.682915
1979-10-05,83.24848
1979-10-06,82.739624
1979-10-07,82.1772
1979-10-08,81.64598
1979-10-09,81.03264
1979-10-10,80.58767
1979-10-11,80.27456
1979-10-12,80.10025
1979-10-13,80.285965
1979-10-14,81.65863
1979-10-15,83.64954
1979-10-16,84.49346
1979-10-17,85.21463
1979-10-18,85.70168
1979-10-19,85.88475
1979-10-20,86.72181
1979-10-21,89.2857
1979-10-22,92.41666
1979-10-23,93.92911
1979-10-24,94.95951
1979-10-25,96.2903
1979-10-26,98.99158
1979-10-27,102.84333
1979-10-28,106.44777
1979-10-29,109.14121
1979-10-30,109.8614
1979-10-31,110.546425
1979-11-01,111.37745
1979-11-02,111.76578
1979-11-03,111.70332
1979-11-04,113.82424
1979-11-05,118.81541
1979-11-06,123.20339
1979-11-07,126.689
1979-11-08,129.87437
1979-11-09,135.8258
1979-11-10,144.07921
1979-11-11,154.09074
1979-11-12,163.88538
1979-11-13,172.61775
1979-11-14,182.82939
1979-11-15,192.8349
1979-11-16,199.90778
1979-11-17,205.40166
1979-11-18,214.43073
1979-11-19,225.21436
1979-11-20,236.12668
1979-11-21,245.95699
1979-11-22,256.63718
1979-11-23,269.69186
1979-11-24,277.37598
1979-11-25,283.83865
1979-11-26,291.54666
1979-11-27,298.2503
1979-11-28,304.0309
1979-11-29,309.50122
1979-11-30,313.80573
1979-12-01,320.158
1979-12-02,329.60602
1979-12-03,341.4875
1979-12-04,359.42477
1979-12-05,374.3532
1979-12-06,381.19714
1979-12-07,386.87357
1979-12-08,389.48764
1979-12-09,390.81372
1979-12-10,393.7337
1979-12-11,396.76443
1979-12-12,398.68362
1979-12-13,399.63303
1979-12-14,399.87427
1979-12-15,404.1232
1979-12-16,412.49402
1979-12-17,424.3945
1979-12-18,439.3661
1979-12-19,464.6636
1979-12-20,498.37994
1979-12-21,536.4209
1979-12-22,576.5098
1979-12-23,607.623
1979-12-24,636.066
1979-12-25,646.6798
1979-12-26,652.8074
1979-12-27,659.1641
1979-12-28,661.33734
1979-12-29,661.6214
1979-12-30,666.78217
1979-12-31,668.2784
1980-01-01,668.4724
1980-01-02,673.1289
1980-01-03,680.2712
1980-01-04,684.1183
1980-01-05,687.2218
1980-01-06,695.7127
1980-01-07,711.8369
1980-01-08,731.32544
1980-01-09,752.1915
1980-01-10,770.4567
1980-01-11,783.3364
1980-01-12,786.1773
1980-01-13,784.317
1980-01-14,794.60803
1980-01-15,808.43494
1980-01-16,817.0921
1980-01-17,815.45337
1980-01-18,798.0831
1980-01-19,763.66327
1980-01-20,719.4651
1980-01-21,675.05206
1980-01-22,613.41547
1980-01-23,586.2038
1980-01-24,561.8586
1980-01-25,545.0859
1980-01-26,529.0346
1980-01-27,523.0302
1980-01-28,516.58923
1980-01-29,510.731
1980-01-30,511.76984
1980-01-31,520.51794
1980-02-01,526.3843
1980-02-02,537.1128
1980-02-03,544.19806
1980-02-04,551.0528
1980-02-05,557.5117
1980-02-06,574.9194
1980-02-07,591.6219
1980-02-08,636.05615
1980-02-09,670.25604
1980-02-10,701.85657
1980-02-11,731.74567
1980-02-12,752.9811
1980-02-13,760.49133
1980-02-14,758.5056
1980-02-15,754.6842
1980-02-16,735.3776
1980-02-17,708.1547
1980-02-18,677.2505
1980-02-19,645.8344
1980-02-20,593.70386
1980-02-21,580.88055
1980-02-22,549.53516
1980-02-23,521.56616
1980-02-24,500.88412
1980-02-25,479.5299
1980-02-26,463.93524
1980-02-27,459.068
1980-02-28,453.0697
1980-02-29,451.52475
1980-03-01,448.60995
1980-03-02,447.3219
1980-03-03,446.50888
1980-03-04,446.1453
1980-03-05,441.63403
1980-03-06,442.2412
1980-03-07,452.3762
1980-03-08,468.84103
1980-03-09,488.4546
1980-03-10,517.0686
1980-03-11,538.08264
1980-03-12,555.85834
1980-03-13,580.69434
1980-03-14,591.5573
1980-03-15,611.62805
1980-03-16,624.1411
1980-03-17,634.41766
1980-03-18,648.5638
1980-03-19,622.9758
1980-03-20,636.80347
1980-03-21,620.27155
1980-03-22,600.1572
1980-03-23,578.7393
1980-03-24,559.9398
1980-03-25,535.0623
1980-03-26,510.42548
1980-03-27,481.48773
1980-03-28,452.83365
1980-03-29,431.78143
1980-03-30,410.077
1980-03-31,388.24335
1980-04-01,371.0521
1980-04-02,359.91763
1980-04-03,348.3943
