time,dis
1979-01-02,35.87668
1979-01-03,38.889893
1979-01-04,37.83237
1979-01-05,43.398643
1979-01-06,48.664272
1979-01-07,56.27717
1979-01-08,62.517735
1979-01-09,61.76773
1979-01-10,71.580734
1979-01-11,124.193184
1979-01-12,127.43938
1979-01-13,140.45227
1979-01-14,158.87932
1979-01-15,158.79832
1979-01-16,125.746994
1979-01-17,103.873276
1979-01-18,128.65875
1979-01-19,133.93605
1979-01-20,113.98525
1979-01-21,107.28579
1979-01-22,102.23578
1979-01-23,117.44201
1979-01-24,204.84796
1979-01-25,529.8677
1979-01-26,574.7196
1979-01-27,481.70184
1979-01-28,491.04767
1979-01-29,509.18143
1979-01-30,465.8117
1979-01-31,435.227
1979-02-01,407.63812
1979-02-02,358.105
1979-02-03,325.39343
1979-02-04,325.69876
1979-02-05,345.67242
1979-02-06,378.0477
1979-02-07,389.9729
1979-02-08,335.49796
1979-02-09,284.04114
1979-02-10,305.08475
1979-02-11,365.11456
1979-02-12,418.65387
1979-02-13,494.2843
1979-02-14,571.493
1979-02-15,539.7495
1979-02-16,514.24365
1979-02-17,469.3355
1979-02-18,461.98468
1979-02-19,520.4901
1979-02-20,504.23914
1979-02-21,503.53964
1979-02-22,660.0787
1979-02-23,711.13995
1979-02-24,621.2735
1979-02-25,634.3744
1979-02-26,665.3862
1979-02-27,608.41266
1979-02-28,506.3345
1979-03-01,409.6984
1979-03-02,354.9602
1979-03-03,407.15796
1979-03-04,477.1347
1979-03-05,447.10638
1979-03-06,389.7755
1979-03-07,317.23093
1979-03-08,286.41132
1979-03-09,286.4545
1979-03-10,286.53302
1979-03-11,285.55673
1979-03-12,288.366
1979-03-13,300.89227
1979-03-14,376.50687
1979-03-15,436.33032
1979-03-16,426.22787
1979-03-17,388.32874
1979-03-18,380.7417
1979-03-19,488.12958
1979-03-20,706.1579
1979-03-21,749.6666
1979-03-22,680.4933
1979-03-23,713.77716
1979-03-24,704.22296
1979-03-25,649.2024
1979-03-26,603.9824
1979-03-27,612.1055
1979-03-28,640.3171
1979-03-29,705.06433
1979-03-30,693.28467
1979-03-31,715.1596
1979-04-01,706.0554
1979-04-02,624.5082
1979-04-03,751.00354
1979-04-04,735.8579
1979-04-05,662.8006
1979-04-06,666.8924
1979-04-07,669.6465
1979-04-08,928.7548
1979-04-09,1163.0409
1979-04-10,982.13055
1979-04-11,782.3635
1979-04-12,644.2559
1979-04-13,555.1471
1979-04-14,554.58704
1979-04-15,555.9837
1979-04-16,557.20917
1979-04-17,555.6883
1979-04-18,562.61255
1979-04-19,566.41113
1979-04-20,564.94366
1979-04-21,562.1108
1979-04-22,560.33826
1979-04-23,557.61053
1979-04-24,660.3973
1979-04-25,855.2418
1979-04-26,778.3518
1979-04-27,647.74634
1979-04-28,582.32367
1979-04-29,586.1146
1979-04-30,584.29395
1979-05-01,582.23676
1979-05-02,711.1259
1979-05-03,799.6444
1979-05-04,672.37646
1979-05-05,596.3095
1979-05-06,597.6645
1979-05-07,596.6487
1979-05-08,908.0812
1979-05-09,1147.8846
1979-05-10,1331.0087
1979-05-11,1227.7736
1979-05-12,1619.2555
1979-05-13,2015.113
1979-05-14,1634.0806
1979-05-15,1250.6997
1979-05-16,1090.6339
1979-05-17,924.5092
1979-05-18,798.2032
1979-05-19,806.5769
1979-05-20,812.6988
1979-05-21,782.26904
1979-05-22,788.81213
1979-05-23,777.3133
1979-05-24,757.1649
1979-05-25,746.9462
1979-05-26,735.9411
1979-05-27,718.1389
1979-05-28,706.78406
1979-05-29,687.1565
1979-05-30,677.265
1979-05-31,677.73126
1979-06-01,664.4131
1979-06-02,652.937
1979-06-03,641.93335
1979-06-04,630.047
1979-06-05,618.0073
1979-06-06,605.18353
1979-06-07,592.34314
1979-06-08,579.3598
1979-06-09,566.6029
1979-06-10,554.5189
1979-06-11,544.15533
1979-06-12,534.89856
1979-06-13,527.02704
1979-06-14,517.9703
1979-06-15,509.7229
1979-06-16,502.99634
1979-06-17,496.66718
1979-06-18,490.38443
1979-06-19,483.02426
1979-06-20,474.7481
1979-06-21,466.66687
1979-06-22,457.4127
1979-06-23,448.43506
1979-06-24,439.59717
1979-06-25,430.80914
1979-06-26,421.77872
1979-06-27,413.61224
1979-06-28,404.7948
1979-06-29,396.32214
1979-06-30,388.34885
1979-07-01,380.08984
1979-07-02,372.42972
