time,dis
1979-01-02,28.203583
1979-01-03,45.9503
1979-01-04,49.822323
1979-01-05,50.42882
1979-01-06,50.39246
1979-01-07,50.277515
1979-01-08,50.215405
1979-01-09,50.240574
1979-01-10,50.148636
1979-01-11,49.99461
1979-01-12,49.80122
1979-01-13,49.65926
1979-01-14,49.9693
1979-01-15,50.28463
1979-01-16,61.69965
1979-01-17,137.81596
1979-01-18,257.68103
1979-01-19,326.17603
1979-01-20,312.0962
1979-01-21,254.86119
1979-01-22,198.75606
1979-01-23,153.94801
1979-01-24,120.55023
1979-01-25,99.713394
1979-01-26,102.40572
1979-01-27,171.22415
1979-01-28,303.43097
1979-01-29,382.57495
1979-01-30,358.2082
1979-01-31,334.69083
1979-02-01,331.1717
1979-02-02,305.28604
1979-02-03,267.87433
1979-02-04,220.37332
1979-02-05,167.74538
1979-02-06,123.18998
1979-02-07,92.85942
1979-02-08,74.14052
1979-02-09,67.68957
1979-02-10,74.42287
1979-02-11,85.09735
1979-02-12,95.81966
1979-02-13,100.76784
1979-02-14,93.12132
1979-02-15,81.97137
1979-02-16,81.94021
1979-02-17,91.89023
1979-02-18,121.167725
1979-02-19,166.12872
1979-02-20,180.99895
1979-02-21,180.5153
1979-02-22,166.36308
1979-02-23,140.95738
1979-02-24,114.547455
1979-02-25,92.44934
1979-02-26,76.29102
1979-02-27,64.66269
1979-02-28,55.59761
1979-03-01,51.04152
1979-03-02,50.910095
1979-03-03,50.740276
1979-03-04,50.708237
1979-03-05,50.71984
1979-03-06,50.73526
1979-03-07,50.70126
1979-03-08,50.622623
1979-03-09,50.604973
1979-03-10,50.717636
1979-03-11,50.772186
1979-03-12,50.87312
1979-03-13,50.984573
1979-03-14,51.04655
1979-03-15,51.207283
1979-03-16,51.41774
1979-03-17,52.050503
1979-03-18,56.452675
1979-03-19,60.77415
1979-03-20,107.269424
1979-03-21,217.10762
1979-03-22,276.7006
1979-03-23,243.26045
1979-03-24,194.77834
1979-03-25,157.7731
1979-03-26,129.81114
1979-03-27,105.80172
1979-03-28,85.43282
1979-03-29,68.46282
1979-03-30,55.07735
1979-03-31,51.25384
1979-04-01,53.759537
1979-04-02,60.93368
1979-04-03,106.29774
1979-04-04,172.98897
1979-04-05,192.19376
1979-04-06,168.06555
1979-04-07,149.61661
1979-04-08,128.7671
1979-04-09,110.43406
1979-04-10,109.98673
1979-04-11,131.25316
1979-04-12,241.59248
1979-04-13,348.25623
1979-04-14,397.38504
1979-04-15,378.05
1979-04-16,329.6637
1979-04-17,282.0374
1979-04-18,244.29799
1979-04-19,184.2836
1979-04-20,143.68994
1979-04-21,113.73473
1979-04-22,90.1117
1979-04-23,71.37985
1979-04-24,58.3095
1979-04-25,52.794926
1979-04-26,51.23175
1979-04-27,50.793026
1979-04-28,50.555733
1979-04-29,50.41656
1979-04-30,50.503204
1979-05-01,50.58258
1979-05-02,50.53513
1979-05-03,50.43989
1979-05-04,50.53528
1979-05-05,50.652138
1979-05-06,50.881363
1979-05-07,52.286148
