time,dis
1979-01-02,15.064211
1979-01-03,34.508804
1979-01-04,45.893394
1979-01-05,49.40045
1979-01-06,52.282703
1979-01-07,53.354385
1979-01-08,53.534462
1979-01-09,53.5524
1979-01-10,53.552414
1979-01-11,53.715733
1979-01-12,53.84338
1979-01-13,53.572765
1979-01-14,53.653618
1979-01-15,54.19314
1979-01-16,54.342567
1979-01-17,56.9546
1979-01-18,64.38602
1979-01-19,72.800064
1979-01-20,69.585304
1979-01-21,61.898903
1979-01-22,57.184826
1979-01-23,55.50691
1979-01-24,57.227962
1979-01-25,63.849255
1979-01-26,71.0991
1979-01-27,96.90981
1979-01-28,125.23938
1979-01-29,117.55476
1979-01-30,104.60085
1979-01-31,104.651794
1979-02-01,121.180916
1979-02-02,152.48703
1979-02-03,143.65587
1979-02-04,124.52853
1979-02-05,105.62001
1979-02-06,92.22355
1979-02-07,122.17866
1979-02-08,127.02941
1979-02-09,101.65861
1979-02-10,84.41473
1979-02-11,72.015396
1979-02-12,63.44251
1979-02-13,58.491104
1979-02-14,56.667892
1979-02-15,60.336678
1979-02-16,72.2241
1979-02-17,74.13886
1979-02-18,70.947334
1979-02-19,67.212585
1979-02-20,61.16045
1979-02-21,57.70355
1979-02-22,56.39084
1979-02-23,55.91239
1979-02-24,55.752968
1979-02-25,55.68046
1979-02-26,55.537754
1979-02-27,55.403
1979-02-28,55.373062
1979-03-01,55.36325
1979-03-02,55.2757
1979-03-03,55.08025
1979-03-04,54.937355
1979-03-05,54.890083
1979-03-06,54.867287
1979-03-07,54.837555
1979-03-08,54.751266
1979-03-09,54.670025
1979-03-10,54.66255
1979-03-11,54.710323
1979-03-12,54.75599
1979-03-13,54.85196
1979-03-14,54.92982
1979-03-15,55.00475
1979-03-16,55.19282
1979-03-17,55.53839
1979-03-18,60.552822
1979-03-19,78.17662
1979-03-20,86.90762
1979-03-21,79.75583
1979-03-22,69.91415
1979-03-23,60.839798
1979-03-24,57.817917
1979-03-25,56.897858
1979-03-26,55.62872
1979-03-27,55.11074
1979-03-28,54.88482
1979-03-29,54.794968
1979-03-30,54.747852
1979-03-31,54.838345
1979-04-01,55.744724
1979-04-02,65.69455
1979-04-03,74.68427
1979-04-04,67.73181
1979-04-05,59.897522
1979-04-06,63.06698
1979-04-07,83.42572
1979-04-08,100.08032
1979-04-09,108.56167
1979-04-10,113.28041
1979-04-11,113.88272
1979-04-12,114.53422
1979-04-13,136.84052
1979-04-14,181.13814
1979-04-15,229.75037
1979-04-16,264.6997
1979-04-17,280.2013
1979-04-18,266.98764
1979-04-19,211.74852
1979-04-20,165.77513
1979-04-21,132.52719
