time,dis
1979-01-02,13.364511
1979-01-03,14.1238365
1979-01-04,22.329191
1979-01-05,29.682121
1979-01-06,34.59493
1979-01-07,37.37968
1979-01-08,39.103184
1979-01-09,41.429806
1979-01-10,44.0686
1979-01-11,51.198627
1979-01-12,66.51407
1979-01-13,85.16043
1979-01-14,103.23435
1979-01-15,131.93619
1979-01-16,173.99637
1979-01-17,206.16515
1979-01-18,222.39153
1979-01-19,228.37337
1979-01-20,221.95215
1979-01-21,206.81824
1979-01-22,188.01012
1979-01-23,172.18019
1979-01-24,160.87576
1979-01-25,162.25063
1979-01-26,182.7879
1979-01-27,207.37912
1979-01-28,230.05257
1979-01-29,254.34482
1979-01-30,276.82504
1979-01-31,287.981
1979-02-01,288.57977
1979-02-02,277.86688
1979-02-03,259.82477
1979-02-04,239.01816
1979-02-05,219.79341
1979-02-06,202.75311
1979-02-07,188.50154
1979-02-08,181.16765
1979-02-09,183.95184
1979-02-10,185.62961
1979-02-11,183.33052
1979-02-12,183.57848
1979-02-13,189.5598
1979-02-14,200.65103
1979-02-15,218.6689
1979-02-16,237.74776
1979-02-17,256.33826
1979-02-18,270.6301
1979-02-19,272.53952
1979-02-20,272.57895
1979-02-21,278.21542
1979-02-22,283.25308
1979-02-23,279.82657
1979-02-24,264.56363
1979-02-25,261.0578
1979-02-26,258.35602
1979-02-27,240.40184
1979-02-28,223.15515
1979-03-01,212.31943
1979-03-02,198.53867
1979-03-03,181.81984
1979-03-04,164.82886
1979-03-05,149.05257
1979-03-06,134.84343
1979-03-07,122.01666
1979-03-08,110.46712
1979-03-09,100.17483
1979-03-10,90.89113
1979-03-11,82.59456
1979-03-12,75.4495
1979-03-13,69.54343
1979-03-14,65.88888
1979-03-15,68.784584
1979-03-16,78.46553
1979-03-17,88.60242
1979-03-18,102.03317
1979-03-19,119.36898
1979-03-20,129.69185
1979-03-21,130.84634
1979-03-22,128.24435
1979-03-23,122.47435
1979-03-24,119.48078
1979-03-25,125.89742
1979-03-26,135.90158
1979-03-27,144.87817
1979-03-28,153.64413
1979-03-29,159.06392
1979-03-30,160.66228
1979-03-31,161.60826
1979-04-01,170.01863
1979-04-02,180.44159
1979-04-03,187.37846
1979-04-04,192.7214
1979-04-05,199.15709
1979-04-06,198.34628
1979-04-07,186.64723
1979-04-08,172.53209
1979-04-09,173.2506
1979-04-10,195.77576
1979-04-11,224.13737
1979-04-12,254.47964
1979-04-13,281.01678
1979-04-14,301.22293
1979-04-15,310.65936
1979-04-16,294.50146
1979-04-17,273.11688
1979-04-18,256.6951
1979-04-19,236.01979
1979-04-20,213.70247
1979-04-21,192.9493
1979-04-22,174.20644
1979-04-23,157.34271
1979-04-24,142.14624
1979-04-25,129.89754
1979-04-26,123.334465
1979-04-27,122.91411
1979-04-28,120.5452
1979-04-29,115.7306
1979-04-30,108.64721
1979-05-01,100.27121
1979-05-02,94.68569
1979-05-03,98.704254
1979-05-04,113.192894
1979-05-05,135.55179
1979-05-06,155.92442
1979-05-07,175.0735
1979-05-08,200.98758
1979-05-09,226.17021
1979-05-10,246.22202
1979-05-11,264.54855
1979-05-12,282.70413
1979-05-13,310.12564
1979-05-14,349.69727
1979-05-15,377.26068
1979-05-16,384.1687
1979-05-17,366.93948
1979-05-18,336.87296
1979-05-19,307.93692
1979-05-20,281.51797
1979-05-21,265.32022
1979-05-22,264.9729
1979-05-23,263.44266
1979-05-24,267.17896
1979-05-25,282.9057
1979-05-26,305.594
1979-05-27,323.94022
1979-05-28,336.26163
1979-05-29,348.26852
1979-05-30,344.558
1979-05-31,325.59024
1979-06-01,308.2448
1979-06-02,295.7677
1979-06-03,282.02707
1979-06-04,279.73932
1979-06-05,295.75348
1979-06-06,314.79395
1979-06-07,313.62973
1979-06-08,299.91522
1979-06-09,294.60037
1979-06-10,299.20203
1979-06-11,320.05017
1979-06-12,362.05475
1979-06-13,410.4562
1979-06-14,423.30002
1979-06-15,421.2484
1979-06-16,435.17856
1979-06-17,438.95615
1979-06-18,446.85687
1979-06-19,468.5493
1979-06-20,484.08206
1979-06-21,476.46042
1979-06-22,462.73996
1979-06-23,456.86008
1979-06-24,458.9349
1979-06-25,458.80566
1979-06-26,459.75577
1979-06-27,468.54346
1979-06-28,473.7641
1979-06-29,479.2618
1979-06-30,477.3958
1979-07-01,474.0199
1979-07-02,467.2324
1979-07-03,462.02353
1979-07-04,461.6225
1979-07-05,475.42136
1979-07-06,517.83545
1979-07-07,532.71533
1979-07-08,528.9483
1979-07-09,534.0541
1979-07-10,533.5554
1979-07-11,542.0062
1979-07-12,544.901
1979-07-13,544.3103
1979-07-14,552.244
1979-07-15,547.1988
1979-07-16,542.6913
1979-07-17,539.16583
1979-07-18,540.1284
1979-07-19,530.35284
1979-07-20,524.3885
1979-07-21,512.3516
1979-07-22,501.31754
1979-07-23,494.8741
1979-07-24,499.79346
1979-07-25,488.4741
1979-07-26,479.22705
1979-07-27,492.7763
1979-07-28,508.56976
1979-07-29,515.26917
1979-07-30,513.2533
1979-07-31,530.46
1979-08-01,553.6618
1979-08-02,558.34875
1979-08-03,558.7587
1979-08-04,571.98145
1979-08-05,580.3447
1979-08-06,599.59937
1979-08-07,630.9886
1979-08-08,617.9447
1979-08-09,590.4664
1979-08-10,598.6666
1979-08-11,630.59015
1979-08-12,666.71765
1979-08-13,683.44507
1979-08-14,695.0187
1979-08-15,700.8332
1979-08-16,710.46313
1979-08-17,720.87555
1979-08-18,716.6364
1979-08-19,710.4914
1979-08-20,707.5136
1979-08-21,714.0957
1979-08-22,685.70856
1979-08-23,636.1731
1979-08-24,587.4716
1979-08-25,566.3229
1979-08-26,545.92004
1979-08-27,521.45953
1979-08-28,493.1818
1979-08-29,492.06418
1979-08-30,503.9648
1979-08-31,491.42047
1979-09-01,484.87518
1979-09-02,502.80542
1979-09-03,524.9342
1979-09-04,518.6347
1979-09-05,488.05765
1979-09-06,471.08722
1979-09-07,468.3929
1979-09-08,475.83957
1979-09-09,475.17386
1979-09-10,463.6917
1979-09-11,451.9997
1979-09-12,446.53165
1979-09-13,449.01602
1979-09-14,442.95148
1979-09-15,427.27423
1979-09-16,427.19226
1979-09-17,434.9209
1979-09-18,432.7924
1979-09-19,435.8616
1979-09-20,431.79105
1979-09-21,429.9898
1979-09-22,440.2539
1979-09-23,453.83835
1979-09-24,479.47452
1979-09-25,506.96503
1979-09-26,508.49466
1979-09-27,512.1313
1979-09-28,511.78088
1979-09-29,504.5117
1979-09-30,503.785
1979-10-01,493.77222
1979-10-02,494.53162
1979-10-03,503.21875
1979-10-04,498.5768
1979-10-05,494.43652
1979-10-06,478.7222
1979-10-07,446.6723
1979-10-08,408.17834
1979-10-09,376.03088
1979-10-10,350.14816
1979-10-11,329.49744
1979-10-12,320.0689
1979-10-13,326.5362
1979-10-14,332.84998
1979-10-15,321.07404
1979-10-16,301.3255
1979-10-17,284.98425
1979-10-18,282.10117
1979-10-19,284.53867
1979-10-20,282.20816
1979-10-21,280.73215
1979-10-22,286.9194
1979-10-23,299.61514
1979-10-24,313.75854
1979-10-25,319.84985
1979-10-26,329.69968
1979-10-27,343.79953
1979-10-28,349.113
1979-10-29,333.4381
1979-10-30,307.61044
1979-10-31,281.16016
1979-11-01,256.54504
1979-11-02,234.0693
1979-11-03,213.04688
1979-11-04,193.11859
1979-11-05,175.44266
1979-11-06,159.63815
1979-11-07,145.80988
1979-11-08,134.16826
1979-11-09,123.19456
1979-11-10,112.63724
1979-11-11,103.87154
1979-11-12,97.53324
1979-11-13,91.36063
1979-11-14,84.74607
1979-11-15,78.16096
1979-11-16,72.109085
1979-11-17,66.77792
