time,dis
1979-01-02,8.888517
1979-01-03,26.708096
1979-01-04,32.640007
1979-01-05,32.87187
1979-01-06,32.050804
1979-01-07,31.806229
1979-01-08,34.027603
1979-01-09,38.275303
1979-01-10,51.388416
1979-01-11,68.69181
1979-01-12,69.32386
1979-01-13,64.38119
1979-01-14,61.12613
1979-01-15,58.911877
1979-01-16,55.6404
1979-01-17,53.450737
1979-01-18,51.89818
1979-01-19,53.6502
1979-01-20,55.036472
1979-01-21,51.79242
1979-01-22,49.923336
1979-01-23,59.02333
1979-01-24,66.32028
1979-01-25,67.59583
1979-01-26,73.156715
1979-01-27,78.34965
1979-01-28,84.657524
1979-01-29,92.674995
1979-01-30,96.726654
1979-01-31,101.25727
1979-02-01,132.59946
1979-02-02,175.4312
1979-02-03,206.99812
1979-02-04,358.58987
1979-02-05,438.05032
1979-02-06,429.86353
1979-02-07,406.4619
1979-02-08,380.02182
1979-02-09,354.72507
1979-02-10,326.6529
1979-02-11,299.88098
1979-02-12,281.88028
1979-02-13,259.12897
1979-02-14,241.94331
1979-02-15,225.73114
1979-02-16,211.32268
1979-02-17,194.04845
1979-02-18,180.81364
1979-02-19,167.15721
1979-02-20,153.14471
1979-02-21,139.07028
1979-02-22,128.8311
1979-02-23,120.69481
1979-02-24,119.78816
1979-02-25,114.12564
1979-02-26,103.331085
1979-02-27,98.050224
1979-02-28,100.99719
1979-03-01,99.906334
1979-03-02,95.09979
1979-03-03,88.22148
1979-03-04,80.21456
1979-03-05,72.75478
1979-03-06,66.44232
1979-03-07,61.177856
1979-03-08,56.740627
1979-03-09,56.0826
1979-03-10,54.703182
1979-03-11,51.306313
1979-03-12,48.610058
1979-03-13,50.39746
1979-03-14,52.44452
1979-03-15,59.83318
1979-03-16,69.955025
1979-03-17,73.24766
1979-03-18,73.29754
1979-03-19,74.8518
1979-03-20,84.0193
1979-03-21,99.20829
1979-03-22,115.987366
1979-03-23,134.05875
1979-03-24,147.39633
1979-03-25,141.27492
1979-03-26,129.91806
1979-03-27,133.04182
1979-03-28,138.87598
1979-03-29,130.99855
1979-03-30,119.15314
1979-03-31,110.20107
1979-04-01,105.19131
1979-04-02,103.427345
1979-04-03,101.19794
1979-04-04,98.10324
1979-04-05,92.858406
1979-04-06,89.15666
1979-04-07,101.494675
1979-04-08,121.182365
1979-04-09,134.0043
1979-04-10,141.71101
1979-04-11,148.32567
1979-04-12,173.96602
1979-04-13,199.96562
1979-04-14,230.91199
1979-04-15,247.1298
1979-04-16,255.46048
1979-04-17,249.07857
1979-04-18,245.88632
1979-04-19,233.78658
1979-04-20,214.26346
1979-04-21,202.92249
1979-04-22,203.10957
1979-04-23,199.33449
1979-04-24,194.1513
1979-04-25,183.50404
1979-04-26,174.1887
1979-04-27,187.15894
1979-04-28,215.2643
1979-04-29,216.598
1979-04-30,209.73833
1979-05-01,220.5083
1979-05-02,224.05884
1979-05-03,210.66406
1979-05-04,199.1422
1979-05-05,193.45363
1979-05-06,190.94244
1979-05-07,192.9295
1979-05-08,197.45802
1979-05-09,191.22182
1979-05-10,187.50432
1979-05-11,205.96022
1979-05-12,220.49539
1979-05-13,238.25246
1979-05-14,242.38258
1979-05-15,240.17154
1979-05-16,226.15842
1979-05-17,223.06578
1979-05-18,215.26529
1979-05-19,204.8908
1979-05-20,191.72046
1979-05-21,175.3758
1979-05-22,163.56567
1979-05-23,157.83568
1979-05-24,159.88065
1979-05-25,162.93832
1979-05-26,194.0247
1979-05-27,212.14561
1979-05-28,202.93971
1979-05-29,204.36984
1979-05-30,204.2472
1979-05-31,201.36224
1979-06-01,190.54172
1979-06-02,175.89236
1979-06-03,169.25748
1979-06-04,172.53148
1979-06-05,176.87122
1979-06-06,174.8399
1979-06-07,170.69466
1979-06-08,163.66109
1979-06-09,151.49844
1979-06-10,142.03152
1979-06-11,143.56201
1979-06-12,136.21928
1979-06-13,129.26884
1979-06-14,122.680824
1979-06-15,117.69121
1979-06-16,113.55191
1979-06-17,111.61419
1979-06-18,111.99141
1979-06-19,107.83216
1979-06-20,99.38515
1979-06-21,90.66485
1979-06-22,85.22145
1979-06-23,79.76295
1979-06-24,74.15977
1979-06-25,75.756065
1979-06-26,79.204
1979-06-27,77.66045
1979-06-28,73.58363
1979-06-29,71.51491
1979-06-30,76.052826
1979-07-01,82.7049
1979-07-02,81.59806
1979-07-03,78.1403
1979-07-04,73.5085
1979-07-05,71.29656
1979-07-06,71.61584
1979-07-07,72.56735
1979-07-08,71.02939
1979-07-09,69.29321
1979-07-10,72.689545
1979-07-11,77.34792
1979-07-12,75.26492
1979-07-13,70.169395
1979-07-14,65.587845
1979-07-15,61.97321
1979-07-16,60.34865
1979-07-17,61.256058
1979-07-18,62.624348
1979-07-19,63.074413
1979-07-20,59.75087
1979-07-21,55.797012
1979-07-22,55.69137
1979-07-23,56.501606
1979-07-24,53.575367
1979-07-25,50.34882
1979-07-26,48.609898
1979-07-27,47.21869
1979-07-28,51.113163
1979-07-29,59.519176
1979-07-30,60.792862
1979-07-31,58.06869
1979-08-01,58.178795
1979-08-02,56.5233
1979-08-03,53.5862
1979-08-04,52.397472
1979-08-05,52.115765
1979-08-06,51.310863
1979-08-07,51.33022
1979-08-08,54.72994
1979-08-09,60.475815
1979-08-10,62.947563
1979-08-11,60.83632
1979-08-12,57.043385
1979-08-13,56.2529
1979-08-14,57.165974
1979-08-15,55.614807
1979-08-16,55.91228
1979-08-17,59.413864
1979-08-18,69.20703
1979-08-19,76.78006
1979-08-20,79.793495
1979-08-21,80.00143
1979-08-22,83.98374
1979-08-23,88.959274
1979-08-24,85.58976
1979-08-25,79.694115
1979-08-26,73.64499
1979-08-27,68.56457
1979-08-28,64.36982
1979-08-29,60.22858
1979-08-30,57.414806
1979-08-31,54.834423
1979-09-01,52.854088
1979-09-02,50.591805
1979-09-03,50.379078
1979-09-04,53.52166
1979-09-05,61.063915
1979-09-06,63.984898
1979-09-07,64.3322
1979-09-08,64.11461
1979-09-09,62.030758
1979-09-10,60.791267
1979-09-11,66.10594
1979-09-12,74.6673
1979-09-13,81.42936
1979-09-14,83.07415
1979-09-15,83.700294
1979-09-16,83.41071
1979-09-17,78.55185
1979-09-18,71.96043
1979-09-19,65.96833
1979-09-20,61.30589
1979-09-21,58.982243
1979-09-22,59.24826
1979-09-23,59.374817
1979-09-24,58.359703
1979-09-25,56.516838
1979-09-26,54.43411
1979-09-27,52.559563
1979-09-28,51.071262
1979-09-29,52.404186
1979-09-30,54.86527
1979-10-01,55.38212
1979-10-02,56.075115
1979-10-03,53.809822
1979-10-04,50.698063
1979-10-05,51.339706
1979-10-06,59.91347
1979-10-07,65.53681
1979-10-08,69.8114
1979-10-09,79.841255
1979-10-10,81.59012
1979-10-11,76.34955
1979-10-12,69.83202
1979-10-13,63.78629
1979-10-14,58.669792
1979-10-15,54.85444
1979-10-16,55.11027
1979-10-17,59.28702
1979-10-18,65.95253
1979-10-19,68.62501
1979-10-20,74.521866
1979-10-21,79.00771
1979-10-22,79.67512
1979-10-23,78.29451
1979-10-24,78.34811
1979-10-25,77.76823
1979-10-26,79.61088
1979-10-27,85.040825
1979-10-28,106.4625
1979-10-29,116.14718
1979-10-30,119.92466
1979-10-31,121.770035
1979-11-01,118.04302
1979-11-02,109.75255
1979-11-03,102.24698
1979-11-04,97.760826
1979-11-05,105.73573
1979-11-06,126.20985
1979-11-07,140.38924
1979-11-08,150.80608
1979-11-09,174.69408
1979-11-10,239.45346
1979-11-11,258.48807
1979-11-12,262.58328
1979-11-13,284.87186
1979-11-14,282.0379
1979-11-15,275.02087
1979-11-16,264.91266
1979-11-17,262.5316
1979-11-18,247.77103
1979-11-19,227.42236
1979-11-20,212.90138
1979-11-21,204.43245
1979-11-22,195.25465
1979-11-23,195.73209
1979-11-24,187.96217
1979-11-25,231.13179
1979-11-26,276.98486
1979-11-27,266.3204
1979-11-28,238.81555
1979-11-29,212.01196
1979-11-30,189.65448
1979-12-01,169.8769
1979-12-02,152.6086
1979-12-03,149.18988
1979-12-04,147.66306
1979-12-05,144.04022
1979-12-06,139.76907
1979-12-07,129.82492
1979-12-08,118.7374
