time,dis
1979-01-02,9.240388
1979-01-03,19.946712
1979-01-04,24.684597
1979-01-05,25.937946
1979-01-06,26.216915
1979-01-07,26.335981
1979-01-08,26.377705
1979-01-09,26.357798
1979-01-10,26.329393
1979-01-11,26.275019
1979-01-12,26.238033
1979-01-13,26.271412
1979-01-14,26.289055
1979-01-15,26.245605
1979-01-16,26.218271
1979-01-17,26.190954
1979-01-18,26.21708
1979-01-19,26.213923
1979-01-20,26.125666
1979-01-21,26.08042
1979-01-22,26.017775
1979-01-23,25.998348
1979-01-24,25.993326
1979-01-25,26.100084
1979-01-26,27.63575
1979-01-27,31.708118
1979-01-28,36.26747
1979-01-29,39.92523
1979-01-30,143.45381
1979-01-31,573.95337
1979-02-01,522.1167
1979-02-02,413.5989
1979-02-03,347.50125
1979-02-04,319.67673
1979-02-05,306.86044
1979-02-06,371.92606
1979-02-07,416.2204
1979-02-08,390.25095
1979-02-09,345.7522
1979-02-10,307.91888
1979-02-11,275.59915
1979-02-12,251.10765
1979-02-13,231.20409
1979-02-14,214.16893
1979-02-15,198.5639
1979-02-16,183.42917
1979-02-17,168.60475
1979-02-18,154.08824
1979-02-19,141.23111
1979-02-20,129.45908
1979-02-21,118.386734
1979-02-22,139.30444
1979-02-23,167.82924
1979-02-24,171.47273
1979-02-25,158.72816
1979-02-26,142.3317
1979-02-27,130.27893
1979-02-28,120.173134
1979-03-01,109.50467
1979-03-02,99.41261
1979-03-03,90.20001
1979-03-04,81.7894
1979-03-05,74.254234
1979-03-06,67.496185
1979-03-07,61.428307
1979-03-08,56.00278
1979-03-09,51.116436
1979-03-10,46.695503
1979-03-11,42.723175
1979-03-12,39.221848
1979-03-13,36.16874
1979-03-14,33.93425
1979-03-15,33.277008
1979-03-16,33.87625
1979-03-17,35.968456
1979-03-18,38.69645
1979-03-19,40.82567
1979-03-20,658.3746
1979-03-21,521.4125
1979-03-22,360.7741
1979-03-23,283.19394
1979-03-24,236.07523
1979-03-25,200.4098
