time,dis
1979-01-02,3.4750328
1979-01-03,12.538949
1979-01-04,14.816499
1979-01-05,15.035293
1979-01-06,15.054801
1979-01-07,15.11164
1979-01-08,15.452726
1979-01-09,15.167247
1979-01-10,15.003622
1979-01-11,16.224707
1979-01-12,16.726257
1979-01-13,15.68635
1979-01-14,15.024686
1979-01-15,15.005824
1979-01-16,15.111009
1979-01-17,15.017747
1979-01-18,15.644826
1979-01-19,16.82596
1979-01-20,18.723108
1979-01-21,20.757502
1979-01-22,22.865702
1979-01-23,23.68433
1979-01-24,26.25083
1979-01-25,31.628689
1979-01-26,31.832268
1979-01-27,32.182056
1979-01-28,41.12901
1979-01-29,42.125446
1979-01-30,55.50638
1979-01-31,76.78165
1979-02-01,75.14689
1979-02-02,67.058876
1979-02-03,60.54232
1979-02-04,55.35283
1979-02-05,52.255592
1979-02-06,49.929897
1979-02-07,45.759933
1979-02-08,41.444828
1979-02-09,37.304157
1979-02-10,33.300358
1979-02-11,29.635992
1979-02-12,26.581495
1979-02-13,41.20736
1979-02-14,61.56958
1979-02-15,80.63472
1979-02-16,124.92766
1979-02-17,154.27104
1979-02-18,147.90114
1979-02-19,135.30948
1979-02-20,125.988815
1979-02-21,131.38776
1979-02-22,147.28665
1979-02-23,144.64117
1979-02-24,143.96669
1979-02-25,133.47055
1979-02-26,121.01613
1979-02-27,109.741615
1979-02-28,100.78058
1979-03-01,92.069916
1979-03-02,85.20165
1979-03-03,77.94471
1979-03-04,75.05785
1979-03-05,68.150505
1979-03-06,61.540375
1979-03-07,55.947647
1979-03-08,53.825497
1979-03-09,53.012096
1979-03-10,53.96075
1979-03-11,59.632595
1979-03-12,66.13871
1979-03-13,70.821884
1979-03-14,93.427155
1979-03-15,108.61137
1979-03-16,114.9146
1979-03-17,119.9239
1979-03-18,117.872795
1979-03-19,110.00647
1979-03-20,103.72287
1979-03-21,104.94556
1979-03-22,116.17236
1979-03-23,120.56793
1979-03-24,112.94421
1979-03-25,107.24396
1979-03-26,109.17292
1979-03-27,128.11234
1979-03-28,159.03094
1979-03-29,183.28976
1979-03-30,198.47495
1979-03-31,201.05594
1979-04-01,198.80563
1979-04-02,195.41458
1979-04-03,186.0092
1979-04-04,165.63713
1979-04-05,150.60454
1979-04-06,139.50198
1979-04-07,133.84299
1979-04-08,134.74371
1979-04-09,141.61647
1979-04-10,151.34206
1979-04-11,157.85866
1979-04-12,167.42618
1979-04-13,170.46896
1979-04-14,161.0273
1979-04-15,155.06668
1979-04-16,154.63191
1979-04-17,149.18051
1979-04-18,133.79218
1979-04-19,122.43909
1979-04-20,114.13166
1979-04-21,109.854866
1979-04-22,103.37542
1979-04-23,98.124725
1979-04-24,96.27852
1979-04-25,98.04543
1979-04-26,98.62058
1979-04-27,96.715866
1979-04-28,92.179405
1979-04-29,86.72457
1979-04-30,82.3435
1979-05-01,78.8102
1979-05-02,76.16172
1979-05-03,72.66262
1979-05-04,68.68414
1979-05-05,65.29304
1979-05-06,62.775826
1979-05-07,63.1045
1979-05-08,67.10538
1979-05-09,65.13838
1979-05-10,62.689384
1979-05-11,77.26522
1979-05-12,93.11301
1979-05-13,90.09033
1979-05-14,86.486885
1979-05-15,81.82526
1979-05-16,75.25894
1979-05-17,68.46711
1979-05-18,63.666492
1979-05-19,61.78377
1979-05-20,60.2063
1979-05-21,64.02684
1979-05-22,62.708218
1979-05-23,58.515896
1979-05-24,53.509846
1979-05-25,49.19366
1979-05-26,47.077435
1979-05-27,46.743828
1979-05-28,46.723396
1979-05-29,46.713417
1979-05-30,47.019142
1979-05-31,47.145824
1979-06-01,47.248302
1979-06-02,47.63044
1979-06-03,47.467735
1979-06-04,47.072906
1979-06-05,46.838253
1979-06-06,46.738937
1979-06-07,46.71608
1979-06-08,46.746906
1979-06-09,46.719604
1979-06-10,46.75466
1979-06-11,46.753933
1979-06-12,49.56229
1979-06-13,61.572445
1979-06-14,60.69152
1979-06-15,58.474182
1979-06-16,56.094036
1979-06-17,55.495518
1979-06-18,54.640182
1979-06-19,56.466763
1979-06-20,64.50294
1979-06-21,78.10387
1979-06-22,86.89759
1979-06-23,94.28838
1979-06-24,89.898415
1979-06-25,85.25632
1979-06-26,84.69921
1979-06-27,90.98666
1979-06-28,94.66362
1979-06-29,90.986626
1979-06-30,87.85152
1979-07-01,89.24169
1979-07-02,86.014725
1979-07-03,82.13358
1979-07-04,75.88419
1979-07-05,69.30183
1979-07-06,64.342476
1979-07-07,61.581196
1979-07-08,61.683323
1979-07-09,58.995003
1979-07-10,54.89753
1979-07-11,51.661324
1979-07-12,50.223755
1979-07-13,49.186714
1979-07-14,48.93488
1979-07-15,47.54002
1979-07-16,46.62205
1979-07-17,46.651093
1979-07-18,46.64673
1979-07-19,46.61684
1979-07-20,46.609104
1979-07-21,46.42413
1979-07-22,45.88659
1979-07-23,45.320633
1979-07-24,45.157814
1979-07-25,44.954987
1979-07-26,44.817123
1979-07-27,44.299473
1979-07-28,44.036762
1979-07-29,44.36
1979-07-30,44.531532
1979-07-31,44.05068
1979-08-01,43.509037
1979-08-02,43.410393
1979-08-03,43.92124
1979-08-04,42.798584
1979-08-05,42.062508
1979-08-06,41.629383
1979-08-07,41.23841
1979-08-08,40.87642
1979-08-09,40.60445
1979-08-10,40.42621
1979-08-11,40.50483
1979-08-12,40.120087
1979-08-13,39.63735
1979-08-14,39.465557
1979-08-15,39.643906
1979-08-16,39.881424
1979-08-17,39.89248
1979-08-18,40.10999
1979-08-19,40.64237
1979-08-20,40.986797
1979-08-21,40.00416
1979-08-22,38.782608
1979-08-23,37.89664
1979-08-24,37.792294
1979-08-25,38.052563
1979-08-26,37.70225
1979-08-27,37.028557
1979-08-28,36.57151
1979-08-29,36.389534
1979-08-30,36.586594
1979-08-31,36.05243
1979-09-01,35.507782
1979-09-02,35.359917
1979-09-03,35.493954
1979-09-04,35.640293
1979-09-05,35.65442
1979-09-06,35.844624
1979-09-07,35.975254
1979-09-08,36.852863
1979-09-09,38.76488
1979-09-10,40.229317
1979-09-11,42.01265
1979-09-12,44.29607
1979-09-13,46.529922
1979-09-14,46.8388
1979-09-15,48.342934
1979-09-16,49.512886
1979-09-17,48.92363
1979-09-18,48.1383
1979-09-19,47.506195
1979-09-20,47.163708
1979-09-21,47.038975
1979-09-22,46.86222
1979-09-23,46.820583
1979-09-24,46.843964
1979-09-25,46.800507
1979-09-26,46.76744
1979-09-27,46.77389
1979-09-28,46.700844
1979-09-29,46.367348
1979-09-30,44.941467
1979-10-01,42.785793
1979-10-02,43.477047
1979-10-03,46.614384
1979-10-04,45.58553
1979-10-05,43.652035
1979-10-06,42.594303
1979-10-07,43.251213
1979-10-08,42.162933
1979-10-09,40.593216
1979-10-10,39.33392
1979-10-11,38.9225
1979-10-12,40.88477
1979-10-13,45.218784
1979-10-14,45.05231
1979-10-15,44.93145
1979-10-16,47.46076
1979-10-17,50.16575
1979-10-18,50.97851
1979-10-19,50.843052
1979-10-20,56.023434
1979-10-21,71.63647
1979-10-22,202.92323
1979-10-23,236.78934
1979-10-24,248.60905
1979-10-25,230.32771
1979-10-26,206.90169
1979-10-27,189.08423
1979-10-28,173.02286
1979-10-29,155.34982
1979-10-30,155.01648
1979-10-31,174.21915
1979-11-01,183.27
1979-11-02,159.96535
1979-11-03,143.96626
1979-11-04,130.68951
1979-11-05,119.74191
