time,dis
1979-01-02,1.9507424
1979-01-03,4.400881
1979-01-04,5.1397786
1979-01-05,5.2947264
1979-01-06,5.2858343
1979-01-07,5.322185
1979-01-08,6.378706
1979-01-09,9.786963
1979-01-10,10.007256
1979-01-11,9.279157
1979-01-12,8.857489
1979-01-13,8.087287
1979-01-14,7.386785
1979-01-15,7.0343285
1979-01-16,6.7104836
1979-01-17,7.502833
1979-01-18,10.264344
1979-01-19,11.413804
1979-01-20,13.530562
1979-01-21,21.600262
1979-01-22,27.378748
1979-01-23,28.530794
1979-01-24,33.80134
1979-01-25,33.66183
1979-01-26,31.07787
1979-01-27,32.54991
1979-01-28,34.79251
1979-01-29,34.688656
1979-01-30,41.404358
1979-01-31,50.03277
1979-02-01,47.477627
1979-02-02,42.76052
1979-02-03,38.650436
1979-02-04,35.11571
1979-02-05,32.071373
1979-02-06,28.914694
1979-02-07,27.164516
1979-02-08,27.206886
1979-02-09,27.325275
1979-02-10,26.396458
1979-02-11,25.36068
1979-02-12,23.939913
1979-02-13,24.16144
1979-02-14,29.659563
1979-02-15,30.379095
1979-02-16,28.576931
1979-02-17,32.311897
1979-02-18,35.01179
1979-02-19,31.447914
1979-02-20,28.957111
1979-02-21,28.516119
1979-02-22,27.017775
1979-02-23,26.45593
1979-02-24,27.255545
1979-02-25,25.575346
1979-02-26,22.875055
1979-02-27,22.135532
1979-02-28,21.98307
1979-03-01,20.013924
1979-03-02,17.493319
1979-03-03,15.516138
1979-03-04,15.064819
1979-03-05,13.7614
1979-03-06,12.396597
1979-03-07,11.456885
1979-03-08,11.059982
1979-03-09,10.742684
1979-03-10,10.885221
1979-03-11,11.040329
1979-03-12,11.69843
1979-03-13,11.87037
1979-03-14,11.838644
1979-03-15,11.538794
1979-03-16,11.7648115
1979-03-17,12.024575
1979-03-18,11.505371
1979-03-19,10.845618
1979-03-20,10.485729
1979-03-21,12.657981
1979-03-22,14.583576
1979-03-23,14.152195
1979-03-24,13.147771
1979-03-25,13.268163
1979-03-26,14.110552
1979-03-27,15.176574
1979-03-28,16.223192
1979-03-29,16.358418
1979-03-30,15.683723
1979-03-31,14.4450035
1979-04-01,13.358836
1979-04-02,12.590094
1979-04-03,11.842873
1979-04-04,11.195733
1979-04-05,10.612442
1979-04-06,10.157514
1979-04-07,9.854639
1979-04-08,9.714832
1979-04-09,9.781691
1979-04-10,9.969268
1979-04-11,10.23219
1979-04-12,10.208078
1979-04-13,10.317268
1979-04-14,10.011778
1979-04-15,9.761673
1979-04-16,10.18271
1979-04-17,9.869947
1979-04-18,9.442036
1979-04-19,9.205357
1979-04-20,8.99736
1979-04-21,8.820744
1979-04-22,8.662838
1979-04-23,8.535014
1979-04-24,8.48398
1979-04-25,8.591246
1979-04-26,8.805509
1979-04-27,8.905284
1979-04-28,8.682385
1979-04-29,8.469225
1979-04-30,8.27033
1979-05-01,8.10081
1979-05-02,7.931483
1979-05-03,7.8079076
1979-05-04,7.6646953
1979-05-05,7.633338
1979-05-06,7.5846314
1979-05-07,7.469199
1979-05-08,7.3899016
1979-05-09,7.4464173
1979-05-10,7.295828
1979-05-11,7.1930413
1979-05-12,7.1244197
1979-05-13,7.1008453
1979-05-14,7.1635013
1979-05-15,7.437206
1979-05-16,7.559107
1979-05-17,7.563233
1979-05-18,7.6533723
1979-05-19,7.785276
1979-05-20,7.727619
1979-05-21,7.5874095
1979-05-22,7.39964
1979-05-23,7.21911
1979-05-24,7.1158876
1979-05-25,7.0393496
1979-05-26,6.8969736
1979-05-27,6.7556076
1979-05-28,6.608403
1979-05-29,6.483307
1979-05-30,6.4594088
1979-05-31,6.456444
1979-06-01,6.387347
1979-06-02,6.4525394
1979-06-03,6.69304
1979-06-04,6.4461746
1979-06-05,6.23896
1979-06-06,6.1465297
1979-06-07,6.0653896
1979-06-08,6.005924
1979-06-09,6.005481
1979-06-10,6.3964167
1979-06-11,6.216614
1979-06-12,5.954662
1979-06-13,5.82999
1979-06-14,5.782962
1979-06-15,5.682464
1979-06-16,5.6491146
1979-06-17,5.577178
1979-06-18,5.5410323
1979-06-19,5.7171416
1979-06-20,6.3542376
1979-06-21,7.01079
1979-06-22,6.5809703
1979-06-23,6.180118
1979-06-24,5.8805656
1979-06-25,5.7568955
1979-06-26,6.143197
1979-06-27,6.3079677
1979-06-28,5.972092
1979-06-29,5.767385
1979-06-30,5.723824
1979-07-01,5.682511
1979-07-02,5.553414
1979-07-03,5.42121
1979-07-04,5.3224077
1979-07-05,5.247534
1979-07-06,5.2423215
1979-07-07,5.1455865
1979-07-08,5.088093
1979-07-09,5.0554404
1979-07-10,5.002998
1979-07-11,4.864076
1979-07-12,4.713914
1979-07-13,4.619423
1979-07-14,4.5490885
1979-07-15,4.504322
1979-07-16,4.4767313
1979-07-17,4.4945006
1979-07-18,4.4239087
1979-07-19,4.346609
1979-07-20,4.3205247
1979-07-21,4.2459817
1979-07-22,4.190021
1979-07-23,4.1395497
1979-07-24,4.09322
1979-07-25,4.045888
1979-07-26,4.0008974
1979-07-27,3.9596903
1979-07-28,3.9441257
1979-07-29,3.9082706
1979-07-30,3.8518107
1979-07-31,3.867585
1979-08-01,3.8500166
1979-08-02,3.827713
1979-08-03,3.7892385
1979-08-04,3.7562623
1979-08-05,3.7303314
1979-08-06,3.6914427
1979-08-07,3.6507454
1979-08-08,3.6198416
1979-08-09,3.587734
1979-08-10,3.5543504
1979-08-11,3.509889
1979-08-12,3.4642394
1979-08-13,3.4232776
1979-08-14,3.391527
1979-08-15,3.3581784
1979-08-16,3.3698287
1979-08-17,3.330215
1979-08-18,3.2950895
1979-08-19,3.2560954
1979-08-20,3.240604
1979-08-21,3.2408812
1979-08-22,3.2153757
1979-08-23,3.1296241
1979-08-24,3.0457096
1979-08-25,2.9978166
1979-08-26,2.9655914
1979-08-27,2.9500685
1979-08-28,2.852846
1979-08-29,2.8108053
1979-08-30,2.7156503
1979-08-31,2.6594553
1979-09-01,2.6270049
1979-09-02,2.5460277
1979-09-03,2.4665105
1979-09-04,2.436756
1979-09-05,2.4103713
1979-09-06,2.3833861
1979-09-07,2.357094
1979-09-08,2.366214
1979-09-09,2.3567007
1979-09-10,2.320195
1979-09-11,2.7053607
1979-09-12,3.7027826
1979-09-13,5.0610166
1979-09-14,6.436264
1979-09-15,7.9965715
1979-09-16,10.212054
1979-09-17,11.421531
1979-09-18,11.314846
1979-09-19,10.900469
1979-09-20,9.813434
1979-09-21,8.627831
1979-09-22,7.4903183
1979-09-23,6.598468
1979-09-24,5.8546605
1979-09-25,5.2281046
1979-09-26,4.673298
1979-09-27,4.2191257
1979-09-28,4.3962445
1979-09-29,4.1273756
1979-09-30,3.746123
1979-10-01,3.501057
1979-10-02,3.3766901
1979-10-03,3.4431176
1979-10-04,3.1892493
1979-10-05,3.1100216
1979-10-06,3.171929
1979-10-07,3.089192
1979-10-08,2.9618144
1979-10-09,2.9121835
1979-10-10,2.8698714
1979-10-11,3.0883722
1979-10-12,5.490315
1979-10-13,6.705365
1979-10-14,6.178192
1979-10-15,5.6412573
1979-10-16,5.4337792
1979-10-17,7.1013308
1979-10-18,9.005707
1979-10-19,29.122982
1979-10-20,48.610447
1979-10-21,70.3607
1979-10-22,85.22074
1979-10-23,80.02193
1979-10-24,69.08852
1979-10-25,59.48468
1979-10-26,52.838253
1979-10-27,46.403324
1979-10-28,41.16275
1979-10-29,37.909218
1979-10-30,34.096676
1979-10-31,31.577942
1979-11-01,28.42925
1979-11-02,25.404425
1979-11-03,22.509695
1979-11-04,20.015894
1979-11-05,17.84273
1979-11-06,15.919075
1979-11-07,14.259375
1979-11-08,12.758041
1979-11-09,11.460913
1979-11-10,10.345721
1979-11-11,9.377157
1979-11-12,8.453746
1979-11-13,7.6435947
1979-11-14,6.9462805
1979-11-15,6.316506
1979-11-16,5.768835
1979-11-17,5.191886
1979-11-18,4.8773403
1979-11-19,4.70561
1979-11-20,4.377104
1979-11-21,4.1863866
1979-11-22,4.0946355
1979-11-23,4.0478854
1979-11-24,4.0018473
1979-11-25,3.9531398
1979-11-26,3.8890247
1979-11-27,3.8584888
1979-11-28,4.1469097
1979-11-29,4.334476
1979-11-30,4.1073318
1979-12-01,3.9136658
1979-12-02,3.8159328
1979-12-03,3.7476585
1979-12-04,3.6965842
1979-12-05,3.650937
1979-12-06,3.6133187
1979-12-07,3.5870898
1979-12-08,3.545585
1979-12-09,3.5173202
1979-12-10,3.4822834
1979-12-11,3.4342773
1979-12-12,3.390111
1979-12-13,3.3342311
1979-12-14,3.241986
1979-12-15,3.1715002
1979-12-16,3.1269574
1979-12-17,3.0979617
1979-12-18,3.0631242
1979-12-19,3.0301435
1979-12-20,2.9939506
1979-12-21,2.9592395
1979-12-22,3.0304823
1979-12-23,4.804165
1979-12-24,5.073122
1979-12-25,4.4300947
1979-12-26,4.111808
1979-12-27,3.9323764
1979-12-28,3.4969897
1979-12-29,3.287903
1979-12-30,3.3221786
