time,dis
1979-01-02,8.780012
1979-01-03,13.132146
1979-01-04,22.213608
1979-01-05,31.340723
1979-01-06,36.474255
1979-01-07,38.732773
1979-01-08,39.948097
1979-01-09,40.606323
1979-01-10,40.91034
1979-01-11,42.609802
1979-01-12,47.71474
1979-01-13,54.74071
1979-01-14,62.221848
1979-01-15,69.059074
1979-01-16,75.221176
1979-01-17,75.86523
1979-01-18,73.52485
1979-01-19,73.92079
1979-01-20,78.76946
1979-01-21,85.667046
1979-01-22,87.64239
1979-01-23,87.64068
1979-01-24,91.46057
1979-01-25,107.95632
1979-01-26,152.99112
1979-01-27,195.96405
1979-01-28,209.3511
1979-01-29,230.70421
1979-01-30,266.53104
1979-01-31,301.86966
1979-02-01,324.54504
1979-02-02,346.76547
1979-02-03,400.18732
1979-02-04,476.9584
1979-02-05,572.4071
1979-02-06,662.9785
1979-02-07,666.8385
1979-02-08,634.81055
1979-02-09,643.7315
1979-02-10,699.6005
1979-02-11,812.3424
1979-02-12,964.5172
1979-02-13,1138.4215
1979-02-14,1277.1985
1979-02-15,1253.2604
1979-02-16,1183.1344
1979-02-17,1132.0377
1979-02-18,1121.4093
1979-02-19,1170.3003
1979-02-20,1165.1075
1979-02-21,1109.181
1979-02-22,1123.5161
1979-02-23,1206.2057
1979-02-24,1278.2157
1979-02-25,1368.4028
1979-02-26,1363.2361
1979-02-27,1278.5182
1979-02-28,1195.1785
1979-03-01,1114.1592
1979-03-02,1009.4376
1979-03-03,919.2707
1979-03-04,850.97815
1979-03-05,798.2573
1979-03-06,736.64276
1979-03-07,654.5487
1979-03-08,590.989
1979-03-09,532.8248
1979-03-10,487.0475
1979-03-11,445.13974
1979-03-12,408.23837
1979-03-13,413.47565
1979-03-14,473.332
1979-03-15,501.23587
1979-03-16,500.77237
1979-03-17,496.57642
1979-03-18,489.6232
1979-03-19,479.03452
1979-03-20,484.41696
1979-03-21,531.65326
1979-03-22,585.0574
1979-03-23,591.4445
1979-03-24,588.8566
1979-03-25,571.52106
1979-03-26,533.0579
1979-03-27,497.8043
1979-03-28,494.9461
1979-03-29,510.47888
1979-03-30,528.9075
1979-03-31,600.71075
1979-04-01,750.5386
1979-04-02,785.8354
1979-04-03,716.779
1979-04-04,679.40826
1979-04-05,645.21466
1979-04-06,590.2466
1979-04-07,564.54126
