time,dis
1979-01-02,27.451887
1979-01-03,29.494667
1979-01-04,32.796783
1979-01-05,39.757393
1979-01-06,52.348457
1979-01-07,60.39757
1979-01-08,66.84163
1979-01-09,69.61442
1979-01-10,71.96512
1979-01-11,81.16911
1979-01-12,82.9513
1979-01-13,81.8795
1979-01-14,80.472824
1979-01-15,79.64344
1979-01-16,78.92799
1979-01-17,78.165665
1979-01-18,79.68015
1979-01-19,82.616554
1979-01-20,81.28797
1979-01-21,80.14285
1979-01-22,79.5929
1979-01-23,79.113846
1979-01-24,79.85273
1979-01-25,89.07291
1979-01-26,107.54561
1979-01-27,111.67724
1979-01-28,112.34923
1979-01-29,119.901375
1979-01-30,126.940575
1979-01-31,129.46474
1979-02-01,130.69708
1979-02-02,132.61737
1979-02-03,136.27759
1979-02-04,139.71312
1979-02-05,142.22758
1979-02-06,145.04358
1979-02-07,146.98607
1979-02-08,147.39325
1979-02-09,151.7763
1979-02-10,157.5586
1979-02-11,163.29732
1979-02-12,166.55682
1979-02-13,173.87021
1979-02-14,181.60818
1979-02-15,189.25911
1979-02-16,202.53279
1979-02-17,210.46896
1979-02-18,217.89331
1979-02-19,228.00565
1979-02-20,237.98882
1979-02-21,239.70122
1979-02-22,243.50113
1979-02-23,250.77489
1979-02-24,257.78406
1979-02-25,267.87817
1979-02-26,281.8503
1979-02-27,294.40433
1979-02-28,301.2601
1979-03-01,305.87793
1979-03-02,305.54974
1979-03-03,311.3808
1979-03-04,316.73947
1979-03-05,323.69766
1979-03-06,323.73062
1979-03-07,321.4973
1979-03-08,319.09177
1979-03-09,317.49457
1979-03-10,315.88684
1979-03-11,312.96793
1979-03-12,311.7078
1979-03-13,310.66223
1979-03-14,309.35147
1979-03-15,311.8322
1979-03-16,317.45233
1979-03-17,322.57092
1979-03-18,327.23788
1979-03-19,336.65906
1979-03-20,350.10855
1979-03-21,358.80334
1979-03-22,365.87128
1979-03-23,378.91068
1979-03-24,394.41467
1979-03-25,403.09357
1979-03-26,409.0668
1979-03-27,414.07144
1979-03-28,421.67886
1979-03-29,433.29523
1979-03-30,445.65567
1979-03-31,457.75055
1979-04-01,463.6684
1979-04-02,467.83997
1979-04-03,481.8966
1979-04-04,491.6638
1979-04-05,494.84006
1979-04-06,503.67203
1979-04-07,510.0552
1979-04-08,526.3093
1979-04-09,550.0973
1979-04-10,565.97864
1979-04-11,578.4977
1979-04-12,584.8436
1979-04-13,590.6578
1979-04-14,592.87463
1979-04-15,595.2662
1979-04-16,597.47565
1979-04-17,596.67224
1979-04-18,605.0763
1979-04-19,616.1198
1979-04-20,617.16846
1979-04-21,614.4015
1979-04-22,611.61145
1979-04-23,612.92645
1979-04-24,617.77563
1979-04-25,623.1735
1979-04-26,633.40735
1979-04-27,641.07587
1979-04-28,640.32227
1979-04-29,639.3983
1979-04-30,639.8523
1979-05-01,640.6766
1979-05-02,642.4158
1979-05-03,647.55237
1979-05-04,652.06775
1979-05-05,652.2986
1979-05-06,651.2151
1979-05-07,650.5684
1979-05-08,669.5629
1979-05-09,696.9592
1979-05-10,715.1404
1979-05-11,734.24554
1979-05-12,753.2064
1979-05-13,806.50775
1979-05-14,853.65967
1979-05-15,906.544
1979-05-16,877.3829
1979-05-17,925.4704
1979-05-18,901.2915
1979-05-19,872.60645
1979-05-20,900.6062
1979-05-21,839.7131
1979-05-22,864.2972
1979-05-23,826.70074
1979-05-24,809.3754
1979-05-25,798.08704
1979-05-26,781.54144
1979-05-27,761.20605
1979-05-28,743.1059
1979-05-29,722.0672
1979-05-30,708.7394
1979-05-31,713.239
1979-06-01,700.36176
1979-06-02,684.6834
1979-06-03,670.8755
1979-06-04,656.4724
1979-06-05,642.52484
1979-06-06,627.8158
1979-06-07,613.0887
1979-06-08,598.507
1979-06-09,584.0849
1979-06-10,570.41797
1979-06-11,558.5102
1979-06-12,547.90106
1979-06-13,538.56024
1979-06-14,528.97614
1979-06-15,519.90906
1979-06-16,512.96313
1979-06-17,507.70187
1979-06-18,501.3939
1979-06-19,493.30054
1979-06-20,484.22867
1979-06-21,475.54868
1979-06-22,466.35953
1979-06-23,457.23264
1979-06-24,448.36172
1979-06-25,439.5613
1979-06-26,430.53995
1979-06-27,422.16513
1979-06-28,413.54388
1979-06-29,404.86823
1979-06-30,396.80157
1979-07-01,388.58447
1979-07-02,380.7409
1979-07-03,372.56476
1979-07-04,363.2847
1979-07-05,351.26392
1979-07-06,341.94623
1979-07-07,336.94724
1979-07-08,334.2948
1979-07-09,330.1637
1979-07-10,320.6072
1979-07-11,310.65738
1979-07-12,296.01157
1979-07-13,276.14224
1979-07-14,260.99783
1979-07-15,251.94049
1979-07-16,251.80446
1979-07-17,249.55815
1979-07-18,237.83656
1979-07-19,223.0175
1979-07-20,208.39297
1979-07-21,205.37187
1979-07-22,207.78392
1979-07-23,205.1268
1979-07-24,196.00452
1979-07-25,182.76892
1979-07-26,193.4752
1979-07-27,204.79741
1979-07-28,198.7523
1979-07-29,196.89099
1979-07-30,191.0253
1979-07-31,179.84822
1979-08-01,165.09673
1979-08-02,153.01736
1979-08-03,156.84897
1979-08-04,168.26494
1979-08-05,162.97148
1979-08-06,147.2733
1979-08-07,146.45604
1979-08-08,156.36942
1979-08-09,151.4901
1979-08-10,146.79344
1979-08-11,139.84517
1979-08-12,128.59592
1979-08-13,137.89401
1979-08-14,143.69589
1979-08-15,129.3258
1979-08-16,123.54735
1979-08-17,133.161
1979-08-18,133.85013
1979-08-19,142.3811
1979-08-20,149.62004
1979-08-21,143.89159
1979-08-22,142.74283
1979-08-23,146.91794
1979-08-24,152.11127
1979-08-25,151.92055
1979-08-26,148.53165
1979-08-27,137.7042
1979-08-28,119.37752
1979-08-29,103.99291
1979-08-30,95.92136
1979-08-31,83.87367
1979-09-01,75.93619
1979-09-02,75.87327
1979-09-03,71.78017
1979-09-04,78.99151
1979-09-05,90.39852
1979-09-06,95.07346
1979-09-07,94.26526
1979-09-08,96.19998
1979-09-09,96.9796
1979-09-10,90.372734
1979-09-11,82.6645
1979-09-12,81.85825
1979-09-13,78.423515
1979-09-14,84.7902
1979-09-15,86.55939
1979-09-16,86.994446
1979-09-17,95.46662
1979-09-18,95.99638
1979-09-19,94.27967
1979-09-20,90.890625
1979-09-21,81.477196
1979-09-22,71.17792
1979-09-23,60.183174
1979-09-24,51.24624
1979-09-25,46.37068
1979-09-26,45.547466
1979-09-27,45.589436
1979-09-28,52.76064
1979-09-29,59.46726
1979-09-30,52.68515
1979-10-01,42.894016
1979-10-02,41.929543
1979-10-03,41.20498
1979-10-04,40.653908
1979-10-05,40.14547
1979-10-06,51.617504
1979-10-07,62.317406
1979-10-08,69.151695
1979-10-09,75.73026
1979-10-10,83.924576
1979-10-11,88.09996
1979-10-12,89.5935
1979-10-13,89.80886
1979-10-14,90.41723
1979-10-15,91.41939
1979-10-16,93.072395
1979-10-17,96.11806
1979-10-18,101.8379
1979-10-19,108.052704
1979-10-20,112.73541
1979-10-21,115.093956
1979-10-22,116.98822
1979-10-23,118.945465
1979-10-24,122.207054
1979-10-25,126.39745
1979-10-26,132.42583
1979-10-27,141.03285
1979-10-28,147.24352
1979-10-29,151.65804
1979-10-30,161.06776
1979-10-31,170.64307
1979-11-01,177.29886
1979-11-02,185.44295
1979-11-03,191.11435
1979-11-04,203.1511
1979-11-05,217.9443
1979-11-06,227.30347
1979-11-07,235.14381
1979-11-08,248.0025
1979-11-09,267.74896
1979-11-10,275.66806
1979-11-11,276.93622
1979-11-12,286.6077
1979-11-13,298.89536
1979-11-14,306.4657
1979-11-15,311.16663
1979-11-16,315.28403
1979-11-17,322.59662
1979-11-18,337.53668
1979-11-19,346.10507
1979-11-20,346.60202
1979-11-21,353.75165
1979-11-22,366.0331
1979-11-23,380.5787
1979-11-24,395.1661
1979-11-25,405.36856
1979-11-26,413.1971
1979-11-27,422.19797
1979-11-28,430.38855
1979-11-29,435.89352
1979-11-30,439.51736
1979-12-01,442.14975
1979-12-02,443.5471
1979-12-03,444.4447
1979-12-04,446.86298
1979-12-05,449.87552
1979-12-06,452.316
1979-12-07,456.18872
1979-12-08,458.66803
1979-12-09,463.62344
1979-12-10,471.01724
1979-12-11,479.76294
1979-12-12,492.84467
1979-12-13,500.63828
1979-12-14,502.89832
1979-12-15,505.0358
1979-12-16,507.90286
1979-12-17,511.921
1979-12-18,523.5762
1979-12-19,536.1689
1979-12-20,545.39667
1979-12-21,555.107
1979-12-22,564.8104
1979-12-23,573.64545
1979-12-24,578.7901
1979-12-25,581.0712
1979-12-26,583.7172
1979-12-27,584.99976
1979-12-28,596.2873
1979-12-29,605.60345
1979-12-30,608.96313
1979-12-31,614.9135
1980-01-01,620.0809
1980-01-02,626.04144
1980-01-03,631.7509
1980-01-04,635.1589
1980-01-05,633.312
1980-01-06,629.6178
1980-01-07,624.8789
1980-01-08,620.41797
1980-01-09,614.3703
1980-01-10,607.9355
1980-01-11,606.0446
1980-01-12,602.57654
1980-01-13,600.0508
1980-01-14,602.9181
1980-01-15,597.4389
1980-01-16,590.3252
1980-01-17,585.0812
1980-01-18,576.64374
1980-01-19,570.38116
1980-01-20,564.04486
1980-01-21,562.6771
1980-01-22,559.6637
1980-01-23,553.0656
1980-01-24,547.14343
