time,dis
1979-01-02,513.34973
1979-01-03,537.58203
1979-01-04,570.4111
1979-01-05,629.867
1979-01-06,1090.1971
1979-01-07,2476.2214
1979-01-08,3353.6438
1979-01-09,3520.2031
1979-01-10,3524.126
1979-01-11,3488.2932
1979-01-12,3456.2075
1979-01-13,3434.5852
1979-01-14,3423.9893
1979-01-15,3422.5925
1979-01-16,3429.3552
1979-01-17,3447.135
1979-01-18,3480.464
1979-01-19,3536.1555
1979-01-20,3604.2249
1979-01-21,3669.0376
1979-01-22,3728.1519
1979-01-23,3783.9973
1979-01-24,3837.6238
1979-01-25,3908.5615
1979-01-26,4041.926
1979-01-27,4227.362
1979-01-28,4394.1353
1979-01-29,4526.3945
1979-01-30,4641.885
1979-01-31,4745.092
1979-02-01,4846.5923
1979-02-02,4948.074
1979-02-03,5056.531
1979-02-04,5176.6216
1979-02-05,5306.0913
1979-02-06,5434.258
1979-02-07,5553.2725
1979-02-08,5663.131
1979-02-09,5769.301
1979-02-10,5875.794
1979-02-11,5983.525
1979-02-12,6092.136
1979-02-13,6199.99
1979-02-14,6302.5317
1979-02-15,6404.8315
1979-02-16,6519.1157
1979-02-17,6656.4644
1979-02-18,6815.5625
1979-02-19,6989.3394
1979-02-20,7183.304
1979-02-21,7413.235
1979-02-22,7672.865
1979-02-23,8009.121
1979-02-24,8468.687
1979-02-25,8929.229
1979-02-26,9359.624
1979-02-27,10015.25
1979-02-28,10625.413
1979-03-01,10903.682
1979-03-02,10971.06
1979-03-03,10976.221
1979-03-04,10997.118
1979-03-05,11031.967
1979-03-06,11085.192
1979-03-07,11134.355
1979-03-08,11157.688
1979-03-09,11164.317
1979-03-10,11167.702
1979-03-11,11167.503
1979-03-12,11155.491
1979-03-13,11130.776
1979-03-14,11090.48
1979-03-15,11034.036
1979-03-16,10972.063
1979-03-17,10916.38
1979-03-18,10876.634
1979-03-19,10873.577
1979-03-20,10896.44
1979-03-21,10932.944
1979-03-22,11027.709
1979-03-23,11187.481
1979-03-24,11365.143
1979-03-25,11515.965
1979-03-26,11626.755
1979-03-27,11732.597
1979-03-28,11903.194
1979-03-29,12090.059
1979-03-30,12230.516
1979-03-31,12314.88
1979-04-01,12418.272
1979-04-02,12568.272
1979-04-03,12707.799
1979-04-04,12848.449
1979-04-05,12985.7
1979-04-06,13078.952
1979-04-07,13205.177
1979-04-08,13475.396
1979-04-09,13835.39
1979-04-10,14140.066
1979-04-11,14494.202
1979-04-12,14833.679
1979-04-13,14996.679
1979-04-14,15035.058
1979-04-15,15100.329
1979-04-16,15209.461
1979-04-17,15290.532
1979-04-18,15287.313
1979-04-19,15226.719
1979-04-20,15118.446
1979-04-21,14980.713
1979-04-22,14828.907
1979-04-23,14672.406
1979-04-24,14519.802
1979-04-25,14378.031
1979-04-26,14263.2
1979-04-27,14206.228
1979-04-28,14185.59
1979-04-29,14160.781
1979-04-30,14088.537
1979-05-01,14009.887
1979-05-02,14087.755
1979-05-03,14362.415
1979-05-04,14620.932
1979-05-05,14770.277
1979-05-06,14848.857
1979-05-07,14885.739
1979-05-08,15063.65
1979-05-09,15363.613
1979-05-10,15621.773
1979-05-11,15851.441
1979-05-12,16048.212
1979-05-13,16301.663
1979-05-14,16702.535
1979-05-15,17150.416
1979-05-16,17531.938
1979-05-17,17796.84
1979-05-18,17941.838
1979-05-19,18034.61
1979-05-20,18040.04
1979-05-21,18000.473
1979-05-22,17958.324
1979-05-23,17897.883
1979-05-24,17831.676
1979-05-25,17786.217
1979-05-26,17745.549
1979-05-27,17674.541
1979-05-28,17560.824
1979-05-29,17431.115
1979-05-30,17315.395
1979-05-31,17217.66
1979-06-01,17135.734
1979-06-02,17033.246
1979-06-03,16896.396
1979-06-04,16767.127
1979-06-05,16615.938
1979-06-06,16442.012
1979-06-07,16301.118
1979-06-08,16182.818
1979-06-09,16106.202
1979-06-10,16053.68
1979-06-11,16025.73
1979-06-12,16011.284
1979-06-13,15992.357
1979-06-14,15993.646
1979-06-15,16041.618
1979-06-16,16162.146
1979-06-17,16316.316
1979-06-18,16413.326
1979-06-19,16479.428
1979-06-20,16490.791
1979-06-21,16414.049
1979-06-22,16293.341
1979-06-23,16160.031
1979-06-24,16027.866
1979-06-25,15900.229
1979-06-26,15785.787
1979-06-27,15678.397
1979-06-28,15553.125
1979-06-29,15401.082
1979-06-30,15254.296
1979-07-01,15161.686
1979-07-02,15094.909
1979-07-03,14972.039
1979-07-04,14792.787
1979-07-05,14633.32
1979-07-06,14500.737
1979-07-07,14360.606
1979-07-08,14213.743
1979-07-09,14073.6875
1979-07-10,13925.377
1979-07-11,13802.896
1979-07-12,13692.55
1979-07-13,13554.876
1979-07-14,13382.79
1979-07-15,13197.102
1979-07-16,13025.965
1979-07-17,12872.02
1979-07-18,12757.726
1979-07-19,12658.466
1979-07-20,12521.114
1979-07-21,12343.98
1979-07-22,12161.361
1979-07-23,11985.428
1979-07-24,11812.889
1979-07-25,11642.331
1979-07-26,11487.608
1979-07-27,11343.321
1979-07-28,11209.554
1979-07-29,11097.545
1979-07-30,11012.879
1979-07-31,10924.543
1979-08-01,10849.736
1979-08-02,10779.582
1979-08-03,10680.659
1979-08-04,10579.392
1979-08-05,10511.511
1979-08-06,10451.621
1979-08-07,10375.077
1979-08-08,10291.324
1979-08-09,10204.942
1979-08-10,10133.477
1979-08-11,10078.574
1979-08-12,10026.265
1979-08-13,10021.058
1979-08-14,10081.618
1979-08-15,10180.417
1979-08-16,10302.09
1979-08-17,10434.7705
1979-08-18,10507.168
1979-08-19,10538.422
1979-08-20,10580.196
1979-08-21,10566.739
1979-08-22,10483.196
1979-08-23,10425.268
1979-08-24,10368.142
1979-08-25,10294.11
1979-08-26,10203.277
1979-08-27,10099.477
1979-08-28,9994.282
1979-08-29,9910.573
1979-08-30,9856.852
1979-08-31,9805.163
1979-09-01,9746.042
1979-09-02,9688.901
1979-09-03,9639.733
1979-09-04,9592.895
1979-09-05,9546.226
1979-09-06,9500.799
1979-09-07,9437.74
1979-09-08,9368.619
1979-09-09,9311.9795
1979-09-10,9273.48
1979-09-11,9262.71
1979-09-12,9273.102
1979-09-13,9250.415
1979-09-14,9196.563
1979-09-15,9111.223
1979-09-16,9005.565
1979-09-17,8919.59
1979-09-18,8834.69
1979-09-19,8749.408
1979-09-20,8686.769
1979-09-21,8643.857
1979-09-22,8594.114
1979-09-23,8541.993
1979-09-24,8548.264
