time,dis
1979-01-02,208.68585
1979-01-03,236.30145
1979-01-04,238.32968
1979-01-05,238.22461
1979-01-06,236.48453
1979-01-07,233.96594
1979-01-08,231.7738
1979-01-09,230.5021
1979-01-10,230.57831
1979-01-11,231.41002
1979-01-12,233.61719
1979-01-13,237.47977
1979-01-14,242.70657
1979-01-15,248.51352
1979-01-16,250.30669
1979-01-17,250.1926
1979-01-18,249.62672
1979-01-19,249.49123
1979-01-20,249.47226
1979-01-21,249.40282
1979-01-22,429.52032
1979-01-23,700.83606
1979-01-24,717.58563
1979-01-25,729.7128
1979-01-26,766.6843
1979-01-27,834.718
1979-01-28,915.5183
1979-01-29,966.4506
1979-01-30,971.4682
1979-01-31,953.8491
1979-02-01,928.8958
1979-02-02,901.64
1979-02-03,868.76556
1979-02-04,827.8234
1979-02-05,787.3814
1979-02-06,752.67773
1979-02-07,721.08923
1979-02-08,689.80695
1979-02-09,657.9916
1979-02-10,626.8266
1979-02-11,599.69147
1979-02-12,578.3984
1979-02-13,566.33215
1979-02-14,563.59265
1979-02-15,569.1007
1979-02-16,585.3754
1979-02-17,608.9692
1979-02-18,632.57367
1979-02-19,647.4088
1979-02-20,649.90027
1979-02-21,641.9075
1979-02-22,625.2959
1979-02-23,603.77606
1979-02-24,580.20544
1979-02-25,558.91284
1979-02-26,541.24915
1979-02-27,527.73505
1979-02-28,522.29816
1979-03-01,533.64417
1979-03-02,551.1852
1979-03-03,559.63934
1979-03-04,552.87494
1979-03-05,533.8637
1979-03-06,510.46393
1979-03-07,487.00778
1979-03-08,463.2922
1979-03-09,438.47623
1979-03-10,413.89584
1979-03-11,391.61768
1979-03-12,371.89096
1979-03-13,354.31018
1979-03-14,339.18936
1979-03-15,326.91025
1979-03-16,318.49905
1979-03-17,314.7984
1979-03-18,316.10492
1979-03-19,324.76712
1979-03-20,352.76437
1979-03-21,408.03387
1979-03-22,469.44333
1979-03-23,513.4632
1979-03-24,532.11053
1979-03-25,531.3126
1979-03-26,518.7562
1979-03-27,498.8402
1979-03-28,476.1933
1979-03-29,456.6938
1979-03-30,444.64868
1979-03-31,442.84286
1979-04-01,459.82053
1979-04-02,510.94232
1979-04-03,590.0736
1979-04-04,687.0512
1979-04-05,790.45465
1979-04-06,846.8117
1979-04-07,839.68555
1979-04-08,793.40955
1979-04-09,732.6607
1979-04-10,695.1823
1979-04-11,742.4622
1979-04-12,754.7265
1979-04-13,808.1311
1979-04-14,896.1352
1979-04-15,957.2369
1979-04-16,990.3374
1979-04-17,1000.6879
1979-04-18,993.72253
1979-04-19,975.94977
1979-04-20,947.1198
1979-04-21,902.4412
1979-04-22,845.6853
1979-04-23,783.5347
1979-04-24,721.28455
1979-04-25,664.4795
1979-04-26,614.02356
1979-04-27,567.0461
1979-04-28,528.33203
1979-04-29,500.72986
1979-04-30,479.38647
1979-05-01,459.51703
1979-05-02,438.05017
1979-05-03,415.92078
1979-05-04,397.51892
1979-05-05,395.4492
1979-05-06,470.4275
1979-05-07,694.2605
1979-05-08,1078.7435
1979-05-09,1401.6307
1979-05-10,1784.6793
1979-05-11,2551.7034
1979-05-12,3835.6353
1979-05-13,4625.8784
1979-05-14,4655.7666
1979-05-15,4948.2007
1979-05-16,4693.111
1979-05-17,4637.5693
1979-05-18,3978.4905
1979-05-19,3217.0713
1979-05-20,2860.8992
1979-05-21,2552.0334
1979-05-22,2291.9937
1979-05-23,2082.9727
1979-05-24,1919.2657
1979-05-25,1875.5479
1979-05-26,2044.168
1979-05-27,2399.7307
1979-05-28,2754.212
1979-05-29,2874.6045
1979-05-30,2733.9119
1979-05-31,2491.2827
1979-06-01,2268.5989
1979-06-02,2090.8171
1979-06-03,1951.4287
1979-06-04,1834.1383
1979-06-05,1736.4731
1979-06-06,1650.5582
1979-06-07,1571.8855
1979-06-08,1497.3524
1979-06-09,1427.9746
1979-06-10,1368.4951
1979-06-11,1325.4525
1979-06-12,1322.0033
1979-06-13,1432.0479
1979-06-14,1628.3461
1979-06-15,1860.2428
1979-06-16,2205.9998
1979-06-17,2548.879
1979-06-18,2787.5408
1979-06-19,3010.63
1979-06-20,3414.8682
1979-06-21,4043.7185
1979-06-22,4338.2744
1979-06-23,4203.98
1979-06-24,3998.7432
1979-06-25,3857.945
1979-06-26,3799.272
1979-06-27,3825.116
1979-06-28,3788.045
1979-06-29,3657.1387
1979-06-30,3519.0193
1979-07-01,3423.982
1979-07-02,3443.2324
1979-07-03,3784.4014
1979-07-04,4520.756
1979-07-05,5042.975
1979-07-06,6240.5166
1979-07-07,6308.848
1979-07-08,6716.2603
1979-07-09,6445.3867
1979-07-10,6356.7056
1979-07-11,6247.6865
1979-07-12,6185.3
1979-07-13,6234.8423
1979-07-14,6415.738
1979-07-15,6426.8774
1979-07-16,6255.84
1979-07-17,5872.234
1979-07-18,5630.677
1979-07-19,5606.804
1979-07-20,5821.6816
1979-07-21,5987.278
1979-07-22,6262.8154
1979-07-23,6278.825
1979-07-24,6160.536
1979-07-25,6007.05
1979-07-26,5519.8257
1979-07-27,5363.1895
1979-07-28,5283.4478
1979-07-29,5203.6206
1979-07-30,5114.126
1979-07-31,5264.008
1979-08-01,5773.872
1979-08-02,6498.649
1979-08-03,6760.5464
1979-08-04,7001.0835
1979-08-05,7102.3936
1979-08-06,7425.2495
1979-08-07,7982.942
1979-08-08,8246.7
1979-08-09,8234.661
1979-08-10,8463.22
1979-08-11,8863.271
1979-08-12,8918.766
1979-08-13,8588.507
1979-08-14,8183.2446
1979-08-15,8356.9795
1979-08-16,8959.463
1979-08-17,9436.096
1979-08-18,9555.975
1979-08-19,9596.379
1979-08-20,9762.671
1979-08-21,9872.8545
1979-08-22,9799.108
1979-08-23,9492.389
1979-08-24,9058.724
1979-08-25,8631.452
1979-08-26,8326.071
1979-08-27,8189.4673
1979-08-28,8042.9126
1979-08-29,7940.4033
1979-08-30,8214.4375
1979-08-31,8493.297
1979-09-01,8515.017
1979-09-02,8497.945
1979-09-03,8461.273
1979-09-04,8210.544
1979-09-05,7768.787
1979-09-06,7204.0957
1979-09-07,6587.057
1979-09-08,6712.1143
1979-09-09,6603.946
1979-09-10,6546.1265
1979-09-11,6483.242
1979-09-12,6300.5654
1979-09-13,6257.106
1979-09-14,6443.025
1979-09-15,6738.1646
1979-09-16,6642.916
1979-09-17,6766.579
1979-09-18,6500.326
1979-09-19,6351.625
1979-09-20,6343.4355
1979-09-21,6445.0415
1979-09-22,6438.1475
1979-09-23,6266.2495
1979-09-24,5823.362
1979-09-25,5383.475
1979-09-26,5089.9326
1979-09-27,4910.1626
1979-09-28,4750.991
1979-09-29,4721.7754
1979-09-30,4714.59
1979-10-01,4597.2285
1979-10-02,3884.0999
1979-10-03,3703.2773
1979-10-04,3624.3557
1979-10-05,3488.4797
1979-10-06,3264.3052
1979-10-07,3014.2744
1979-10-08,2779.3281
1979-10-09,2569.9268
1979-10-10,2384.5002
1979-10-11,2220.45
1979-10-12,2080.273
1979-10-13,1958.2357
1979-10-14,1859.9203
1979-10-15,1784.6516
1979-10-16,1713.0443
1979-10-17,1629.7343
1979-10-18,1541.6842
1979-10-19,1461.4958
1979-10-20,1401.9723
1979-10-21,1376.8325
1979-10-22,1423.7076
1979-10-23,1662.3596
1979-10-24,2072.152
1979-10-25,2369.891
1979-10-26,2412.909
1979-10-27,2315.1152
1979-10-28,2183.2656
1979-10-29,2054.1338
1979-10-30,1932.1296
1979-10-31,1808.5806
1979-11-01,1682.9044
1979-11-02,1564.1875
1979-11-03,1456.4724
1979-11-04,1359.4115
1979-11-05,1272.6102
1979-11-06,1194.6968
1979-11-07,1124.647
1979-11-08,1062.4474
1979-11-09,1007.4128
1979-11-10,960.0345
1979-11-11,919.6409
1979-11-12,882.46814
1979-11-13,848.20825
1979-11-14,817.9089
1979-11-15,790.1303
1979-11-16,765.06836
1979-11-17,744.49536
1979-11-18,726.93054
1979-11-19,709.8996
1979-11-20,692.91724
1979-11-21,676.0765
1979-11-22,659.72504
1979-11-23,644.64417
1979-11-24,631.2125
1979-11-25,620.0595
1979-11-26,611.3911
1979-11-27,604.5053
1979-11-28,599.01886
1979-11-29,594.7603
1979-11-30,591.03845
1979-12-01,587.04913
1979-12-02,582.7778
1979-12-03,578.25836
1979-12-04,572.8672
1979-12-05,566.06024
1979-12-06,558.3152
1979-12-07,550.1322
1979-12-08,541.7236
1979-12-09,533.9294
1979-12-10,526.9657
1979-12-11,520.0949
1979-12-12,513.3263
1979-12-13,507.34564
1979-12-14,502.1513
1979-12-15,497.72586
1979-12-16,494.3788
1979-12-17,492.60706
1979-12-18,492.47177
1979-12-19,492.18488
1979-12-20,490.36905
1979-12-21,486.63638
1979-12-22,481.8952
1979-12-23,477.01053
1979-12-24,472.806
1979-12-25,471.3847
1979-12-26,474.9067
1979-12-27,484.70883
1979-12-28,499.67963
1979-12-29,514.60956
1979-12-30,525.3989
1979-12-31,528.47107
1980-01-01,523.90656
1980-01-02,514.2302
1980-01-03,502.08173
1980-01-04,490.03384
1980-01-05,479.20355
1980-01-06,469.2809
1980-01-07,459.6441
1980-01-08,449.8324
1980-01-09,440.21558
1980-01-10,430.84055
1980-01-11,421.72595
1980-01-12,413.19934
1980-01-13,405.2077
1980-01-14,397.8436
1980-01-15,390.98346
1980-01-16,384.43692
1980-01-17,378.59943
1980-01-18,374.10986
1980-01-19,370.94476
1980-01-20,368.8357
1980-01-21,367.68906
1980-01-22,367.1376
1980-01-23,366.25308
1980-01-24,364.5543
1980-01-25,361.8226
1980-01-26,359.328
1980-01-27,357.17426
1980-01-28,354.5215
1980-01-29,352.62308
1980-01-30,352.5263
1980-01-31,354.1877
1980-02-01,356.31754
1980-02-02,357.01404
1980-02-03,355.23105
1980-02-04,351.51718
1980-02-05,347.2954
1980-02-06,343.87582
1980-02-07,341.63843
1980-02-08,340.10583
1980-02-09,338.44818
1980-02-10,336.59286
1980-02-11,338.65677
1980-02-12,342.93747
1980-02-13,372.68005
1980-02-14,430.33517
1980-02-15,492.81796
1980-02-16,553.36127
1980-02-17,606.27234
1980-02-18,637.5428
1980-02-19,643.0538
1980-02-20,630.68774
1980-02-21,609.56934
1980-02-22,589.21814
1980-02-23,576.25244
1980-02-24,571.2541
1980-02-25,573.26373
1980-02-26,586.8442
1980-02-27,623.2807
1980-02-28,680.93567
1980-02-29,729.65936
1980-03-01,745.76746
1980-03-02,734.74347
1980-03-03,705.0856
1980-03-04,670.0515
1980-03-05,636.6732
1980-03-06,607.13116
1980-03-07,582.38574
1980-03-08,561.27454
1980-03-09,541.9886
1980-03-10,523.0378
1980-03-11,504.05624
1980-03-12,484.43552
1980-03-13,464.95325
1980-03-14,448.39313
1980-03-15,435.3209
1980-03-16,424.56046
1980-03-17,416.28238
1980-03-18,411.32022
1980-03-19,411.20804
1980-03-20,419.6129
1980-03-21,436.84772
1980-03-22,456.50174
1980-03-23,467.3179
1980-03-24,464.92892
1980-03-25,482.13074
1980-03-26,618.4096
1980-03-27,723.4389
1980-03-28,727.7765
1980-03-29,660.4765
1980-03-30,609.84375
1980-03-31,617.683
1980-04-01,627.78986
1980-04-02,620.9167
1980-04-03,605.8859
1980-04-04,593.7361
1980-04-05,585.58386
1980-04-06,572.5292
1980-04-07,549.1043
1980-04-08,519.5545
1980-04-09,491.8451
1980-04-10,472.26688
1980-04-11,468.8028
1980-04-12,501.8372
1980-04-13,565.53503
1980-04-14,623.4381
1980-04-15,652.75275
1980-04-16,665.52985
1980-04-17,684.7982
1980-04-18,713.98517
1980-04-19,741.02484
1980-04-20,801.43353
1980-04-21,974.6824
1980-04-22,1133.8844
1980-04-23,1298.9082
1980-04-24,1593.1035
1980-04-25,1781.8578
1980-04-26,1755.2653
1980-04-27,1625.8954
1980-04-28,1481.1074
1980-04-29,1324.903
1980-04-30,1174.143
1980-05-01,1050.2506
1980-05-02,965.8717
1980-05-03,922.76337
1980-05-04,898.86694
1980-05-05,903.44354
1980-05-06,950.8145
1980-05-07,987.7868
1980-05-08,983.5269
1980-05-09,968.4127
1980-05-10,1062.552
1980-05-11,1230.6179
1980-05-12,1312.2578
1980-05-13,1317.2058
1980-05-14,1277.2659
1980-05-15,1233.1052
1980-05-16,1321.6775
1980-05-17,1638.4846
1980-05-18,1894.0847
1980-05-19,1874.5542
1980-05-20,1724.7911
1980-05-21,1594.6458
1980-05-22,1500.0673
1980-05-23,1409.7136
1980-05-24,1308.3618
1980-05-25,1193.3705
1980-05-26,1121.4252
1980-05-27,1084.0898
1980-05-28,1033.7657
1980-05-29,1003.4043
1980-05-30,1000.3011
1980-05-31,985.32416
1980-06-01,953.2584
1980-06-02,920.57416
1980-06-03,904.7963
1980-06-04,910.6978
1980-06-05,937.4492
1980-06-06,983.57904
1980-06-07,1037.8723
1980-06-08,1110.7761
1980-06-09,1233.5846
1980-06-10,1384.4996
1980-06-11,1589.146
1980-06-12,1884.1543
1980-06-13,2124.9197
1980-06-14,2197.5837
1980-06-15,2174.1353
1980-06-16,2057.6375
1980-06-17,1915.2089
1980-06-18,1801.923
1980-06-19,1741.5099
1980-06-20,1847.0349
1980-06-21,2348.9116
1980-06-22,3117.8179
1980-06-23,3574.8247
1980-06-24,3970.1033
1980-06-25,4412.3306
1980-06-26,4571.511
1980-06-27,4511.3354
1980-06-28,4389.7993
1980-06-29,4283.201
1980-06-30,4343.2744
1980-07-01,4520.7866
1980-07-02,4645.7603
1980-07-03,4651.85
1980-07-04,5409.2173
1980-07-05,6203.0195
1980-07-06,6416.9585
1980-07-07,6420.898
1980-07-08,6277.2114
1980-07-09,5912.204
1980-07-10,5613.954
1980-07-11,5521.0015
1980-07-12,5664.658
1980-07-13,6292.53
1980-07-14,7233.623
1980-07-15,8129.3384
1980-07-16,8877.324
1980-07-17,9357.901
1980-07-18,9617.792
1980-07-19,9660.264
1980-07-20,9565.884
1980-07-21,9480.858
1980-07-22,9564.064
1980-07-23,9743.657
1980-07-24,9974.0205
1980-07-25,10244.496
1980-07-26,10371.062
1980-07-27,10395.154
1980-07-28,10407.764
1980-07-29,10435.001
1980-07-30,10476.386
1980-07-31,10546.51
1980-08-01,10544.421
1980-08-02,10534.445
1980-08-03,10578.259
1980-08-04,10428.972
1980-08-05,10141.202
1980-08-06,10019.086
1980-08-07,10037.919
1980-08-08,9999.566
1980-08-09,9889.661
1980-08-10,9955.292
1980-08-11,10339.218
1980-08-12,10667.35
1980-08-13,10709.81
1980-08-14,10639.488
1980-08-15,10879.049
1980-08-16,11540.779
1980-08-17,12199.607
1980-08-18,12352.065
1980-08-19,12103.238
1980-08-20,11722.707
1980-08-21,11587.669
1980-08-22,11741.657
1980-08-23,12130.429
1980-08-24,12563.902
1980-08-25,12831.724
1980-08-26,12878.583
1980-08-27,12840.483
1980-08-28,13057.165
1980-08-29,13176.542
1980-08-30,12836.94
1980-08-31,12207.538
1980-09-01,11554.102
1980-09-02,11242.913
1980-09-03,11246.899
1980-09-04,11116.467
1980-09-05,10680.363
1980-09-06,10119.708
1980-09-07,9641.932
1980-09-08,9295.166
1980-09-09,9129.664
1980-09-10,9127.649
1980-09-11,9055.473
1980-09-12,8815.514
1980-09-13,8446.054
1980-09-14,8027.9526
1980-09-15,7556.149
1980-09-16,6949.3647
1980-09-17,6317.5566
1980-09-18,6285.3433
1980-09-19,6265.0127
1980-09-20,5918.9043
1980-09-21,5647.567
1980-09-22,5403.433
1980-09-23,5137.562
1980-09-24,4830.149
1980-09-25,4665.964
1980-09-26,4660.8076
1980-09-27,4422.8926
1980-09-28,3634.5972
1980-09-29,3347.9817
1980-09-30,3154.6235
1980-10-01,3010.4756
1980-10-02,2943.127
1980-10-03,2939.0535
1980-10-04,2877.0815
1980-10-05,2796.9922
1980-10-06,2761.2944
1980-10-07,2709.6543
1980-10-08,2631.3652
1980-10-09,2564.1038
1980-10-10,2538.8914
1980-10-11,2502.5461
1980-10-12,2424.3406
1980-10-13,2330.933
1980-10-14,2244.7483
1980-10-15,2149.8772
1980-10-16,2052.959
1980-10-17,1963.6743
1980-10-18,1865.268
1980-10-19,1752.6051
1980-10-20,1635.6713
1980-10-21,1522.316
1980-10-22,1422.4006
1980-10-23,1337.1671
1980-10-24,1265.2872
1980-10-25,1207.8495
1980-10-26,1159.8568
1980-10-27,1118.302
1980-10-28,1081.1077
1980-10-29,1043.4858
1980-10-30,1002.4766
1980-10-31,958.777
1980-11-01,915.49786
1980-11-02,874.51074
1980-11-03,835.1154
1980-11-04,796.7563
1980-11-05,760.35864
1980-11-06,727.793
1980-11-07,699.0651
1980-11-08,672.872
1980-11-09,648.8615
1980-11-10,625.61835
1980-11-11,604.5624
1980-11-12,587.0811
1980-11-13,571.57855
1980-11-14,557.59015
1980-11-15,544.6202
1980-11-16,533.01996
1980-11-17,523.2773
1980-11-18,515.2319
1980-11-19,508.9978
1980-11-20,503.78366
1980-11-21,499.0814
1980-11-22,495.62497
1980-11-23,494.06387
1980-11-24,495.04477
1980-11-25,499.26816
1980-11-26,507.79895
1980-11-27,519.94
1980-11-28,533.5538
1980-11-29,544.20386
1980-11-30,549.26135
1980-12-01,547.26843
1980-12-02,539.941
1980-12-03,530.54846
1980-12-04,521.1683
1980-12-05,511.93253
1980-12-06,502.06274
1980-12-07,491.4486
1980-12-08,480.31323
1980-12-09,468.79333
1980-12-10,457.46173
1980-12-11,447.3255
1980-12-12,438.8396
1980-12-13,431.8838
1980-12-14,426.7478
1980-12-15,423.00406
1980-12-16,419.26376
1980-12-17,414.56686
1980-12-18,409.01657
1980-12-19,403.35776
1980-12-20,398.1843
1980-12-21,393.5642
1980-12-22,389.24493
1980-12-23,385.0018
1980-12-24,380.7419
1980-12-25,376.6388
1980-12-26,372.90378
1980-12-27,369.9649
1980-12-28,367.90976
1980-12-29,365.30783
1980-12-30,361.98703
1980-12-31,357.92084
1981-01-01,352.68707
1981-01-02,347.1974
1981-01-03,341.61478
1981-01-04,335.60498
1981-01-05,329.04276
1981-01-06,322.9919
1981-01-07,317.9832
1981-01-08,313.27655
1981-01-09,309.0593
1981-01-10,305.7337
1981-01-11,303.53317
1981-01-12,302.59622
1981-01-13,302.82086
1981-01-14,304.963
1981-01-15,307.734
1981-01-16,309.43314
1981-01-17,309.2832
1981-01-18,306.66656
1981-01-19,301.55423
1981-01-20,295.5128
1981-01-21,289.79953
1981-01-22,284.51538
1981-01-23,280.2291
1981-01-24,277.6999
1981-01-25,275.86206
1981-01-26,273.726
1981-01-27,272.4282
1981-01-28,274.76138
1981-01-29,287.0298
1981-01-30,311.41043
1981-01-31,336.95053
1981-02-01,351.68256
1981-02-02,353.65527
1981-02-03,348.3745
1981-02-04,338.6133
1981-02-05,327.58096
1981-02-06,317.60498
1981-02-07,309.49304
1981-02-08,302.25256
1981-02-09,295.08517
1981-02-10,286.9846
1981-02-11,278.188
1981-02-12,269.4166
1981-02-13,261.31702
1981-02-14,254.09818
1981-02-15,247.82558
1981-02-16,245.3787
1981-02-17,245.24628
1981-02-18,244.9797
1981-02-19,244.65924
1981-02-20,244.42902
1981-02-21,244.16379
1981-02-22,243.91951
1981-02-23,243.59056
1981-02-24,243.34947
1981-02-25,243.23389
1981-02-26,242.90219
1981-02-27,242.38193
1981-02-28,242.36226
1981-03-01,242.44054
1981-03-02,242.16577
1981-03-03,241.82274
1981-03-04,241.66687
1981-03-05,241.91061
1981-03-06,242.11798
1981-03-07,242.16318
1981-03-08,241.86134
1981-03-09,241.84009
1981-03-10,241.89
1981-03-11,241.52486
1981-03-12,241.72629
1981-03-13,241.24782
1981-03-14,240.96971
1981-03-15,240.97859
1981-03-16,241.05556
1981-03-17,241.43727
1981-03-18,241.63428
1981-03-19,241.6675
1981-03-20,464.4283
1981-03-21,545.49896
1981-03-22,556.23016
1981-03-23,574.5857
1981-03-24,577.71954
1981-03-25,564.8451
1981-03-26,545.1064
1981-03-27,528.1716
1981-03-28,516.5782
1981-03-29,543.06793
1981-03-30,635.97156
1981-03-31,778.29364
1981-04-01,987.0059
1981-04-02,1174.8506
1981-04-03,1229.1787
1981-04-04,1202.6143
1981-04-05,1148.0436
1981-04-06,1098.9775
1981-04-07,1060.8394
1981-04-08,1032.3385
1981-04-09,1046.6787
1981-04-10,1165.9412
1981-04-11,1387.9619
1981-04-12,1561.8948
1981-04-13,1725.3617
1981-04-14,1868.2694
1981-04-15,1884.006
1981-04-16,1808.0673
1981-04-17,1693.2183
1981-04-18,1577.427
1981-04-19,1463.642
1981-04-20,1362.6136
1981-04-21,1283.861
1981-04-22,1225.7931
1981-04-23,1189.285
1981-04-24,1201.6696
1981-04-25,1271.8044
1981-04-26,1328.2499
1981-04-27,1464.2683
1981-04-28,1542.3662
1981-04-29,1544.2007
1981-04-30,1492.9518
1981-05-01,1369.8071
1981-05-02,1238.4427
1981-05-03,1128.392
1981-05-04,1040.594
1981-05-05,968.82355
1981-05-06,902.831
1981-05-07,842.8913
1981-05-08,791.4372
1981-05-09,744.85126
1981-05-10,701.08167
1981-05-11,661.10474
1981-05-12,625.40045
1981-05-13,597.72406
1981-05-14,581.95056
1981-05-15,575.1468
1981-05-16,570.35596
1981-05-17,562.6506
1981-05-18,558.3112
1981-05-19,566.77167
1981-05-20,584.66656
1981-05-21,606.76166
1981-05-22,627.17944
1981-05-23,641.8183
1981-05-24,650.37946
1981-05-25,653.9988
1981-05-26,653.8212
1981-05-27,650.5461
1981-05-28,646.9229
1981-05-29,648.26
1981-05-30,662.4987
1981-05-31,718.38495
1981-06-01,803.7649
1981-06-02,836.5233
1981-06-03,814.48804
1981-06-04,770.573
1981-06-05,742.6728
1981-06-06,737.1367
1981-06-07,730.36255
1981-06-08,707.26447
1981-06-09,676.9674
1981-06-10,660.2085
1981-06-11,693.5194
1981-06-12,801.21014
1981-06-13,937.5369
1981-06-14,1001.6416
1981-06-15,993.66815
1981-06-16,954.72797
1981-06-17,917.48645
1981-06-18,903.6662
