time,dis
1979-01-02,115.32683
1979-01-03,119.60803
1979-01-04,131.58075
1979-01-05,151.2959
1979-01-06,176.85059
1979-01-07,204.69984
1979-01-08,232.15318
1979-01-09,261.11456
1979-01-10,295.08438
1979-01-11,334.39523
1979-01-12,384.10754
1979-01-13,445.26407
1979-01-14,508.09848
1979-01-15,556.8297
1979-01-16,579.2914
1979-01-17,579.8368
1979-01-18,582.7823
1979-01-19,611.9105
1979-01-20,662.6057
1979-01-21,705.6737
1979-01-22,717.98944
1979-01-23,712.16406
1979-01-24,719.654
1979-01-25,757.3869
1979-01-26,826.1472
1979-01-27,909.36206
1979-01-28,965.9889
1979-01-29,968.21606
1979-01-30,942.50214
1979-01-31,915.5449
1979-02-01,890.6472
1979-02-02,862.7827
1979-02-03,823.76337
1979-02-04,780.6844
1979-02-05,743.9334
1979-02-06,711.7239
1979-02-07,680.3693
1979-02-08,648.9308
1979-02-09,617.2067
1979-02-10,589.4566
1979-02-11,567.6209
1979-02-12,554.905
1979-02-13,553.5724
1979-02-14,561.2462
1979-02-15,584.5775
1979-02-16,614.9811
1979-02-17,639.4832
1979-02-18,651.2794
1979-02-19,652.9303
1979-02-20,645.037
1979-02-21,628.0466
1979-02-22,605.11926
1979-02-23,579.30444
1979-02-24,558.3943
1979-02-25,542.3437
1979-02-26,529.0015
1979-02-27,525.33453
1979-02-28,538.85944
1979-03-01,556.5206
1979-03-02,558.97534
1979-03-03,544.94226
1979-03-04,523.01465
1979-03-05,498.88818
1979-03-06,474.19556
1979-03-07,449.45108
1979-03-08,425.2673
1979-03-09,402.33456
1979-03-10,381.2049
1979-03-11,362.35864
1979-03-12,345.9585
1979-03-13,332.3612
1979-03-14,322.81107
1979-03-15,318.33002
1979-03-16,318.40747
1979-03-17,322.18927
1979-03-18,332.8602
1979-03-19,363.15427
1979-03-20,424.78433
1979-03-21,489.48083
1979-03-22,528.91693
1979-03-23,542.75653
1979-03-24,536.7837
1979-03-25,519.63367
1979-03-26,498.311
1979-03-27,476.64465
1979-03-28,459.07022
1979-03-29,448.1768
1979-03-30,448.33716
1979-03-31,461.64307
1979-04-01,501.91974
1979-04-02,582.12866
1979-04-03,694.2014
1979-04-04,816.2401
1979-04-05,874.52106
1979-04-06,854.53613
1979-04-07,795.02856
1979-04-08,727.87805
1979-04-09,677.8251
1979-04-10,725.183
1979-04-11,782.55115
1979-04-12,821.4821
1979-04-13,905.79425
1979-04-14,964.75793
1979-04-15,997.0919
1979-04-16,1011.62286
1979-04-17,1004.7631
1979-04-18,984.7198
1979-04-19,952.22675
1979-04-20,903.2348
1979-04-21,841.22186
1979-04-22,774.4909
1979-04-23,711.35016
1979-04-24,653.44165
1979-04-25,600.6467
1979-04-26,554.85706
1979-04-27,519.55725
1979-04-28,495.81815
1979-04-29,477.02576
1979-04-30,456.00525
1979-05-01,431.78854
1979-05-02,408.21292
1979-05-03,388.23102
1979-05-04,383.20398
1979-05-05,445.0562
1979-05-06,630.4653
1979-05-07,997.2543
1979-05-08,1363.4736
1979-05-09,1643.7222
1979-05-10,2217.423
1979-05-11,3294.0413
1979-05-12,4610.5566
1979-05-13,5322.021
1979-05-14,5220.608
1979-05-15,4716.512
1979-05-16,4178.1772
1979-05-17,3706.7798
1979-05-18,3293.0056
1979-05-19,2925.8638
1979-05-20,2604.9102
1979-05-21,2330.1018
1979-05-22,2112.7869
1979-05-23,1930.4425
1979-05-24,1843.6615
1979-05-25,1940.8146
1979-05-26,2248.3547
1979-05-27,2655.8186
1979-05-28,2895.2798
1979-05-29,2794.281
1979-05-30,2534.7646
1979-05-31,2292.7898
1979-06-01,2098.534
1979-06-02,1949.4551
1979-06-03,1826.717
1979-06-04,1726.351
1979-06-05,1641.2286
1979-06-06,1560.6174
1979-06-07,1486.4227
1979-06-08,1415.0358
1979-06-09,1348.4827
1979-06-10,1301.9586
1979-06-11,1289.8383
1979-06-12,1378.4624
1979-06-13,1582.0967
1979-06-14,1780.8015
1979-06-15,2070.974
1979-06-16,2427.0981
1979-06-17,2704.9565
1979-06-18,2912.335
1979-06-19,3211.9631
1979-06-20,3784.7993
1979-06-21,4322.415
1979-06-22,4276.9404
1979-06-23,4045.4866
1979-06-24,3875.8628
1979-06-25,3783.395
1979-06-26,3805.4944
1979-06-27,3808.533
1979-06-28,3679.8967
1979-06-29,3525.0515
1979-06-30,3404.495
1979-07-01,3371.8533
1979-07-02,3553.0342
1979-07-03,4203.9204
1979-07-04,5437.2153
1979-07-05,6139.1763
1979-07-06,6176.747
1979-07-07,6450.9927
1979-07-08,6590.0684
1979-07-09,6373.1665
1979-07-10,6240.0005
1979-07-11,6131.7915
1979-07-12,6125.047
1979-07-13,6275.8423
1979-07-14,6440.511
1979-07-15,6329.2017
1979-07-16,5975.9854
1979-07-17,5669.5747
1979-07-18,5544.674
1979-07-19,5647.2397
1979-07-20,5848.075
1979-07-21,6132.6206
1979-07-22,6236.2314
1979-07-23,6171.967
1979-07-24,6019.0083
1979-07-25,5694.392
1979-07-26,5386.667
1979-07-27,5279.3613
1979-07-28,5222.728
1979-07-29,5098.6353
1979-07-30,5101.1567
1979-07-31,5430.9756
1979-08-01,6084.775
1979-08-02,6576.31
1979-08-03,6872.733
1979-08-04,7022.9307
1979-08-05,7172.7188
1979-08-06,7696.236
1979-08-07,8173.171
1979-08-08,8216.015
1979-08-09,8231.696
1979-08-10,8617.732
1979-08-11,8858.008
1979-08-12,8685.979
1979-08-13,8187.4893
1979-08-14,8062.6587
1979-08-15,8549.447
1979-08-16,9150.283
1979-08-17,9407.752
1979-08-18,9424.652
1979-08-19,9543.109
1979-08-20,9735.439
1979-08-21,9723.509
1979-08-22,9509.8545
1979-08-23,9070.876
1979-08-24,8621.891
1979-08-25,8215.312
1979-08-26,8042.9976
1979-08-27,7934.378
1979-08-28,7752.5093
1979-08-29,7816.157
1979-08-30,8190.975
1979-08-31,8298.751
1979-09-01,8260.621
1979-09-02,8273.227
1979-09-03,8138.173
1979-09-04,7764.0376
1979-09-05,7240.8794
1979-09-06,6688.3667
1979-09-07,6398.9634
1979-09-08,6421.033
1979-09-09,6462.9478
1979-09-10,6390.0786
1979-09-11,6214.104
1979-09-12,6042.6826
1979-09-13,6161.9785
1979-09-14,6421.2266
1979-09-15,6516.8135
1979-09-16,6559.3267
1979-09-17,6472.0527
1979-09-18,6302.87
1979-09-19,6162.1675
1979-09-20,6240.198
1979-09-21,6339.2534
1979-09-22,6216.322
1979-09-23,5910.5503
1979-09-24,5479.9233
1979-09-25,5070.7314
1979-09-26,4860.928
1979-09-27,4685.2856
