time,dis
1979-01-02,1.9466674
1979-01-03,2.6398053
1979-01-04,2.8995867
1979-01-05,3.6422687
1979-01-06,5.5698137
1979-01-07,13.028831
1979-01-08,32.02804
1979-01-09,56.361572
1979-01-10,73.20232
1979-01-11,80.84638
1979-01-12,82.343575
1979-01-13,81.39724
1979-01-14,82.76031
1979-01-15,91.18457
1979-01-16,100.845634
1979-01-17,113.8183
1979-01-18,128.9974
1979-01-19,140.52373
1979-01-20,146.38959
1979-01-21,149.4508
1979-01-22,151.37201
1979-01-23,151.23595
1979-01-24,149.83162
1979-01-25,148.40173
1979-01-26,143.71925
1979-01-27,137.62677
1979-01-28,131.75978
1979-01-29,125.742966
1979-01-30,119.263176
1979-01-31,113.71093
1979-02-01,112.1004
1979-02-02,111.91372
1979-02-03,113.7707
1979-02-04,115.42173
1979-02-05,115.631485
1979-02-06,115.46067
1979-02-07,115.44417
1979-02-08,119.93603
1979-02-09,129.59935
1979-02-10,143.75865
1979-02-11,157.13403
1979-02-12,162.39258
1979-02-13,158.7789
1979-02-14,150.95544
1979-02-15,144.64725
1979-02-16,142.3557
1979-02-17,149.80997
1979-02-18,164.3378
1979-02-19,181.88913
1979-02-20,207.42746
1979-02-21,246.12845
1979-02-22,293.76315
1979-02-23,326.74442
1979-02-24,328.5706
1979-02-25,316.1237
1979-02-26,302.3209
1979-02-27,329.8826
1979-02-28,406.88977
1979-03-01,499.5851
1979-03-02,594.4505
1979-03-03,658.9867
1979-03-04,673.70483
1979-03-05,647.51465
1979-03-06,607.37354
1979-03-07,569.5317
1979-03-08,540.21967
1979-03-09,510.7879
1979-03-10,474.3459
1979-03-11,428.32037
1979-03-12,375.86758
1979-03-13,329.6968
1979-03-14,295.0324
1979-03-15,267.63745
1979-03-16,243.55048
1979-03-17,222.7229
1979-03-18,211.90887
1979-03-19,220.21461
1979-03-20,252.06349
1979-03-21,277.92844
1979-03-22,271.98834
1979-03-23,258.22345
1979-03-24,254.48012
1979-03-25,250.24231
1979-03-26,239.21484
1979-03-27,223.11926
1979-03-28,205.53725
1979-03-29,188.56778
1979-03-30,173.05325
1979-03-31,160.048
1979-04-01,150.09952
1979-04-02,144.39514
1979-04-03,143.06734
1979-04-04,148.56036
1979-04-05,167.49315
1979-04-06,207.95726
1979-04-07,254.42474
1979-04-08,268.5233
1979-04-09,250.99725
1979-04-10,229.33286
1979-04-11,212.3927
1979-04-12,198.0898
1979-04-13,187.73677
1979-04-14,186.03326
1979-04-15,197.7062
1979-04-16,228.64032
1979-04-17,268.6766
1979-04-18,446.78024
1979-04-19,961.1345
1979-04-20,1257.2817
1979-04-21,1229.5762
1979-04-22,1100.2399
1979-04-23,970.7749
1979-04-24,865.909
1979-04-25,782.43243
1979-04-26,711.3959
1979-04-27,648.7157
1979-04-28,592.53894
1979-04-29,545.9269
1979-04-30,508.4144
1979-05-01,476.68347
1979-05-02,445.97397
1979-05-03,413.0296
1979-05-04,380.06384
1979-05-05,347.6112
1979-05-06,314.3162
1979-05-07,281.4139
1979-05-08,252.28682
1979-05-09,230.46135
1979-05-10,217.28717
1979-05-11,210.87498
1979-05-12,204.29005
1979-05-13,200.6665
1979-05-14,216.85394
1979-05-15,252.79544
1979-05-16,269.81232
1979-05-17,254.05266
1979-05-18,228.89166
1979-05-19,208.69812
1979-05-20,192.5722
1979-05-21,178.71802
1979-05-22,167.38274
1979-05-23,158.19252
1979-05-24,150.53044
1979-05-25,144.09506
1979-05-26,140.18597
1979-05-27,137.58939
1979-05-28,134.46838
1979-05-29,131.98999
1979-05-30,129.97382
