time,dis
1979-01-02,1.4388767
1979-01-03,4.1414046
1979-01-04,17.842775
1979-01-05,44.98757
1979-01-06,71.9147
1979-01-07,79.31654
1979-01-08,75.50676
1979-01-09,70.70784
1979-01-10,67.51848
1979-01-11,65.680984
1979-01-12,65.45466
1979-01-13,67.78049
1979-01-14,70.22744
1979-01-15,80.10211
1979-01-16,106.65324
1979-01-17,120.625786
1979-01-18,118.14538
1979-01-19,117.71291
1979-01-20,126.019035
1979-01-21,130.12567
1979-01-22,127.16036
1979-01-23,121.83078
1979-01-24,113.436646
1979-01-25,105.21715
1979-01-26,103.99956
1979-01-27,102.98878
1979-01-28,97.59716
1979-01-29,91.4376
1979-01-30,85.680725
1979-01-31,83.85468
1979-02-01,91.356705
1979-02-02,99.088615
1979-02-03,97.030685
1979-02-04,92.496254
1979-02-05,87.79675
1979-02-06,89.78094
1979-02-07,105.63478
1979-02-08,119.62306
1979-02-09,132.60086
1979-02-10,141.771
1979-02-11,135.59143
1979-02-12,125.75778
1979-02-13,114.862526
1979-02-14,105.67983
1979-02-15,110.26809
1979-02-16,135.03967
1979-02-17,149.48189
1979-02-18,158.86038
1979-02-19,184.08167
1979-02-20,221.81163
1979-02-21,274.20123
1979-02-22,289.346
1979-02-23,269.96045
1979-02-24,254.58623
1979-02-25,239.19891
1979-02-26,228.04918
1979-02-27,245.11298
1979-02-28,324.7931
1979-03-01,422.88806
1979-03-02,476.5711
1979-03-03,490.29398
1979-03-04,460.5548
1979-03-05,431.1041
1979-03-06,404.8211
1979-03-07,391.93826
1979-03-08,377.37283
1979-03-09,349.94608
1979-03-10,310.53973
1979-03-11,268.761
1979-03-12,242.98123
1979-03-13,223.9034
1979-03-14,204.47783
1979-03-15,182.45917
1979-03-16,161.97101
1979-03-17,146.17378
1979-03-18,160.60968
1979-03-19,226.12566
1979-03-20,237.62349
1979-03-21,210.31836
1979-03-22,198.01115
1979-03-23,199.77731
1979-03-24,193.11732
1979-03-25,181.34982
1979-03-26,165.9559
1979-03-27,150.00426
1979-03-28,136.50993
1979-03-29,125.00061
1979-03-30,116.89752
1979-03-31,112.48118
1979-04-01,109.49206
1979-04-02,108.3638
1979-04-03,113.96632
1979-04-04,146.90472
1979-04-05,211.67508
1979-04-06,246.75075
1979-04-07,225.70592
1979-04-08,197.61638
1979-04-09,184.1375
1979-04-10,171.201
1979-04-11,154.76793
1979-04-12,139.1414
1979-04-13,133.18634
1979-04-14,160.76598
1979-04-15,221.97128
1979-04-16,233.91563
1979-04-17,469.426
1979-04-18,1149.2501
1979-04-19,1224.8362
1979-04-20,1088.8293
1979-04-21,946.0185
1979-04-22,817.28467
1979-04-23,722.7724
1979-04-24,651.71106
1979-04-25,592.3584
1979-04-26,538.41705
1979-04-27,485.17395
1979-04-28,447.76022
1979-04-29,424.66122
1979-04-30,397.05557
1979-05-01,373.19385
1979-05-02,342.7782
1979-05-03,314.20023
1979-05-04,293.8185
1979-05-05,263.81293
1979-05-06,233.70697
1979-05-07,208.50305
1979-05-08,191.38889
1979-05-09,181.97746
1979-05-10,180.43854
1979-05-11,171.07089
1979-05-12,169.74622
1979-05-13,212.89099
1979-05-14,255.38449
1979-05-15,238.29337
1979-05-16,206.90273
1979-05-17,189.76495
1979-05-18,174.5604
1979-05-19,159.49864
1979-05-20,145.87456
1979-05-21,135.08942
1979-05-22,127.61384
1979-05-23,122.580986
1979-05-24,118.98345
1979-05-25,116.19252
1979-05-26,114.654724
1979-05-27,113.54413
1979-05-28,112.20716
1979-05-29,111.20391
1979-05-30,109.95606
1979-05-31,108.39126
1979-06-01,107.283295
1979-06-02,106.37664
1979-06-03,106.00503
1979-06-04,107.20157
1979-06-05,107.5832
1979-06-06,106.28565
1979-06-07,106.06615
1979-06-08,114.02512
1979-06-09,145.6146
1979-06-10,175.60374
1979-06-11,179.03387
1979-06-12,164.90865
1979-06-13,149.21362
1979-06-14,137.77727
1979-06-15,130.15242
1979-06-16,125.11699
1979-06-17,119.95067
1979-06-18,114.78705
1979-06-19,110.32568
1979-06-20,106.84905
1979-06-21,104.619835
1979-06-22,103.033356
1979-06-23,101.20755
1979-06-24,99.4402
1979-06-25,98.00642
1979-06-26,96.65366
1979-06-27,95.9656
1979-06-28,95.33682
1979-06-29,95.53251
1979-06-30,96.85812
1979-07-01,97.16815
1979-07-02,95.84341
1979-07-03,94.743095
1979-07-04,95.915695
1979-07-05,100.31718
1979-07-06,103.84487
1979-07-07,101.9965
1979-07-08,98.23936
1979-07-09,94.709175
1979-07-10,91.92874
1979-07-11,89.6372
1979-07-12,88.21787
1979-07-13,87.19083
1979-07-14,85.99742
1979-07-15,85.09036
1979-07-16,84.13665
