time,dis
1979-01-02,1.7133856
1979-01-03,5.780935
1979-01-04,7.449176
1979-01-05,26.62273
1979-01-06,57.453876
1979-01-07,75.830154
1979-01-08,77.565475
1979-01-09,82.72478
1979-01-10,83.07973
1979-01-11,80.833496
1979-01-12,78.73359
1979-01-13,77.670334
1979-01-14,81.85515
1979-01-15,91.71583
1979-01-16,107.46225
1979-01-17,125.90282
1979-01-18,138.28494
1979-01-19,142.83759
1979-01-20,145.5605
1979-01-21,147.9347
1979-01-22,148.96906
1979-01-23,146.35861
1979-01-24,141.11946
1979-01-25,135.43254
1979-01-26,130.40848
1979-01-27,125.690704
1979-01-28,121.01058
1979-01-29,114.92223
1979-01-30,108.16445
1979-01-31,103.84289
1979-02-01,104.27601
1979-02-02,109.06472
1979-02-03,112.88632
1979-02-04,112.51644
1979-02-05,109.88475
1979-02-06,109.34345
1979-02-07,115.39163
1979-02-08,126.310745
1979-02-09,141.32196
1979-02-10,156.17816
1979-02-11,161.62473
1979-02-12,156.93866
1979-02-13,146.06519
1979-02-14,135.97098
1979-02-15,132.55507
1979-02-16,141.52232
1979-02-17,156.72742
1979-02-18,172.69759
1979-02-19,194.18358
1979-02-20,229.27238
1979-02-21,276.45575
1979-02-22,319.84305
1979-02-23,325.46677
1979-02-24,309.4902
1979-02-25,294.5133
1979-02-26,279.64636
1979-02-27,323.6122
1979-02-28,417.7153
1979-03-01,514.47705
1979-03-02,595.8409
1979-03-03,634.76794
1979-03-04,619.2041
1979-03-05,580.2478
1979-03-06,540.8687
1979-03-07,511.54388
1979-03-08,489.55606
1979-03-09,459.95987
1979-03-10,420.1404
1979-03-11,370.06223
1979-03-12,323.09378
1979-03-13,290.4269
1979-03-14,264.79233
1979-03-15,241.42087
1979-03-16,217.06778
1979-03-17,197.58838
1979-03-18,198.69254
1979-03-19,232.20467
1979-03-20,272.13065
1979-03-21,271.55075
1979-03-22,251.91597
1979-03-23,248.66629
1979-03-24,247.46545
1979-03-25,237.07712
1979-03-26,220.60828
1979-03-27,201.89706
1979-03-28,184.00856
1979-03-29,167.75217
1979-03-30,154.07558
1979-03-31,144.04659
1979-04-01,137.73204
1979-04-02,135.51437
1979-04-03,138.95291
1979-04-04,156.24748
1979-04-05,194.18748
1979-04-06,249.87091
1979-04-07,273.19843
1979-04-08,253.56406
1979-04-09,228.2057
1979-04-10,211.14697
1979-04-11,195.62895
1979-04-12,181.10204
1979-04-13,174.33955
1979-04-14,183.55301
1979-04-15,214.87975
1979-04-16,255.77608
1979-04-17,368.42548
1979-04-18,1029.6277
1979-04-19,1244.2025
1979-04-20,1274.0957
1979-04-21,1143.7079
1979-04-22,999.0604
1979-04-23,879.27576
1979-04-24,789.52435
1979-04-25,716.693
1979-04-26,652.42426
1979-04-27,593.37085
1979-04-28,542.2801
1979-04-29,505.71353
1979-04-30,474.00235
1979-05-01,445.51324
1979-05-02,413.7723
1979-05-03,380.4305
1979-05-04,350.00873
1979-05-05,319.2567
1979-05-06,285.18246
1979-05-07,253.8245
1979-05-08,229.73999
1979-05-09,214.16652
1979-05-10,207.16261
1979-05-11,202.07024
1979-05-12,195.27657
1979-05-13,205.03452
1979-05-14,249.86453
1979-05-15,272.6612
1979-05-16,257.16125
1979-05-17,228.73926
1979-05-18,208.78099
1979-05-19,193.20526
1979-05-20,178.48172
1979-05-21,165.56676
1979-05-22,155.48332
1979-05-23,147.77615
1979-05-24,141.75484
1979-05-25,137.09094
1979-05-26,134.70032
