time,dis
1979-01-02,3.3758044
1979-01-03,16.158403
1979-01-04,34.547016
1979-01-05,57.978676
1979-01-06,70.16754
1979-01-07,68.091934
1979-01-08,63.81932
1979-01-09,61.13727
1979-01-10,59.59359
1979-01-11,58.755463
1979-01-12,60.310852
1979-01-13,63.084106
1979-01-14,63.85661
1979-01-15,78.351616
1979-01-16,99.857796
1979-01-17,102.642136
1979-01-18,96.59221
1979-01-19,100.58968
1979-01-20,110.65806
1979-01-21,112.41552
1979-01-22,108.83953
1979-01-23,104.01175
1979-01-24,94.944176
1979-01-25,89.29481
1979-01-26,89.893654
1979-01-27,87.04738
1979-01-28,81.95722
1979-01-29,77.21787
1979-01-30,73.26624
1979-01-31,74.12879
1979-02-01,80.689606
1979-02-02,81.717545
1979-02-03,78.131905
1979-02-04,74.54873
1979-02-05,72.1173
1979-02-06,81.79366
1979-02-07,98.22906
1979-02-08,103.8304
1979-02-09,111.09874
1979-02-10,111.9227
1979-02-11,105.05948
1979-02-12,97.45451
1979-02-13,89.38937
1979-02-14,83.09902
1979-02-15,96.72198
1979-02-16,122.06348
1979-02-17,127.57955
1979-02-18,136.05432
1979-02-19,158.95538
1979-02-20,198.23135
1979-02-21,240.37811
1979-02-22,235.91496
1979-02-23,218.04308
1979-02-24,204.52444
1979-02-25,188.75201
1979-02-26,179.3882
1979-02-27,203.17813
1979-02-28,287.5698
1979-03-01,362.5259
1979-03-02,406.91132
1979-03-03,407.55484
1979-03-04,381.13583
1979-03-05,358.0499
1979-03-06,337.38446
1979-03-07,330.36642
1979-03-08,315.87463
1979-03-09,289.20334
1979-03-10,252.09164
1979-03-11,221.97722
1979-03-12,202.88506
1979-03-13,186.53264
1979-03-14,168.40402
1979-03-15,149.26222
1979-03-16,132.17513
1979-03-17,121.41626
1979-03-18,159.9675
1979-03-19,218.37856
1979-03-20,207.93727
1979-03-21,183.15749
1979-03-22,176.95854
1979-03-23,175.46016
1979-03-24,167.74301
1979-03-25,156.21484
1979-03-26,141.39777
1979-03-27,127.85767
1979-03-28,116.815315
1979-03-29,107.93831
1979-03-30,102.85324
1979-03-31,99.99894
1979-04-01,98.56918
1979-04-02,97.86276
1979-04-03,110.80053
1979-04-04,157.06021
1979-04-05,216.51083
1979-04-06,224.1017
1979-04-07,197.12485
1979-04-08,175.61778
1979-04-09,164.39557
1979-04-10,150.27023
1979-04-11,134.4169
1979-04-12,121.09123
1979-04-13,124.96917
1979-04-14,169.68387
1979-04-15,221.75163
1979-04-16,211.04741
1979-04-17,695.51605
1979-04-18,1203.2865
1979-04-19,1139.8417
1979-04-20,985.9519
1979-04-21,846.3317
1979-04-22,729.6481
1979-04-23,644.86035
1979-04-24,578.56104
1979-04-25,524.2189
1979-04-26,473.64252
1979-04-27,424.72183
1979-04-28,397.69992
1979-04-29,374.88614
1979-04-30,350.8997
1979-05-01,328.58997
1979-05-02,298.9487
1979-05-03,276.92108
1979-05-04,258.61008
1979-05-05,230.60669
1979-05-06,204.21033
1979-05-07,183.22339
1979-05-08,167.8726
1979-05-09,163.66634
1979-05-10,161.14902
1979-05-11,150.95596
1979-05-12,162.53046
1979-05-13,219.02617
1979-05-14,238.77933
1979-05-15,212.4701
1979-05-16,188.25185
1979-05-17,173.68849
1979-05-18,157.60435
1979-05-19,143.30586
1979-05-20,131.13805
1979-05-21,122.12468
1979-05-22,116.081795
1979-05-23,112.0757
1979-05-24,109.22083
1979-05-25,107.015045
1979-05-26,105.87371
1979-05-27,104.884476
1979-05-28,103.85745
1979-05-29,102.9538
1979-05-30,101.806595
1979-05-31,100.54837
1979-06-01,99.603226
1979-06-02,98.98986
1979-06-03,99.58429
1979-06-04,101.22473
1979-06-05,100.2534
1979-06-06,98.56588
1979-06-07,99.77545
1979-06-08,115.69879
1979-06-09,153.8702
1979-06-10,170.83537
1979-06-11,166.39845
1979-06-12,150.4682
1979-06-13,137.02116
1979-06-14,126.80422
1979-06-15,120.56427
1979-06-16,115.725784
1979-06-17,110.15142
1979-06-18,105.51644
1979-06-19,101.752365
1979-06-20,99.02049
1979-06-21,97.36797
1979-06-22,95.781166
1979-06-23,94.00807
1979-06-24,92.52853
1979-06-25,91.38738
1979-06-26,90.33683
1979-06-27,89.83815
1979-06-28,89.671265
1979-06-29,91.07584
1979-06-30,92.03411
1979-07-01,91.173294
1979-07-02,89.763374
1979-07-03,89.36296
1979-07-04,90.05672
1979-07-05,93.349556
1979-07-06,94.26803
1979-07-07,92.02115
1979-07-08,89.266594
1979-07-09,86.816124
1979-07-10,85.00307
1979-07-11,83.35298
1979-07-12,82.362595
1979-07-13,81.45324
1979-07-14,80.41845
1979-07-15,79.65094
1979-07-16,78.756096
1979-07-17,77.92216
1979-07-18,77.21469
