time,dis
1979-01-02,2687.6067
1979-01-03,3095.6653
1979-01-04,3089.2385
1979-01-05,3078.8535
1979-01-06,3066.9868
1979-01-07,3054.7646
1979-01-08,2951.053
1979-01-09,2901.2832
1979-01-10,2895.0042
1979-01-11,2985.6375
1979-01-12,2996.824
1979-01-13,2987.1953
1979-01-14,2976.2458
1979-01-15,2965.139
1979-01-16,2954.7776
1979-01-17,2946.5596
1979-01-18,2937.96
1979-01-19,2929.3313
1979-01-20,2919.5708
1979-01-21,2910.5842
1979-01-22,2902.2373
1979-01-23,2894.3691
1979-01-24,2887.296
1979-01-25,2885.353
1979-01-26,3783.0164
1979-01-27,5429.457
1979-01-28,6666.617
1979-01-29,7945.083
1979-01-30,8409.775
1979-01-31,8079.25
1979-02-01,8385.786
1979-02-02,9463.896
1979-02-03,10308.271
1979-02-04,11404.748
1979-02-05,12219.701
1979-02-06,12601.6
1979-02-07,12737.009
1979-02-08,12558.761
1979-02-09,12042.364
1979-02-10,11284.994
1979-02-11,10498.358
1979-02-12,10300.289
1979-02-13,10606.493
1979-02-14,11220.404
1979-02-15,11568.188
1979-02-16,11604.064
1979-02-17,11733.576
1979-02-18,12099.092
1979-02-19,11773.727
1979-02-20,11105.67
1979-02-21,10914.687
1979-02-22,10693.362
1979-02-23,11016.3545
1979-02-24,12663.921
1979-02-25,13876.804
1979-02-26,13913.475
1979-02-27,13268.287
1979-02-28,13001.219
1979-03-01,12639.728
1979-03-02,11493.272
1979-03-03,10003.286
1979-03-04,8714.227
1979-03-05,7804.201
1979-03-06,7025.8535
1979-03-07,6242.254
1979-03-08,5467.2446
1979-03-09,4761.165
1979-03-10,4170.8867
1979-03-11,4100.9473
1979-03-12,4098.3184
1979-03-13,4094.6587
1979-03-14,4093.4485
1979-03-15,4091.9546
1979-03-16,5389.02
1979-03-17,7433.857
1979-03-18,9567.86
1979-03-19,11118.243
1979-03-20,11858.685
1979-03-21,11850.194
1979-03-22,11117.408
1979-03-23,10258.298
1979-03-24,9846.12
1979-03-25,9495.503
1979-03-26,8921.747
1979-03-27,8262.012
1979-03-28,8128.244
1979-03-29,9069.274
1979-03-30,10096.765
1979-03-31,10424.606
1979-04-01,10259.308
1979-04-02,10276.853
1979-04-03,10230.382
1979-04-04,9920.489
1979-04-05,9471.891
1979-04-06,9009.07
1979-04-07,9077.5625
1979-04-08,10080.221
1979-04-09,12086.011
1979-04-10,14587.077
1979-04-11,16760.184
1979-04-12,17363.723
1979-04-13,17407.025
1979-04-14,17772.254
1979-04-15,17033.977
1979-04-16,15387.891
1979-04-17,14080.627
1979-04-18,13211.01
1979-04-19,12880.609
1979-04-20,12703.635
1979-04-21,12152.711
1979-04-22,11526.912
1979-04-23,11364.827
1979-04-24,11361.801
1979-04-25,11168.166
1979-04-26,11011.369
1979-04-27,11216.621
1979-04-28,11332.408
1979-04-29,10676.099
1979-04-30,9937.461
1979-05-01,9782.827
1979-05-02,11373.507
1979-05-03,14630.32
1979-05-04,17396.207
1979-05-05,18440.578
1979-05-06,18290.97
1979-05-07,17315.52
1979-05-08,16168.078
1979-05-09,15334.937
1979-05-10,15526.446
1979-05-11,16098.088
1979-05-12,16302.234
1979-05-13,17205.55
1979-05-14,19350.28
1979-05-15,20191.797
1979-05-16,19290.48
1979-05-17,17574.848
1979-05-18,15638.701
1979-05-19,13790.404
1979-05-20,12128.098
1979-05-21,10646.036
1979-05-22,9453.215
1979-05-23,8450.668
1979-05-24,7676.667
1979-05-25,7023.1836
1979-05-26,6781.4155
1979-05-27,6779.834
1979-05-28,6772.723
1979-05-29,6761.811
1979-05-30,6749.008
1979-05-31,6735.3403
1979-06-01,6725.2446
1979-06-02,6719.0273
1979-06-03,6714.616
1979-06-04,6710.0264
1979-06-05,6703.492
1979-06-06,6692.5396
1979-06-07,6679.1704
1979-06-08,6663.9224
1979-06-09,6650.125
1979-06-10,6633.1685
1979-06-11,6616.4883
1979-06-12,6598.912
1979-06-13,6581.651
1979-06-14,6566.0215
1979-06-15,6554.663
1979-06-16,6546.8755
1979-06-17,7296.104
1979-06-18,7801.3545
1979-06-19,7586.3364
1979-06-20,6588.754
1979-06-21,6557.132
1979-06-22,6548.289
1979-06-23,6536.279
1979-06-24,6520.0884
1979-06-25,6501.5386
1979-06-26,6479.854
1979-06-27,6457.3047
1979-06-28,6435.0986
1979-06-29,6411.797
1979-06-30,6387.5874
1979-07-01,6363.669
1979-07-02,6340.326
1979-07-03,6316.7324
1979-07-04,6292.4956
1979-07-05,6267.6655
1979-07-06,6242.6143
1979-07-07,6220.0845
1979-07-08,6199.915
1979-07-09,6181.1035
1979-07-10,6160.8545
1979-07-11,6141.096
1979-07-12,6119.4224
1979-07-13,6096.377
1979-07-14,6072.4736
1979-07-15,6047.419
1979-07-16,6022.208
1979-07-17,5997.0654
1979-07-18,5971.8086
1979-07-19,5946.7866
1979-07-20,5921.7197
1979-07-21,5896.1978
1979-07-22,5870.6616
1979-07-23,5845.9976
1979-07-24,5819.803
1979-07-25,5793.0884
1979-07-26,5765.8804
1979-07-27,5738.6025
1979-07-28,5711.128
1979-07-29,5683.7515
1979-07-30,5657.0835
1979-07-31,5630.0596
1979-08-01,5603.5723
1979-08-02,5576.8594
1979-08-03,5550.3765
1979-08-04,5525.0264
1979-08-05,5499.891
1979-08-06,5474.395
1979-08-07,5449.6587
1979-08-08,5426.272
1979-08-09,5403.7183
1979-08-10,5381.3125
1979-08-11,5359.261
1979-08-12,5337.9307
1979-08-13,5317.679
1979-08-14,5297.138
1979-08-15,5277.1406
1979-08-16,5257.0967
1979-08-17,5237.8413
1979-08-18,5218.7876
1979-08-19,5201.704
1979-08-20,5186.1953
1979-08-21,5172.092
1979-08-22,5159.295
1979-08-23,5146.374
1979-08-24,5133.3887
1979-08-25,5118.915
1979-08-26,5103.0166
1979-08-27,5085.802
1979-08-28,5067.6875
1979-08-29,5049.154
1979-08-30,5029.6235
1979-08-31,5009.0425
1979-09-01,4988.2305
1979-09-02,4966.8027
1979-09-03,4944.5703
1979-09-04,4921.9253
1979-09-05,4900.1763
1979-09-06,4879.2646
1979-09-07,4857.705
1979-09-08,4836.0103
1979-09-09,4814.446
1979-09-10,4792.723
1979-09-11,4771.3774
1979-09-12,4750.339
1979-09-13,4728.769
1979-09-14,4706.712
1979-09-15,4684.577
1979-09-16,4663.065
1979-09-17,4641.089
1979-09-18,4619.261
1979-09-19,4597.2446
1979-09-20,4575.775
1979-09-21,4554.693
1979-09-22,4503.9185
1979-09-23,4435.397
1979-09-24,4364.8
1979-09-25,4302.72
1979-09-26,4374.8306
1979-09-27,4373.1743
1979-09-28,4403.3984
1979-09-29,4395.018
1979-09-30,4377.475
1979-10-01,4359.4814
1979-10-02,4342.3916
1979-10-03,4326.7036
1979-10-04,4310.34
1979-10-05,4294.5806
1979-10-06,4278.8145
1979-10-07,4263.37
1979-10-08,4247.9194
1979-10-09,4232.4326
1979-10-10,4216.4775
1979-10-11,4200.379
1979-10-12,4183.8994
1979-10-13,4167.229
1979-10-14,4150.369
1979-10-15,4133.4346
1979-10-16,4117.0513
1979-10-17,4100.514
1979-10-18,4084.4143
1979-10-19,4068.2476
1979-10-20,4051.7622
