time,dis
1979-01-02,2.0754101
1979-01-03,3.3639216
1979-01-04,3.940688
1979-01-05,4.4236355
1979-01-06,4.351454
1979-01-07,4.0669174
1979-01-08,3.7820756
1979-01-09,3.5735471
1979-01-10,3.7138104
1979-01-11,5.681511
1979-01-12,15.27566
1979-01-13,22.99203
1979-01-14,17.368671
1979-01-15,11.910147
1979-01-16,19.78838
1979-01-17,23.461025
1979-01-18,21.544672
1979-01-19,17.53337
1979-01-20,14.097433
1979-01-21,13.522245
1979-01-22,12.226074
1979-01-23,12.486769
1979-01-24,31.797102
1979-01-25,48.50474
1979-01-26,39.524353
1979-01-27,45.732952
1979-01-28,53.32972
1979-01-29,59.973915
1979-01-30,53.51211
1979-01-31,50.43431
1979-02-01,41.19745
1979-02-02,32.87723
1979-02-03,29.942581
1979-02-04,26.992596
1979-02-05,24.324278
1979-02-06,22.44346
1979-02-07,20.325155
1979-02-08,18.28363
1979-02-09,17.876862
1979-02-10,38.279194
1979-02-11,39.395187
1979-02-12,31.447094
1979-02-13,25.081457
1979-02-14,24.373173
1979-02-15,33.930687
1979-02-16,36.431995
1979-02-17,31.375433
1979-02-18,29.323277
1979-02-19,25.724468
1979-02-20,24.26357
1979-02-21,30.514656
1979-02-22,52.50275
1979-02-23,60.8035
1979-02-24,53.477547
1979-02-25,41.530884
1979-02-26,57.100346
1979-02-27,60.67987
1979-02-28,46.087616
1979-03-01,36.88744
1979-03-02,33.13344
1979-03-03,30.243511
1979-03-04,27.218697
1979-03-05,24.654726
1979-03-06,22.350368
1979-03-07,20.310772
1979-03-08,18.30576
1979-03-09,16.73679
1979-03-10,15.952871
1979-03-11,15.786866
1979-03-12,19.927418
1979-03-13,29.58817
1979-03-14,25.900547
1979-03-15,23.698694
1979-03-16,29.143784
1979-03-17,58.232437
1979-03-18,71.287315
1979-03-19,65.47521
1979-03-20,81.27928
1979-03-21,74.55172
1979-03-22,62.31136
1979-03-23,79.31799
1979-03-24,64.221275
1979-03-25,48.495335
1979-03-26,43.368977
1979-03-27,57.4334
1979-03-28,60.15402
1979-03-29,47.715275
1979-03-30,40.757355
1979-03-31,37.11113
1979-04-01,34.657692
1979-04-02,39.894005
1979-04-03,42.58263
1979-04-04,40.38777
1979-04-05,42.591305
1979-04-06,41.502583
1979-04-07,45.005684
1979-04-08,49.02045
1979-04-09,45.39387
1979-04-10,43.99245
1979-04-11,38.14335
1979-04-12,32.60685
1979-04-13,29.384619
1979-04-14,31.610369
1979-04-15,36.35583
1979-04-16,42.325336
1979-04-17,33.96523
1979-04-18,28.750275
1979-04-19,27.129303
1979-04-20,24.480383
1979-04-21,22.075861
1979-04-22,19.875349
1979-04-23,18.4946
1979-04-24,24.145962
1979-04-25,25.16023
