time,dis
1979-01-02,7.1477222
1979-01-03,10.3062525
1979-01-04,11.097082
1979-01-05,12.761031
1979-01-06,13.181294
1979-01-07,12.613399
1979-01-08,12.224049
1979-01-09,11.733294
1979-01-10,11.434608
1979-01-11,14.388286
1979-01-12,16.527212
1979-01-13,20.594915
1979-01-14,23.290627
1979-01-15,23.394968
1979-01-16,21.933334
1979-01-17,20.772131
1979-01-18,23.266207
1979-01-19,22.881836
1979-01-20,21.974993
1979-01-21,22.008425
1979-01-22,21.458458
1979-01-23,21.168499
1979-01-24,24.376677
1979-01-25,30.791002
1979-01-26,36.342655
1979-01-27,36.88596
1979-01-28,38.63011
1979-01-29,40.30802
1979-01-30,41.77917
1979-01-31,42.452007
1979-02-01,40.710915
1979-02-02,41.44338
1979-02-03,43.868835
1979-02-04,46.570557
1979-02-05,55.30917
1979-02-06,57.804974
1979-02-07,58.330524
1979-02-08,55.30958
1979-02-09,54.693466
1979-02-10,56.15099
1979-02-11,57.769638
1979-02-12,58.0828
1979-02-13,62.03844
1979-02-14,70.846924
1979-02-15,75.21573
1979-02-16,81.27294
1979-02-17,84.04014
1979-02-18,85.99241
1979-02-19,88.648056
1979-02-20,95.27353
1979-02-21,95.3521
1979-02-22,94.30331
1979-02-23,94.34157
1979-02-24,101.64669
1979-02-25,110.38437
1979-02-26,109.87447
1979-02-27,119.411385
1979-02-28,119.30617
1979-03-01,115.036575
1979-03-02,105.176994
1979-03-03,99.36634
1979-03-04,101.72067
1979-03-05,100.59186
1979-03-06,91.52636
1979-03-07,83.159676
1979-03-08,75.14868
1979-03-09,68.530014
1979-03-10,65.99978
1979-03-11,61.819798
1979-03-12,58.21219
1979-03-13,65.95373
1979-03-14,80.17179
1979-03-15,87.20225
1979-03-16,93.30426
1979-03-17,103.615906
1979-03-18,115.260605
1979-03-19,115.416626
1979-03-20,128.05835
1979-03-21,138.90768
1979-03-22,138.56287
1979-03-23,140.29356
1979-03-24,130.74306
1979-03-25,124.40226
1979-03-26,115.08781
1979-03-27,118.048416
1979-03-28,113.8974
1979-03-29,112.0199
1979-03-30,120.31682
1979-03-31,124.5636
1979-04-01,118.289856
1979-04-02,114.939
1979-04-03,104.879555
1979-04-04,104.434456
1979-04-05,99.62772
1979-04-06,104.113556
1979-04-07,101.367836
1979-04-08,107.86102
1979-04-09,114.839
1979-04-10,117.369316
1979-04-11,114.419624
1979-04-12,110.237274
1979-04-13,103.02141
1979-04-14,103.84196
1979-04-15,116.74167
1979-04-16,121.18248
1979-04-17,122.83745
1979-04-18,112.82855
1979-04-19,113.13875
1979-04-20,105.68009
1979-04-21,95.921585
1979-04-22,88.43919
1979-04-23,90.27009
1979-04-24,90.48132
1979-04-25,102.417625
1979-04-26,104.61779
1979-04-27,102.547134
1979-04-28,97.03618
1979-04-29,88.30502
1979-04-30,85.62295
1979-05-01,84.676506
1979-05-02,94.26126
1979-05-03,104.46878
1979-05-04,103.84113
1979-05-05,98.66087
1979-05-06,91.46154
1979-05-07,92.879036
1979-05-08,189.98119
1979-05-09,264.41846
1979-05-10,240.82422
1979-05-11,226.41524
1979-05-12,226.26912
1979-05-13,231.02795
1979-05-14,242.17358
1979-05-15,236.10767
1979-05-16,242.76578
1979-05-17,257.67902
1979-05-18,234.11885
1979-05-19,209.78242
1979-05-20,188.12431
1979-05-21,168.66896
1979-05-22,151.10951
1979-05-23,135.87112
1979-05-24,122.76402
1979-05-25,111.59654
1979-05-26,101.37406
1979-05-27,92.4068
1979-05-28,84.97022
1979-05-29,78.19509
1979-05-30,75.174484
1979-05-31,79.36789
1979-06-01,73.895584
1979-06-02,67.45547
1979-06-03,61.533905
1979-06-04,56.27758
1979-06-05,54.724663
1979-06-06,50.96394
1979-06-07,47.03165
1979-06-08,43.113514
1979-06-09,39.670864
1979-06-10,36.817513
1979-06-11,36.35831
1979-06-12,34.828094
1979-06-13,32.911213
1979-06-14,44.52434
1979-06-15,55.360764
1979-06-16,65.57009
1979-06-17,64.53736
1979-06-18,59.52463
1979-06-19,54.005527
1979-06-20,49.007866
1979-06-21,44.394547
1979-06-22,40.29892
1979-06-23,36.75227
1979-06-24,33.723045
1979-06-25,31.018496
1979-06-26,28.796041
1979-06-27,26.799643
