time,dis
1979-01-02,1.9021245
1979-01-03,3.7194917
1979-01-04,5.163834
1979-01-05,5.745673
1979-01-06,5.867531
1979-01-07,5.8548307
1979-01-08,5.8474765
1979-01-09,5.757436
1979-01-10,5.8262224
1979-01-11,6.262277
1979-01-12,7.010418
1979-01-13,9.614757
1979-01-14,13.480842
1979-01-15,16.44053
1979-01-16,16.646069
1979-01-17,15.545281
1979-01-18,14.45372
1979-01-19,14.370336
1979-01-20,14.6928835
1979-01-21,16.151037
1979-01-22,17.913204
1979-01-23,19.657017
1979-01-24,22.201761
1979-01-25,26.350815
1979-01-26,29.530354
1979-01-27,28.87524
1979-01-28,26.994057
1979-01-29,26.75146
1979-01-30,28.473831
1979-01-31,33.009712
1979-02-01,36.36179
1979-02-02,41.756634
1979-02-03,51.152813
1979-02-04,61.3063
1979-02-05,74.9584
1979-02-06,82.39923
1979-02-07,85.04016
1979-02-08,83.55681
1979-02-09,80.32022
1979-02-10,74.42184
1979-02-11,69.06596
1979-02-12,70.61654
1979-02-13,72.87173
1979-02-14,76.060265
1979-02-15,75.27072
1979-02-16,79.8738
1979-02-17,83.663475
1979-02-18,80.77029
1979-02-19,75.723595
1979-02-20,72.13006
1979-02-21,69.40624
1979-02-22,73.9515
1979-02-23,82.012276
1979-02-24,90.27069
1979-02-25,94.672226
1979-02-26,91.25336
1979-02-27,91.91021
1979-02-28,87.447975
1979-03-01,79.57316
1979-03-02,72.48901
1979-03-03,67.81093
1979-03-04,62.866776
1979-03-05,57.632454
1979-03-06,52.41255
1979-03-07,47.127323
1979-03-08,42.31373
1979-03-09,38.165066
1979-03-10,34.2004
1979-03-11,31.310835
1979-03-12,29.048607
1979-03-13,53.735886
1979-03-14,89.10613
1979-03-15,89.005196
1979-03-16,78.39459
1979-03-17,73.9575
1979-03-18,71.58666
1979-03-19,70.079544
1979-03-20,76.870316
1979-03-21,84.51527
1979-03-22,88.867966
1979-03-23,88.67601
1979-03-24,85.834404
1979-03-25,80.91819
1979-03-26,74.53422
1979-03-27,70.12239
1979-03-28,67.79227
1979-03-29,69.50992
1979-03-30,71.13844
1979-03-31,67.95454
1979-04-01,65.31161
1979-04-02,60.079166
1979-04-03,55.575817
1979-04-04,53.4755
1979-04-05,51.89935
1979-04-06,52.95764
1979-04-07,55.217876
1979-04-08,75.4541
1979-04-09,94.565025
1979-04-10,95.33437
1979-04-11,95.59608
1979-04-12,93.886345
1979-04-13,91.15594
1979-04-14,96.63425
1979-04-15,107.89949
1979-04-16,116.07348
1979-04-17,115.00706
1979-04-18,105.51227
1979-04-19,99.75127
1979-04-20,91.89794
1979-04-21,84.13454
1979-04-22,80.3125
1979-04-23,78.43428
1979-04-24,75.78684
1979-04-25,75.9779
1979-04-26,78.1623
1979-04-27,75.10045
1979-04-28,69.65923
1979-04-29,63.846466
