time,dis
1979-01-02,3.7739532
1979-01-03,6.8919396
1979-01-04,7.5003653
1979-01-05,7.5139303
1979-01-06,7.442579
1979-01-07,7.3565364
1979-01-08,7.271366
1979-01-09,7.199398
1979-01-10,7.1313496
1979-01-11,7.070082
1979-01-12,7.0255213
1979-01-13,6.989917
1979-01-14,6.9590178
1979-01-15,6.91442
1979-01-16,6.8605504
1979-01-17,6.8117547
1979-01-18,7.666715
1979-01-19,9.483124
1979-01-20,9.811555
1979-01-21,9.064364
1979-01-22,8.183442
1979-01-23,7.516731
1979-01-24,7.114286
1979-01-25,10.63223
1979-01-26,17.6109
1979-01-27,19.038027
1979-01-28,19.837479
1979-01-29,20.802876
1979-01-30,20.480206
1979-01-31,22.971684
1979-02-01,25.338224
1979-02-02,23.67107
1979-02-03,21.166445
1979-02-04,18.820316
1979-02-05,16.695606
1979-02-06,14.815862
1979-02-07,13.128827
1979-02-08,11.67701
1979-02-09,10.525974
1979-02-10,9.871194
1979-02-11,10.072221
1979-02-12,10.198355
1979-02-13,10.373134
1979-02-14,11.004699
1979-02-15,10.577268
1979-02-16,9.792238
1979-02-17,10.805676
1979-02-18,12.9120655
1979-02-19,17.733738
1979-02-20,23.386505
1979-02-21,29.529724
1979-02-22,35.791977
1979-02-23,45.06575
1979-02-24,56.809105
1979-02-25,70.15467
1979-02-26,74.18659
1979-02-27,86.237915
1979-02-28,87.19284
1979-03-01,79.76709
1979-03-02,72.12626
1979-03-03,64.611115
1979-03-04,58.19873
1979-03-05,55.815266
1979-03-06,51.935318
1979-03-07,46.824753
1979-03-08,42.070675
1979-03-09,37.771496
1979-03-10,37.04476
1979-03-11,34.81397
1979-03-12,36.2519
1979-03-13,35.976307
1979-03-14,35.41143
1979-03-15,32.919975
1979-03-16,30.425684
1979-03-17,30.14348
1979-03-18,28.891825
1979-03-19,26.793148
1979-03-20,25.865696
1979-03-21,29.175446
1979-03-22,31.228483
1979-03-23,29.612623
1979-03-24,30.736704
1979-03-25,29.046316
1979-03-26,26.080738
1979-03-27,30.589146
1979-03-28,38.426456
1979-03-29,42.840363
1979-03-30,43.449104
1979-03-31,42.61971
1979-04-01,50.286648
1979-04-02,51.54283
1979-04-03,52.424934
1979-04-04,50.026234
1979-04-05,48.793453
1979-04-06,50.950565
1979-04-07,52.884846
1979-04-08,58.247726
1979-04-09,65.92002
1979-04-10,79.447784
1979-04-11,90.11547
1979-04-12,103.12123
1979-04-13,96.20867
1979-04-14,97.54266
1979-04-15,98.94077
1979-04-16,100.2655
1979-04-17,92.90523
1979-04-18,84.66781
1979-04-19,76.99543
1979-04-20,69.29707
1979-04-21,62.26969
1979-04-22,56.353653
1979-04-23,51.19503
1979-04-24,46.35936
1979-04-25,51.903473
1979-04-26,58.04041
1979-04-27,59.71271
1979-04-28,59.002995
1979-04-29,54.609432
1979-04-30,49.486088
1979-05-01,44.95581
1979-05-02,50.66785
1979-05-03,55.009228
1979-05-04,53.357788
1979-05-05,51.16819
1979-05-06,52.39803
1979-05-07,56.25995
1979-05-08,60.081326
1979-05-09,66.312775
1979-05-10,71.33778
1979-05-11,76.15035
1979-05-12,78.31038
1979-05-13,78.61151
1979-05-14,80.18113
1979-05-15,79.15114
1979-05-16,82.93325
1979-05-17,82.81476
1979-05-18,76.021904
1979-05-19,68.55428
1979-05-20,61.637993
1979-05-21,55.743893
1979-05-22,50.213673
1979-05-23,45.36637
1979-05-24,41.01478
1979-05-25,37.230854
1979-05-26,34.164516
1979-05-27,31.270975
1979-05-28,28.828957
1979-05-29,26.775986
1979-05-30,27.960348
1979-05-31,30.783943
1979-06-01,30.88654
1979-06-02,28.677114
1979-06-03,26.230879
1979-06-04,24.427887
1979-06-05,22.907978
1979-06-06,21.79071
1979-06-07,20.523083
1979-06-08,19.14707
1979-06-09,17.736755
1979-06-10,21.65261
1979-06-11,23.26642
1979-06-12,24.533298
1979-06-13,25.228308
1979-06-14,26.156916
1979-06-15,31.888624
1979-06-16,46.613056
1979-06-17,57.629208
1979-06-18,59.3597
1979-06-19,58.407974
1979-06-20,53.953083
