time,dis
1979-01-02,4.1447444
1979-01-03,9.982378
1979-01-04,13.107337
1979-01-05,13.673037
1979-01-06,12.9883375
1979-01-07,13.247458
1979-01-08,33.865517
1979-01-09,40.605415
1979-01-10,42.3348
1979-01-11,47.474503
1979-01-12,55.233227
1979-01-13,69.47384
1979-01-14,68.5637
1979-01-15,63.55278
1979-01-16,61.85834
1979-01-17,61.208057
1979-01-18,58.200138
1979-01-19,55.765385
1979-01-20,54.476856
1979-01-21,52.617805
1979-01-22,49.0398
1979-01-23,46.002365
1979-01-24,45.211575
1979-01-25,45.171886
1979-01-26,46.602623
1979-01-27,50.70779
1979-01-28,62.65149
1979-01-29,69.8136
1979-01-30,79.78663
1979-01-31,80.79718
1979-02-01,98.48504
1979-02-02,96.7023
1979-02-03,92.469696
1979-02-04,93.77954
1979-02-05,94.909225
1979-02-06,98.835754
1979-02-07,99.10822
1979-02-08,95.65571
1979-02-09,94.213455
1979-02-10,97.07611
1979-02-11,98.668434
1979-02-12,102.47236
1979-02-13,98.25118
1979-02-14,100.00586
1979-02-15,108.98836
1979-02-16,113.99049
1979-02-17,129.68082
1979-02-18,130.84413
1979-02-19,138.49162
1979-02-20,136.94525
1979-02-21,136.61102
1979-02-22,141.24838
1979-02-23,152.5987
1979-02-24,177.47185
1979-02-25,186.09215
1979-02-26,201.35435
1979-02-27,194.79924
1979-02-28,198.46965
1979-03-01,187.2226
1979-03-02,171.71756
1979-03-03,156.83493
1979-03-04,148.94492
1979-03-05,147.2694
1979-03-06,141.15018
1979-03-07,134.40733
1979-03-08,134.35185
1979-03-09,129.43459
1979-03-10,126.33873
1979-03-11,122.83665
1979-03-12,118.7061
1979-03-13,114.562485
1979-03-14,115.45839
1979-03-15,114.38574
1979-03-16,119.491585
1979-03-17,126.46066
1979-03-18,130.92334
1979-03-19,131.33269
1979-03-20,122.83107
1979-03-21,112.80686
1979-03-22,104.81495
1979-03-23,105.30618
1979-03-24,109.13923
1979-03-25,107.34262
1979-03-26,105.26344
1979-03-27,113.599396
1979-03-28,118.38273
1979-03-29,117.80555
1979-03-30,118.42481
1979-03-31,123.017235
1979-04-01,127.256004
1979-04-02,127.79982
1979-04-03,116.39243
1979-04-04,107.41552
1979-04-05,102.79198
1979-04-06,117.130394
1979-04-07,132.93985
1979-04-08,147.8595
1979-04-09,161.865
1979-04-10,173.47331
1979-04-11,176.12074
1979-04-12,166.0289
1979-04-13,159.99554
1979-04-14,157.66016
1979-04-15,152.53328
1979-04-16,151.27025
1979-04-17,147.86456
1979-04-18,150.68462
1979-04-19,169.62213
1979-04-20,202.0894
1979-04-21,191.19637
1979-04-22,180.37737
1979-04-23,184.47575
1979-04-24,195.37589
1979-04-25,199.466
1979-04-26,210.22862
1979-04-27,215.60493
1979-04-28,204.29997
1979-04-29,199.77827
1979-04-30,198.76216
1979-05-01,190.38614
1979-05-02,183.8234
1979-05-03,185.39658
1979-05-04,200.62733
1979-05-05,195.18404
1979-05-06,188.17848
1979-05-07,196.82932
1979-05-08,196.972
1979-05-09,187.6462
1979-05-10,176.6164
1979-05-11,161.48102
1979-05-12,146.37602
1979-05-13,134.17345
1979-05-14,121.80025
1979-05-15,109.647255
1979-05-16,99.13913
1979-05-17,89.86696
1979-05-18,82.914856
1979-05-19,76.01667
1979-05-20,69.06873
1979-05-21,62.416027
