,CF_Wind,CF_PV,CF_CSP
AO,0.148718,0.170051,0.128399102
CM,0.15345,0.157,0.120311157
CF,0.148718,0.178234,0.124332897
TD,0.23669,0.179795,0.134971565
CG,0,0.137098,0.116098915
CD,0.154272,0.1692,0.122698501
GQ,0,0.136986,0.116097561
GA,0,0.137103,0.116103016
BI,0,0.179795,0.131005981
DJ,0.235223,0.179795,0.131869919
ER,0.206891,0.179795,0.132098962
ET,0.285841,0.179182,0.131466279
KE,0.260961,0.175001,0.126813128
RW,0,0.179795,0.131002784
SO,0.413289,0.168819,0.124235747
SD,0.222336,0.179258,0.130676495
TZ,0.20644,0.180046,0.130776889
UG,0.199232,0.179795,0.132085885
SS,0.285841,0.147077,0.130676495
DZ,0.176839,0.168196,0.128398105
EG,0.214772,0.146386,0.128578099
LY,0.265969,0.167758,0.126143207
MR,0.309189,0.162642,0.125232026
MA,0.227475,0.136986,0.132169702
TN,0.227241,0.137,0.119556418
