PowerCapacity,Unit,Year,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
0,,,,*,*,1,0,0,0.02,0.02,0,0,0,0,1,0,0,,,,,,,,,,,,
0,HR_BATs,2016,HR,BATS,OTH,0.95,0,0,1,1,0,0,0,0,0.95,0,0,,,,,,,,0,0,0,0.95,
0,HR_EVs,2016,HR,BEVS,OTH,0.95,0,0,1,1,0,0,0,0,0.95,0,0,,,,,,,,0,0,0,0.95,
420,XYZ,2009,XYZ,COMC,BIO,0.54,4,2,0.02,0.225,60,0,0.5,0.35,0.57,2,0,Extraction,0.95,0.213,,,,,,,,,
420,Amercoeur,2009,BE,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,
420,COMC Oil,,,COMC,OIL,0.55,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.48,,,,,,,,,,,,
64,XYZ,2009,XYZ,GTUR,BIO,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0,back-pressure,0.55,0,,,,,,,,,
64,Angleur 4 GT 1,2012,BE,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0,,,,,,,,,
65,,,,GTUR,GEO,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0,back-pressure,0.55,0,,,,,,,,,
70,GTUR Oil,1973,DE,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,back-pressure,0.55,0,,,,,,,,,
70,,,,GTUR,OTH,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.6,back-pressure,0.55,0,,,,,,,,,
0,,,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0,0,1,0,0,,,,,,,,0,,,,
0,,,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0,0,1,0,0,,,,,,,,0,0,0,0.8,
0,,,,HROR,WAT,1,0,0,0.067,0.067,0,0,0,0,1,0,0,,,,,,,,,,,,
25,PZ Osatina_Bovis,1989,HR,ICEN,BIO,0.46,0,0,0.04,0.24,8,0,0.8,0.15,0.49,0,0,back-pressure,0.75,0,,,,,,,,,
10,Wartsila 34SG,2017,UK,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0,,,,,,,,,
10,ICEN Oil,,DE,ICEN,OIL,0.46,0,0,1,1,8,0,0.8,0,0.49,0,0.627,back-pressure,0.75,0,,,,,,,,,
45,Icen Zgb,1970,HR,ICEN,WST,0.46,0,0,0.04,0.24,8,0,0.8,0.15,0.49,0,0.162,back-pressure,0.81,0.14,,,,,,,,,
0.003,HP,2016,Z1,P2HT,OTH,1,0,0,1,1,0,0,0,0,0,0,0,,,,3,10,0.01,0.01,,,,,
0,,,,PHOT,SUN,1,0,0,0.02,0.12,0,0,0,0,1,0,0,,,,,,,,,,,,
150,Andasol solar power station,2011,ES,SCSP,SUN,0.25,5,5,0.02,0.22,1,0,0,0,0.2,1,0,,,,,,,,0,0,0,0.95,
150,,,,STUR,*,0.44,4,2,0.02,0.23,65,0,1.8,0.38,0.3,4,0,,,,,,,,,,,,
180,Rodenhuize,2009,BE,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0,Extraction,0.45,0.238,,,,,,,,,
120,Herrenhausen B,1975,DE,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,
40,Svartsengi,2014,IC,STUR,GEO,0.4,2,2,0.02,0.23,57,0,1.8,0.2,0.38,2,0,Extraction,0.22,0.169,,,,,,,,,
764,Westfalen D,2015,DE,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,
604,Neurath E,1976,DE,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,Extraction,0.45,0.236,,,,,,,,,
1008,Tihange 2,1983,BE,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.5,0.34,40,0,,,,,,,,,,,,
386,Ingolstadt 3 - Großmehring,1973,DE,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,
120,HR_STUR_OTH,2016,HR,STUR,OTH,0.44,6,6,0.02,0.23,57,0,1.8,0.4,0.38,2,0.6,back-pressure,0.55,0,,,,,,,,,
25,Vao,2009,BE,STUR,PEA,0.44,8,6,0.02,0.23,57,0,1.8,0.4,0.35,2,0.908,Extraction,0.5,0.2,,,,,,,,,
48,Müllheizkraftwerk Essen-Karnap,1987,DE,STUR,WST,0.44,5,6,0.02,0.23,57,0,1.8,0.4,0.2,2,0.162,Extraction,0.4,0.23,,,,,,,,,
