Fuel,Technology,Process,Cooling,Withdrawal,Consumption,,,,BIO,GAS,HRD,OIL,WST,GEO,PEA
BIO,STUR,AIR,Dry cooling - SUBCR,0,0.13,,,AO,,,,,,,
BIO,STUR,MDT/NDT,Cooling tower -SUBCR,3.326,2.095,,,BI,,,,,,,
BIO,STUR,OTF/OTS,Once-through -SUBCR,132.576,1.136,,,CD,,,,,,,
HRD,STUR,AIR,Dry cooling - SUBCR,0.322,0.322,,,CF,,,,,,,
HRD,STUR,MDT/NDT,Cooling tower -SUBCR,2.5,2.008,,,CG,,,,,,,
HRD,STUR,OTF/OTS,Once-through -SUBCR,102.54,0.43,,,CM,,,,,,,
OIL,COMC,AIR,Dry cooling - CC,0.015,0.015,,,DJ,,,,,,,
OIL,COMC,MDT/NDT,Cooling tower -CC,0.947,0.795,,,DZ,,OTF/OTS,,OTF/OTS,,,
OIL,COMC,OTF/OTS,Once-through -CC,34.091,0.379,,,EG,,OTF/OTS,,OTF/OTS,,,
OIL,STUR,AIR,Dry cooling - SUBCR,0.367,0.367,,,ER,,,,,,,
OIL,STUR,MDT/NDT,Cooling tower -SUBCR,4.545,2.765,,,ET,MDT/NDT,,,,,AIR,
OIL,STUR,OTF/OTS,Once-through -SUBCR,136.364,1.098,,,GA,,,,,,,
GAS,COMC,AIR,Dry cooling - CC,0.015,0.015,,,GQ,,,,,,,
GAS,COMC,MDT/NDT,Cooling tower -CC,0.947,0.795,,,KE,AIR,,OTF/OTS,,,MDT/NDT,
GAS,COMC,OTF/OTS,Once-through -CC,34.091,0.379,,,LY,OTF/OTS,,,OTF/OTS,,,
GAS,STUR,AIR,Dry cooling - SUBCR,0.367,0.367,,,MA,,MDT/NDT,OTF/OTS,,,,
GAS,STUR,MDT/NDT,Cooling tower -SUBCR,4.545,2.765,,,MR,,,,,,,
GAS,STUR,OTF/OTS,Once-through -SUBCR,136.364,1.098,,,RW,,,,,,,MDT/NDT
WIN,WTON,AIR,,0.004,0.001,,,SD,,,,OTF/OTS,,,
WIN,WTOF,AIR,,0.004,0.001,,,SO,,,,OTF/OTS,,,
NUC,STUR,OTF/OTS,Once-through -SUBCR,178.03,1.515,,,SS,,,,,,,
GEO,STUR,AIR,Dry cooling - SUBCR,0.02,0.02,,,TD,,OTF/OTS,,OTF/OTS,,,
GEO,STUR,MDT/NDT,Cooling tower -SUBCR,0.068,0.042,,,TN,,,,,,,
GEO,STUR,OTF/OTS,Once-through -SUBCR,1.134,1.134,,,TZ,,,,,,,
SUN,STUR,AIR,,0.098,0.098,,,UG,,,,,,,
SUN,PHOT,AIR,,0.023,0.023,,,,,,,,,,
