TECHNOLOGIES 	  c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	 f_perc	 fmax_perc	 c_p	 tau	 gwp_constr 
 UNITS	[GW or GWh]	[MCHCapitalf/GW]	 [MCHCapitalf/GW]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.849000	0.025393	0.000000	%f\t
CCGT	5907.819180	150.990102	25.000000	0.000000	7.652697	100000.000000	0.000000	0.121320	1.000000	0.850000	0.048263	1406.489219	%f\t
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.868000	0.036934	0.000000	%f\t
COAL_IGCC	0.000000	0.000000	35.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.856000	0.036934	0.000000	%f\t
PV	51482.250000	639.977625	25.000000	3.846000	59.175000	100000.000000	0.000000	0.563309	1.000000	1.000000	0.048263	123168.620250	%f\t
WIND_ONSHORE	10400.000000	28.900000	30.000000	1.177000	10.000000	10.000000	0.000000	0.195071	1.000000	1.000000	0.041639	6228.500000	%f\t
WIND_OFFSHORE	6755.000000	34.230000	30.000000	0.692000	3.500000	3.500000	0.000000	0.115643	1.000000	1.000000	0.041639	2179.975000	%f\t
HYDRO_RIVER	605.390392	6.053376	40.000000	0.110000	0.120000	0.120000	0.000000	0.004658	1.000000	1.000000	0.033427	151.538400	%f\t
GEOTHERMAL	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.860000	0.041639	0.000000	%f\t
IND_COGEN_GAS	10499.375800	690.583030	25.000000	0.000000	7.456761	100000.000000	0.000000	0.744190	1.000000	0.850000	0.048263	7638.108956	%f\t
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.850000	0.048263	0.000000	%f\t
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.850000	0.048263	0.000000	%f\t
IND_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.950000	0.067080	0.000000	%f\t
IND_BOILER_WOOD	433.859210	8.677184	17.000000	0.000000	3.766815	100000.000000	0.000000	0.109199	1.000000	0.900000	0.067080	108.747950	%f\t
IND_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.950000	0.067080	0.000000	%f\t
IND_BOILER_COAL	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.900000	0.067080	0.000000	%f\t
IND_BOILER_WASTE	425.005428	8.500109	17.000000	0.000000	3.689946	100000.000000	0.000000	0.117162	1.000000	0.900000	0.067080	106.528727	%f\t
IND_DIRECT_ELEC	1663.936197	7.548216	15.000000	0.000000	5.006671	100000.000000	0.000000	0.029450	1.000000	0.950000	0.074944	7.359806	%f\t
DHN_HP_ELEC	10030.535452	348.999536	25.000000	0.000000	29.094192	100000.000000	0.000000	1.000000	1.000000	0.950000	0.048263	5085.373886	%f\t
DHN_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.850000	0.048263	0.000000	%f\t
DHN_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.850000	0.048263	0.000000	%f\t
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.750000	0.048263	0.000000	%f\t
DHN_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.850000	0.048263	0.000000	%f\t
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.950000	0.067080	0.000000	%f\t
DHN_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.900000	0.067080	0.000000	%f\t
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	0.950000	0.067080	0.000000	%f\t
DHN_DEEP_GEO	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.850000	0.041639	0.000000	%f\t
DHN_SOLAR	0.000000	0.000000	30.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.041639	0.000000	%f\t
DEC_HP_ELEC	14400.817668	616.101211	18.000000	0.000000	29.267548	100000.000000	0.000000	1.000000	1.000000	1.000000	0.063806	4825.926019	%f\t
DEC_THHP_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000	%f\t
DEC_COGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	%f\t
DEC_COGEN_OIL	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	%f\t
DEC_ADVCOGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	%f\t
DEC_ADVCOGEN_H2	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	%f\t
DEC_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.067080	0.000000	%f\t
DEC_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.067080	0.000000	%f\t
DEC_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.067080	0.000000	%f\t
DEC_SOLAR	0.000000	0.000000	20.000000	0.000000	0.000000	100000.000000	0.000000	0.000000	1.000000	1.000000	0.058246	0.000000	%f\t
