	BE_PV	BE_WIND_ONSHORE	BE_WIND_OFFSHORE	BE_HYDRO_RIVER
1	0	0.15775806	0.714385004	0.368087837
2	0	0.182757837	0.691529767	0.367839696
3	0	0.192561759	0.729854676	0.367610643
4	0	0.211292104	0.747714827	0.367362503
5	0	0.290587612	0.578892867	0.367123906
6	0	0.282846033	0.581104325	0.366875766
7	0	0.241476691	0.768362117	0.366627625
8	0	0.288589857	0.863303847	0.366379485
9	1.28606E-05	0.409847128	0.884049424	0.366131344
10	0.031775999	0.446926976	0.905346111	0.365883204
11	0.128566676	0.426951653	0.926618225	0.365654151
12	0.253755299	0.385562267	0.893509548	0.36540601
13	0.321705626	0.369658177	0.853025835	0.365167414
14	0.291044213	0.437152008	0.855676074	0.364919273
15	0.184217115	0.457973648	0.82204437	0.364671133
16	0.088006022	0.453537162	0.814725498	0.364422992
17	0.014028355	0.508665847	0.87808551	0.364174852
18	0	0.620885337	0.925807357	0.363926711
19	0	0.713944642	0.929387812	0.363678571
20	0	0.775886184	0.929387812	0.363459062
21	0	0.782732448	0.929387812	0.363210921
22	0	0.826034957	0.935478096	0.362962781
23	0	0.853266341	0.935123561	0.36271464
24	0	0.866159322	0.929387812	0.3624665
25	0	0.862749552	0.929387812	0.362218359
26	0	0.878083491	0.919359028	0.361970218
27	0	0.888571149	0.905633951	0.361722078
28	0	0.882831779	0.886910278	0.361502569
29	0	0.862751779	0.919738135	0.361254428
30	0	0.823997114	0.921177338	0.361006288
31	0	0.792491826	0.929682673	0.360758147
32	0	0.754962094	0.927471216	0.360510007
33	0	0.734278536	0.827186886	0.360261866
34	0.002387787	0.660758033	0.708168352	0.360013726
35	0.024310843	0.544810291	0.540599551	0.359765585
36	0.057986783	0.455630685	0.887903679	0.359546076
37	0.112998477	0.422218956	0.913963774	0.359297936
38	0.190313902	0.470390019	0.921868857	0.359049795
39	0.199906203	0.431492815	0.928201348	0.358801655
40	0.11912613	0.405911751	0.933080595	0.358553514
41	0.019296062	0.407749151	0.933080595	0.358305374
42	0	0.406145602	0.931609801	0.358057233
43	0	0.417410535	0.92303075	0.357809093
44	0	0.410989657	0.897297108	0.357589584
45	0	0.380450954	0.897219882	0.357341443
46	0	0.36295445	0.871317748	0.357093303
47	0	0.303010664	0.819875035	0.356845162
48	0	0.248376406	0.714065571	0.356597022
49	0	0.234378758	0.646272115	0.35644432
50	0	0.170047483	0.539177899	0.35644432
51	0	0.179797953	0.391248947	0.356425232
52	0	0.233091465	0.471672283	0.356425232
53	0	0.324128516	0.523020219	0.356425232
54	0	0.419642141	0.655588318	0.356425232
55	0	0.439610783	0.671577506	0.356396601
56	0	0.328295516	0.574887672	0.356396601
57	1.71475E-06	0.328529367	0.522714827	0.356396601
58	0.001401807	0.265741508	0.662952822	0.356396601
59	0.005600368	0.203597295	0.541203314	0.356367969
60	0.009955828	0.109103705	0.349315501	0.356367969
61	0.018857086	0.106947822	0.447788543	0.356367969
62	0.025908131	0.132188132	0.382701488	0.356367969
63	0.025198225	0.125110244	0.230560236	0.356348881
64	0.01001413	0.201056115	0.013609239	0.356348881
65	0.001226902	0.350823155	0.011780399	0.356348881
66	0	0.321981541	0.036285454	0.356348881
67	0	0.180539594	0.340332772	0.35632025
68	0	0.228859877	0.361969952	0.35632025
69	0	0.174065264	0.385825611	0.35632025
70	0	0.076578382	0.405700646	0.35632025
71	0	0.085883422	0.263188009	0.356301162
72	0	0.090199642	0.319067678	0.356301162
73	0	0.134936437	0.374785875	0.356301162
74	0	0.165299196	0.333129739	0.356301162
75	0	0.151368362	0.246317748	0.35627253
76	0	0.155530908	0.233182393	0.35627253
77	0	0.165860438	0.219320416	0.35627253
78	0	0.171976196	0.158666807	0.35627253
79	0	0.12588752	0.183968689	0.356243899
80	0	0.096967956	0.166828138	0.356243899
81	1.20032E-05	0.110874291	0.132813816	0.356243899
82	0.023863293	0.117969996	0.089802724	0.356243899
83	0.10634011	0.100277503	0.051354956	0.356224811
84	0.200073391	0.084068293	0.038570626	0.356224811
85	0.27124573	0.076380166	0.041491154	0.356224811
86	0.28491656	0.059932651	0.038510952	0.356224811
87	0.226070689	0.053919341	0.030528644	0.356196179
88	0.12198976	0.056222216	0.042888234	0.356196179
89	0.024515755	0.058237789	0.035211317	0.356196179
90	0	0.095270866	0.041754423	0.356196179
91	0	0.10069398	0.04255827	0.356177092
