,PHOT,WTOF,WTON,BEVS
1/1/2016 0:00,0,0,0,0.018125552
1/1/2016 1:00,0,0,0,0.047317883
1/1/2016 2:00,0,0,0,0.062101354
1/1/2016 3:00,0,0,0,0.062044357
1/1/2016 4:00,0,0,0,0.066303738
1/1/2016 5:00,0,0,0,0.070558915
1/1/2016 6:00,0.066,0,0,0.067211559
1/1/2016 7:00,0.259,0,0,0.065632384
1/1/2016 8:00,0.423,0,0,0.064985234
1/1/2016 9:00,0.547,0,0,0.070768859
1/1/2016 10:00,0.587,0,0,0.08787071
1/1/2016 11:00,0.574,0,0,0.099042951
1/1/2016 12:00,0.513,0,0,0.124575814
1/1/2016 13:00,0.357,0,0,0.175027999
1/1/2016 14:00,0.138,0,0,0.222498624
1/1/2016 15:00,0,0,0,0.254710456
1/1/2016 16:00,0,0,0,0.266540267
1/1/2016 17:00,0,0,0,0.289300079
1/1/2016 18:00,0,0,0,0.302155142
1/1/2016 19:00,0,0,0,0.320629179
1/1/2016 20:00,0,0,0,0.353273903
1/1/2016 21:00,0,0,0,0.380395028
1/1/2016 22:00,0,0,0,0.382444085
1/1/2016 23:00,0,0,0,0.414676389
1/2/2016 0:00,0,0,0,0.424925655
1/2/2016 1:00,0,0,0,0.42239516
1/2/2016 2:00,0,0,0,0.417886646
1/2/2016 3:00,0,0,0,0.409747884
1/2/2016 4:00,0,0,0,0.393684596
1/2/2016 5:00,0,0,0,0.373880243
1/2/2016 6:00,0.067,0,0,0.351173121
1/2/2016 7:00,0.269,0,0,0.325563439
1/2/2016 8:00,0.436,0,0,0.317124372
1/2/2016 9:00,0.536,0,0,0.307279174
1/2/2016 10:00,0.559,0,0,0.311745792
1/2/2016 11:00,0.46,0,0,0.303492785
1/2/2016 12:00,0.362,0,0,0.286187726
1/2/2016 13:00,0.248,0,0,0.278346333
1/2/2016 14:00,0.122,0,0,0.235401719
1/2/2016 15:00,0,0,0,0.248890154
1/2/2016 16:00,0,0,0,0.316638085
1/2/2016 17:00,0,0,0,0.368709823
1/2/2016 18:00,0,0,0,0.352598231
1/2/2016 19:00,0,0,0,0.381325744
1/2/2016 20:00,0,0,0,0.419056912
1/2/2016 21:00,0,0,0,0.472726207
1/2/2016 22:00,0,0,0,0.532906343
1/2/2016 23:00,0,0,0,0.546209851
1/3/2016 0:00,0,0,0,0.563179402
1/3/2016 1:00,0,0,0,0.557312382
1/3/2016 2:00,0,0,0,0.57209894
1/3/2016 3:00,0,0,0,0.564190661
1/3/2016 4:00,0,0,0,0.548786645
1/3/2016 5:00,0,0,0,0.522934513
1/3/2016 6:00,0.001,0,0,0.48665133
1/3/2016 7:00,0.01,0,0,0.449835716
1/3/2016 8:00,0.026,0,0,0.418696564
1/3/2016 9:00,0.043,0,0,0.381083586
1/3/2016 10:00,0.048,0,0,0.339117097
1/3/2016 11:00,0.049,0,0,0.330356654
1/3/2016 12:00,0.039,0,0,0.323629899
1/3/2016 13:00,0.016,0,0,0.353047995
1/3/2016 14:00,0.002,0,0,0.377262821
1/3/2016 15:00,0,0,0,0.400828311
1/3/2016 16:00,0,0,0,0.428597954
1/3/2016 17:00,0,0,0,0.45241188
1/3/2016 18:00,0,0,0,0.498614344
1/3/2016 19:00,0,0,0,0.497490465
1/3/2016 20:00,0,0,0,0.504589484
1/3/2016 21:00,0,0,0,0.528330584
1/3/2016 22:00,0,0,0,0.573758905
1/3/2016 23:00,0,0,0,0.636885764
1/4/2016 0:00,0,0,0,0.669408864
1/4/2016 1:00,0,0,0,0.670769516
1/4/2016 2:00,0,0,0,0.677488578
1/4/2016 3:00,0,0,0,0.671481716
1/4/2016 4:00,0,0,0,0.659842661
1/4/2016 5:00,0,0,0,0.642545136
1/4/2016 6:00,0.001,0,0,0.616789445
1/4/2016 7:00,0.012,0,0,0.572265858
1/4/2016 8:00,0.035,0,0,0.546583279
1/4/2016 9:00,0.053,0,0,0.50715487
1/4/2016 10:00,0.06,0,0,0.469141995
1/4/2016 11:00,0.04,0,0,0.43245043
1/4/2016 12:00,0.03,0,0,0.42441324
1/4/2016 13:00,0.017,0,0,0.434368496
1/4/2016 14:00,0.003,0,0,0.450592197
1/4/2016 15:00,0,0,0,0.482409597
1/4/2016 16:00,0,0,0,0.510357653
1/4/2016 17:00,0,0,0,0.542843859
1/4/2016 18:00,0,0,0,0.598861992
1/4/2016 19:00,0,0,0,0.620481267
1/4/2016 20:00,0,0,0,0.628515273
1/4/2016 21:00,0,0,0,0.649214572
1/4/2016 22:00,0,0,0,0.679718047
1/4/2016 23:00,0,0,0,0.694994837
1/5/2016 0:00,0,0,0,0.702347881
1/5/2016 1:00,0,0,0,0.692196182
1/5/2016 2:00,0,0,0,0.671179612
1/5/2016 3:00,0,0,0,0.630556005
1/5/2016 4:00,0,0,0,0.57695789
1/5/2016 5:00,0,0,0,0.512048009
1/5/2016 6:00,0.011,0,0,0.451377167
1/5/2016 7:00,0.08,0,0,0.422454174
1/5/2016 8:00,0.171,0,0,0.45477715
1/5/2016 9:00,0.302,0,0,0.502953215
1/5/2016 10:00,0.313,0,0,0.510131186
1/5/2016 11:00,0.262,0,0,0.490895927
1/5/2016 12:00,0.183,0,0,0.45297994
1/5/2016 13:00,0.092,0,0,0.44897534
1/5/2016 14:00,0.021,0,0,0.425151577
1/5/2016 15:00,0,0,0,0.408462038
1/5/2016 16:00,0,0,0,0.474642617
1/5/2016 17:00,0,0,0,0.632053394
1/5/2016 18:00,0,0,0,0.738981628
1/5/2016 19:00,0,0,0,0.77950155
1/5/2016 20:00,0,0,0,0.782679314
1/5/2016 21:00,0,0,0,0.825741262
1/5/2016 22:00,0,0,0,0.888243307
1/5/2016 23:00,0,0,0,0.874139818
1/6/2016 0:00,0,0,0,0.852412711
1/6/2016 1:00,0,0,0,0.834316977
1/6/2016 2:00,0,0,0,0.801309387
1/6/2016 3:00,0,0,0,0.745717715
1/6/2016 4:00,0,0,0,0.653996582
1/6/2016 5:00,0,0,0,0.556492776
1/6/2016 6:00,0.008,0,0,0.47674541
1/6/2016 7:00,0.042,0,0,0.48273198
1/6/2016 8:00,0.058,0,0,0.495560606
1/6/2016 9:00,0.06,0,0,0.519312056
1/6/2016 10:00,0.058,0,0,0.503533519
1/6/2016 11:00,0.048,0,0,0.516904591
1/6/2016 12:00,0.039,0,0,0.494538208
1/6/2016 13:00,0.019,0,0,0.488466541
1/6/2016 14:00,0.003,0,0,0.460385461
1/6/2016 15:00,0,0,0,0.463000031
1/6/2016 16:00,0,0,0,0.525309958
1/6/2016 17:00,0,0,0,0.60762545
1/6/2016 18:00,0,0,0,0.761800612
1/6/2016 19:00,0,0,0,0.815465173
1/6/2016 20:00,0,0,0,0.835466853
1/6/2016 21:00,0,0,0,0.868673508
1/6/2016 22:00,0,0,0,0.909760145
1/6/2016 23:00,0,0,0,0.912209671
1/7/2016 0:00,0,0,0,0.907923855
1/7/2016 1:00,0,0,0,0.894875531
1/7/2016 2:00,0,0,0,0.863424331
1/7/2016 3:00,0,0,0,0.819134292
1/7/2016 4:00,0,0,0,0.753274469
1/7/2016 5:00,0,0,0,0.67332552
1/7/2016 6:00,0.009,0,0,0.554389422
1/7/2016 7:00,0.057,0,0,0.481031878
1/7/2016 8:00,0.145,0,0,0.450086976
1/7/2016 9:00,0.243,0,0,0.474501529
1/7/2016 10:00,0.31,0,0,0.49219264
1/7/2016 11:00,0.349,0,0,0.484559006
1/7/2016 12:00,0.324,0,0,0.474373318
1/7/2016 13:00,0.236,0,0,0.45050669
1/7/2016 14:00,0.083,0,0,0.428669416
1/7/2016 15:00,0,0,0,0.416070258
1/7/2016 16:00,0,0,0,0.509632552
1/7/2016 17:00,0,0,0,0.612131209
1/7/2016 18:00,0,0,0,0.6785918
1/7/2016 19:00,0,0,0,0.741977567
1/7/2016 20:00,0,0,0,0.810372671
