,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0,0.079552,0.113228368,0.702347881
1/1/2016 1:00,0,0,0.045854,0.113231013,0.692196182
1/1/2016 2:00,0,0,0.025805,0.113233658,0.671179612
1/1/2016 3:00,0,0,0.014606,0.113236302,0.630556005
1/1/2016 4:00,0,0,0.007374,0.113238947,0.57695789
1/1/2016 5:00,0,0,0.004599,0.113241592,0.512048009
1/1/2016 6:00,0,0,0.005437,0.113244237,0.451377167
1/1/2016 7:00,0.014,0,0.006744,0.113246882,0.422454174
1/1/2016 8:00,0.068,0,0.00554,0.113249527,0.45477715
1/1/2016 9:00,0.15,0,0.006671,0.113252171,0.502953215
1/1/2016 10:00,0.247,0,0.013125,0.113254816,0.510131186
1/1/2016 11:00,0.308,0,0.023441,0.113257461,0.490895927
1/1/2016 12:00,0.296,0,0.03069,0.113260106,0.45297994
1/1/2016 13:00,0.223,0,0.028264,0.113262751,0.44897534
1/1/2016 14:00,0.097,0,0.033284,0.113265396,0.425151577
1/1/2016 15:00,0.002,0,0.045083,0.11326804,0.408462038
1/1/2016 16:00,0,0,0.06387,0.113270685,0.474642617
1/1/2016 17:00,0,0,0.076659,0.11327333,0.632053394
1/1/2016 18:00,0,0,0.076108,0.113275975,0.738981628
1/1/2016 19:00,0,0,0.067107,0.11327862,0.77950155
1/1/2016 20:00,0,0,0.048542,0.113281265,0.782679314
1/1/2016 21:00,0,0,0.026645,0.113283909,0.825741262
1/1/2016 22:00,0,0,0.009193,0.113286554,0.888243307
1/1/2016 23:00,0,0,0.003743,0.113289199,0.874139818
1/2/2016 0:00,0,0,0.012285,0.113291844,0.852412711
1/2/2016 1:00,0,0,0.037758,0.11330004,0.834316977
1/2/2016 2:00,0,0,0.079389,0.113308236,0.801309387
1/2/2016 3:00,0,0,0.115516,0.113316432,0.745717715
1/2/2016 4:00,0,0,0.13665,0.113324628,0.653996582
1/2/2016 5:00,0,0,0.15084,0.113332824,0.556492776
1/2/2016 6:00,0,0,0.17419,0.11334102,0.47674541
1/2/2016 7:00,0.028,0,0.194831,0.113349216,0.48273198
1/2/2016 8:00,0.092,0,0.243143,0.113357412,0.495560606
1/2/2016 9:00,0.147,0,0.308629,0.113365608,0.519312056
1/2/2016 10:00,0.172,0,0.350254,0.113373804,0.503533519
1/2/2016 11:00,0.154,0,0.36717,0.113382,0.516904591
1/2/2016 12:00,0.117,0,0.385772,0.113390197,0.494538208
1/2/2016 13:00,0.061,0,0.401631,0.113398393,0.488466541
1/2/2016 14:00,0.015,0,0.398719,0.113406589,0.460385461
1/2/2016 15:00,0,0,0.393606,0.113414785,0.463000031
1/2/2016 16:00,0,0,0.419316,0.113422981,0.525309958
1/2/2016 17:00,0,0,0.432931,0.113431177,0.60762545
1/2/2016 18:00,0,0,0.440959,0.113439373,0.761800612
1/2/2016 19:00,0,0,0.417417,0.113447569,0.815465173
1/2/2016 20:00,0,0,0.381901,0.113455765,0.835466853
1/2/2016 21:00,0,0,0.343524,0.113463961,0.868673508
1/2/2016 22:00,0,0,0.318875,0.113472157,0.909760145
1/2/2016 23:00,0,0,0.296519,0.113480353,0.912209671
1/3/2016 0:00,0,0,0.281878,0.113488549,0.907923855
1/3/2016 1:00,0,0,0.282915,0.113507877,0.894875531
1/3/2016 2:00,0,0,0.28179,0.113527204,0.863424331
1/3/2016 3:00,0,0,0.247854,0.113546532,0.819134292
1/3/2016 4:00,0,0,0.215294,0.11356586,0.753274469
1/3/2016 5:00,0,0,0.18731,0.113585187,0.67332552
1/3/2016 6:00,0,0,0.165266,0.113604515,0.554389422
1/3/2016 7:00,0.012,0,0.178666,0.113623842,0.481031878
1/3/2016 8:00,0.056,0,0.19705,0.11364317,0.450086976
1/3/2016 9:00,0.109,0,0.199207,0.113662497,0.474501529
1/3/2016 10:00,0.143,0,0.188067,0.113681825,0.49219264
1/3/2016 11:00,0.15,0,0.169858,0.113701153,0.484559006
1/3/2016 12:00,0.135,0,0.154381,0.11372048,0.474373318
1/3/2016 13:00,0.103,0,0.154253,0.113739808,0.45050669
