,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0.384447,0.264675,0.050489615,0.702347881
1/1/2016 1:00,0,0.292832,0.213352,0.05061247,0.692196182
1/1/2016 2:00,0,0.215165,0.164488,0.050735325,0.671179612
1/1/2016 3:00,0,0.115623,0.120157,0.05085818,0.630556005
1/1/2016 4:00,0,0.035189,0.074766,0.050981036,0.57695789
1/1/2016 5:00,0,0.001706,0.03913,0.051103891,0.512048009
1/1/2016 6:00,0,0,0.023124,0.051226746,0.451377167
1/1/2016 7:00,0,0.001063,0.022464,0.051349601,0.422454174
1/1/2016 8:00,0.009,0.019228,0.026835,0.051472456,0.45477715
1/1/2016 9:00,0.033,0.054899,0.028683,0.051595311,0.502953215
1/1/2016 10:00,0.062,0.107036,0.040295,0.051718166,0.510131186
1/1/2016 11:00,0.081,0.170285,0.067018,0.051841021,0.490895927
1/1/2016 12:00,0.076,0.253946,0.100922,0.051963876,0.45297994
1/1/2016 13:00,0.044,0.33828,0.125056,0.052086731,0.44897534
1/1/2016 14:00,0.016,0.383455,0.170741,0.052209586,0.425151577
1/1/2016 15:00,0,0.420426,0.225794,0.052332441,0.408462038
1/1/2016 16:00,0,0.455808,0.25266,0.052455296,0.474642617
1/1/2016 17:00,0,0.479658,0.252733,0.052578152,0.632053394
1/1/2016 18:00,0,0.497809,0.265379,0.052701007,0.738981628
1/1/2016 19:00,0,0.52867,0.294861,0.052823862,0.77950155
1/1/2016 20:00,0,0.55388,0.328051,0.052946717,0.782679314
1/1/2016 21:00,0,0.593347,0.362342,0.053069572,0.825741262
1/1/2016 22:00,0,0.643353,0.401123,0.053192427,0.888243307
1/1/2016 23:00,0,0.680285,0.424375,0.053315282,0.874139818
1/2/2016 0:00,0,0.69569,0.427264,0.053438137,0.852412711
1/2/2016 1:00,0,0.700267,0.426583,0.05364063,0.834316977
1/2/2016 2:00,0,0.685319,0.417334,0.053843124,0.801309387
1/2/2016 3:00,0,0.661519,0.415664,0.054045617,0.745717715
1/2/2016 4:00,0,0.630426,0.412364,0.05424811,0.653996582
1/2/2016 5:00,0,0.598791,0.387596,0.054450603,0.556492776
1/2/2016 6:00,0,0.561,0.386094,0.054653096,0.47674541
1/2/2016 7:00,0,0.514607,0.381227,0.05485559,0.48273198
1/2/2016 8:00,0.003,0.492222,0.359143,0.055058083,0.495560606
1/2/2016 9:00,0.031,0.475717,0.306361,0.055260576,0.519312056
1/2/2016 10:00,0.095,0.497732,0.287325,0.055463069,0.503533519
1/2/2016 11:00,0.154,0.512834,0.310217,0.055665562,0.516904591
1/2/2016 12:00,0.165,0.54131,0.334543,0.055868056,0.494538208
