,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0,0.085529,0.073169175,0.702347881
1/1/2016 1:00,0,0,0.07447,0.073343363,0.692196182
1/1/2016 2:00,0,0,0.069956,0.07351755,0.671179612
1/1/2016 3:00,0,0,0.068751,0.073691738,0.630556005
1/1/2016 4:00,0,0,0.069107,0.073865925,0.57695789
1/1/2016 5:00,0,0,0.073487,0.074040113,0.512048009
1/1/2016 6:00,0,0,0.075981,0.0742143,0.451377167
1/1/2016 7:00,0.008,0,0.075153,0.074388488,0.422454174
1/1/2016 8:00,0.045,0,0.068387,0.074562675,0.45477715
1/1/2016 9:00,0.115,0,0.06013,0.074736863,0.502953215
1/1/2016 10:00,0.173,0,0.05792,0.07491105,0.510131186
1/1/2016 11:00,0.21,0,0.055049,0.075085238,0.490895927
1/1/2016 12:00,0.209,0,0.053537,0.075259425,0.45297994
1/1/2016 13:00,0.151,0,0.053703,0.075433613,0.44897534
1/1/2016 14:00,0.047,0,0.066377,0.0756078,0.425151577
1/1/2016 15:00,0,0,0.073256,0.075781988,0.408462038
1/1/2016 16:00,0,0,0.06325,0.075956175,0.474642617
1/1/2016 17:00,0,0,0.048506,0.076130363,0.632053394
1/1/2016 18:00,0,0,0.033667,0.07630455,0.738981628
1/1/2016 19:00,0,0,0.022916,0.076478738,0.77950155
1/1/2016 20:00,0,0,0.021066,0.076652925,0.782679314
1/1/2016 21:00,0,0,0.031217,0.076827113,0.825741262
1/1/2016 22:00,0,0,0.040009,0.0770013,0.888243307
1/1/2016 23:00,0,0,0.049513,0.077175488,0.874139818
1/2/2016 0:00,0,0,0.059051,0.077349675,0.852412711
1/2/2016 1:00,0,0,0.067496,0.077568561,0.834316977
1/2/2016 2:00,0,0,0.06975,0.077787446,0.801309387
1/2/2016 3:00,0,0,0.070021,0.078006331,0.745717715
1/2/2016 4:00,0,0,0.074366,0.078225216,0.653996582
1/2/2016 5:00,0,0,0.094919,0.078444102,0.556492776
1/2/2016 6:00,0,0,0.121026,0.078662987,0.47674541
1/2/2016 7:00,0.019,0,0.145566,0.078881872,0.48273198
