,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0.268761,0.228602,0.113228368,0.702347881
1/1/2016 1:00,0,0.26624,0.23531,0.113231013,0.692196182
1/1/2016 2:00,0,0.265605,0.217089,0.113233658,0.671179612
1/1/2016 3:00,0,0.243402,0.200256,0.113236302,0.630556005
1/1/2016 4:00,0,0.195785,0.180941,0.113238947,0.57695789
1/1/2016 5:00,0,0.150238,0.167745,0.113241592,0.512048009
1/1/2016 6:00,0,0.131822,0.142919,0.113244237,0.451377167
1/1/2016 7:00,0,0.129209,0.119814,0.113246882,0.422454174
1/1/2016 8:00,0.001,0.122276,0.097487,0.113249527,0.45477715
1/1/2016 9:00,0.011,0.110305,0.079882,0.113252171,0.502953215
1/1/2016 10:00,0.027,0.094049,0.068234,0.113254816,0.510131186
1/1/2016 11:00,0.037,0.077869,0.058095,0.113257461,0.490895927
1/1/2016 12:00,0.036,0.058686,0.048262,0.113260106,0.45297994
1/1/2016 13:00,0.024,0.037941,0.035877,0.113262751,0.44897534
1/1/2016 14:00,0.003,0.023093,0.018754,0.113265396,0.425151577
1/1/2016 15:00,0,0.019358,0.004978,0.11326804,0.408462038
1/1/2016 16:00,0,0.027148,0.002587,0.113270685,0.474642617
1/1/2016 17:00,0,0.049183,0.006565,0.11327333,0.632053394
1/1/2016 18:00,0,0.093808,0.022068,0.113275975,0.738981628
1/1/2016 19:00,0,0.146624,0.058533,0.11327862,0.77950155
1/1/2016 20:00,0,0.198391,0.09848,0.113281265,0.782679314
1/1/2016 21:00,0,0.245505,0.129714,0.113283909,0.825741262
1/1/2016 22:00,0,0.287764,0.157016,0.113286554,0.888243307
1/1/2016 23:00,0,0.340351,0.189933,0.113289199,0.874139818
1/2/2016 0:00,0,0.407344,0.239212,0.113291844,0.852412711
1/2/2016 1:00,0,0.489298,0.29333,0.11330004,0.834316977
1/2/2016 2:00,0,0.590559,0.380806,0.113308236,0.801309387
1/2/2016 3:00,0,0.679352,0.464139,0.113316432,0.745717715
1/2/2016 4:00,0,0.747945,0.541172,0.113324628,0.653996582
1/2/2016 5:00,0,0.811004,0.615885,0.113332824,0.556492776
1/2/2016 6:00,0,0.859457,0.676896,0.11334102,0.47674541
1/2/2016 7:00,0,0.895191,0.729169,0.113349216,0.48273198
1/2/2016 8:00,0.023,0.918622,0.766808,0.113357412,0.495560606
1/2/2016 9:00,0.075,0.927116,0.796081,0.113365608,0.519312056
1/2/2016 10:00,0.125,0.92553,0.808001,0.113373804,0.503533519
1/2/2016 11:00,0.147,0.918313,0.803687,0.113382,0.516904591
1/2/2016 12:00,0.118,0.912626,0.794908,0.113390197,0.494538208
1/2/2016 13:00,0.064,0.91046,0.79039,0.113398393,0.488466541
1/2/2016 14:00,0.008,0.912986,0.789965,0.113406589,0.460385461
1/2/2016 15:00,0,0.920388,0.789182,0.113414785,0.463000031
1/2/2016 16:00,0,0.927055,0.792984,0.113422981,0.525309958
1/2/2016 17:00,0,0.931156,0.799599,0.113431177,0.60762545
1/2/2016 18:00,0,0.933594,0.80185,0.113439373,0.761800612
1/2/2016 19:00,0,0.934037,0.799995,0.113447569,0.815465173
1/2/2016 20:00,0,0.931976,0.799742,0.113455765,0.835466853
1/2/2016 21:00,0,0.930485,0.80256,0.113463961,0.868673508
1/2/2016 22:00,0,0.931231,0.809149,0.113472157,0.909760145
1/2/2016 23:00,0,0.932908,0.8161,0.113480353,0.912209671
1/3/2016 0:00,0,0.935073,0.822781,0.113488549,0.907923855
1/3/2016 1:00,0,0.937595,0.827788,0.113507877,0.894875531
1/3/2016 2:00,0,0.938988,0.832532,0.113527204,0.863424331
1/3/2016 3:00,0,0.940833,0.837936,0.113546532,0.819134292
1/3/2016 4:00,0,0.93969,0.831826,0.11356586,0.753274469
1/3/2016 5:00,0,0.935738,0.822413,0.113585187,0.67332552
1/3/2016 6:00,0,0.929902,0.817383,0.113604515,0.554389422
1/3/2016 7:00,0,0.925861,0.819546,0.113623842,0.481031878
1/3/2016 8:00,0.069,0.921606,0.819441,0.11364317,0.450086976
