,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0,0.413371,0.023903754,0.702347881
1/1/2016 1:00,0,0,0.364367,0.02395013,0.692196182
1/1/2016 2:00,0,0,0.323405,0.023996506,0.671179612
1/1/2016 3:00,0,0,0.286937,0.024042883,0.630556005
1/1/2016 4:00,0,0,0.253831,0.024089259,0.57695789
1/1/2016 5:00,0,0,0.219923,0.024135635,0.512048009
1/1/2016 6:00,0.119,0,0.184737,0.024182011,0.451377167
1/1/2016 7:00,0.297,0,0.150765,0.024228388,0.422454174
1/1/2016 8:00,0.429,0,0.122004,0.024274764,0.45477715
1/1/2016 9:00,0.508,0,0.099271,0.02432114,0.502953215
1/1/2016 10:00,0.538,0,0.083155,0.024367516,0.510131186
1/1/2016 11:00,0.514,0,0.075572,0.024413893,0.490895927
1/1/2016 12:00,0.429,0,0.071184,0.024460269,0.45297994
1/1/2016 13:00,0.288,0,0.067303,0.024506645,0.44897534
1/1/2016 14:00,0.103,0,0.069199,0.024553022,0.425151577
1/1/2016 15:00,0,0,0.069833,0.024599398,0.408462038
1/1/2016 16:00,0,0,0.066644,0.024645774,0.474642617
1/1/2016 17:00,0,0,0.061568,0.02469215,0.632053394
1/1/2016 18:00,0,0,0.052226,0.024738527,0.738981628
1/1/2016 19:00,0,0,0.042991,0.024784903,0.77950155
1/1/2016 20:00,0,0,0.036562,0.024831279,0.782679314
1/1/2016 21:00,0,0,0.03098,0.024877655,0.825741262
1/1/2016 22:00,0,0,0.026505,0.024924032,0.888243307
1/1/2016 23:00,0,0,0.024282,0.024970408,0.874139818
1/2/2016 0:00,0,0,0.02236,0.025016784,0.852412711
1/2/2016 1:00,0,0,0.023876,0.02506069,0.834316977
1/2/2016 2:00,0,0,0.026252,0.025104595,0.801309387
1/2/2016 3:00,0,0,0.047675,0.025148501,0.745717715
1/2/2016 4:00,0,0,0.089942,0.025192407,0.653996582
1/2/2016 5:00,0,0,0.115201,0.025236312,0.556492776
1/2/2016 6:00,0.088,0,0.119178,0.025280218,0.47674541
1/2/2016 7:00,0.247,0,0.110925,0.025324123,0.48273198
1/2/2016 8:00,0.375,0,0.114492,0.025368029,0.495560606
1/2/2016 9:00,0.453,0,0.109299,0.025411935,0.519312056
1/2/2016 10:00,0.481,0,0.097085,0.02545584,0.503533519
1/2/2016 11:00,0.458,0,0.082492,0.025499746,0.516904591
1/2/2016 12:00,0.376,0,0.073987,0.025543651,0.494538208
1/2/2016 13:00,0.236,0,0.06611,0.025587557,0.488466541
1/2/2016 14:00,0.073,0,0.067855,0.025631463,0.460385461
1/2/2016 15:00,0,0,0.071426,0.025675368,0.463000031
1/2/2016 16:00,0,0,0.069874,0.025719274,0.525309958
1/2/2016 17:00,0,0,0.061719,0.025763179,0.60762545
1/2/2016 18:00,0,0,0.053794,0.025807085,0.761800612
1/2/2016 19:00,0,0,0.048844,0.025850991,0.815465173
1/2/2016 20:00,0,0,0.047342,0.025894896,0.835466853
1/2/2016 21:00,0,0,0.047357,0.025938802,0.868673508
1/2/2016 22:00,0,0,0.047327,0.025982707,0.909760145
1/2/2016 23:00,0,0,0.049124,0.026026613,0.912209671
1/3/2016 0:00,0,0,0.053461,0.026070518,0.907923855
1/3/2016 1:00,0,0,0.05917,0.02611473,0.894875531
1/3/2016 2:00,0,0,0.06746,0.026158942,0.863424331
1/3/2016 3:00,0,0,0.091711,0.026203154,0.819134292
1/3/2016 4:00,0,0,0.137302,0.026247366,0.753274469
1/3/2016 5:00,0,0,0.196204,0.026291578,0.67332552
1/3/2016 6:00,0.015,0,0.268493,0.02633579,0.554389422
1/3/2016 7:00,0.048,0,0.343807,0.026380002,0.481031878
1/3/2016 8:00,0.081,0,0.416555,0.026424213,0.450086976
1/3/2016 9:00,0.095,0,0.495933,0.026468425,0.474501529
