,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0.764097,0.657221,0.569981762,0.702347881
1/1/2016 1:00,0,0.752776,0.646375,0.569942312,0.692196182
1/1/2016 2:00,0,0.735821,0.631335,0.569902863,0.671179612
1/1/2016 3:00,0,0.724331,0.61785,0.569863413,0.630556005
1/1/2016 4:00,0,0.719454,0.61097,0.569823964,0.57695789
1/1/2016 5:00,0,0.706571,0.608267,0.569784514,0.512048009
1/1/2016 6:00,0,0.736985,0.616495,0.569745065,0.451377167
1/1/2016 7:00,0,0.745552,0.615747,0.569705615,0.422454174
1/1/2016 8:00,0.02,0.749498,0.616028,0.569666166,0.45477715
1/1/2016 9:00,0.055,0.733248,0.608436,0.569626717,0.502953215
1/1/2016 10:00,0.062,0.708947,0.58443,0.569587267,0.510131186
1/1/2016 11:00,0.033,0.703478,0.566371,0.569547818,0.490895927
1/1/2016 12:00,0.004,0.702324,0.558777,0.569508368,0.45297994
1/1/2016 13:00,0,0.695029,0.549278,0.569468919,0.44897534
1/1/2016 14:00,0,0.674682,0.527125,0.569429469,0.425151577
1/1/2016 15:00,0,0.634284,0.488915,0.56939002,0.408462038
1/1/2016 16:00,0,0.620905,0.470526,0.56935057,0.474642617
1/1/2016 17:00,0,0.60806,0.453327,0.569311121,0.632053394
1/1/2016 18:00,0,0.5806,0.426392,0.569271671,0.738981628
1/1/2016 19:00,0,0.552886,0.407014,0.569232222,0.77950155
1/1/2016 20:00,0,0.541094,0.391786,0.569192773,0.782679314
1/1/2016 21:00,0,0.514013,0.371372,0.569153323,0.825741262
1/1/2016 22:00,0,0.476955,0.340605,0.569113874,0.888243307
1/1/2016 23:00,0,0.439801,0.311969,0.569074424,0.874139818
1/2/2016 0:00,0,0.416104,0.29585,0.569034975,0.852412711
1/2/2016 1:00,0,0.410522,0.294389,0.56888785,0.834316977
1/2/2016 2:00,0,0.408625,0.292154,0.568740724,0.801309387
1/2/2016 3:00,0,0.40088,0.276566,0.568593599,0.745717715
1/2/2016 4:00,0,0.377516,0.267111,0.568446474,0.653996582
1/2/2016 5:00,0,0.39238,0.271045,0.568299349,0.556492776
1/2/2016 6:00,0,0.415876,0.274257,0.568152223,0.47674541
1/2/2016 7:00,0,0.431633,0.274647,0.568005098,0.48273198
1/2/2016 8:00,0.022,0.417722,0.266169,0.567857973,0.495560606
1/2/2016 9:00,0.064,0.409465,0.246996,0.567710848,0.519312056
1/2/2016 10:00,0.077,0.356866,0.217424,0.567563723,0.503533519
1/2/2016 11:00,0.044,0.311116,0.193119,0.567416597,0.516904591
1/2/2016 12:00,0.007,0.273064,0.175583,0.567269472,0.494538208
1/2/2016 13:00,0,0.232896,0.163125,0.567122347,0.488466541
1/2/2016 14:00,0,0.208437,0.144866,0.566975222,0.460385461
1/2/2016 15:00,0,0.189588,0.130065,0.566828097,0.463000031
1/2/2016 16:00,0,0.162136,0.11496,0.566680971,0.525309958
1/2/2016 17:00,0,0.136368,0.10144,0.566533846,0.60762545
1/2/2016 18:00,0,0.109064,0.086045,0.566386721,0.761800612
1/2/2016 19:00,0,0.078401,0.067114,0.566239596,0.815465173
