,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0,0.0063,0.184191986,0.702347881
1/1/2016 1:00,0,0,0.006152,0.184302764,0.692196182
1/1/2016 2:00,0,0,0.007036,0.184413543,0.671179612
1/1/2016 3:00,0,0,0.007418,0.184524322,0.630556005
1/1/2016 4:00,0,0,0.007246,0.184635101,0.57695789
1/1/2016 5:00,0,0,0.006945,0.18474588,0.512048009
1/1/2016 6:00,0.001,0,0.006089,0.184856659,0.451377167
1/1/2016 7:00,0.065,0,0.003967,0.184967438,0.422454174
1/1/2016 8:00,0.146,0,0.001173,0.185078216,0.45477715
1/1/2016 9:00,0.213,0,0.000142,0.185188995,0.502953215
1/1/2016 10:00,0.254,0,0.000953,0.185299774,0.510131186
1/1/2016 11:00,0.251,0,0.003966,0.185410553,0.490895927
1/1/2016 12:00,0.231,0,0.00735,0.185521332,0.45297994
1/1/2016 13:00,0.176,0,0.006843,0.185632111,0.44897534
1/1/2016 14:00,0.07,0,0.006305,0.185742889,0.425151577
1/1/2016 15:00,0,0,0.006524,0.185853668,0.408462038
1/1/2016 16:00,0,0,0.006881,0.185964447,0.474642617
1/1/2016 17:00,0,0,0.007122,0.186075226,0.632053394
1/1/2016 18:00,0,0,0.009048,0.186186005,0.738981628
1/1/2016 19:00,0,0,0.00982,0.186296784,0.77950155
1/1/2016 20:00,0,0,0.009164,0.186407562,0.782679314
1/1/2016 21:00,0,0,0.006807,0.186518341,0.825741262
1/1/2016 22:00,0,0,0.004536,0.18662912,0.888243307
1/1/2016 23:00,0,0,0.00435,0.186739899,0.874139818
1/2/2016 0:00,0,0,0.005106,0.186850678,0.852412711
1/2/2016 1:00,0,0,0.005501,0.187064685,0.834316977
1/2/2016 2:00,0,0,0.005225,0.187278692,0.801309387
1/2/2016 3:00,0,0,0.005309,0.187492698,0.745717715
1/2/2016 4:00,0,0,0.005328,0.187706705,0.653996582
1/2/2016 5:00,0,0,0.006052,0.187920712,0.556492776
1/2/2016 6:00,0.001,0,0.008626,0.188134719,0.47674541
1/2/2016 7:00,0.063,0,0.01419,0.188348726,0.48273198
1/2/2016 8:00,0.134,0,0.022536,0.188562733,0.495560606
1/2/2016 9:00,0.174,0,0.029894,0.188776739,0.519312056
1/2/2016 10:00,0.164,0,0.041002,0.188990746,0.503533519
1/2/2016 11:00,0.116,0,0.052402,0.189204753,0.516904591
1/2/2016 12:00,0.065,0,0.068399,0.18941876,0.494538208
1/2/2016 13:00,0.028,0,0.086797,0.189632767,0.488466541
1/2/2016 14:00,0.005,0,0.102246,0.189846774,0.460385461
1/2/2016 15:00,0,0,0.1037,0.190060781,0.463000031
1/2/2016 16:00,0,0,0.109856,0.190274787,0.525309958
1/2/2016 17:00,0,0,0.12668,0.190488794,0.60762545
1/2/2016 18:00,0,0,0.144413,0.190702801,0.761800612
1/2/2016 19:00,0,0,0.163754,0.190916808,0.815465173
1/2/2016 20:00,0,0,0.183094,0.191130815,0.835466853
1/2/2016 21:00,0,0,0.213829,0.191344822,0.868673508
1/2/2016 22:00,0,0,0.239716,0.191558828,0.909760145
1/2/2016 23:00,0,0,0.247038,0.191772835,0.912209671
1/3/2016 0:00,0,0,0.25556,0.191986842,0.907923855
1/3/2016 1:00,0,0,0.261122,0.192358021,0.894875531
1/3/2016 2:00,0,0,0.243405,0.1927292,0.863424331
1/3/2016 3:00,0,0,0.23957,0.193100379,0.819134292
1/3/2016 4:00,0,0,0.22362,0.193471558,0.753274469
1/3/2016 5:00,0,0,0.215695,0.193842737,0.67332552
1/3/2016 6:00,0,0,0.21439,0.194213915,0.554389422
1/3/2016 7:00,0.005,0,0.210692,0.194585094,0.481031878
1/3/2016 8:00,0.021,0,0.213388,0.194956273,0.450086976
1/3/2016 9:00,0.04,0,0.232125,0.195327452,0.474501529
1/3/2016 10:00,0.058,0,0.270591,0.195698631,0.49219264
1/3/2016 11:00,0.064,0,0.294422,0.19606981,0.484559006
1/3/2016 12:00,0.062,0,0.308915,0.196440989,0.474373318
1/3/2016 13:00,0.046,0,0.307166,0.196812168,0.45050669
1/3/2016 14:00,0.02,0,0.296192,0.197183347,0.428669416
1/3/2016 15:00,0,0,0.275764,0.197554526,0.416070258
1/3/2016 16:00,0,0,0.258983,0.197925704,0.509632552
1/3/2016 17:00,0,0,0.233175,0.198296883,0.612131209
1/3/2016 18:00,0,0,0.205111,0.198668062,0.6785918
1/3/2016 19:00,0,0,0.176521,0.199039241,0.6785918
1/3/2016 20:00,0,0,0.139733,0.19941042,0.6785918
1/3/2016 21:00,0,0,0.100912,0.199781599,0.6785918
1/3/2016 22:00,0,0,0.085018,0.200152778,0.6785918
1/3/2016 23:00,0,0,0.071644,0.200523957,0.6785918
1/4/2016 0:00,0,0,0.061063,0.200895136,0.6785918
1/4/2016 1:00,0,0,0.051833,0.201436154,0.670769516
1/4/2016 2:00,0,0,0.0395,0.201977173,0.677488578
1/4/2016 3:00,0,0,0.02842,0.202518192,0.671481716
1/4/2016 4:00,0,0,0.023328,0.203059211,0.659842661
1/4/2016 5:00,0,0,0.026369,0.203600229,0.642545136
1/4/2016 6:00,0,0,0.034475,0.204141248,0.616789445
1/4/2016 7:00,0.014,0,0.048296,0.204682267,0.572265858
1/4/2016 8:00,0.043,0,0.064729,0.205223285,0.546583279
1/4/2016 9:00,0.071,0,0.08901,0.205764304,0.50715487
1/4/2016 10:00,0.088,0,0.121555,0.206305323,0.469141995
1/4/2016 11:00,0.087,0,0.137036,0.206846342,0.43245043
1/4/2016 12:00,0.075,0,0.143766,0.20738736,0.42441324
1/4/2016 13:00,0.046,0,0.137364,0.207928379,0.434368496
1/4/2016 14:00,0.012,0,0.109477,0.208469398,0.450592197
1/4/2016 15:00,0,0,0.053264,0.209010417,0.482409597
1/4/2016 16:00,0,0,0.028451,0.209551435,0.510357653
1/4/2016 17:00,0,0,0.052832,0.210092454,0.542843859
1/4/2016 18:00,0,0,0.088287,0.210633473,0.598861992
1/4/2016 19:00,0,0,0.103699,0.211174492,0.620481267
1/4/2016 20:00,0,0,0.098393,0.21171551,0.628515273
1/4/2016 21:00,0,0,0.089983,0.212256529,0.649214572
1/4/2016 22:00,0,0,0.070774,0.212797548,0.679718047
1/4/2016 23:00,0,0,0.048113,0.213338567,0.694994837
1/5/2016 0:00,0,0,0.026227,0.213879585,0.702347881
1/5/2016 1:00,0,0,0.010505,0.21478336,0.692196182
1/5/2016 2:00,0,0,0.004654,0.215687135,0.671179612
1/5/2016 3:00,0,0,0.002162,0.216590909,0.630556005
1/5/2016 4:00,0,0,0.005404,0.217494684,0.57695789
1/5/2016 5:00,0,0,0.011171,0.218398458,0.512048009
1/5/2016 6:00,0.001,0,0.017357,0.219302233,0.451377167
1/5/2016 7:00,0.052,0,0.020661,0.220206007,0.422454174
1/5/2016 8:00,0.13,0,0.021334,0.221109782,0.45477715
1/5/2016 9:00,0.179,0,0.028521,0.222013557,0.502953215
1/5/2016 10:00,0.195,0,0.040792,0.222917331,0.510131186
1/5/2016 11:00,0.167,0,0.054591,0.223821106,0.490895927
1/5/2016 12:00,0.119,0,0.071372,0.22472488,0.45297994
1/5/2016 13:00,0.062,0,0.079975,0.225628655,0.44897534
1/5/2016 14:00,0.016,0,0.094611,0.22653243,0.425151577
1/5/2016 15:00,0,0,0.100135,0.227436204,0.408462038
1/5/2016 16:00,0,0,0.106856,0.228339979,0.474642617
1/5/2016 17:00,0,0,0.104775,0.229243753,0.632053394
1/5/2016 18:00,0,0,0.105646,0.230147528,0.738981628
1/5/2016 19:00,0,0,0.104157,0.231051302,0.77950155
1/5/2016 20:00,0,0,0.097813,0.231955077,0.782679314
1/5/2016 21:00,0,0,0.077663,0.232858852,0.825741262
1/5/2016 22:00,0,0,0.054894,0.233762626,0.888243307
1/5/2016 23:00,0,0,0.03345,0.234666401,0.874139818
1/6/2016 0:00,0,0,0.023371,0.235570175,0.852412711
1/6/2016 1:00,0,0,0.020456,0.236555024,0.834316977
1/6/2016 2:00,0,0,0.020255,0.237539872,0.801309387
1/6/2016 3:00,0,0,0.019329,0.238524721,0.745717715
1/6/2016 4:00,0,0,0.019916,0.239509569,0.653996582
1/6/2016 5:00,0,0,0.020307,0.240494418,0.556492776
1/6/2016 6:00,0,0,0.018206,0.241479266,0.47674541
1/6/2016 7:00,0.024,0,0.020595,0.242464115,0.48273198
1/6/2016 8:00,0.074,0,0.023952,0.243448963,0.495560606
1/6/2016 9:00,0.117,0,0.035884,0.244433812,0.519312056
1/6/2016 10:00,0.122,0,0.048352,0.24541866,0.503533519
1/6/2016 11:00,0.103,0,0.070253,0.246403509,0.516904591
1/6/2016 12:00,0.069,0,0.100826,0.247388357,0.494538208
1/6/2016 13:00,0.032,0,0.141597,0.248373206,0.488466541
1/6/2016 14:00,0.007,0,0.190933,0.249358054,0.460385461
1/6/2016 15:00,0,0,0.219205,0.250342903,0.463000031
1/6/2016 16:00,0,0,0.247259,0.251327751,0.525309958
1/6/2016 17:00,0,0,0.338834,0.2523126,0.60762545
1/6/2016 18:00,0,0,0.389139,0.253297448,0.761800612
1/6/2016 19:00,0,0,0.30302,0.254282297,0.815465173
1/6/2016 20:00,0,0,0.201503,0.255267145,0.835466853
1/6/2016 21:00,0,0,0.151555,0.256251994,0.868673508
1/6/2016 22:00,0,0,0.151753,0.257236842,0.909760145
1/6/2016 23:00,0,0,0.187149,0.258221691,0.912209671
1/7/2016 0:00,0,0,0.222338,0.259206539,0.907923855
1/7/2016 1:00,0,0,0.240232,0.259888108,0.894875531
1/7/2016 2:00,0,0,0.24669,0.260569677,0.863424331
1/7/2016 3:00,0,0,0.241207,0.261251246,0.819134292
1/7/2016 4:00,0,0,0.236211,0.261932815,0.753274469
1/7/2016 5:00,0,0,0.222246,0.262614384,0.67332552
1/7/2016 6:00,0.002,0,0.197087,0.263295953,0.554389422
1/7/2016 7:00,0.125,0,0.158677,0.263977522,0.481031878
1/7/2016 8:00,0.278,0,0.122079,0.264659091,0.450086976
