,PHOT,WTOF,WTON,BEVS
1/1/2016 0:00,0,0,0.110338,0.702347881
1/1/2016 1:00,0,0,0.093862,0.692196182
1/1/2016 2:00,0,0,0.076784,0.671179612
1/1/2016 3:00,0,0,0.061816,0.630556005
1/1/2016 4:00,0,0,0.044728,0.57695789
1/1/2016 5:00,0,0,0.030807,0.512048009
1/1/2016 6:00,0.006,0,0.020232,0.451377167
1/1/2016 7:00,0.123,0,0.012347,0.422454174
1/1/2016 8:00,0.238,0,0.009162,0.45477715
1/1/2016 9:00,0.307,0,0.006894,0.502953215
1/1/2016 10:00,0.33,0,0.007507,0.510131186
1/1/2016 11:00,0.31,0,0.007456,0.490895927
1/1/2016 12:00,0.256,0,0.008905,0.45297994
1/1/2016 13:00,0.151,0,0.010046,0.44897534
1/1/2016 14:00,0.03,0,0.009562,0.425151577
1/1/2016 15:00,0,0,0.010232,0.408462038
1/1/2016 16:00,0,0,0.017928,0.474642617
1/1/2016 17:00,0,0,0.026104,0.632053394
1/1/2016 18:00,0,0,0.025857,0.738981628
1/1/2016 19:00,0,0,0.020952,0.77950155
1/1/2016 20:00,0,0,0.013738,0.782679314
1/1/2016 21:00,0,0,0.007331,0.825741262
1/1/2016 22:00,0,0,0.004484,0.888243307
1/1/2016 23:00,0,0,0.010176,0.874139818
1/2/2016 0:00,0,0,0.027966,0.852412711
1/2/2016 1:00,0,0,0.056439,0.834316977
1/2/2016 2:00,0,0,0.08481,0.801309387
1/2/2016 3:00,0,0,0.101936,0.745717715
1/2/2016 4:00,0,0,0.117854,0.653996582
1/2/2016 5:00,0,0,0.133637,0.556492776
1/2/2016 6:00,0.005,0,0.150932,0.47674541
1/2/2016 7:00,0.114,0,0.164034,0.48273198
1/2/2016 8:00,0.264,0,0.194909,0.495560606
1/2/2016 9:00,0.373,0,0.238793,0.519312056
1/2/2016 10:00,0.401,0,0.254793,0.503533519
1/2/2016 11:00,0.372,0,0.258192,0.516904591
1/2/2016 12:00,0.293,0,0.274096,0.494538208
1/2/2016 13:00,0.169,0,0.304887,0.488466541
1/2/2016 14:00,0.033,0,0.316675,0.460385461
1/2/2016 15:00,0,0,0.344255,0.463000031
1/2/2016 16:00,0,0,0.38569,0.525309958
1/2/2016 17:00,0,0,0.403943,0.60762545
1/2/2016 18:00,0,0,0.386483,0.761800612
1/2/2016 19:00,0,0,0.345959,0.815465173
1/2/2016 20:00,0,0,0.308584,0.835466853
1/2/2016 21:00,0,0,0.27009,0.868673508
1/2/2016 22:00,0,0,0.258595,0.909760145
1/2/2016 23:00,0,0,0.268021,0.912209671
1/3/2016 0:00,0,0,0.283725,0.907923855
1/3/2016 1:00,0,0,0.306694,0.894875531
1/3/2016 2:00,0,0,0.31461,0.863424331
1/3/2016 3:00,0,0,0.289929,0.819134292
1/3/2016 4:00,0,0,0.274446,0.753274469
1/3/2016 5:00,0,0,0.252849,0.67332552
1/3/2016 6:00,0.005,0,0.228825,0.554389422
1/3/2016 7:00,0.106,0,0.255052,0.481031878
1/3/2016 8:00,0.208,0,0.247493,0.450086976
1/3/2016 9:00,0.297,0,0.232671,0.474501529
1/3/2016 10:00,0.337,0,0.205076,0.49219264
1/3/2016 11:00,0.318,0,0.175068,0.484559006
1/3/2016 12:00,0.25,0,0.147502,0.474373318
1/3/2016 13:00,0.13,0,0.12541,0.45050669
1/3/2016 14:00,0.021,0,0.099834,0.428669416
1/3/2016 15:00,0,0,0.092354,0.416070258
1/3/2016 16:00,0,0,0.104871,0.509632552
1/3/2016 17:00,0,0,0.125708,0.612131209
1/3/2016 18:00,0,0,0.141156,0.6785918
1/3/2016 19:00,0,0,0.147916,0.6785918
1/3/2016 20:00,0,0,0.157387,0.6785918
1/3/2016 21:00,0,0,0.183693,0.6785918
1/3/2016 22:00,0,0,0.219516,0.6785918
1/3/2016 23:00,0,0,0.25411,0.6785918
1/4/2016 0:00,0,0,0.279769,0.6785918
1/4/2016 1:00,0,0,0.305624,0.670769516
1/4/2016 2:00,0,0,0.33978,0.677488578
1/4/2016 3:00,0,0,0.387865,0.671481716
1/4/2016 4:00,0,0,0.413517,0.659842661
1/4/2016 5:00,0,0,0.466115,0.642545136
1/4/2016 6:00,0.001,0,0.557299,0.616789445
1/4/2016 7:00,0.036,0,0.59675,0.572265858
1/4/2016 8:00,0.07,0,0.614551,0.546583279
1/4/2016 9:00,0.082,0,0.585926,0.50715487
1/4/2016 10:00,0.071,0,0.527861,0.469141995
1/4/2016 11:00,0.053,0,0.46827,0.43245043
1/4/2016 12:00,0.036,0,0.39664,0.42441324
1/4/2016 13:00,0.019,0,0.317012,0.434368496
1/4/2016 14:00,0.002,0,0.241462,0.450592197
1/4/2016 15:00,0,0,0.199647,0.482409597
1/4/2016 16:00,0,0,0.177566,0.510357653
1/4/2016 17:00,0,0,0.143361,0.542843859
1/4/2016 18:00,0,0,0.105469,0.598861992
1/4/2016 19:00,0,0,0.07532,0.620481267
1/4/2016 20:00,0,0,0.059009,0.628515273
1/4/2016 21:00,0,0,0.051486,0.649214572
1/4/2016 22:00,0,0,0.0578,0.679718047
1/4/2016 23:00,0,0,0.070454,0.694994837
1/5/2016 0:00,0,0,0.07308,0.702347881
1/5/2016 1:00,0,0,0.072327,0.692196182
1/5/2016 2:00,0,0,0.074407,0.671179612
1/5/2016 3:00,0,0,0.083488,0.630556005
1/5/2016 4:00,0,0,0.089865,0.57695789
1/5/2016 5:00,0,0,0.095432,0.512048009
1/5/2016 6:00,0.001,0,0.10509,0.451377167
1/5/2016 7:00,0.058,0,0.128546,0.422454174
1/5/2016 8:00,0.144,0,0.141847,0.45477715
1/5/2016 9:00,0.215,0,0.143907,0.502953215
1/5/2016 10:00,0.249,0,0.130755,0.510131186
1/5/2016 11:00,0.233,0,0.10828,0.490895927
1/5/2016 12:00,0.178,0,0.098133,0.45297994
1/5/2016 13:00,0.092,0,0.100256,0.44897534
1/5/2016 14:00,0.015,0,0.111255,0.425151577
1/5/2016 15:00,0,0,0.1113,0.408462038
1/5/2016 16:00,0,0,0.107483,0.474642617
1/5/2016 17:00,0,0,0.107613,0.632053394
1/5/2016 18:00,0,0,0.103698,0.738981628
1/5/2016 19:00,0,0,0.09723,0.77950155
1/5/2016 20:00,0,0,0.089882,0.782679314
1/5/2016 21:00,0,0,0.077926,0.825741262
1/5/2016 22:00,0,0,0.061371,0.888243307
1/5/2016 23:00,0,0,0.055973,0.874139818
1/6/2016 0:00,0,0,0.059428,0.852412711
1/6/2016 1:00,0,0,0.065764,0.834316977
1/6/2016 2:00,0,0,0.068376,0.801309387
1/6/2016 3:00,0,0,0.068561,0.745717715
1/6/2016 4:00,0,0,0.063775,0.653996582
1/6/2016 5:00,0,0,0.053246,0.556492776
1/6/2016 6:00,0.002,0,0.046369,0.47674541
1/6/2016 7:00,0.049,0,0.039047,0.48273198
1/6/2016 8:00,0.106,0,0.045134,0.495560606
1/6/2016 9:00,0.14,0,0.043396,0.519312056
1/6/2016 10:00,0.139,0,0.038496,0.503533519
1/6/2016 11:00,0.114,0,0.044626,0.516904591
1/6/2016 12:00,0.072,0,0.053784,0.494538208
1/6/2016 13:00,0.032,0,0.068854,0.488466541
1/6/2016 14:00,0.003,0,0.087378,0.460385461
1/6/2016 15:00,0,0,0.101035,0.463000031
1/6/2016 16:00,0,0,0.110724,0.525309958
1/6/2016 17:00,0,0,0.123898,0.60762545
1/6/2016 18:00,0,0,0.161052,0.761800612
1/6/2016 19:00,0,0,0.196078,0.815465173
1/6/2016 20:00,0,0,0.228637,0.835466853
1/6/2016 21:00,0,0,0.247213,0.868673508
1/6/2016 22:00,0,0,0.268536,0.909760145
1/6/2016 23:00,0,0,0.315743,0.912209671
1/7/2016 0:00,0,0,0.359217,0.907923855
1/7/2016 1:00,0,0,0.389822,0.894875531
1/7/2016 2:00,0,0,0.402554,0.863424331
1/7/2016 3:00,0,0,0.406226,0.819134292
1/7/2016 4:00,0,0,0.41388,0.753274469
1/7/2016 5:00,0,0,0.434726,0.67332552
1/7/2016 6:00,0,0,0.446916,0.554389422
1/7/2016 7:00,0.031,0,0.431324,0.481031878
1/7/2016 8:00,0.104,0,0.432038,0.450086976
1/7/2016 9:00,0.204,0,0.478166,0.474501529
1/7/2016 10:00,0.275,0,0.474084,0.49219264
1/7/2016 11:00,0.297,0,0.467546,0.484559006
1/7/2016 12:00,0.27,0,0.406065,0.474373318
1/7/2016 13:00,0.186,0,0.273197,0.45050669
1/7/2016 14:00,0.054,0,0.213426,0.428669416
1/7/2016 15:00,0,0,0.200813,0.416070258
1/7/2016 16:00,0,0,0.162378,0.509632552
1/7/2016 17:00,0,0,0.109621,0.612131209
1/7/2016 18:00,0,0,0.06631,0.6785918
1/7/2016 19:00,0,0,0.040881,0.741977567
