,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0.175637,0.283695,0.268550689,0.702347881
1/1/2016 1:00,0,0.11726,0.292626,0.268653044,0.692196182
1/1/2016 2:00,0,0.124669,0.312083,0.2687554,0.671179612
1/1/2016 3:00,0,0.179463,0.311642,0.268857755,0.630556005
1/1/2016 4:00,0,0.284304,0.318008,0.26896011,0.57695789
1/1/2016 5:00,0,0.399549,0.353872,0.269062466,0.512048009
1/1/2016 6:00,0,0.501618,0.377426,0.269164821,0.451377167
1/1/2016 7:00,0,0.622834,0.406449,0.269267177,0.422454174
1/1/2016 8:00,0,0.739363,0.477994,0.269369532,0.45477715
1/1/2016 9:00,0.003,0.825351,0.537514,0.269471887,0.502953215
1/1/2016 10:00,0.018,0.88698,0.612334,0.269574243,0.510131186
1/1/2016 11:00,0.025,0.928506,0.675873,0.269676598,0.490895927
1/1/2016 12:00,0.022,0.959232,0.74834,0.269778953,0.45297994
1/1/2016 13:00,0.016,0.968287,0.822994,0.269881309,0.44897534
1/1/2016 14:00,0.008,0.969056,0.871593,0.269983664,0.425151577
1/1/2016 15:00,0.001,0.960901,0.909696,0.27008602,0.408462038
1/1/2016 16:00,0,0.945922,0.916216,0.270188375,0.474642617
1/1/2016 17:00,0,0.954004,0.903132,0.27029073,0.632053394
1/1/2016 18:00,0,0.966325,0.87438,0.270393086,0.738981628
1/1/2016 19:00,0,0.966325,0.836809,0.270495441,0.77950155
1/1/2016 20:00,0,0.960696,0.777427,0.270597796,0.782679314
1/1/2016 21:00,0,0.93725,0.694693,0.270700152,0.825741262
1/1/2016 22:00,0,0.897246,0.597815,0.270802507,0.888243307
1/1/2016 23:00,0,0.857085,0.508501,0.270904862,0.874139818
1/2/2016 0:00,0,0.804361,0.435532,0.271007218,0.852412711
1/2/2016 1:00,0,0.738448,0.37147,0.271175532,0.834316977
1/2/2016 2:00,0,0.651816,0.322653,0.271343846,0.801309387
1/2/2016 3:00,0,0.561711,0.292501,0.27151216,0.745717715
1/2/2016 4:00,0,0.489189,0.285973,0.271680474,0.653996582
1/2/2016 5:00,0,0.416874,0.284288,0.271848787,0.556492776
1/2/2016 6:00,0,0.340022,0.285406,0.272017101,0.47674541
1/2/2016 7:00,0,0.256545,0.279077,0.272185415,0.48273198
1/2/2016 8:00,0,0.18916,0.280216,0.272353729,0.495560606
1/2/2016 9:00,0.006,0.118074,0.273017,0.272522043,0.519312056
1/2/2016 10:00,0.029,0.049731,0.2684,0.272690357,0.503533519
1/2/2016 11:00,0.058,0.023212,0.272931,0.272858671,0.516904591
1/2/2016 12:00,0.083,0.060139,0.283541,0.273026985,0.494538208
1/2/2016 13:00,0.101,0.141773,0.288622,0.273195299,0.488466541
1/2/2016 14:00,0.084,0.215236,0.250614,0.273363613,0.460385461
1/2/2016 15:00,0.033,0.248949,0.193899,0.273531927,0.463000031
1/2/2016 16:00,0,0.240364,0.144063,0.273700241,0.525309958
1/2/2016 17:00,0,0.207081,0.107422,0.273868555,0.60762545
1/2/2016 18:00,0,0.194078,0.087483,0.274036868,0.761800612
1/2/2016 19:00,0,0.18916,0.089661,0.274205182,0.815465173
1/2/2016 20:00,0,0.20506,0.114399,0.274373496,0.835466853
1/2/2016 21:00,0,0.243571,0.155164,0.27454181,0.868673508
1/2/2016 22:00,0,0.236111,0.206708,0.274710124,0.909760145
1/2/2016 23:00,0,0.16621,0.265019,0.274878438,0.912209671
1/3/2016 0:00,0,0.167144,0.333884,0.275046752,0.907923855
1/3/2016 1:00,0,0.232937,0.430427,0.275410515,0.894875531
1/3/2016 2:00,0,0.39462,0.482251,0.275774278,0.863424331
1/3/2016 3:00,0,0.645232,0.476683,0.276138041,0.819134292
1/3/2016 4:00,0,0.829485,0.491021,0.276501804,0.753274469
1/3/2016 5:00,0,0.92189,0.519929,0.276865568,0.67332552
1/3/2016 6:00,0,0.952533,0.521331,0.277229331,0.554389422
1/3/2016 7:00,0,0.913568,0.513778,0.277593094,0.481031878
1/3/2016 8:00,0,0.711939,0.490567,0.277956857,0.450086976
1/3/2016 9:00,0.009,0.403252,0.474711,0.27832062,0.474501529
1/3/2016 10:00,0.041,0.350786,0.430096,0.278684383,0.49219264
1/3/2016 11:00,0.068,0.305999,0.376275,0.279048146,0.484559006
1/3/2016 12:00,0.081,0.277557,0.333933,0.279411909,0.474373318
1/3/2016 13:00,0.074,0.291101,0.318642,0.279775673,0.45050669
1/3/2016 14:00,0.048,0.317613,0.303277,0.280139436,0.428669416
1/3/2016 15:00,0.014,0.340022,0.294049,0.280503199,0.416070258
1/3/2016 16:00,0,0.280924,0.297159,0.280866962,0.509632552
1/3/2016 17:00,0,0.224546,0.303088,0.281230725,0.612131209
1/3/2016 18:00,0,0.195068,0.306815,0.281594488,0.6785918
1/3/2016 19:00,0,0.194078,0.307157,0.281958251,0.6785918
1/3/2016 20:00,0,0.20607,0.311465,0.282322014,0.6785918
1/3/2016 21:00,0,0.255455,0.302525,0.282685778,0.6785918
1/3/2016 22:00,0,0.264221,0.285243,0.283049541,0.6785918
1/3/2016 23:00,0,0.246793,0.268236,0.283413304,0.6785918
1/4/2016 0:00,0,0.275319,0.250691,0.283777067,0.6785918
1/4/2016 1:00,0,0.238234,0.227575,0.284134473,0.670769516
1/4/2016 2:00,0,0.197051,0.197793,0.28449188,0.677488578
1/4/2016 3:00,0,0.171842,0.186074,0.284849286,0.671481716
1/4/2016 4:00,0,0.143531,0.180242,0.285206693,0.659842661
