,PHOT,WTOF,WTON,BEVS,HROR
1/1/2016 0:00,0,0,0.104065,0.702347881,0.113228368
1/1/2016 1:00,0,0,0.079974,0.692196182,0.113231013
1/1/2016 2:00,0,0,0.070022,0.671179612,0.113233658
1/1/2016 3:00,0,0,0.069683,0.630556005,0.113236302
1/1/2016 4:00,0,0,0.067678,0.57695789,0.113238947
1/1/2016 5:00,0,0,0.055266,0.512048009,0.113241592
1/1/2016 6:00,0,0,0.042166,0.451377167,0.113244237
1/1/2016 7:00,0,0,0.037265,0.422454174,0.113246882
1/1/2016 8:00,0.006,0,0.035939,0.45477715,0.113249527
1/1/2016 9:00,0.028,0,0.03077,0.502953215,0.113252171
1/1/2016 10:00,0.054,0,0.03113,0.510131186,0.113254816
1/1/2016 11:00,0.069,0,0.035635,0.490895927,0.113257461
1/1/2016 12:00,0.076,0,0.044388,0.45297994,0.113260106
1/1/2016 13:00,0.061,0,0.061807,0.44897534,0.113262751
1/1/2016 14:00,0.027,0,0.093641,0.425151577,0.113265396
1/1/2016 15:00,0,0,0.168415,0.408462038,0.11326804
1/1/2016 16:00,0,0,0.23936,0.474642617,0.113270685
1/1/2016 17:00,0,0,0.272195,0.632053394,0.11327333
1/1/2016 18:00,0,0,0.319158,0.738981628,0.113275975
1/1/2016 19:00,0,0,0.377134,0.77950155,0.11327862
1/1/2016 20:00,0,0,0.441461,0.782679314,0.113281265
1/1/2016 21:00,0,0,0.500595,0.825741262,0.113283909
1/1/2016 22:00,0,0,0.512147,0.888243307,0.113286554
1/1/2016 23:00,0,0,0.494864,0.874139818,0.113289199
1/2/2016 0:00,0,0,0.463074,0.852412711,0.113291844
1/2/2016 1:00,0,0,0.447154,0.834316977,0.11330004
1/2/2016 2:00,0,0,0.444241,0.801309387,0.113308236
1/2/2016 3:00,0,0,0.465826,0.745717715,0.113316432
1/2/2016 4:00,0,0,0.43663,0.653996582,0.113324628
1/2/2016 5:00,0,0,0.364655,0.556492776,0.113332824
1/2/2016 6:00,0,0,0.312137,0.47674541,0.11334102
1/2/2016 7:00,0,0,0.296429,0.48273198,0.113349216
1/2/2016 8:00,0.001,0,0.265356,0.495560606,0.113357412
1/2/2016 9:00,0.008,0,0.236048,0.519312056,0.113365608
1/2/2016 10:00,0.032,0,0.211806,0.503533519,0.113373804
1/2/2016 11:00,0.054,0,0.176267,0.516904591,0.113382
1/2/2016 12:00,0.042,0,0.152203,0.494538208,0.113390197
1/2/2016 13:00,0.019,0,0.165771,0.488466541,0.113398393
1/2/2016 14:00,0.007,0,0.20817,0.460385461,0.113406589
1/2/2016 15:00,0,0,0.243767,0.463000031,0.113414785
1/2/2016 16:00,0,0,0.282976,0.525309958,0.113422981
1/2/2016 17:00,0,0,0.294075,0.60762545,0.113431177
1/2/2016 18:00,0,0,0.289664,0.761800612,0.113439373
1/2/2016 19:00,0,0,0.320769,0.815465173,0.113447569
1/2/2016 20:00,0,0,0.336252,0.835466853,0.113455765
1/2/2016 21:00,0,0,0.337329,0.868673508,0.113463961
1/2/2016 22:00,0,0,0.253962,0.909760145,0.113472157
1/2/2016 23:00,0,0,0.255087,0.912209671,0.113480353
1/3/2016 0:00,0,0,0.29679,0.907923855,0.113488549
1/3/2016 1:00,0,0,0.301168,0.894875531,0.113507877
1/3/2016 2:00,0,0,0.284467,0.863424331,0.113527204
1/3/2016 3:00,0,0,0.269264,0.819134292,0.113546532
1/3/2016 4:00,0,0,0.3056,0.753274469,0.11356586
1/3/2016 5:00,0,0,0.293061,0.67332552,0.113585187
1/3/2016 6:00,0,0,0.246741,0.554389422,0.113604515
1/3/2016 7:00,0,0,0.186219,0.481031878,0.113623842
1/3/2016 8:00,0.003,0,0.197409,0.450086976,0.11364317
1/3/2016 9:00,0.018,0,0.195735,0.474501529,0.113662497
1/3/2016 10:00,0.032,0,0.198657,0.49219264,0.113681825
1/3/2016 11:00,0.037,0,0.221962,0.484559006,0.113701153
1/3/2016 12:00,0.036,0,0.254638,0.474373318,0.11372048
1/3/2016 13:00,0.023,0,0.294063,0.45050669,0.113739808
