,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0,0.258746,0.247224244,0.702347881
1/1/2016 1:00,0,0,0.248651,0.247383117,0.692196182
1/1/2016 2:00,0,0,0.245496,0.247541989,0.671179612
1/1/2016 3:00,0,0,0.244219,0.247700862,0.630556005
1/1/2016 4:00,0,0,0.245921,0.247859734,0.57695789
1/1/2016 5:00,0,0,0.251017,0.248018607,0.512048009
1/1/2016 6:00,0,0,0.262342,0.248177479,0.451377167
1/1/2016 7:00,0.022,0,0.276834,0.248336352,0.422454174
1/1/2016 8:00,0.092,0,0.276862,0.248495224,0.45477715
1/1/2016 9:00,0.135,0,0.26937,0.248654097,0.502953215
1/1/2016 10:00,0.152,0,0.256657,0.248812969,0.510131186
1/1/2016 11:00,0.116,0,0.243991,0.248971842,0.490895927
1/1/2016 12:00,0.056,0,0.22406,0.249130715,0.45297994
1/1/2016 13:00,0.006,0,0.199968,0.249289587,0.44897534
1/1/2016 14:00,0,0,0.183664,0.24944846,0.425151577
1/1/2016 15:00,0,0,0.184778,0.249607332,0.408462038
1/1/2016 16:00,0,0,0.187812,0.249766205,0.474642617
1/1/2016 17:00,0,0,0.184366,0.249925077,0.632053394
1/1/2016 18:00,0,0,0.187373,0.25008395,0.738981628
1/1/2016 19:00,0,0,0.18909,0.250242822,0.77950155
1/1/2016 20:00,0,0,0.194164,0.250401695,0.782679314
1/1/2016 21:00,0,0,0.205681,0.250560567,0.825741262
1/1/2016 22:00,0,0,0.222908,0.25071944,0.888243307
1/1/2016 23:00,0,0,0.237857,0.250878312,0.874139818
1/2/2016 0:00,0,0,0.247906,0.251037185,0.852412711
1/2/2016 1:00,0,0,0.252787,0.251157129,0.834316977
1/2/2016 2:00,0,0,0.265259,0.251277073,0.801309387
1/2/2016 3:00,0,0,0.271811,0.251397018,0.745717715
1/2/2016 4:00,0,0,0.286707,0.251516962,0.653996582
1/2/2016 5:00,0,0,0.299312,0.251636906,0.556492776
1/2/2016 6:00,0,0,0.304673,0.25175685,0.47674541
1/2/2016 7:00,0.027,0,0.303246,0.251876795,0.48273198
1/2/2016 8:00,0.101,0,0.288806,0.251996739,0.495560606
1/2/2016 9:00,0.194,0,0.267052,0.252116683,0.519312056
1/2/2016 10:00,0.241,0,0.240716,0.252236627,0.503533519
1/2/2016 11:00,0.214,0,0.212486,0.252356572,0.516904591
1/2/2016 12:00,0.113,0,0.186587,0.252476516,0.494538208
1/2/2016 13:00,0.011,0,0.161742,0.25259646,0.488466541
1/2/2016 14:00,0,0,0.140527,0.252716404,0.460385461
1/2/2016 15:00,0,0,0.134391,0.252836348,0.463000031
1/2/2016 16:00,0,0,0.134978,0.252956293,0.525309958
1/2/2016 17:00,0,0,0.136102,0.253076237,0.60762545
1/2/2016 18:00,0,0,0.132285,0.253196181,0.761800612
1/2/2016 19:00,0,0,0.120923,0.253316125,0.815465173
1/2/2016 20:00,0,0,0.106397,0.25343607,0.835466853
1/2/2016 21:00,0,0,0.079366,0.253556014,0.868673508
1/2/2016 22:00,0,0,0.047328,0.253675958,0.909760145
1/2/2016 23:00,0,0,0.024482,0.253795902,0.912209671
1/3/2016 0:00,0,0,0.012037,0.253915847,0.907923855
1/3/2016 1:00,0,0,0.006185,0.254042144,0.894875531
1/3/2016 2:00,0,0,0.004074,0.25416844,0.863424331
1/3/2016 3:00,0,0,0.004955,0.254294737,0.819134292
1/3/2016 4:00,0,0,0.009874,0.254421034,0.753274469
1/3/2016 5:00,0,0,0.01868,0.254547331,0.67332552
1/3/2016 6:00,0,0,0.027635,0.254673628,0.554389422
1/3/2016 7:00,0.002,0,0.04024,0.254799925,0.481031878
1/3/2016 8:00,0.009,0,0.057434,0.254926222,0.450086976
1/3/2016 9:00,0.013,0,0.071786,0.255052519,0.474501529
1/3/2016 10:00,0.013,0,0.086955,0.255178816,0.49219264
1/3/2016 11:00,0.01,0,0.103538,0.255305112,0.484559006
1/3/2016 12:00,0.003,0,0.120105,0.255431409,0.474373318
