,PHOT,WTOF,WTON,BEVS
1/1/2016 0:00,0,0,9.00E-06,0.018125552
1/1/2016 1:00,0,0,2.00E-06,0.047317883
1/1/2016 2:00,0,0,0,0.062101354
1/1/2016 3:00,0,0,3.00E-06,0.062044357
1/1/2016 4:00,0,0,1.80E-05,0.066303738
1/1/2016 5:00,0,0,0.000117,0.070558915
1/1/2016 6:00,0.12,0,0.000173,0.067211559
1/1/2016 7:00,0.284,0,0.00023,0.065632384
1/1/2016 8:00,0.415,0,0.000802,0.064985234
1/1/2016 9:00,0.513,0,0.002553,0.070768859
1/1/2016 10:00,0.555,0,0.004437,0.08787071
1/1/2016 11:00,0.543,0,0.005461,0.099042951
1/1/2016 12:00,0.476,0,0.004806,0.124575814
1/1/2016 13:00,0.359,0,0.001308,0.175027999
1/1/2016 14:00,0.13,0,3.00E-05,0.222498624
1/1/2016 15:00,0,0,0.000174,0.254710456
1/1/2016 16:00,0,0,1.40E-05,0.266540267
1/1/2016 17:00,0,0,0,0.289300079
1/1/2016 18:00,0,0,0,0.302155142
1/1/2016 19:00,0,0,0,0.320629179
1/1/2016 20:00,0,0,0,0.353273903
1/1/2016 21:00,0,0,0,0.380395028
1/1/2016 22:00,0,0,3.00E-06,0.382444085
1/1/2016 23:00,0,0,0.003962,0.414676389
1/2/2016 0:00,0,0,0.019673,0.424925655
1/2/2016 1:00,0,0,0.027514,0.42239516
1/2/2016 2:00,0,0,0.035956,0.417886646
1/2/2016 3:00,0,0,0.057324,0.409747884
1/2/2016 4:00,0,0,0.085766,0.393684596
1/2/2016 5:00,0,0,0.106759,0.373880243
1/2/2016 6:00,0.083,0,0.10956,0.351173121
1/2/2016 7:00,0.244,0,0.07681,0.325563439
1/2/2016 8:00,0.374,0,0.101372,0.317124372
1/2/2016 9:00,0.467,0,0.099389,0.307279174
1/2/2016 10:00,0.508,0,0.075156,0.311745792
1/2/2016 11:00,0.49,0,0.049678,0.303492785
1/2/2016 12:00,0.374,0,0.025186,0.286187726
1/2/2016 13:00,0.211,0,0.003218,0.278346333
1/2/2016 14:00,0.061,0,5.00E-06,0.235401719
1/2/2016 15:00,0,0,3.80E-05,0.248890154
1/2/2016 16:00,0,0,0.009738,0.316638085
1/2/2016 17:00,0,0,0.029376,0.368709823
1/2/2016 18:00,0,0,0.039795,0.352598231
1/2/2016 19:00,0,0,0.060747,0.381325744
1/2/2016 20:00,0,0,0.083848,0.419056912
1/2/2016 21:00,0,0,0.07736,0.472726207
1/2/2016 22:00,0,0,0.070594,0.532906343
1/2/2016 23:00,0,0,0.070625,0.546209851
1/3/2016 0:00,0,0,0.076902,0.563179402
1/3/2016 1:00,0,0,0.07986,0.557312382
1/3/2016 2:00,0,0,0.085925,0.57209894
1/3/2016 3:00,0,0,0.080596,0.564190661
1/3/2016 4:00,0,0,0.07539,0.548786645
1/3/2016 5:00,0,0,0.095607,0.522934513
1/3/2016 6:00,0.006,0,0.168733,0.48665133
1/3/2016 7:00,0.033,0,0.244528,0.449835716
1/3/2016 8:00,0.055,0,0.288097,0.418696564
1/3/2016 9:00,0.058,0,0.331835,0.381083586
1/3/2016 10:00,0.059,0,0.368635,0.339117097
1/3/2016 11:00,0.053,0,0.371089,0.330356654
1/3/2016 12:00,0.04,0,0.340179,0.323629899
1/3/2016 13:00,0.022,0,0.27529,0.353047995
1/3/2016 14:00,0.004,0,0.144551,0.377262821
1/3/2016 15:00,0,0,0.046887,0.400828311
1/3/2016 16:00,0,0,0.032477,0.428597954
1/3/2016 17:00,0,0,0.020282,0.45241188
1/3/2016 18:00,0,0,0.014155,0.498614344
1/3/2016 19:00,0,0,0.005907,0.497490465
1/3/2016 20:00,0,0,0.001649,0.504589484
1/3/2016 21:00,0,0,0.00273,0.528330584
1/3/2016 22:00,0,0,0.010055,0.573758905
1/3/2016 23:00,0,0,0.017229,0.636885764
1/4/2016 0:00,0,0,0.026243,0.669408864
1/4/2016 1:00,0,0,0.036454,0.670769516
1/4/2016 2:00,0,0,0.043876,0.677488578
1/4/2016 3:00,0,0,0.035995,0.671481716
1/4/2016 4:00,0,0,0.012572,0.659842661
1/4/2016 5:00,0,0,0.00019,0.642545136
1/4/2016 6:00,0.02,0,6.00E-06,0.616789445
1/4/2016 7:00,0.073,0,0.000288,0.572265858
1/4/2016 8:00,0.081,0,0.012848,0.546583279
1/4/2016 9:00,0.088,0,0.032665,0.50715487
1/4/2016 10:00,0.088,0,0.05131,0.469141995
1/4/2016 11:00,0.066,0,0.065472,0.43245043
1/4/2016 12:00,0.042,0,0.077778,0.42441324
1/4/2016 13:00,0.019,0,0.080659,0.434368496
1/4/2016 14:00,0.002,0,0.084705,0.450592197
1/4/2016 15:00,0,0,0.102742,0.482409597
1/4/2016 16:00,0,0,0.100709,0.510357653
1/4/2016 17:00,0,0,0.109054,0.542843859
1/4/2016 18:00,0,0,0.112602,0.598861992
1/4/2016 19:00,0,0,0.078199,0.620481267
1/4/2016 20:00,0,0,0.037204,0.628515273
1/4/2016 21:00,0,0,0.020967,0.649214572
1/4/2016 22:00,0,0,0.011741,0.679718047
1/4/2016 23:00,0,0,0.005983,0.694994837
1/5/2016 0:00,0,0,0.005572,0.702347881
1/5/2016 1:00,0,0,0.005191,0.692196182
1/5/2016 2:00,0,0,0.013697,0.671179612
1/5/2016 3:00,0,0,0.047336,0.630556005
1/5/2016 4:00,0,0,0.076768,0.57695789
1/5/2016 5:00,0,0,0.086368,0.512048009
1/5/2016 6:00,0.011,0,0.069958,0.451377167
1/5/2016 7:00,0.072,0,0.039155,0.422454174
1/5/2016 8:00,0.156,0,0.017998,0.45477715
1/5/2016 9:00,0.256,0,0.016148,0.502953215
1/5/2016 10:00,0.331,0,0.013471,0.510131186
1/5/2016 11:00,0.305,0,0.008569,0.490895927
1/5/2016 12:00,0.242,0,0.00353,0.45297994
1/5/2016 13:00,0.136,0,0.004685,0.44897534
1/5/2016 14:00,0.035,0,0.018044,0.425151577
1/5/2016 15:00,0,0,0.032208,0.408462038
1/5/2016 16:00,0,0,0.022416,0.474642617
1/5/2016 17:00,0,0,0.016505,0.632053394
1/5/2016 18:00,0,0,0.014083,0.738981628
1/5/2016 19:00,0,0,0.013902,0.77950155
