,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0.560557,0.344139,,0.702347881
1/1/2016 1:00,0,0.424712,0.275579,,0.692196182
1/1/2016 2:00,0,0.351715,0.233461,,0.671179612
1/1/2016 3:00,0,0.261592,0.174166,,0.630556005
1/1/2016 4:00,0,0.16736,0.118329,,0.57695789
1/1/2016 5:00,0,0.091262,0.076253,,0.512048009
1/1/2016 6:00,0,0.035335,0.043619,,0.451377167
1/1/2016 7:00,0,0.007246,0.023947,,0.422454174
1/1/2016 8:00,0.031,0.001123,0.014575,,0.45477715
1/1/2016 9:00,0.102,0.000251,0.011992,,0.502953215
1/1/2016 10:00,0.143,0.002854,0.010434,,0.510131186
1/1/2016 11:00,0.131,0.019803,0.015985,,0.490895927
1/1/2016 12:00,0.073,0.066122,0.033791,,0.45297994
1/1/2016 13:00,0.037,0.136791,0.062524,,0.44897534
1/1/2016 14:00,0.012,0.220318,0.099552,,0.425151577
1/1/2016 15:00,0,0.27592,0.134837,,0.408462038
1/1/2016 16:00,0,0.311636,0.163387,,0.474642617
1/1/2016 17:00,0,0.32627,0.183544,,0.632053394
1/1/2016 18:00,0,0.351464,0.205406,,0.738981628
1/1/2016 19:00,0,0.397811,0.230112,,0.77950155
1/1/2016 20:00,0,0.438404,0.254443,,0.782679314
1/1/2016 21:00,0,0.44841,0.256647,,0.825741262
1/1/2016 22:00,0,0.491937,0.289716,,0.888243307
1/1/2016 23:00,0,0.545413,0.318823,,0.874139818
1/2/2016 0:00,0,0.572814,0.340788,,0.852412711
1/2/2016 1:00,0,0.595218,0.382946,,0.834316977
1/2/2016 2:00,0,0.632841,0.423339,,0.801309387
1/2/2016 3:00,0,0.655268,0.445093,,0.745717715
1/2/2016 4:00,0,0.662143,0.454752,,0.653996582
1/2/2016 5:00,0,0.669899,0.469892,,0.556492776
1/2/2016 6:00,0,0.659737,0.460102,,0.47674541
1/2/2016 7:00,0,0.634286,0.443287,,0.48273198
1/2/2016 8:00,0.003,0.609733,0.427277,,0.495560606
1/2/2016 9:00,0.013,0.602931,0.420441,,0.519312056
1/2/2016 10:00,0.031,0.584978,0.41789,,0.503533519
1/2/2016 11:00,0.053,0.5509,0.41048,,0.516904591
1/2/2016 12:00,0.066,0.522061,0.402038,,0.494538208
1/2/2016 13:00,0.058,0.516305,0.402982,,0.488466541
1/2/2016 14:00,0.029,0.509694,0.41791,,0.460385461
1/2/2016 15:00,0.001,0.519319,0.449216,,0.463000031
1/2/2016 16:00,0,0.550692,0.46949,,0.525309958
1/2/2016 17:00,0,0.602827,0.487188,,0.60762545
1/2/2016 18:00,0,0.632167,0.505529,,0.761800612
1/2/2016 19:00,0,0.64937,0.517272,,0.815465173
1/2/2016 20:00,0,0.671016,0.507086,,0.835466853
1/2/2016 21:00,0,0.702221,0.520099,,0.868673508
1/2/2016 22:00,0,0.710485,0.527367,,0.909760145
1/2/2016 23:00,0,0.724927,0.533565,,0.912209671
1/3/2016 0:00,0,0.72315,0.523382,,0.907923855
1/3/2016 1:00,0,0.712494,0.515639,,0.894875531
1/3/2016 2:00,0,0.662385,0.505755,,0.863424331
1/3/2016 3:00,0,0.594737,0.50044,,0.819134292
1/3/2016 4:00,0,0.550282,0.498378,,0.753274469
1/3/2016 5:00,0,0.514062,0.479182,,0.67332552
1/3/2016 6:00,0,0.487829,0.451484,,0.554389422
1/3/2016 7:00,0,0.482786,0.422741,,0.481031878
1/3/2016 8:00,0.01,0.470976,0.395209,,0.450086976
1/3/2016 9:00,0.05,0.435966,0.367696,,0.474501529
1/3/2016 10:00,0.101,0.402245,0.348593,,0.49219264
1/3/2016 11:00,0.113,0.41429,0.33761,,0.484559006
1/3/2016 12:00,0.089,0.420609,0.324323,,0.474373318
1/3/2016 13:00,0.046,0.458759,0.340851,,0.45050669
1/3/2016 14:00,0.013,0.544003,0.401057,,0.428669416
1/3/2016 15:00,0,0.635974,0.477875,,0.416070258
1/3/2016 16:00,0,0.710003,0.538274,,0.509632552
1/3/2016 17:00,0,0.767549,0.577153,,0.612131209
1/3/2016 18:00,0,0.795476,0.610329,,0.6785918
1/3/2016 19:00,0,0.797852,0.612541,,0.6785918
1/3/2016 20:00,0,0.800142,0.601162,,0.6785918
1/3/2016 21:00,0,0.793426,0.586292,,0.6785918
1/3/2016 22:00,0,0.76778,0.551912,,0.6785918
1/3/2016 23:00,0,0.74013,0.513063,,0.6785918
1/4/2016 0:00,0,0.681847,0.466367,,0.6785918
1/4/2016 1:00,0,0.583744,0.418148,,0.670769516
1/4/2016 2:00,0,0.473221,0.370934,,0.677488578
1/4/2016 3:00,0,0.363918,0.316982,,0.671481716
1/4/2016 4:00,0,0.281171,0.279528,,0.659842661
1/4/2016 5:00,0,0.226785,0.25744,,0.642545136
1/4/2016 6:00,0,0.210849,0.253976,,0.616789445
1/4/2016 7:00,0,0.204696,0.249701,,0.572265858
1/4/2016 8:00,0.002,0.199111,0.239944,,0.546583279
1/4/2016 9:00,0.015,0.192301,0.219164,,0.50715487
1/4/2016 10:00,0.025,0.193729,0.203013,,0.469141995
1/4/2016 11:00,0.029,0.187614,0.190423,,0.43245043
1/4/2016 12:00,0.025,0.188495,0.18167,,0.42441324
1/4/2016 13:00,0.017,0.201394,0.182641,,0.434368496
1/4/2016 14:00,0.006,0.221462,0.186723,,0.450592197
1/4/2016 15:00,0,0.258245,0.203794,,0.482409597
1/4/2016 16:00,0,0.291707,0.228089,,0.510357653
1/4/2016 17:00,0,0.329284,0.249155,,0.542843859
1/4/2016 18:00,0,0.356878,0.261374,,0.598861992
1/4/2016 19:00,0,0.377413,0.279894,,0.620481267
1/4/2016 20:00,0,0.394838,0.292172,,0.628515273
1/4/2016 21:00,0,0.39817,0.304188,,0.649214572
1/4/2016 22:00,0,0.378643,0.311896,,0.679718047
