,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0.991374,0.72517,0.536267794,0.702347881
1/1/2016 1:00,0,0.98922,0.727292,0.535683158,0.692196182
1/1/2016 2:00,0,0.988917,0.713358,0.535098522,0.671179612
1/1/2016 3:00,0,0.928394,0.675096,0.534513886,0.630556005
1/1/2016 4:00,0,0.82208,0.58425,0.53392925,0.57695789
1/1/2016 5:00,0,0.757138,0.510747,0.533344614,0.512048009
1/1/2016 6:00,0,0.659027,0.485527,0.532759979,0.451377167
1/1/2016 7:00,0,0.516531,0.466864,0.532175343,0.422454174
1/1/2016 8:00,0,0.341668,0.484065,0.531590707,0.45477715
1/1/2016 9:00,0.004,0.189521,0.508119,0.531006071,0.502953215
1/1/2016 10:00,0.017,0.100392,0.495551,0.530421435,0.510131186
1/1/2016 11:00,0.027,0.062741,0.456401,0.529836799,0.490895927
1/1/2016 12:00,0.023,0.048101,0.40112,0.529252163,0.45297994
1/1/2016 13:00,0.009,0.047147,0.368476,0.528667528,0.44897534
1/1/2016 14:00,0,0.065964,0.341507,0.528082892,0.425151577
1/1/2016 15:00,0,0.112843,0.313471,0.527498256,0.408462038
1/1/2016 16:00,0,0.163334,0.29512,0.52691362,0.474642617
1/1/2016 17:00,0,0.211818,0.287193,0.526328984,0.632053394
1/1/2016 18:00,0,0.275443,0.284457,0.525744348,0.738981628
1/1/2016 19:00,0,0.352682,0.279006,0.525159712,0.77950155
1/1/2016 20:00,0,0.408221,0.279049,0.524575077,0.782679314
1/1/2016 21:00,0,0.461369,0.292835,0.523990441,0.825741262
1/1/2016 22:00,0,0.543172,0.295226,0.523405805,0.888243307
1/1/2016 23:00,0,0.641922,0.292081,0.522821169,0.874139818
1/2/2016 0:00,0,0.748756,0.306108,0.522236533,0.852412711
1/2/2016 1:00,0,0.832227,0.332564,0.52177396,0.834316977
1/2/2016 2:00,0,0.883711,0.358798,0.521311387,0.801309387
1/2/2016 3:00,0,0.904126,0.391857,0.520848814,0.745717715
1/2/2016 4:00,0,0.919475,0.420187,0.520386241,0.653996582
1/2/2016 5:00,0,0.941331,0.451494,0.519923668,0.556492776
1/2/2016 6:00,0,0.961704,0.487288,0.519461095,0.47674541
1/2/2016 7:00,0,0.973572,0.520738,0.518998522,0.48273198
1/2/2016 8:00,0,0.982548,0.538368,0.518535948,0.495560606
1/2/2016 9:00,0.008,0.989977,0.549308,0.518073375,0.519312056
1/2/2016 10:00,0.028,0.991374,0.550005,0.517610802,0.503533519
1/2/2016 11:00,0.035,0.991373,0.557033,0.517148229,0.516904591
1/2/2016 12:00,0.027,0.991253,0.56185,0.516685656,0.494538208
1/2/2016 13:00,0.009,0.991179,0.546607,0.516223083,0.488466541
1/2/2016 14:00,0,0.990535,0.543016,0.51576051,0.460385461
1/2/2016 15:00,0,0.989157,0.540196,0.515297937,0.463000031
1/2/2016 16:00,0,0.988427,0.535786,0.514835364,0.525309958
1/2/2016 17:00,0,0.989283,0.53809,0.514372791,0.60762545
