,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0,0.164267,0.041350226,0.702347881
1/1/2016 1:00,0,0,0.153011,0.041382624,0.692196182
1/1/2016 2:00,0,0,0.13989,0.041415021,0.671179612
1/1/2016 3:00,0,0,0.130773,0.041447419,0.630556005
1/1/2016 4:00,0,0,0.122266,0.041479816,0.57695789
1/1/2016 5:00,0,0,0.113793,0.041512214,0.512048009
1/1/2016 6:00,0,0,0.107748,0.041544611,0.451377167
1/1/2016 7:00,0.063,0,0.106888,0.041577008,0.422454174
1/1/2016 8:00,0.183,0,0.098044,0.041609406,0.45477715
1/1/2016 9:00,0.258,0,0.097281,0.041641803,0.502953215
1/1/2016 10:00,0.283,0,0.100381,0.041674201,0.510131186
1/1/2016 11:00,0.261,0,0.099813,0.041706598,0.490895927
1/1/2016 12:00,0.198,0,0.103445,0.041738996,0.45297994
1/1/2016 13:00,0.095,0,0.104928,0.041771393,0.44897534
1/1/2016 14:00,0.004,0,0.123368,0.041803791,0.425151577
1/1/2016 15:00,0,0,0.148452,0.041836188,0.408462038
1/1/2016 16:00,0,0,0.158598,0.041868586,0.474642617
1/1/2016 17:00,0,0,0.164359,0.041900983,0.632053394
1/1/2016 18:00,0,0,0.17164,0.041933381,0.738981628
1/1/2016 19:00,0,0,0.180371,0.041965778,0.77950155
1/1/2016 20:00,0,0,0.192063,0.041998176,0.782679314
1/1/2016 21:00,0,0,0.202994,0.042030573,0.825741262
1/1/2016 22:00,0,0,0.212998,0.042062971,0.888243307
1/1/2016 23:00,0,0,0.223766,0.042095368,0.874139818
1/2/2016 0:00,0,0,0.233859,0.042127766,0.852412711
1/2/2016 1:00,0,0,0.242464,0.042168379,0.834316977
1/2/2016 2:00,0,0,0.258357,0.042208992,0.801309387
1/2/2016 3:00,0,0,0.286846,0.042249605,0.745717715
1/2/2016 4:00,0,0,0.32898,0.042290218,0.653996582
1/2/2016 5:00,0,0,0.373639,0.042330831,0.556492776
1/2/2016 6:00,0,0,0.406362,0.042371444,0.47674541
1/2/2016 7:00,0.063,0,0.441716,0.042412057,0.48273198
1/2/2016 8:00,0.195,0,0.510518,0.04245267,0.495560606
1/2/2016 9:00,0.296,0,0.551798,0.042493284,0.519312056
1/2/2016 10:00,0.337,0,0.550704,0.042533897,0.503533519
1/2/2016 11:00,0.312,0,0.545063,0.04257451,0.516904591
1/2/2016 12:00,0.242,0,0.545504,0.042615123,0.494538208
1/2/2016 13:00,0.129,0,0.543504,0.042655736,0.488466541
1/2/2016 14:00,0.012,0,0.523058,0.042696349,0.460385461
1/2/2016 15:00,0,0,0.549161,0.042736962,0.463000031
1/2/2016 16:00,0,0,0.57606,0.042777575,0.525309958
1/2/2016 17:00,0,0,0.579464,0.042818188,0.60762545
1/2/2016 18:00,0,0,0.562011,0.042858801,0.761800612
1/2/2016 19:00,0,0,0.536256,0.042899414,0.815465173
1/2/2016 20:00,0,0,0.509483,0.042940027,0.835466853
1/2/2016 21:00,0,0,0.467315,0.042980641,0.868673508
1/2/2016 22:00,0,0,0.431313,0.043021254,0.909760145
1/2/2016 23:00,0,0,0.409245,0.043061867,0.912209671
1/3/2016 0:00,0,0,0.400267,0.04310248,0.907923855
1/3/2016 1:00,0,0,0.388335,0.043153913,0.894875531
1/3/2016 2:00,0,0,0.371848,0.043205347,0.863424331
1/3/2016 3:00,0,0,0.363321,0.043256781,0.819134292
1/3/2016 4:00,0,0,0.345302,0.043308214,0.753274469
1/3/2016 5:00,0,0,0.332919,0.043359648,0.67332552
1/3/2016 6:00,0.001,0,0.327027,0.043411082,0.554389422
1/3/2016 7:00,0.089,0,0.336412,0.043462515,0.481031878
1/3/2016 8:00,0.249,0,0.36283,0.043513949,0.450086976
1/3/2016 9:00,0.367,0,0.356051,0.043565382,0.474501529
1/3/2016 10:00,0.427,0,0.333177,0.043616816,0.49219264
1/3/2016 11:00,0.413,0,0.317013,0.04366825,0.484559006
1/3/2016 12:00,0.331,0,0.304372,0.043719683,0.474373318
1/3/2016 13:00,0.178,0,0.290912,0.043771117,0.45050669
1/3/2016 14:00,0.018,0,0.25329,0.04382255,0.428669416
1/3/2016 15:00,0,0,0.261494,0.043873984,0.416070258
1/3/2016 16:00,0,0,0.279038,0.043925418,0.509632552
1/3/2016 17:00,0,0,0.290302,0.043976851,0.612131209
1/3/2016 18:00,0,0,0.295818,0.044028285,0.6785918
1/3/2016 19:00,0,0,0.298382,0.044079719,0.6785918
1/3/2016 20:00,0,0,0.297102,0.044131152,0.6785918
1/3/2016 21:00,0,0,0.288236,0.044182586,0.6785918
1/3/2016 22:00,0,0,0.28151,0.044234019,0.6785918
1/3/2016 23:00,0,0,0.277093,0.044285453,0.6785918
1/4/2016 0:00,0,0,0.274036,0.044336887,0.6785918
1/4/2016 1:00,0,0,0.282009,0.04440714,0.670769516
1/4/2016 2:00,0,0,0.29155,0.044477393,0.677488578
1/4/2016 3:00,0,0,0.312802,0.044547647,0.671481716
1/4/2016 4:00,0,0,0.322517,0.0446179,0.659842661
1/4/2016 5:00,0,0,0.33495,0.044688153,0.642545136
1/4/2016 6:00,0.001,0,0.332922,0.044758407,0.616789445
1/4/2016 7:00,0.056,0,0.345047,0.04482866,0.572265858
1/4/2016 8:00,0.181,0,0.370024,0.044898913,0.546583279
1/4/2016 9:00,0.291,0,0.370263,0.044969167,0.50715487
1/4/2016 10:00,0.355,0,0.35858,0.04503942,0.469141995
1/4/2016 11:00,0.335,0,0.341759,0.045109673,0.43245043
1/4/2016 12:00,0.251,0,0.323401,0.045179927,0.42441324
1/4/2016 13:00,0.116,0,0.291209,0.04525018,0.434368496
1/4/2016 14:00,0.005,0,0.279739,0.045320433,0.450592197
1/4/2016 15:00,0,0,0.301385,0.045390687,0.482409597
1/4/2016 16:00,0,0,0.301438,0.04546094,0.510357653
1/4/2016 17:00,0,0,0.290553,0.045531193,0.542843859
1/4/2016 18:00,0,0,0.269001,0.045601447,0.598861992
1/4/2016 19:00,0,0,0.239548,0.0456717,0.620481267
1/4/2016 20:00,0,0,0.209462,0.045741953,0.628515273
1/4/2016 21:00,0,0,0.183546,0.045812207,0.649214572
1/4/2016 22:00,0,0,0.168035,0.04588246,0.679718047
1/4/2016 23:00,0,0,0.15722,0.045952714,0.694994837
1/5/2016 0:00,0,0,0.150459,0.046022967,0.702347881
1/5/2016 1:00,0,0,0.144257,0.04610497,0.692196182
1/5/2016 2:00,0,0,0.138579,0.046186974,0.671179612
1/5/2016 3:00,0,0,0.137705,0.046268978,0.630556005
1/5/2016 4:00,0,0,0.136949,0.046350981,0.57695789
1/5/2016 5:00,0,0,0.132626,0.046432985,0.512048009
1/5/2016 6:00,0,0,0.125721,0.046514989,0.451377167
1/5/2016 7:00,0.028,0,0.11798,0.046596992,0.422454174
1/5/2016 8:00,0.094,0,0.108632,0.046678996,0.45477715
1/5/2016 9:00,0.146,0,0.100094,0.046761,0.502953215
1/5/2016 10:00,0.176,0,0.09546,0.046843003,0.510131186
1/5/2016 11:00,0.17,0,0.094313,0.046925007,0.490895927
1/5/2016 12:00,0.126,0,0.098717,0.047007011,0.45297994
1/5/2016 13:00,0.057,0,0.106388,0.047089014,0.44897534
1/5/2016 14:00,0.003,0,0.123839,0.047171018,0.425151577
1/5/2016 15:00,0,0,0.144674,0.047253021,0.408462038
1/5/2016 16:00,0,0,0.154815,0.047335025,0.474642617
1/5/2016 17:00,0,0,0.156271,0.047417029,0.632053394
1/5/2016 18:00,0,0,0.156192,0.047499032,0.738981628
1/5/2016 19:00,0,0,0.153087,0.047581036,0.77950155
1/5/2016 20:00,0,0,0.149589,0.04766304,0.782679314
1/5/2016 21:00,0,0,0.149913,0.047745043,0.825741262
1/5/2016 22:00,0,0,0.149961,0.047827047,0.888243307
1/5/2016 23:00,0,0,0.150008,0.047909051,0.874139818
1/6/2016 0:00,0,0,0.148354,0.047991054,0.852412711
1/6/2016 1:00,0,0,0.147044,0.048080712,0.834316977
1/6/2016 2:00,0,0,0.145228,0.048170371,0.801309387
1/6/2016 3:00,0,0,0.14062,0.048260029,0.745717715
1/6/2016 4:00,0,0,0.1386,0.048349687,0.653996582
1/6/2016 5:00,0,0,0.142212,0.048439345,0.556492776
1/6/2016 6:00,0,0,0.147466,0.048529003,0.47674541
1/6/2016 7:00,0.025,0,0.148464,0.048618661,0.48273198
1/6/2016 8:00,0.084,0,0.138665,0.04870832,0.495560606
1/6/2016 9:00,0.144,0,0.141502,0.048797978,0.519312056
1/6/2016 10:00,0.182,0,0.134807,0.048887636,0.503533519
1/6/2016 11:00,0.177,0,0.127864,0.048977294,0.516904591
1/6/2016 12:00,0.132,0,0.133015,0.049066952,0.494538208
1/6/2016 13:00,0.059,0,0.143465,0.04915661,0.488466541
1/6/2016 14:00,0.003,0,0.177109,0.049246269,0.460385461
1/6/2016 15:00,0,0,0.211975,0.049335927,0.463000031
1/6/2016 16:00,0,0,0.220625,0.049425585,0.525309958
1/6/2016 17:00,0,0,0.217406,0.049515243,0.60762545
1/6/2016 18:00,0,0,0.206435,0.049604901,0.761800612
1/6/2016 19:00,0,0,0.189266,0.049694559,0.815465173
1/6/2016 20:00,0,0,0.17686,0.049784218,0.835466853
1/6/2016 21:00,0,0,0.17282,0.049873876,0.868673508
1/6/2016 22:00,0,0,0.176306,0.049963534,0.909760145
1/6/2016 23:00,0,0,0.17277,0.050053192,0.912209671
1/7/2016 0:00,0,0,0.16812,0.05014285,0.907923855
1/7/2016 1:00,0,0,0.174545,0.050235867,0.894875531
1/7/2016 2:00,0,0,0.185987,0.050328883,0.863424331
1/7/2016 3:00,0,0,0.206853,0.0504219,0.819134292
1/7/2016 4:00,0,0,0.221564,0.050514917,0.753274469
1/7/2016 5:00,0,0,0.235172,0.050607933,0.67332552
1/7/2016 6:00,0,0,0.238831,0.05070095,0.554389422
1/7/2016 7:00,0.025,0,0.240439,0.050793966,0.481031878
1/7/2016 8:00,0.091,0,0.230761,0.050886983,0.450086976
1/7/2016 9:00,0.151,0,0.220509,0.050979999,0.474501529
1/7/2016 10:00,0.196,0,0.225703,0.051073016,0.49219264
1/7/2016 11:00,0.207,0,0.22683,0.051166032,0.484559006
1/7/2016 12:00,0.165,0,0.220517,0.051259049,0.474373318
1/7/2016 13:00,0.081,0,0.219114,0.051352065,0.45050669
1/7/2016 14:00,0.007,0,0.249939,0.051445082,0.428669416
1/7/2016 15:00,0,0,0.297357,0.051538098,0.416070258
1/7/2016 16:00,0,0,0.318998,0.051631115,0.509632552
1/7/2016 17:00,0,0,0.318555,0.051724132,0.612131209
1/7/2016 18:00,0,0,0.319086,0.051817148,0.6785918
1/7/2016 19:00,0,0,0.317264,0.051910165,0.741977567
1/7/2016 20:00,0,0,0.308143,0.052003181,0.810372671
1/7/2016 21:00,0,0,0.306177,0.052096198,0.8620991
1/7/2016 22:00,0,0,0.306103,0.052189214,0.909577947
1/7/2016 23:00,0,0,0.315678,0.052282231,0.932822761
1/8/2016 0:00,0,0,0.333637,0.052375247,0.941545791
1/8/2016 1:00,0,0,0.352783,0.052466597,0.928405718
1/8/2016 2:00,0,0,0.369212,0.052557946,0.903720503
1/8/2016 3:00,0,0,0.366442,0.052649296,0.852807048
1/8/2016 4:00,0,0,0.361615,0.052740645,0.776874944
1/8/2016 5:00,0,0,0.371692,0.052831994,0.684326261
1/8/2016 6:00,0,0,0.378611,0.052923344,0.55952671
1/8/2016 7:00,0.025,0,0.380553,0.053014693,0.472600092
1/8/2016 8:00,0.074,0,0.35621,0.053106042,0.446868586
1/8/2016 9:00,0.12,0,0.329889,0.053197392,0.450679732
1/8/2016 10:00,0.148,0,0.315144,0.053288741,0.478264118
1/8/2016 11:00,0.148,0,0.31138,0.053380091,0.47684224
1/8/2016 12:00,0.119,0,0.319682,0.05347144,0.44248728
1/8/2016 13:00,0.065,0,0.354739,0.053562789,0.386362652
1/8/2016 14:00,0.01,0,0.397884,0.053654139,0.358399657
1/8/2016 15:00,0,0,0.411841,0.053745488,0.370918447
1/8/2016 16:00,0,0,0.400586,0.053836837,0.423681779
1/8/2016 17:00,0,0,0.382541,0.053928187,0.596022696
1/8/2016 18:00,0,0,0.380163,0.054019536,0.704090776
1/8/2016 19:00,0,0,0.386651,0.054110886,0.747432766
1/8/2016 20:00,0,0,0.397506,0.054202235,0.801378825
1/8/2016 21:00,0,0,0.393733,0.054293584,0.843536734
1/8/2016 22:00,0,0,0.402059,0.054384934,0.852526374
1/8/2016 23:00,0,0,0.40156,0.054476283,0.866190742
1/9/2016 0:00,0,0,0.378767,0.054567632,0.861340045
1/9/2016 1:00,0,0,0.342335,0.054658461,0.853571829
1/9/2016 2:00,0,0,0.296758,0.054749289,0.841378756
1/9/2016 3:00,0,0,0.239885,0.054840118,0.795280273
1/9/2016 4:00,0,0,0.190227,0.054930946,0.727649506
1/9/2016 5:00,0,0,0.150865,0.055021774,0.645520011
1/9/2016 6:00,0,0,0.129651,0.055112603,0.545413215
1/9/2016 7:00,0.046,0,0.116128,0.055203431,0.478618642
1/9/2016 8:00,0.137,0,0.089766,0.05529426,0.459866183
1/9/2016 9:00,0.235,0,0.066187,0.055385088,0.459974581
1/9/2016 10:00,0.291,0,0.057353,0.055475916,0.438097641
1/9/2016 11:00,0.29,0,0.055658,0.055566745,0.427365683
1/9/2016 12:00,0.226,0,0.056595,0.055657573,0.425088034
1/9/2016 13:00,0.111,0,0.067007,0.055748402,0.42295985
1/9/2016 14:00,0.011,0,0.097849,0.05583923,0.426919921
1/9/2016 15:00,0,0,0.135585,0.055930058,0.441821489
1/9/2016 16:00,0,0,0.166829,0.056020887,0.467437135
1/9/2016 17:00,0,0,0.186809,0.056111715,0.518758735
1/9/2016 18:00,0,0,0.202131,0.056202544,0.586639513
1/9/2016 19:00,0,0,0.210218,0.056293372,0.607094554
1/9/2016 20:00,0,0,0.204489,0.0563842,0.654753398
1/9/2016 21:00,0,0,0.189245,0.056475029,0.675640705
1/9/2016 22:00,0,0,0.181714,0.056565857,0.718198957
1/9/2016 23:00,0,0,0.19165,0.056656685,0.732872809
1/10/2016 0:00,0,0,0.207917,0.056747514,0.762120129
1/10/2016 1:00,0,0,0.220683,0.056837998,0.788124008
1/10/2016 2:00,0,0,0.223365,0.056928481,0.788298565
1/10/2016 3:00,0,0,0.239905,0.057018965,0.780581393
1/10/2016 4:00,0,0,0.258123,0.057109449,0.763736937
1/10/2016 5:00,0,0,0.28143,0.057199933,0.737192827
1/10/2016 6:00,0,0,0.29938,0.057290416,0.705034407
1/10/2016 7:00,0.02,0,0.315258,0.0573809,0.64949488
1/10/2016 8:00,0.077,0,0.317683,0.057471384,0.593970277
1/10/2016 9:00,0.133,0,0.313877,0.057561868,0.561473654
1/10/2016 10:00,0.163,0,0.330683,0.057652351,0.536750442
1/10/2016 11:00,0.154,0,0.327554,0.057742835,0.49108652
1/10/2016 12:00,0.109,0,0.314276,0.057833319,0.466979461
1/10/2016 13:00,0.043,0,0.333135,0.057923802,0.480063173
1/10/2016 14:00,0.002,0,0.400822,0.058014286,0.48004263
