,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0,0.202664,0.178066822,0.702347881
1/1/2016 1:00,0,0,0.213237,0.178003007,0.692196182
1/1/2016 2:00,0,0,0.231632,0.177939193,0.671179612
1/1/2016 3:00,0,0,0.252515,0.177875379,0.630556005
1/1/2016 4:00,0,0,0.272612,0.177811564,0.57695789
1/1/2016 5:00,0,0,0.297949,0.17774775,0.512048009
1/1/2016 6:00,0,0,0.345977,0.177683936,0.451377167
1/1/2016 7:00,0,0,0.454459,0.177620122,0.422454174
1/1/2016 8:00,0.011,0,0.533483,0.177556307,0.45477715
1/1/2016 9:00,0.06,0,0.635206,0.177492493,0.502953215
1/1/2016 10:00,0.145,0,0.666304,0.177428679,0.510131186
1/1/2016 11:00,0.213,0,0.717578,0.177364864,0.490895927
1/1/2016 12:00,0.227,0,0.814849,0.17730105,0.45297994
1/1/2016 13:00,0.187,0,0.81627,0.177237236,0.44897534
1/1/2016 14:00,0.137,0,0.787046,0.177173421,0.425151577
1/1/2016 15:00,0.08,0,0.780324,0.177109607,0.408462038
1/1/2016 16:00,0.026,0,0.692807,0.177045793,0.474642617
1/1/2016 17:00,0,0,0.585733,0.176981978,0.632053394
1/1/2016 18:00,0,0,0.46573,0.176918164,0.738981628
1/1/2016 19:00,0,0,0.418274,0.17685435,0.77950155
1/1/2016 20:00,0,0,0.390302,0.176790535,0.782679314
1/1/2016 21:00,0,0,0.340994,0.176726721,0.825741262
1/1/2016 22:00,0,0,0.348111,0.176662907,0.888243307
1/1/2016 23:00,0,0,0.321903,0.176599092,0.874139818
1/2/2016 0:00,0,0,0.279856,0.176535278,0.852412711
1/2/2016 1:00,0,0,0.301638,0.176500523,0.834316977
1/2/2016 2:00,0,0,0.312235,0.176465767,0.801309387
1/2/2016 3:00,0,0,0.324715,0.176431012,0.745717715
1/2/2016 4:00,0,0,0.306431,0.176396257,0.653996582
1/2/2016 5:00,0,0,0.253454,0.176361501,0.556492776
1/2/2016 6:00,0,0,0.191135,0.176326746,0.47674541
1/2/2016 7:00,0,0,0.135386,0.17629199,0.48273198
1/2/2016 8:00,0.048,0,0.109963,0.176257235,0.495560606
1/2/2016 9:00,0.175,0,0.061888,0.17622248,0.519312056
1/2/2016 10:00,0.32,0,0.107706,0.176187724,0.503533519
1/2/2016 11:00,0.381,0,0.122628,0.176152969,0.516904591
1/2/2016 12:00,0.377,0,0.126085,0.176118214,0.494538208
1/2/2016 13:00,0.317,0,0.137457,0.176083458,0.488466541
1/2/2016 14:00,0.222,0,0.092722,0.176048703,0.460385461
1/2/2016 15:00,0.114,0,0.059846,0.176013948,0.463000031
1/2/2016 16:00,0.025,0,0.054948,0.175979192,0.525309958
1/2/2016 17:00,0,0,0.061039,0.175944437,0.60762545
1/2/2016 18:00,0,0,0.07088,0.175909682,0.761800612
1/2/2016 19:00,0,0,0.087491,0.175874926,0.815465173
1/2/2016 20:00,0,0,0.12033,0.175840171,0.835466853
1/2/2016 21:00,0,0,0.175838,0.175805416,0.868673508
1/2/2016 22:00,0,0,0.209761,0.17577066,0.909760145
1/2/2016 23:00,0,0,0.234049,0.175735905,0.912209671
1/3/2016 0:00,0,0,0.242139,0.17570115,0.907923855
1/3/2016 1:00,0,0,0.314944,0.175668226,0.894875531
1/3/2016 2:00,0,0,0.309172,0.175635303,0.863424331
1/3/2016 3:00,0,0,0.403336,0.175602379,0.819134292
1/3/2016 4:00,0,0,0.44427,0.175569456,0.753274469
1/3/2016 5:00,0,0,0.428937,0.175536532,0.67332552
1/3/2016 6:00,0,0,0.477177,0.175503609,0.554389422
1/3/2016 7:00,0,0,0.465505,0.175470685,0.481031878
1/3/2016 8:00,0.011,0,0.505856,0.175437762,0.450086976
1/3/2016 9:00,0.06,0,0.590259,0.175404838,0.474501529
1/3/2016 10:00,0.12,0,0.644527,0.175371915,0.49219264
1/3/2016 11:00,0.141,0,0.708083,0.175338991,0.484559006
1/3/2016 12:00,0.128,0,0.738638,0.175306068,0.474373318
1/3/2016 13:00,0.108,0,0.756626,0.175273144,0.45050669
1/3/2016 14:00,0.084,0,0.746799,0.175240221,0.428669416
1/3/2016 15:00,0.07,0,0.776361,0.175207297,0.416070258
1/3/2016 16:00,0.025,0,0.796797,0.175174374,0.509632552
1/3/2016 17:00,0,0,0.798142,0.17514145,0.612131209
1/3/2016 18:00,0,0,0.771371,0.175108527,0.6785918
1/3/2016 19:00,0,0,0.716813,0.175075604,0.6785918
1/3/2016 20:00,0,0,0.656921,0.17504268,0.6785918
1/3/2016 21:00,0,0,0.633968,0.175009757,0.6785918
1/3/2016 22:00,0,0,0.619064,0.174976833,0.6785918
1/3/2016 23:00,0,0,0.586719,0.17494391,0.6785918
1/4/2016 0:00,0,0,0.581588,0.174910986,0.6785918
1/4/2016 1:00,0,0,0.565956,0.174890585,0.670769516
1/4/2016 2:00,0,0,0.55801,0.174870183,0.677488578
1/4/2016 3:00,0,0,0.58033,0.174849782,0.671481716
1/4/2016 4:00,0,0,0.626514,0.17482938,0.659842661
1/4/2016 5:00,0,0,0.662631,0.174808979,0.642545136
1/4/2016 6:00,0,0,0.720615,0.174788577,0.616789445
1/4/2016 7:00,0,0,0.787702,0.174768176,0.572265858
1/4/2016 8:00,0.025,0,0.859836,0.174747774,0.546583279
1/4/2016 9:00,0.08,0,0.881488,0.174727373,0.50715487
1/4/2016 10:00,0.117,0,0.880651,0.174706971,0.469141995
1/4/2016 11:00,0.157,0,0.842233,0.17468657,0.43245043
1/4/2016 12:00,0.155,0,0.808798,0.174666168,0.42441324
1/4/2016 13:00,0.116,0,0.747488,0.174645766,0.434368496
1/4/2016 14:00,0.07,0,0.624683,0.174625365,0.450592197
1/4/2016 15:00,0.035,0,0.500911,0.174604963,0.482409597
1/4/2016 16:00,0.008,0,0.40339,0.174584562,0.510357653
1/4/2016 17:00,0,0,0.338163,0.17456416,0.542843859
1/4/2016 18:00,0,0,0.321083,0.174543759,0.598861992
1/4/2016 19:00,0,0,0.360632,0.174523357,0.620481267
1/4/2016 20:00,0,0,0.403022,0.174502956,0.628515273
1/4/2016 21:00,0,0,0.459223,0.174482554,0.649214572
1/4/2016 22:00,0,0,0.519972,0.174462153,0.679718047
1/4/2016 23:00,0,0,0.507375,0.174441751,0.694994837
1/5/2016 0:00,0,0,0.460461,0.17442135,0.702347881
1/5/2016 1:00,0,0,0.465095,0.174398414,0.692196182
1/5/2016 2:00,0,0,0.493266,0.174375478,0.671179612
1/5/2016 3:00,0,0,0.544449,0.174352542,0.630556005
1/5/2016 4:00,0,0,0.599785,0.174329606,0.57695789
1/5/2016 5:00,0,0,0.601814,0.17430667,0.512048009
1/5/2016 6:00,0,0,0.523977,0.174283734,0.451377167
1/5/2016 7:00,0,0,0.46671,0.174260798,0.422454174
1/5/2016 8:00,0.046,0,0.476434,0.174237862,0.45477715
1/5/2016 9:00,0.142,0,0.479484,0.174214926,0.502953215
1/5/2016 10:00,0.227,0,0.542249,0.17419199,0.510131186
1/5/2016 11:00,0.279,0,0.619026,0.174169054,0.490895927
1/5/2016 12:00,0.281,0,0.63181,0.174146118,0.45297994
1/5/2016 13:00,0.241,0,0.618617,0.174123182,0.44897534
1/5/2016 14:00,0.16,0,0.569934,0.174100246,0.425151577
1/5/2016 15:00,0.103,0,0.503867,0.17407731,0.408462038
1/5/2016 16:00,0.033,0,0.512415,0.174054374,0.474642617
1/5/2016 17:00,0,0,0.541642,0.174031438,0.632053394
1/5/2016 18:00,0,0,0.51426,0.174008501,0.738981628
1/5/2016 19:00,0,0,0.499951,0.173985565,0.77950155
1/5/2016 20:00,0,0,0.446538,0.173962629,0.782679314
1/5/2016 21:00,0,0,0.422526,0.173939693,0.825741262
1/5/2016 22:00,0,0,0.364159,0.173916757,0.888243307
1/5/2016 23:00,0,0,0.360655,0.173893821,0.874139818
1/6/2016 0:00,0,0,0.331015,0.173870885,0.852412711
1/6/2016 1:00,0,0,0.332722,0.173830283,0.834316977
1/6/2016 2:00,0,0,0.267825,0.173789681,0.801309387
1/6/2016 3:00,0,0,0.223536,0.173749079,0.745717715
1/6/2016 4:00,0,0,0.205588,0.173708476,0.653996582
1/6/2016 5:00,0,0,0.222225,0.173667874,0.556492776
1/6/2016 6:00,0,0,0.226081,0.173627272,0.47674541
1/6/2016 7:00,0,0,0.207934,0.173586669,0.48273198
1/6/2016 8:00,0.008,0,0.25124,0.173546067,0.495560606
1/6/2016 9:00,0.039,0,0.286334,0.173505465,0.519312056
1/6/2016 10:00,0.08,0,0.320982,0.173464863,0.503533519
1/6/2016 11:00,0.137,0,0.484464,0.17342426,0.516904591
1/6/2016 12:00,0.196,0,0.668789,0.173383658,0.494538208
1/6/2016 13:00,0.195,0,0.732639,0.173343056,0.488466541
1/6/2016 14:00,0.123,0,0.748021,0.173302454,0.460385461
1/6/2016 15:00,0.062,0,0.774927,0.173261851,0.463000031
1/6/2016 16:00,0.017,0,0.801631,0.173221249,0.525309958
