,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0.269537,0.306565,0.370790216,0.702347881
1/1/2016 1:00,0,0.259861,0.297985,0.370611651,0.692196182
1/1/2016 2:00,0,0.253587,0.291652,0.370433086,0.671179612
1/1/2016 3:00,0,0.255,0.284275,0.370254521,0.630556005
1/1/2016 4:00,0,0.253129,0.282126,0.370075956,0.57695789
1/1/2016 5:00,0,0.23422,0.277198,0.36989739,0.512048009
1/1/2016 6:00,0,0.223337,0.280869,0.369718825,0.451377167
1/1/2016 7:00,0,0.215834,0.288812,0.36954026,0.422454174
1/1/2016 8:00,0.002,0.21276,0.287797,0.369361695,0.45477715
1/1/2016 9:00,0.007,0.211995,0.290606,0.36918313,0.502953215
1/1/2016 10:00,0.012,0.226228,0.291558,0.369004564,0.510131186
1/1/2016 11:00,0.013,0.227327,0.287604,0.368825999,0.490895927
1/1/2016 12:00,0.008,0.220474,0.290593,0.368647434,0.45297994
1/1/2016 13:00,0.001,0.224037,0.294165,0.368468869,0.44897534
1/1/2016 14:00,0,0.233338,0.294125,0.368290303,0.425151577
1/1/2016 15:00,0,0.238413,0.289896,0.368111738,0.408462038
1/1/2016 16:00,0,0.247333,0.292023,0.367933173,0.474642617
1/1/2016 17:00,0,0.2622,0.297945,0.367754608,0.632053394
1/1/2016 18:00,0,0.311725,0.314784,0.367576043,0.738981628
1/1/2016 19:00,0,0.392444,0.334035,0.367397477,0.77950155
1/1/2016 20:00,0,0.486873,0.355087,0.367218912,0.782679314
1/1/2016 21:00,0,0.596216,0.361434,0.367040347,0.825741262
1/1/2016 22:00,0,0.697096,0.357141,0.366861782,0.888243307
1/1/2016 23:00,0,0.766878,0.367574,0.366683217,0.874139818
1/2/2016 0:00,0,0.817811,0.362151,0.366504651,0.852412711
1/2/2016 1:00,0,0.855952,0.370214,0.366422664,0.834316977
1/2/2016 2:00,0,0.872552,0.370652,0.366340676,0.801309387
1/2/2016 3:00,0,0.889454,0.39611,0.366258689,0.745717715
1/2/2016 4:00,0,0.898159,0.428011,0.366176701,0.653996582
1/2/2016 5:00,0,0.895867,0.448027,0.366094714,0.556492776
1/2/2016 6:00,0,0.878836,0.463038,0.366012726,0.47674541
1/2/2016 7:00,0,0.867834,0.489066,0.365930738,0.48273198
1/2/2016 8:00,0.006,0.839604,0.500003,0.365848751,0.495560606
1/2/2016 9:00,0.027,0.850631,0.490774,0.365766763,0.519312056
1/2/2016 10:00,0.043,0.866204,0.48188,0.365684776,0.503533519
1/2/2016 11:00,0.039,0.88802,0.471184,0.365602788,0.516904591
1/2/2016 12:00,0.022,0.888088,0.45137,0.365520801,0.494538208
1/2/2016 13:00,0.006,0.887189,0.432032,0.365438813,0.488466541
1/2/2016 14:00,0,0.897489,0.424859,0.365356826,0.460385461
1/2/2016 15:00,0,0.898689,0.424596,0.365274838,0.463000031
1/2/2016 16:00,0,0.892944,0.426198,0.36519285,0.525309958
1/2/2016 17:00,0,0.89099,0.427507,0.365110863,0.60762545
1/2/2016 18:00,0,0.865529,0.430919,0.365028875,0.761800612
1/2/2016 19:00,0,0.861043,0.415826,0.364946888,0.815465173
1/2/2016 20:00,0,0.859318,0.392509,0.3648649,0.835466853
1/2/2016 21:00,0,0.871647,0.383887,0.364782913,0.868673508
1/2/2016 22:00,0,0.862803,0.378109,0.364700925,0.909760145
1/2/2016 23:00,0,0.850809,0.364845,0.364618937,0.912209671
1/3/2016 0:00,0,0.823235,0.347644,0.36453695,0.907923855
1/3/2016 1:00,0,0.794396,0.335696,0.364558073,0.894875531
1/3/2016 2:00,0,0.767633,0.319409,0.364579196,0.863424331
1/3/2016 3:00,0,0.741246,0.302688,0.364600319,0.819134292
1/3/2016 4:00,0,0.71615,0.287468,0.364621442,0.753274469
1/3/2016 5:00,0,0.704091,0.274827,0.364642565,0.67332552
1/3/2016 6:00,0,0.691601,0.267603,0.364663688,0.554389422
1/3/2016 7:00,0,0.679662,0.25827,0.364684811,0.481031878
1/3/2016 8:00,0.01,0.664168,0.251033,0.364705934,0.450086976
1/3/2016 9:00,0.038,0.635754,0.243199,0.364727057,0.474501529
1/3/2016 10:00,0.062,0.6071,0.234005,0.36474818,0.49219264
1/3/2016 11:00,0.061,0.592324,0.229422,0.364769302,0.484559006
1/3/2016 12:00,0.038,0.58361,0.221083,0.364790425,0.474373318
1/3/2016 13:00,0.012,0.57549,0.215658,0.364811548,0.45050669
1/3/2016 14:00,0,0.568879,0.212288,0.364832671,0.428669416
1/3/2016 15:00,0,0.562462,0.204914,0.364853794,0.416070258
1/3/2016 16:00,0,0.558942,0.200448,0.364874917,0.509632552
1/3/2016 17:00,0,0.557594,0.199713,0.36489604,0.612131209
1/3/2016 18:00,0,0.555584,0.192433,0.364917163,0.6785918
1/3/2016 19:00,0,0.553344,0.188969,0.364938286,0.6785918
1/3/2016 20:00,0,0.55214,0.1885,0.364959409,0.6785918
1/3/2016 21:00,0,0.554078,0.193153,0.364980532,0.6785918
1/3/2016 22:00,0,0.555579,0.20584,0.365001655,0.6785918
1/3/2016 23:00,0,0.558371,0.222652,0.365022778,0.6785918
1/4/2016 0:00,0,0.563199,0.251472,0.365043901,0.6785918
1/4/2016 1:00,0,0.569581,0.262883,0.36515594,0.670769516
1/4/2016 2:00,0,0.575711,0.272598,0.365267978,0.677488578
1/4/2016 3:00,0,0.581494,0.274092,0.365380017,0.671481716
1/4/2016 4:00,0,0.583103,0.279057,0.365492056,0.659842661
1/4/2016 5:00,0,0.584436,0.276959,0.365604095,0.642545136
1/4/2016 6:00,0,0.590184,0.280196,0.365716134,0.616789445
1/4/2016 7:00,0,0.597412,0.281522,0.365828172,0.572265858
1/4/2016 8:00,0.011,0.601176,0.278036,0.365940211,0.546583279
1/4/2016 9:00,0.036,0.605582,0.259847,0.36605225,0.50715487
1/4/2016 10:00,0.056,0.617699,0.245278,0.366164289,0.469141995
1/4/2016 11:00,0.058,0.615923,0.255688,0.366276327,0.43245043
1/4/2016 12:00,0.041,0.606611,0.252742,0.366388366,0.42441324
1/4/2016 13:00,0.015,0.600425,0.247242,0.366500405,0.434368496
1/4/2016 14:00,0,0.596457,0.250642,0.366612444,0.450592197
1/4/2016 15:00,0,0.596929,0.249123,0.366724483,0.482409597
1/4/2016 16:00,0,0.60695,0.238288,0.366836521,0.510357653
1/4/2016 17:00,0,0.614727,0.232642,0.36694856,0.542843859
1/4/2016 18:00,0,0.612696,0.220959,0.367060599,0.598861992
1/4/2016 19:00,0,0.608071,0.214645,0.367172638,0.620481267
1/4/2016 20:00,0,0.612234,0.213926,0.367284676,0.628515273
1/4/2016 21:00,0,0.61941,0.208772,0.367396715,0.649214572
1/4/2016 22:00,0,0.630689,0.204863,0.367508754,0.679718047
1/4/2016 23:00,0,0.646129,0.205533,0.367620793,0.694994837
1/5/2016 0:00,0,0.664938,0.207563,0.367732832,0.702347881
1/5/2016 1:00,0,0.674679,0.202237,0.367766149,0.692196182
1/5/2016 2:00,0,0.662785,0.19876,0.367799467,0.671179612
1/5/2016 3:00,0,0.650678,0.190608,0.367832785,0.630556005
1/5/2016 4:00,0,0.634259,0.176849,0.367866102,0.57695789
1/5/2016 5:00,0,0.612276,0.163011,0.36789942,0.512048009
1/5/2016 6:00,0,0.588843,0.171133,0.367932738,0.451377167
1/5/2016 7:00,0,0.575922,0.171996,0.367966055,0.422454174
1/5/2016 8:00,0.007,0.555777,0.18069,0.367999373,0.45477715
1/5/2016 9:00,0.033,0.529618,0.177806,0.36803269,0.502953215
1/5/2016 10:00,0.059,0.521463,0.167852,0.368066008,0.510131186
1/5/2016 11:00,0.062,0.518484,0.164794,0.368099326,0.490895927
1/5/2016 12:00,0.04,0.518775,0.159497,0.368132643,0.45297994
1/5/2016 13:00,0.012,0.523816,0.153493,0.368165961,0.44897534
1/5/2016 14:00,0,0.544634,0.167131,0.368199279,0.425151577
1/5/2016 15:00,0,0.555493,0.168631,0.368232596,0.408462038
1/5/2016 16:00,0,0.561161,0.154253,0.368265914,0.474642617
1/5/2016 17:00,0,0.559111,0.142721,0.368299232,0.632053394
1/5/2016 18:00,0,0.547473,0.134051,0.368332549,0.738981628
1/5/2016 19:00,0,0.530682,0.12624,0.368365867,0.77950155
1/5/2016 20:00,0,0.517143,0.115211,0.368399185,0.782679314
1/5/2016 21:00,0,0.517433,0.104545,0.368432502,0.825741262
1/5/2016 22:00,0,0.517555,0.096718,0.36846582,0.888243307
1/5/2016 23:00,0,0.531422,0.093275,0.368499138,0.874139818
1/6/2016 0:00,0,0.544474,0.09596,0.368532455,0.852412711
1/6/2016 1:00,0,0.563238,0.102559,0.36847943,0.834316977
1/6/2016 2:00,0,0.576947,0.101414,0.368426405,0.801309387
1/6/2016 3:00,0,0.579831,0.099739,0.36837338,0.745717715
1/6/2016 4:00,0,0.588344,0.104297,0.368320355,0.653996582
1/6/2016 5:00,0,0.578209,0.104328,0.36826733,0.556492776
1/6/2016 6:00,0,0.563974,0.106255,0.368214304,0.47674541
1/6/2016 7:00,0,0.544747,0.108991,0.368161279,0.48273198
1/6/2016 8:00,0.012,0.530697,0.104076,0.368108254,0.495560606
1/6/2016 9:00,0.047,0.500401,0.10057,0.368055229,0.519312056
1/6/2016 10:00,0.075,0.486955,0.091151,0.368002204,0.503533519
1/6/2016 11:00,0.079,0.484373,0.089296,0.367949179,0.516904591
1/6/2016 12:00,0.054,0.486493,0.08933,0.367896153,0.494538208
1/6/2016 13:00,0.017,0.499046,0.089243,0.367843128,0.488466541
1/6/2016 14:00,0,0.532015,0.098373,0.367790103,0.460385461
1/6/2016 15:00,0,0.568527,0.106575,0.367737078,0.463000031
1/6/2016 16:00,0,0.603582,0.10743,0.367684053,0.525309958
1/6/2016 17:00,0,0.620103,0.108757,0.367631028,0.60762545
1/6/2016 18:00,0,0.617055,0.108167,0.367578003,0.761800612
1/6/2016 19:00,0,0.603773,0.103556,0.367524977,0.815465173
1/6/2016 20:00,0,0.588474,0.102906,0.367471952,0.835466853
1/6/2016 21:00,0,0.551191,0.083888,0.367418927,0.868673508
1/6/2016 22:00,0,0.483727,0.070074,0.367365902,0.909760145
1/6/2016 23:00,0,0.434401,0.063411,0.367312877,0.912209671
1/7/2016 0:00,0,0.416852,0.06556,0.367259852,0.907923855
1/7/2016 1:00,0,0.424366,0.070317,0.367146506,0.894875531
1/7/2016 2:00,0,0.456004,0.077088,0.367033161,0.863424331
1/7/2016 3:00,0,0.478814,0.079861,0.366919816,0.819134292
1/7/2016 4:00,0,0.49644,0.079648,0.36680647,0.753274469
1/7/2016 5:00,0,0.529346,0.080784,0.366693125,0.67332552
1/7/2016 6:00,0,0.579935,0.086189,0.366579779,0.554389422
1/7/2016 7:00,0,0.630742,0.099686,0.366466434,0.481031878
1/7/2016 8:00,0.011,0.670792,0.1165,0.366353089,0.450086976
1/7/2016 9:00,0.04,0.690019,0.135154,0.366239743,0.474501529
1/7/2016 10:00,0.062,0.714545,0.144819,0.366126398,0.49219264
1/7/2016 11:00,0.06,0.727423,0.149852,0.366013053,0.484559006
1/7/2016 12:00,0.034,0.729775,0.156707,0.365899707,0.474373318
1/7/2016 13:00,0.008,0.730312,0.167995,0.365786362,0.45050669
1/7/2016 14:00,0,0.750326,0.192361,0.365673017,0.428669416
1/7/2016 15:00,0,0.775635,0.212271,0.365559671,0.416070258
1/7/2016 16:00,0,0.799714,0.222851,0.365446326,0.509632552
1/7/2016 17:00,0,0.81289,0.225461,0.365332981,0.612131209
1/7/2016 18:00,0,0.821732,0.241427,0.365219635,0.6785918
1/7/2016 19:00,0,0.828491,0.249914,0.36510629,0.741977567
1/7/2016 20:00,0,0.82963,0.25866,0.364992944,0.810372671
1/7/2016 21:00,0,0.831865,0.275979,0.364879599,0.8620991
1/7/2016 22:00,0,0.839151,0.280429,0.364766254,0.909577947
1/7/2016 23:00,0,0.847863,0.286021,0.364652908,0.932822761
1/8/2016 0:00,0,0.868178,0.293598,0.364539563,0.941545791
1/8/2016 1:00,0,0.873204,0.310635,0.364380488,0.928405718
1/8/2016 2:00,0,0.864617,0.313624,0.364221412,0.903720503
1/8/2016 3:00,0,0.87012,0.321197,0.364062337,0.852807048
1/8/2016 4:00,0,0.87878,0.333823,0.363903261,0.776874944
1/8/2016 5:00,0,0.874299,0.334142,0.363744186,0.684326261
1/8/2016 6:00,0,0.873913,0.335757,0.36358511,0.55952671
1/8/2016 7:00,0,0.870134,0.342135,0.363426035,0.472600092
1/8/2016 8:00,0.003,0.838761,0.342715,0.363266959,0.446868586
1/8/2016 9:00,0.015,0.780736,0.338673,0.363107884,0.450679732
1/8/2016 10:00,0.028,0.759189,0.332538,0.362948808,0.478264118
1/8/2016 11:00,0.026,0.680967,0.318767,0.362789733,0.47684224
1/8/2016 12:00,0.013,0.559981,0.301783,0.362630657,0.44248728
1/8/2016 13:00,0.002,0.414193,0.286936,0.362471582,0.386362652
1/8/2016 14:00,0,0.320543,0.266871,0.362312507,0.358399657
1/8/2016 15:00,0,0.295579,0.235282,0.362153431,0.370918447
1/8/2016 16:00,0,0.282516,0.21627,0.361994356,0.423681779
1/8/2016 17:00,0,0.266449,0.190832,0.36183528,0.596022696
1/8/2016 18:00,0,0.248162,0.165467,0.361676205,0.704090776
1/8/2016 19:00,0,0.229367,0.1298,0.361517129,0.747432766
1/8/2016 20:00,0,0.212761,0.106049,0.361358054,0.801378825
1/8/2016 21:00,0,0.203666,0.096964,0.361198978,0.843536734
1/8/2016 22:00,0,0.201527,0.093599,0.361039903,0.852526374
1/8/2016 23:00,0,0.178117,0.091925,0.360880827,0.866190742
1/9/2016 0:00,0,0.163126,0.087656,0.360721752,0.861340045
1/9/2016 1:00,0,0.139152,0.085741,0.360548631,0.853571829
1/9/2016 2:00,0,0.111122,0.086312,0.36037551,0.841378756
1/9/2016 3:00,0,0.098412,0.08391,0.360202388,0.795280273
1/9/2016 4:00,0,0.085078,0.079803,0.360029267,0.727649506
1/9/2016 5:00,0,0.078089,0.083936,0.359856146,0.645520011
1/9/2016 6:00,0,0.09025,0.090857,0.359683025,0.545413215
1/9/2016 7:00,0,0.133491,0.089389,0.359509904,0.478618642
1/9/2016 8:00,0.005,0.223027,0.081024,0.359336783,0.459866183
1/9/2016 9:00,0.024,0.26564,0.071692,0.359163662,0.459974581
1/9/2016 10:00,0.041,0.284294,0.065919,0.35899054,0.438097641
1/9/2016 11:00,0.042,0.283906,0.067987,0.358817419,0.427365683
1/9/2016 12:00,0.024,0.297823,0.07649,0.358644298,0.425088034
1/9/2016 13:00,0.004,0.349026,0.09683,0.358471177,0.42295985
1/9/2016 14:00,0,0.437668,0.119665,0.358298056,0.426919921
1/9/2016 15:00,0,0.517917,0.143373,0.358124935,0.441821489
1/9/2016 16:00,0,0.583757,0.162903,0.357951814,0.467437135
1/9/2016 17:00,0,0.630173,0.173079,0.357778692,0.518758735
1/9/2016 18:00,0,0.650171,0.183987,0.357605571,0.586639513
1/9/2016 19:00,0,0.678982,0.1992,0.35743245,0.607094554
1/9/2016 20:00,0,0.702876,0.208471,0.357259329,0.654753398
1/9/2016 21:00,0,0.735955,0.219387,0.357086208,0.675640705
1/9/2016 22:00,0,0.763052,0.231035,0.356913087,0.718198957
1/9/2016 23:00,0,0.792103,0.241268,0.356739966,0.732872809
1/10/2016 0:00,0,0.8049,0.247272,0.356566844,0.762120129
1/10/2016 1:00,0,0.824578,0.265816,0.356422903,0.788124008
1/10/2016 2:00,0,0.863107,0.288612,0.356278962,0.788298565
1/10/2016 3:00,0,0.893931,0.324984,0.356135021,0.780581393
1/10/2016 4:00,0,0.914673,0.328552,0.35599108,0.763736937
1/10/2016 5:00,0,0.924447,0.34344,0.355847139,0.737192827
1/10/2016 6:00,0,0.929365,0.351349,0.355703198,0.705034407
1/10/2016 7:00,0,0.929259,0.360669,0.355559258,0.64949488
1/10/2016 8:00,0.003,0.91407,0.376339,0.355415317,0.593970277
1/10/2016 9:00,0.014,0.896751,0.381815,0.355271376,0.561473654
1/10/2016 10:00,0.027,0.880974,0.383075,0.355127435,0.536750442
1/10/2016 11:00,0.027,0.880632,0.395573,0.354983494,0.49108652
1/10/2016 12:00,0.014,0.884167,0.407711,0.354839553,0.466979461
1/10/2016 13:00,0.003,0.878608,0.43257,0.354695612,0.480063173
1/10/2016 14:00,0,0.854544,0.447048,0.354551671,0.48004263
1/10/2016 15:00,0,0.785888,0.455504,0.35440773,0.484292137
1/10/2016 16:00,0,0.668356,0.445361,0.354263789,0.536501356
1/10/2016 17:00,0,0.546898,0.417442,0.354119848,0.600960531
1/10/2016 18:00,0,0.521036,0.394543,0.353975907,0.63365136
1/10/2016 19:00,0,0.552336,0.34448,0.353831966,0.670873806
1/10/2016 20:00,0,0.638326,0.32244,0.353688025,0.66544915
1/10/2016 21:00,0,0.673248,0.303521,0.353544084,0.670229752
1/10/2016 22:00,0,0.649099,0.28163,0.353400143,0.661486066
1/10/2016 23:00,0,0.615945,0.273445,0.353256202,0.65174919
1/11/2016 0:00,0,0.540081,0.265188,0.353112261,0.663732439
1/11/2016 1:00,0,0.480054,0.245638,0.352897656,0.659628851
1/11/2016 2:00,0,0.450299,0.239544,0.352683051,0.65295146
1/11/2016 3:00,0,0.429031,0.23874,0.352468446,0.662186468
1/11/2016 4:00,0,0.413569,0.236956,0.352253841,0.666512837
1/11/2016 5:00,0,0.396224,0.240936,0.352039236,0.651400521
1/11/2016 6:00,0,0.355055,0.241454,0.351824632,0.629671511
1/11/2016 7:00,0,0.30093,0.240909,0.351610027,0.600524052
1/11/2016 8:00,0.001,0.254856,0.240699,0.351395422,0.572913279
1/11/2016 9:00,0.006,0.207062,0.218292,0.351180817,0.551781924
1/11/2016 10:00,0.011,0.154818,0.193135,0.350966212,0.54207523
1/11/2016 11:00,0.011,0.121001,0.179042,0.350751607,0.53559528
1/11/2016 12:00,0.007,0.095697,0.167115,0.350537002,0.489486043
1/11/2016 13:00,0.002,0.068653,0.150478,0.350322397,0.503310647
1/11/2016 14:00,0,0.05213,0.138114,0.350107792,0.562784125
1/11/2016 15:00,0,0.050482,0.128669,0.349893188,0.603175734
1/11/2016 16:00,0,0.078454,0.126232,0.349678583,0.650009628
1/11/2016 17:00,0,0.135337,0.123282,0.349463978,0.678198538
1/11/2016 18:00,0,0.192725,0.122237,0.349249373,0.700834509
1/11/2016 19:00,0,0.223344,0.126291,0.349034768,0.71806047
1/11/2016 20:00,0,0.223977,0.129137,0.348820163,0.758305791
1/11/2016 21:00,0,0.178446,0.127809,0.348605558,0.842709823
1/11/2016 22:00,0,0.151624,0.12431,0.348390953,0.868863703
1/11/2016 23:00,0,0.129709,0.117495,0.348176348,0.859201846
1/12/2016 0:00,0,0.11154,0.139355,0.347961743,0.845065758
1/12/2016 1:00,0,0.111028,0.1333,0.347984173,0.843979572
1/12/2016 2:00,0,0.120469,0.142254,0.348006603,0.812782315
1/12/2016 3:00,0,0.143288,0.145355,0.348029032,0.770438313
1/12/2016 4:00,0,0.176187,0.143322,0.348051462,0.694754941
