,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0,0.00475,0.189037916,0.702347881
1/1/2016 1:00,0,0,0.004527,0.18902216,0.692196182
1/1/2016 2:00,0,0,0.00444,0.189006404,0.671179612
1/1/2016 3:00,0,0,0.002363,0.188990648,0.630556005
1/1/2016 4:00,0,0,0.001334,0.188974892,0.57695789
1/1/2016 5:00,0,0,0.001365,0.188959136,0.512048009
1/1/2016 6:00,0,0,0.001316,0.18894338,0.451377167
1/1/2016 7:00,0.035,0,0.0004,0.188927624,0.422454174
1/1/2016 8:00,0.103,0,6.00E-06,0.188911868,0.45477715
1/1/2016 9:00,0.168,0,1.00E-06,0.188896112,0.502953215
1/1/2016 10:00,0.238,0,0,0.188880356,0.510131186
1/1/2016 11:00,0.307,0,0,0.1888646,0.490895927
1/1/2016 12:00,0.329,0,0,0.188848844,0.45297994
1/1/2016 13:00,0.263,0,1.20E-05,0.188833088,0.44897534
1/1/2016 14:00,0.116,0,0.000254,0.188817332,0.425151577
1/1/2016 15:00,0,0,5.20E-05,0.188801576,0.408462038
1/1/2016 16:00,0,0,0,0.18878582,0.474642617
1/1/2016 17:00,0,0,5.00E-06,0.188770065,0.632053394
1/1/2016 18:00,0,0,0.003142,0.188754309,0.738981628
1/1/2016 19:00,0,0,0.01109,0.188738553,0.77950155
1/1/2016 20:00,0,0,0.016615,0.188722797,0.782679314
1/1/2016 21:00,0,0,0.01733,0.188707041,0.825741262
1/1/2016 22:00,0,0,0.017121,0.188691285,0.888243307
1/1/2016 23:00,0,0,0.016732,0.188675529,0.874139818
1/2/2016 0:00,0,0,0.014677,0.188659773,0.852412711
1/2/2016 1:00,0,0,0.012679,0.18869189,0.834316977
1/2/2016 2:00,0,0,0.010812,0.188724008,0.801309387
1/2/2016 3:00,0,0,0.008213,0.188756125,0.745717715
1/2/2016 4:00,0,0,0.009666,0.188788242,0.653996582
1/2/2016 5:00,0,0,0.010452,0.18882036,0.556492776
1/2/2016 6:00,0,0,0.010987,0.188852477,0.47674541
1/2/2016 7:00,0.03,0,0.009091,0.188884594,0.48273198
1/2/2016 8:00,0.094,0,0.004362,0.188916712,0.495560606
