,PHOT,WTOF,WTON,HROR,BEVS
1/1/2016 0:00,0,0.486396,0.478166,0.206647732,0.702347881
1/1/2016 1:00,0,0.415194,0.431485,0.206787466,0.692196182
1/1/2016 2:00,0,0.313441,0.400477,0.206927201,0.671179612
1/1/2016 3:00,0,0.216382,0.368995,0.207066936,0.630556005
1/1/2016 4:00,0,0.154701,0.33944,0.207206671,0.57695789
1/1/2016 5:00,0,0.149295,0.3225,0.207346406,0.512048009
1/1/2016 6:00,0,0.173168,0.308767,0.20748614,0.451377167
1/1/2016 7:00,0,0.204575,0.300043,0.207625875,0.422454174
1/1/2016 8:00,0,0.255113,0.302217,0.20776561,0.45477715
1/1/2016 9:00,0.016,0.318057,0.30978,0.207905345,0.502953215
1/1/2016 10:00,0.038,0.392011,0.300987,0.20804508,0.510131186
1/1/2016 11:00,0.051,0.481726,0.303282,0.208184814,0.490895927
1/1/2016 12:00,0.057,0.555902,0.336401,0.208324549,0.45297994
1/1/2016 13:00,0.047,0.625828,0.385403,0.208464284,0.44897534
1/1/2016 14:00,0.021,0.694046,0.446626,0.208604019,0.425151577
1/1/2016 15:00,0.001,0.74572,0.517809,0.208743753,0.408462038
1/1/2016 16:00,0,0.776496,0.576965,0.208883488,0.474642617
1/1/2016 17:00,0,0.807533,0.626232,0.209023223,0.632053394
1/1/2016 18:00,0,0.824565,0.664199,0.209162958,0.738981628
1/1/2016 19:00,0,0.831581,0.712337,0.209302693,0.77950155
1/1/2016 20:00,0,0.838968,0.745551,0.209442427,0.782679314
1/1/2016 21:00,0,0.85562,0.762447,0.209582162,0.825741262
1/1/2016 22:00,0,0.873139,0.753711,0.209721897,0.888243307
1/1/2016 23:00,0,0.885435,0.746084,0.209861632,0.874139818
1/2/2016 0:00,0,0.885552,0.732075,0.210001366,0.852412711
1/2/2016 1:00,0,0.868353,0.713517,0.210084166,0.834316977
1/2/2016 2:00,0,0.844423,0.69826,0.210166966,0.801309387
1/2/2016 3:00,0,0.823667,0.675452,0.210249766,0.745717715
1/2/2016 4:00,0,0.808692,0.644214,0.210332566,0.653996582
1/2/2016 5:00,0,0.788349,0.605701,0.210415365,0.556492776
1/2/2016 6:00,0,0.764302,0.55754,0.210498165,0.47674541
1/2/2016 7:00,0,0.747146,0.526966,0.210580965,0.48273198
1/2/2016 8:00,0.001,0.737226,0.489864,0.210663765,0.495560606
1/2/2016 9:00,0.013,0.721807,0.466786,0.210746564,0.519312056
1/2/2016 10:00,0.032,0.705264,0.442135,0.210829364,0.503533519
1/2/2016 11:00,0.046,0.680117,0.418413,0.210912164,0.516904591
1/2/2016 12:00,0.044,0.661476,0.403231,0.210994964,0.494538208
1/2/2016 13:00,0.034,0.64445,0.378286,0.211077763,0.488466541
1/2/2016 14:00,0.016,0.633737,0.360587,0.211160563,0.460385461
1/2/2016 15:00,0.001,0.629258,0.356901,0.211243363,0.463000031
1/2/2016 16:00,0,0.61271,0.362072,0.211326163,0.525309958
1/2/2016 17:00,0,0.58025,0.370144,0.211408963,0.60762545
1/2/2016 18:00,0,0.549081,0.369636,0.211491762,0.761800612
1/2/2016 19:00,0,0.511679,0.374248,0.211574562,0.815465173
1/2/2016 20:00,0,0.491925,0.384014,0.211657362,0.835466853
1/2/2016 21:00,0,0.506171,0.382152,0.211740162,0.868673508
1/2/2016 22:00,0,0.510109,0.386173,0.211822961,0.909760145
1/2/2016 23:00,0,0.500439,0.403383,0.211905761,0.912209671
