Region1,BIO,GAS,GEO,HYD,NUC,OIL,SUN,WAT,WIN,HRD,LIG,PEA,WST
AT,2091,10540,474,,,,78132,12019,12362,246,0,0,0
BE,1642,26647,197,,,,129067,141,21994,,,0,0
BG,335,5057,628,,475,,32493,1984,6935,0,1782,0,0
CY,25,772,,,,390,23595,,,,,0,0
CZ,1597,12602,342,,1926,,26774,1300,41890,317.1895312,2166.810469,0,0
DE,10164,130059,2475,,,465,267570,5059,212517,2329.513224,1759.486776,0,0
DK,1573,9757,209,,,,12772,,47931,12,0,0,0
EE,396,3646,,,,,4839,,8711,,,0,0
EL,401,7960,,378,,251,112535,2407,6791,0,833,0,0
ES,4112,59648,64,,1460,,368480,13917,80422,97,0,0,0
FI,2774,12647,,,140,466,23937,4656,39714,,,0,0
FR,5791,87898,74,,17618,1945,154564,38946,310005,600,0,0,0
HR,170,3230,227,,,,3043,2169,1095,563,0,0,0
HU,1175,10163,335,,386,77,7497,49,12701,,,0,0
IE,545,5297,318,,,,,3202,5396,,,0,0
IT,6556,77092,817,,,,442648,22100,90694,150,0,0,0
LT,415,2787,209,,,18,5548,116,9653,,,0,0
LU,75,3703,,,,,10370,62,300,,,0,0
LV,52,2012,,113,,,3698,1536,6061,,,0,0
MT,,463,,,,,1350,,249,,,,
NL,2629,38169,192,,,135,48627,494,92629,,,0,0
PL,3811,39651,1142,,,400,52725,2576,99254,6877.452631,3105.547369,0,0
PT,1159,7703,665,,,,60916,5650,7290,,,0,0
RO,457,11174,,,593,,10928,6335,14557,156.0534297,728.9465703,0,0
SE,2069,8087,,9249,2251,2780,40798,18314,93412,,,0,0
SI,386,3151,90,,,,12547,2254,2425,0,250,0,0
SK,639,7020,288,,872,,17871,1993,19001,83.43568684,356.5643132,0,0
UK,6380,109621,981,,,,124678,15672,263647,448,0,0,0
CH,3000,2000,,,,,60000,34000,4000,,,,
NO,2000,2000,,,,,20000,30000,52000,,,,
