,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,GB,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK
2009-01-01 00:00:00,12345.0,24434.0,4586.0,9728.0,14599.0,136398.0,8489.0,1368.0,13797.0,15804.0,8616.0,82897.0,76331.0,5465.0,16770.0,5161.0,69643.0,2539.0,1421.0,2291.0,34724.0,11121.0,33473.0,1656.0,13417.0,12022.0,2501.0,7241.0
2009-01-01 01:00:00,12574.0,25025.0,4811.0,9956.0,14803.0,139441.0,8690.0,1460.0,14943.0,16225.0,9168.0,84975.0,78696.0,5603.0,17003.0,5384.0,71480.0,2696.0,1454.0,2443.0,35534.0,11311.0,34016.0,1723.0,13998.0,12272.0,2545.0,7342.0
2009-01-01 02:00:00,13267.0,26600.0,5234.0,10592.0,15512.0,147863.0,9253.0,1670.0,17424.0,18343.0,10234.0,91504.0,80584.0,5947.0,17885.0,5512.0,77301.0,3052.0,1546.0,2791.0,37856.0,11963.0,35968.0,1817.0,15146.0,13018.0,2682.0,7776.0
2009-01-01 03:00:00,14485.0,29386.0,6720.0,11915.0,16484.0,164277.0,10428.0,2266.0,23052.0,23567.0,13490.0,105094.0,86064.0,6752.0,18979.0,5975.0,89569.0,4012.0,1687.0,3750.0,41720.0,12944.0,40175.0,2069.0,19861.0,14270.0,2965.0,8172.0
2009-01-01 04:00:00,18804.0,37681.0,8474.0,15668.0,21166.0,213651.0,13714.0,2711.0,27328.0,33555.0,16183.0,139453.0,98748.0,8888.0,24302.0,6957.0,118263.0,4738.0,2141.0,4467.0,53632.0,16714.0,54180.0,2677.0,26258.0,18443.0,3914.0,10320.0
2009-01-01 05:00:00,23460.0,44403.0,7880.0,18542.0,27740.0,257199.0,16239.0,2610.0,26228.0,40866.0,15596.0,164605.0,132816.0,10622.0,31529.0,9411.0,140146.0,4530.0,2515.0,4279.0,63292.0,20880.0,68232.0,3806.0,23974.0,22279.0,4930.0,13088.0
2009-01-01 06:00:00,22125.0,43143.0,7770.0,17891.0,25621.0,245857.0,15630.0,2566.0,25913.0,39787.0,15519.0,159411.0,157806.0,10018.0,29380.0,11175.0,135371.0,4514.0,2469.0,4226.0,62014.0,19840.0,64087.0,4861.0,23084.0,21475.0,4606.0,12454.0
2009-01-01 07:00:00,21776.0,43762.0,7430.0,17857.0,24922.0,245474.0,15609.0,2465.0,24562.0,37576.0,14868.0,157850.0,151275.0,9949.0,28702.0,10878.0,134101.0,4348.0,2523.0,4068.0,62759.0,19498.0,61804.0,4825.0,21998.0,21453.0,4495.0,12288.0
2009-01-01 08:00:00,20781.0,41943.0,7167.0,17150.0,23654.0,235463.0,15008.0,2356.0,23421.0,34700.0,14224.0,150951.0,148883.0,9590.0,27219.0,10621.0,127254.0,4184.0,2409.0,3900.0,60036.0,18555.0,59072.0,4509.0,21191.0,20483.0,4302.0,11611.0
2009-01-01 09:00:00,19953.0,40193.0,6874.0,16443.0,22732.0,226057.0,14396.0,2274.0,22339.0,32166.0,13711.0,144099.0,143334.0,9251.0,26109.0,10153.0,121115.0,4021.0,2303.0,3757.0,57342.0,17768.0,56600.0,4160.0,20349.0,19607.0,4133.0,11095.0
2009-01-01 10:00:00,19203.0,38654.0,6682.0,15824.0,21888.0,217451.0,13847.0,2219.0,21840.0,30338.0,13354.0,137824.0,137468.0,8868.0,25181.0,9651.0,115403.0,3934.0,2216.0,3673.0,55153.0,17114.0,54582.0,3743.0,19702.0,18884.0,3978.0,10736.0
2009-01-01 11:00:00,18641.0,37691.0,6616.0,15447.0,21141.0,212046.0,13526.0,2157.0,21901.0,29391.0,13065.0,134422.0,132068.0,8688.0,24315.0,9225.0,112513.0,3866.0,2155.0,3587.0,53645.0,16562.0,53003.0,3470.0,19403.0,18347.0,3868.0,10345.0
2009-01-01 12:00:00,18320.0,37184.0,6634.0,15136.0,20849.0,208712.0,13298.0,2176.0,22221.0,28954.0,13173.0,134170.0,129065.0,8639.0,23943.0,8978.0,112486.0,3915.0,2127.0,3627.0,52881.0,16292.0,51519.0,3275.0,19284.0,18015.0,3794.0,10159.0
2009-01-01 13:00:00,18370.0,37623.0,6844.0,15298.0,20759.0,210736.0,13457.0,2186.0,22884.0,29035.0,13319.0,135791.0,127177.0,8761.0,23887.0,8948.0,113805.0,3968.0,2148.0,3657.0,53388.0,16307.0,51539.0,3219.0,19988.0,18127.0,3804.0,10161.0
2009-01-01 14:00:00,18818.0,38136.0,7139.0,15461.0,21532.0,214246.0,13624.0,2269.0,23814.0,29651.0,13772.0,138743.0,128678.0,8963.0,24702.0,9035.0,116734.0,4111.0,2176.0,3797.0,54045.0,16726.0,52448.0,3146.0,21022.0,18428.0,3894.0,10463.0
2009-01-01 15:00:00,19531.0,39290.0,7287.0,15976.0,22467.0,221977.0,14107.0,2328.0,24468.0,31050.0,14069.0,144079.0,130506.0,9347.0,25677.0,9214.0,121254.0,4186.0,2232.0,3885.0,55588.0,17310.0,54671.0,3156.0,21633.0,18996.0,4067.0,10754.0
2009-01-01 16:00:00,19975.0,39874.0,7191.0,16281.0,23061.0,226183.0,14374.0,2317.0,24697.0,32651.0,13962.0,147354.0,135606.0,9530.0,26338.0,9594.0,124239.0,4183.0,2261.0,3877.0,56457.0,17705.0,56309.0,3303.0,21184.0,19362.0,4172.0,11002.0
