,COMC,GTUR,HDAM,HPHS,HROR,ICEN,STUR,WTOF,WTON,PHOT,BEVS
AT,3655,158,2964,2971,5574,0,0,0,1,1,1
BE,4193,1118,1,0,0,0,0,712,1580,1,1
BG,53,54,0.5,0.5,0,0,443,0,1,1,1
CH,0,0,4800,4178,0,0,0,0,1,1,1
CZ,491,0,650,1172,431,0,0,0,1,1,1
CY,1,0,0,0,1,0,0,0,1,1,1
DE,16532,3578,0,3904,8567,0,1468,4125,45403,1,1
DK,594,670,0,0,1,0,1459,1271,3978,1,1
EE,0,0,0,0,1,250,0,0,1,1,1
EL,3936,888,2403,699,0,91,479,0,1,1,1
ES,26518,1705,19076,5593,2723,715,0,0,1,1,1
FI,782,1012,0,0,1,0,0,0,1,1,1
FR,3106,1654,8204,4965,10325,0,97,0,1,1,1
HR,579,143,1388,281,421,0,0,0,1,1,1
HU,2836,1006,0,0,1,145,0,0,1,1,1
IE,2553,683,0,1,0,0,563,0,1,1,1
IT,27575,929,4226,7064,10482,296,0,0,1,1,1
LT,451,0,0,900,128,0,1249,0,1,1,1
LU,0,69,11,0,25,0,0,0,1,1,1
LV,1059,0,0,0,1537,0,31,0,1,1,1
MT,1,0,0,0,1,0,0,0,1,1,1
NL,15625,3236,0,0,1,0,880,638,3479,1,1
NO,414,420,26909,0,1351,0,0,0,1,1,1
PL,768,0,0,1770,0,0,0,0,1,1,1
PT,3548,406,1510,1623,2986,372,61,0,1,1,1
RO,1308,181,4006,0,2697,0,3389,0,1,1,1
SE,0,0,15917,0,0,0,0,0,1,1,1
SI,118,363,0,180,1116,0,0,0,1,1,1
SK,769,249,318,916,1303,0,0,0,1,1,1
UK,24841,661,0,2744,0,125,213,5000,10000,1,1
