	BE
1	10221.28
2	9989.59
3	9771.39
4	9593.68
5	9516.30
6	9505.05
7	9522.15
8	9422.27
9	9432.17
10	9492.01
11	9653.52
12	9819.08
13	9920.31
14	9927.95
15	9868.12
16	9852.82
17	9906.81
18	10182.59
19	10275.72
20	10244.68
21	10150.20
22	10047.62
23	10234.78
24	10237.48
25	9931.10
26	9711.55
27	9533.85
28	9431.27
29	9453.77
30	9632.82
31	9986.44
32	10245.13
33	10531.71
34	10736.86
35	10818.74
36	10899.27
37	10893.87
38	10869.13
39	10804.79
40	10834.04
41	10883.98
42	11233.54
43	11256.04
44	11065.28
45	10822.34
46	10612.69
47	10750.81
48	10722.46
49	10389.99
50	10078.67
51	9947.30
52	9829.43
53	9843.82
54	10001.74
55	10329.71
56	10583.45
57	10854.73
58	10966.76
59	10985.20
60	11007.70
61	10999.60
62	10944.71
63	10860.13
64	10847.53
65	10951.91
66	11272.23
67	11268.63
68	11097.22
69	10860.13
70	10629.79
71	10754.41
72	10755.76
73	10433.63
74	10158.30
75	9949.55
76	9863.62
77	9828.53
78	9825.83
79	9951.80
80	10047.62
81	10295.52
82	10489.42
83	10630.69
84	10767.45
85	10789.05
86	10749.46
87	10632.94
88	10587.50
89	10653.63
90	10978.00
91	11035.14
92	10879.48
93	10663.98
94	10461.08
95	10538.01
96	10534.86
97	10267.17
98	10026.03
99	9832.58
100	9749.80
101	9730.00
102	9730.00
103	9816.83
104	9828.08
105	10002.64
106	10160.10
107	10335.56
108	10524.06
109	10618.09
110	10571.75
111	10457.93
112	10425.98
113	10484.92
114	10868.23
115	11026.14
116	10950.11
117	10774.20
118	10542.51
119	10568.15
120	10492.57
121	10198.34
122	9995.44
123	9844.27
124	9731.35
125	9770.94
126	10030.08
127	10573.55
128	11075.63
129	11316.32
130	11345.57
131	11364.91
132	11389.21
133	11249.74
134	11274.03
135	11263.69
136	11231.29
137	11277.63
138	11620.45
139	11660.49
140	11381.56
141	11140.41
142	10889.37
143	10939.31
144	10829.54
145	10516.86
146	10262.22
147	10090.36
148	10020.18
149	10090.36
150	10312.61
151	10811.54
152	11269.08
153	11476.48
154	11379.31
155	11319.92
156	11379.76
157	11221.40
158	11252.89
159	11234.89
160	11247.04
161	11305.08
162	11691.98
163	11760.37
164	11521.47
165	11231.29
166	11003.65
167	11024.79
168	10947.41
169	10625.74
170	10345.45
171	10125.46
172	10071.02
173	10180.79
174	10403.04
175	10888.92
176	11338.37
177	11494.93
178	11473.34
179	11423.40
180	11412.15
181	11350.06
182	11363.56
183	11309.57
184	11332.52
185	11301.48
186	11675.34
187	11745.52
188	11493.58
189	11243.44
190	10988.35
191	11058.53
192	10968.56
193	10600.99
194	10301.81
195	10139.40
196	10072.82
197	10114.21
198	10327.46
199	10808.84
200	11249.74
201	11448.14
202	11470.19
203	11474.24
204	11539.02
205	11449.94
206	11474.69
207	11416.20
208	11435.09
209	11443.19
210	11746.87
211	11768.47
212	11563.76
213	11283.48
214	11005.00
215	11087.78
216	11023.89
217	10701.32
218	10429.13
219	10271.22
220	10229.38
221	10294.17
222	10450.28
223	10943.81
224	11408.10
225	11549.82
226	11488.63
227	11437.79
228	11456.24
229	11336.57
230	11310.92
231	11256.94
232	11247.94
233	11274.93
234	11610.10
235	11615.50
236	11381.11
237	11174.16
238	10909.17
239	11044.14
240	11046.39
241	10678.37
242	10397.64
243	10238.83
244	10081.82
245	10003.54
246	10033.68
247	10160.55
248	10249.63
249	10564.55
250	10762.05
251	10867.78
252	10877.23
253	10880.83
254	10917.72
255	10726.96
256	10644.18
257	10660.38
258	11022.54
259	11172.81
260	11031.09
261	10776.00
262	10574.90
263	10659.93
264	10717.52
265	10502.47
266	10295.97
267	10129.51
268	9994.09
269	9960.35
270	9933.35
271	9972.04
272	10053.47
273	10225.78
274	10404.84
275	10511.91
276	10606.39
277	10654.08
278	10467.37
279	10340.06
280	10333.31
281	10396.74
282	10857.43
283	11101.72
284	11038.74
285	10898.82
286	10690.07
287	10713.47
288	10703.57
289	10413.84
290	10200.59
291	10029.63
292	9935.15
293	9950.00
294	10209.59
295	10791.75
296	11263.69
297	11463.44
298	11493.58
299	11402.25
300	11447.69
301	11361.76
302	11364.91
303	11265.48
304	11227.69
305	11241.64
306	11648.79
307	11768.02
308	11524.62
309	11225.89
310	10921.77
311	11019.39
312	10968.11
313	10627.54
314	10372.90
315	10222.63
316	10114.66
317	10140.75
318	10370.20
319	10887.12
320	11332.97
321	11492.23
322	11503.03
323	11503.93
324	11582.66
325	11481.88
326	11471.09
327	11431.95
328	11443.64
329	11475.58
330	11791.86
331	11840.90
332	11587.61
333	11301.93
334	11035.14
335	11112.97
336	11052.24
337	10722.91
338	10517.76
339	10355.80
340	10245.13
341	10290.57
342	10486.27
343	10931.21
344	11382.01
345	11609.65
346	11636.65
347	11672.19
348	11733.37
349	11647.44
350	11654.64
351	11562.41
352	11567.36
353	11588.51
354	11846.75
355	11873.74
356	11633.50
357	11313.62
358	11083.28
359	11165.61
360	11117.92
361	10755.31
362	10502.47
363	10334.21
364	10201.49
365	10224.88
366	10426.43
367	10938.41
368	11375.26
369	11517.43
370	11525.97
371	11534.97
372	11597.96
373	11540.37
374	11556.57
375	11528.22
376	11457.14
377	11373.01
378	11717.18
379	11844.95
380	11596.61
381	11319.02
382	11041.89
383	11102.17
384	11041.44
385	10724.71
386	10463.33
387	10282.92
388	10234.33
389	10272.12
390	10432.73
391	10926.27
392	11352.31
393	11554.77
394	11551.62
395	11525.97
396	11521.92
397	11355.91
398	11376.16
399	11297.88
400	11321.27
401	11368.51
402	11671.74
403	11669.49
404	11386.51
405	11143.56
406	10909.62
407	10982.05
408	10997.80
409	10681.52
410	10413.84
411	10211.39
412	10078.67
413	10009.38
414	10013.43
415	10142.10
416	10272.12
417	10506.97
418	10687.37
419	10762.05
420	10825.94
421	10786.35
422	10744.06
423	10623.49
424	10574.45
425	10599.19
426	10960.01
427	11142.21
428	10949.21
429	10735.06
430	10536.21
431	10584.35
432	10659.48
433	10398.09
434	10145.70
435	9936.95
436	9813.23
437	9776.34
438	9789.84
439	9851.47
440	9917.16
441	10102.51
442	10329.71
443	10519.11
444	10627.99
445	10718.42
446	10577.15
447	10437.23
448	10400.34
449	10374.70
450	10737.76
451	10966.76
452	10943.81
453	10816.94
454	10575.80
455	10614.94
456	10589.75
457	10299.11
458	10118.26
459	9963.04
460	9877.12
461	9936.95
462	10223.53
463	10798.50
464	11294.73
465	11501.68
466	11521.02
467	11580.41
468	11643.40
469	11546.67
470	11565.11
471	11525.97
472	11536.77
473	11562.86
474	11807.61
475	11877.34
476	11582.66
477	11328.47
478	11041.44
479	11144.01
480	11081.48
481	10780.05
482	10532.16
483	10343.20
484	10273.47
485	10312.16
486	10495.72
487	11015.34
488	11459.39
489	11616.85
490	11605.15
491	11637.55
492	11679.39
493	11575.91
494	11596.61
495	11561.06
496	11539.92
497	11516.53
498	11798.16
499	11905.23
500	11660.49
501	11366.26
502	11063.93
503	11171.01
504	11116.57
505	10807.04
506	10557.80
507	10429.58
508	10309.01
509	10335.11
510	10554.65
511	11069.33
512	11476.48
513	11605.15
514	11621.35
515	11589.86
516	11620.45
517	11504.83
518	11526.87
519	11476.03
520	11476.03
521	11459.84
522	11733.82
523	11875.99
524	11650.14
525	11380.21
526	11121.97
527	11216.90
528	11165.16
529	10849.33
530	10620.34
531	10483.12
532	10346.35
533	10355.35
534	10544.31
535	11034.24
536	11475.58
537	11647.44
538	11673.09
539	11667.24
540	11696.03
541	11605.60
542	11611.90
543	11533.62
544	11524.17
545	11500.33
546	11805.81
547	11891.74
548	11646.99
549	11332.07
550	11093.18
551	11190.80
552	11142.21
553	10852.48
554	10627.09
555	10421.49
556	10325.66
557	10352.20
558	10531.26
559	11064.38
560	11513.83
561	11611.90
562	11558.37
563	11541.72
564	11575.01
565	11449.49
566	11418.90
567	11306.43
568	11205.20
569	11178.66
570	11496.73
571	11676.24
572	11423.40
573	11155.71
574	10907.82
575	11066.18
576	11067.08
577	10802.10
578	10556.45
579	10351.75
580	10210.94
581	10144.35
582	10123.66
583	10223.08
584	10358.50
585	10627.09
586	10871.38
587	10983.40
588	11042.34
589	11037.84
590	10919.97
591	10829.54
592	10786.35
593	10803.00
594	11047.74
595	11206.55
596	11031.54
597	10772.40
598	10575.80
599	10673.43
600	10725.61
601	10497.07
602	10243.33
603	10070.12
604	9938.30
605	9873.52
606	9900.96
607	9967.54
608	9987.79
609	10159.65
610	10385.94
611	10574.45
612	10734.16
613	10816.04
614	10677.47
615	10550.16
616	10552.85
617	10574.45
618	10853.38
619	11085.53
620	11036.49
621	10857.88
622	10628.89
623	10664.43
624	10615.39
625	10373.80
626	10181.24
627	10039.08
628	10002.64
629	10042.23
630	10286.97
631	10861.03
632	11329.82
633	11457.59
634	11526.87
635	11609.20
636	11671.74
637	11564.66
638	11582.21
639	11518.77
640	11480.53
641	11504.38
642	11709.08
643	11874.64
644	11646.54
645	11323.97
646	11065.73
647	11133.22
648	11080.13
649	10802.55
650	10532.61
651	10385.04
652	10291.92
653	10295.52
654	10496.17
655	11020.74
656	11477.83
657	11578.16
658	11561.06
659	11584.01
660	11629.45
661	11518.77
662	11529.12
663	11498.98
664	11470.19
665	11454.89
666	11695.13
667	11870.14
668	11616.85
669	11328.02
670	11053.14
671	11117.47
672	11071.58
673	10756.21
674	10555.10
675	10406.19
676	10300.46
677	10320.26
678	10505.62
679	11026.14
680	11457.14
681	11503.93
682	11489.08
683	11489.08
684	11526.42
685	11404.05
686	11440.94
687	11378.86
688	11393.70
689	11389.21
690	11643.40
691	11879.59
692	11667.69
693	11391.90
694	11067.08
695	11153.46
696	11115.22
697	10811.09
698	10613.14
699	10434.08
700	10335.11
701	10306.31
702	10493.02
703	11021.19
704	11487.28
705	11584.91
706	11601.55
707	11563.76
708	11615.05
709	11480.08
710	11486.38
711	11440.49
712	11427.45
713	11395.50
714	11627.65
715	11835.95
716	11633.05
717	11318.12
718	11058.53
719	11175.96
720	11135.02
721	10820.99
722	10623.49
723	10464.68
724	10377.85
725	10384.14
726	10570.40
727	11066.63
728	11515.18
729	11606.50
730	11584.46
731	11476.93
732	11467.49
733	11316.32
734	11296.08
735	11215.10
736	11167.41
737	11167.86
738	11380.66
739	11575.01
740	11374.81
741	11108.92
742	10868.68
743	11016.69
744	11020.29
745	10719.76
746	10463.78
747	10277.07
748	10067.87
749	10043.58
750	10015.68
751	10140.75
752	10277.97
753	10517.31
754	10818.74
755	10940.66
756	11013.10
757	11034.24
758	10950.11
759	10829.99
760	10765.20
761	10727.41
762	10851.58
763	11176.41
764	11040.54
765	10772.85
766	10564.55
767	10643.28
768	10719.31
769	10463.33
770	10262.22
771	10125.46
772	10001.29
773	9910.41
774	9942.80
775	9965.29
776	10002.64
777	10135.35
778	10304.96
779	10473.22
780	10574.00
781	10607.74
782	10473.67
783	10318.01
784	10283.82
785	10304.96
786	10537.11
787	10982.05
788	10990.60
789	10845.28
790	10619.89
791	10672.08
792	10685.12
793	10372.90
794	10223.53
795	10040.43
796	9997.24
797	10036.83
798	10294.62
799	10856.53
800	11315.87
801	11410.35
802	11404.95
803	11408.10
804	11402.25
805	11267.28
806	11245.69
807	11196.65
808	11165.61
809	11177.31
810	11473.34
