	BE_LT	BE_HT
1	16935,42614	7456,76054
2	16054,53951	7456,76054
3	16583,07149	7456,76054
4	16759,24881	7456,76054
5	16935,42614	7456,76054
6	17111,60346	7456,76054
7	17287,78078	7456,76054
8	17463,95811	7456,76054
9	17463,95811	7456,76054
10	17111,60346	7456,76054
11	16759,24881	7456,76054
12	16230,71684	7456,76054
13	15878,36219	7456,76054
14	15878,36219	7456,76054
15	15878,36219	7456,76054
16	16054,53951	7456,76054
17	16583,07149	7456,76054
18	17111,60346	7456,76054
19	17816,31276	7456,76054
20	17640,13543	7456,76054
21	18344,84473	7456,76054
22	18521,02206	7456,76054
23	18697,19938	7456,76054
24	19049,55403	7456,76054
25	19930,44065	7456,76054
26	20811,32727	7456,76054
27	21692,2139	7456,76054
28	22044,56854	7456,76054
29	22573,10052	7456,76054
30	23101,63249	7456,76054
31	23453,98714	7456,76054
32	23806,34179	7456,76054
33	23806,34179	7456,76054
34	22925,45517	7456,76054
35	22749,27784	7456,76054
36	22044,56854	7456,76054
37	20811,32727	7456,76054
38	20282,7953	7456,76054
39	19401,90868	7456,76054
40	19930,44065	7456,76054
41	20811,32727	7456,76054
42	21339,85925	7456,76054
43	21868,39122	7456,76054
44	22220,74587	7456,76054
45	22749,27784	7456,76054
46	23101,63249	7456,76054
47	23630,16446	7456,76054
48	24158,69644	7456,76054
49	24334,87376	7456,76054
50	24511,05109	7456,76054
51	24511,05109	7456,76054
52	24687,22841	7456,76054
53	24687,22841	7456,76054
54	24687,22841	7456,76054
55	24687,22841	7456,76054
56	24687,22841	7456,76054
57	24687,22841	7456,76054
58	21339,85925	7456,76054
59	17816,31276	7456,76054
60	15526,00754	7456,76054
61	15173,65289	7456,76054
62	15349,83022	7456,76054
63	15702,18486	7456,76054
64	16935,42614	7456,76054
65	18344,84473	7456,76054
66	18873,3767	7456,76054
67	19578,086	7456,76054
68	20106,61798	7456,76054
69	20635,14995	7456,76054
70	21339,85925	7456,76054
71	21868,39122	7456,76054
72	22396,92319	7456,76054
